trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763327093.000006347, sequence: 6302 - clear  0.000000000, sequence: 0
source 0 - assert 1763327094.000000519, sequence: 6303 - clear  0.000000000, sequence: 0
source 0 - assert 1763327095.000001690, sequence: 6304 - clear  0.000000000, sequence: 0
source 0 - assert 1763327096.000000362, sequence: 6305 - clear  0.000000000, sequence: 0
source 0 - assert 1763327097.000003704, sequence: 6306 - clear  0.000000000, sequence: 0
source 0 - assert 1763327098.000005458, sequence: 6307 - clear  0.000000000, sequence: 0
source 0 - assert 1763327099.000005454, sequence: 6308 - clear  0.000000000, sequence: 0
source 0 - assert 1763327100.000004907, sequence: 6309 - clear  0.000000000, sequence: 0
source 0 - assert 1763327101.000003331, sequence: 6310 - clear  0.000000000, sequence: 0
source 0 - assert 1763327102.000004566, sequence: 6311 - clear  0.000000000, sequence: 0
source 0 - assert 1763327103.000002251, sequence: 6312 - clear  0.000000000, sequence: 0
source 0 - assert 1763327104.000006710, sequence: 6313 - clear  0.000000000, sequence: 0
source 0 - assert 1763327105.000005652, sequence: 6314 - clear  0.000000000, sequence: 0
source 0 - assert 1763327106.000002708, sequence: 6315 - clear  0.000000000, sequence: 0
source 0 - assert 1763327107.000004634, sequence: 6316 - clear  0.000000000, sequence: 0
source 0 - assert 1763327108.000001231, sequence: 6317 - clear  0.000000000, sequence: 0
source 0 - assert 1763327109.000008329, sequence: 6318 - clear  0.000000000, sequence: 0
source 0 - assert 1763327110.000004735, sequence: 6319 - clear  0.000000000, sequence: 0
source 0 - assert 1763327111.000000284, sequence: 6320 - clear  0.000000000, sequence: 0
source 0 - assert 1763327112.000004359, sequence: 6321 - clear  0.000000000, sequence: 0
source 0 - assert 1763327113.000000141, sequence: 6322 - clear  0.000000000, sequence: 0
source 0 - assert 1763327114.000002548, sequence: 6323 - clear  0.000000000, sequence: 0
source 0 - assert 1763327115.000003623, sequence: 6324 - clear  0.000000000, sequence: 0
source 0 - assert 1763327116.000001458, sequence: 6325 - clear  0.000000000, sequence: 0
source 0 - assert 1763327117.000001886, sequence: 6326 - clear  0.000000000, sequence: 0
source 0 - assert 1763327117.999997351, sequence: 6327 - clear  0.000000000, sequence: 0
source 0 - assert 1763327119.000002335, sequence: 6328 - clear  0.000000000, sequence: 0
source 0 - assert 1763327120.000004945, sequence: 6329 - clear  0.000000000, sequence: 0
source 0 - assert 1763327121.000004446, sequence: 6330 - clear  0.000000000, sequence: 0
source 0 - assert 1763327122.000003038, sequence: 6331 - clear  0.000000000, sequence: 0
source 0 - assert 1763327123.000002870, sequence: 6332 - clear  0.000000000, sequence: 0
source 0 - assert 1763327124.000004617, sequence: 6333 - clear  0.000000000, sequence: 0
source 0 - assert 1763327125.000002683, sequence: 6334 - clear  0.000000000, sequence: 0
source 0 - assert 1763327126.000001726, sequence: 6335 - clear  0.000000000, sequence: 0
source 0 - assert 1763327127.000005826, sequence: 6336 - clear  0.000000000, sequence: 0
source 0 - assert 1763327128.000002794, sequence: 6337 - clear  0.000000000, sequence: 0
source 0 - assert 1763327129.000005265, sequence: 6338 - clear  0.000000000, sequence: 0
source 0 - assert 1763327130.000004349, sequence: 6339 - clear  0.000000000, sequence: 0
source 0 - assert 1763327131.000002076, sequence: 6340 - clear  0.000000000, sequence: 0
source 0 - assert 1763327132.000002355, sequence: 6341 - clear  0.000000000, sequence: 0
source 0 - assert 1763327133.000001321, sequence: 6342 - clear  0.000000000, sequence: 0
source 0 - assert 1763327134.000007627, sequence: 6343 - clear  0.000000000, sequence: 0
source 0 - assert 1763327134.999998775, sequence: 6344 - clear  0.000000000, sequence: 0
source 0 - assert 1763327136.000004655, sequence: 6345 - clear  0.000000000, sequence: 0
source 0 - assert 1763327137.000000297, sequence: 6346 - clear  0.000000000, sequence: 0
source 0 - assert 1763327138.000000077, sequence: 6347 - clear  0.000000000, sequence: 0
