trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763328415.000007640, sequence: 7624 - clear  0.000000000, sequence: 0
source 0 - assert 1763328416.000001116, sequence: 7625 - clear  0.000000000, sequence: 0
source 0 - assert 1763328416.999999157, sequence: 7626 - clear  0.000000000, sequence: 0
source 0 - assert 1763328418.000001292, sequence: 7627 - clear  0.000000000, sequence: 0
source 0 - assert 1763328419.000001371, sequence: 7628 - clear  0.000000000, sequence: 0
source 0 - assert 1763328420.000002542, sequence: 7629 - clear  0.000000000, sequence: 0
source 0 - assert 1763328421.000004243, sequence: 7630 - clear  0.000000000, sequence: 0
source 0 - assert 1763328422.000002359, sequence: 7631 - clear  0.000000000, sequence: 0
source 0 - assert 1763328422.999997981, sequence: 7632 - clear  0.000000000, sequence: 0
source 0 - assert 1763328424.000003738, sequence: 7633 - clear  0.000000000, sequence: 0
source 0 - assert 1763328425.000001628, sequence: 7634 - clear  0.000000000, sequence: 0
source 0 - assert 1763328426.000004043, sequence: 7635 - clear  0.000000000, sequence: 0
source 0 - assert 1763328426.999999375, sequence: 7636 - clear  0.000000000, sequence: 0
source 0 - assert 1763328428.000004449, sequence: 7637 - clear  0.000000000, sequence: 0
source 0 - assert 1763328428.999999121, sequence: 7638 - clear  0.000000000, sequence: 0
source 0 - assert 1763328430.000008875, sequence: 7639 - clear  0.000000000, sequence: 0
source 0 - assert 1763328431.000004116, sequence: 7640 - clear  0.000000000, sequence: 0
source 0 - assert 1763328432.000000527, sequence: 7641 - clear  0.000000000, sequence: 0
source 0 - assert 1763328433.000000453, sequence: 7642 - clear  0.000000000, sequence: 0
source 0 - assert 1763328434.000000134, sequence: 7643 - clear  0.000000000, sequence: 0
source 0 - assert 1763328435.000001503, sequence: 7644 - clear  0.000000000, sequence: 0
source 0 - assert 1763328436.000003536, sequence: 7645 - clear  0.000000000, sequence: 0
source 0 - assert 1763328437.000002406, sequence: 7646 - clear  0.000000000, sequence: 0
source 0 - assert 1763328438.000000119, sequence: 7647 - clear  0.000000000, sequence: 0
