ptp4l[461760.544]: selected /dev/ptp0 as PTP clock
ptp4l[461760.552]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[461760.553]: port 0 (/var/run/ptp/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[461760.554]: port 0 (/var/run/ptp/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[461767.324]: selected local clock 000000.fffe.049f06 as best master
ptp4l[461767.687]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[461771.691]: selected best master clock 641c10.fffe.f12579
ptp4l[461771.692]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[461773.696]: master offset   11999685 s0 freq  -81043 path delay       935
ptp4l[461774.701]: master offset   13999676 s1 freq +1914862 path delay       935
ptp4l[461775.701]: master offset   -2003122 s2 freq  -88260 path delay       935
ptp4l[461775.701]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[461776.687]: master offset    2002726 s2 freq +3316652 path delay       935
ptp4l[461777.685]: master offset   -1455105 s2 freq +459639 path delay       935
ptp4l[461778.684]: master offset    2001076 s2 freq +3479288 path delay       935
ptp4l[461779.687]: master offset     350111 s2 freq +2428646 path delay       935
ptp4l[461780.687]: master offset    -197087 s2 freq +1986481 path delay     15617
ptp4l[461781.687]: master offset   -2309403 s2 freq -184961 path delay     30300
ptp4l[461782.685]: master offset    -191859 s2 freq +1239762 path delay     15617
ptp4l[461783.687]: master offset    2477821 s2 freq +3851885 path delay     15617
ptp4l[461784.689]: master offset     432340 s2 freq +2549750 path delay     75167
ptp4l[461785.687]: master offset    -335976 s2 freq +1911136 path delay    210832
ptp4l[461786.686]: master offset   -2418439 s2 freq -272120 path delay    288644
ptp4l[461787.686]: master offset    -228452 s2 freq +1192335 path delay    288644
ptp4l[461788.688]: master offset     580230 s2 freq +1932482 path delay    197847
ptp4l[461789.689]: master offset    2747056 s2 freq +4273377 path delay     -2588
ptp4l[461790.691]: master offset   -1643817 s2 freq +706621 path delay     -2588
ptp4l[461791.688]: master offset    2227398 s2 freq +4084690 path delay   -666909
ptp4l[461792.689]: master offset   -2018892 s2 freq +506620 path delay   -666909
ptp4l[461793.687]: master offset    1600279 s2 freq +3520123 path delay   -877148
ptp4l[461794.688]: master offset     -50495 s2 freq +2349433 path delay   -877148
ptp4l[461795.688]: master offset    -490734 s2 freq +1894045 path delay   -877148
