trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763327093.000009001, sequence: 5728 - clear  0.000000000, sequence: 0
source 0 - assert 1763327094.001753291, sequence: 5729 - clear  0.000000000, sequence: 0
source 0 - assert 1763327095.004281398, sequence: 5730 - clear  0.000000000, sequence: 0
source 0 - assert 1763327096.006887299, sequence: 5731 - clear  0.000000000, sequence: 0
source 0 - assert 1763327097.009335631, sequence: 5732 - clear  0.000000000, sequence: 0
source 0 - assert 1763327098.013364261, sequence: 5733 - clear  0.000000000, sequence: 0
source 0 - assert 1763327099.017749037, sequence: 5734 - clear  0.000000000, sequence: 0
source 0 - assert 1763327100.004689728, sequence: 5735 - clear  0.000000000, sequence: 0
source 0 - assert 1763327101.003895290, sequence: 5736 - clear  0.000000000, sequence: 0
source 0 - assert 1763327102.002746145, sequence: 5737 - clear  0.000000000, sequence: 0
source 0 - assert 1763327103.007906236, sequence: 5738 - clear  0.000000000, sequence: 0
source 0 - assert 1763327104.011498370, sequence: 5739 - clear  0.000000000, sequence: 0
source 0 - assert 1763327105.013497207, sequence: 5740 - clear  0.000000000, sequence: 0
source 0 - assert 1763327106.012056886, sequence: 5741 - clear  0.000000000, sequence: 0
source 0 - assert 1763327107.013916311, sequence: 5742 - clear  0.000000000, sequence: 0
source 0 - assert 1763327108.020520876, sequence: 5743 - clear  0.000000000, sequence: 0
source 0 - assert 1763327109.021691860, sequence: 5744 - clear  0.000000000, sequence: 0
source 0 - assert 1763327110.021955322, sequence: 5745 - clear  0.000000000, sequence: 0
source 0 - assert 1763327111.021562614, sequence: 5746 - clear  0.000000000, sequence: 0
source 0 - assert 1763327112.024119266, sequence: 5747 - clear  0.000000000, sequence: 0
source 0 - assert 1763327113.027680505, sequence: 5748 - clear  0.000000000, sequence: 0
source 0 - assert 1763327114.033969473, sequence: 5749 - clear  0.000000000, sequence: 0
source 0 - assert 1763327115.032740542, sequence: 5750 - clear  0.000000000, sequence: 0
source 0 - assert 1763327116.037025361, sequence: 5751 - clear  0.000000000, sequence: 0
source 0 - assert 1763327117.035602561, sequence: 5752 - clear  0.000000000, sequence: 0
source 0 - assert 1763327118.039898732, sequence: 5753 - clear  0.000000000, sequence: 0
source 0 - assert 1763327119.042405803, sequence: 5754 - clear  0.000000000, sequence: 0
source 0 - assert 1763327120.043810637, sequence: 5755 - clear  0.000000000, sequence: 0
source 0 - assert 1763327121.042026103, sequence: 5756 - clear  0.000000000, sequence: 0
source 0 - assert 1763327122.043963614, sequence: 5757 - clear  0.000000000, sequence: 0
source 0 - assert 1763327123.047319075, sequence: 5758 - clear  0.000000000, sequence: 0
source 0 - assert 1763327124.053661557, sequence: 5759 - clear  0.000000000, sequence: 0
source 0 - assert 1763327125.053618884, sequence: 5760 - clear  0.000000000, sequence: 0
source 0 - assert 1763327126.053752961, sequence: 5761 - clear  0.000000000, sequence: 0
source 0 - assert 1763327127.053497202, sequence: 5762 - clear  0.000000000, sequence: 0
source 0 - assert 1763327128.056223410, sequence: 5763 - clear  0.000000000, sequence: 0
source 0 - assert 1763327129.063081326, sequence: 5764 - clear  0.000000000, sequence: 0
source 0 - assert 1763327130.062464484, sequence: 5765 - clear  0.000000000, sequence: 0
source 0 - assert 1763327131.066886211, sequence: 5766 - clear  0.000000000, sequence: 0
source 0 - assert 1763327132.065717619, sequence: 5767 - clear  0.000000000, sequence: 0
source 0 - assert 1763327133.070395899, sequence: 5768 - clear  0.000000000, sequence: 0
source 0 - assert 1763327134.069363635, sequence: 5769 - clear  0.000000000, sequence: 0
source 0 - assert 1763327135.074540668, sequence: 5770 - clear  0.000000000, sequence: 0
source 0 - assert 1763327136.073554627, sequence: 5771 - clear  0.000000000, sequence: 0
source 0 - assert 1763327137.078302404, sequence: 5772 - clear  0.000000000, sequence: 0
source 0 - assert 1763327138.080762862, sequence: 5773 - clear  0.000000000, sequence: 0
source 0 - assert 1763327139.082066468, sequence: 5774 - clear  0.000000000, sequence: 0
source 0 - assert 1763327140.083620950, sequence: 5775 - clear  0.000000000, sequence: 0
source 0 - assert 1763327141.084773790, sequence: 5776 - clear  0.000000000, sequence: 0
source 0 - assert 1763327142.083736424, sequence: 5777 - clear  0.000000000, sequence: 0
source 0 - assert 1763327143.090106746, sequence: 5778 - clear  0.000000000, sequence: 0
source 0 - assert 1763327144.091363326, sequence: 5779 - clear  0.000000000, sequence: 0
source 0 - assert 1763327145.094056831, sequence: 5780 - clear  0.000000000, sequence: 0
source 0 - assert 1763327146.092814765, sequence: 5781 - clear  0.000000000, sequence: 0
source 0 - assert 1763327147.098858836, sequence: 5782 - clear  0.000000000, sequence: 0
source 0 - assert 1763327148.097854008, sequence: 5783 - clear  0.000000000, sequence: 0
source 0 - assert 1763327149.103147078, sequence: 5784 - clear  0.000000000, sequence: 0
source 0 - assert 1763327150.101562175, sequence: 5785 - clear  0.000000000, sequence: 0
source 0 - assert 1763327151.104599309, sequence: 5786 - clear  0.000000000, sequence: 0
source 0 - assert 1763327152.107717964, sequence: 5787 - clear  0.000000000, sequence: 0
source 0 - assert 1763327153.106169279, sequence: 5788 - clear  0.000000000, sequence: 0
source 0 - assert 1763327154.112489119, sequence: 5789 - clear  0.000000000, sequence: 0
source 0 - assert 1763327155.115315789, sequence: 5790 - clear  0.000000000, sequence: 0
source 0 - assert 1763327156.114467380, sequence: 5791 - clear  0.000000000, sequence: 0
source 0 - assert 1763327157.114153135, sequence: 5792 - clear  0.000000000, sequence: 0
source 0 - assert 1763327158.114827322, sequence: 5793 - clear  0.000000000, sequence: 0
source 0 - assert 1763327159.122645196, sequence: 5794 - clear  0.000000000, sequence: 0
source 0 - assert 1763327160.122372834, sequence: 5795 - clear  0.000000000, sequence: 0
source 0 - assert 1763327161.128103889, sequence: 5796 - clear  0.000000000, sequence: 0
source 0 - assert 1763327162.126213101, sequence: 5797 - clear  0.000000000, sequence: 0
source 0 - assert 1763327163.127110947, sequence: 5798 - clear  0.000000000, sequence: 0
source 0 - assert 1763327164.133305265, sequence: 5799 - clear  0.000000000, sequence: 0
source 0 - assert 1763327165.135386025, sequence: 5800 - clear  0.000000000, sequence: 0
source 0 - assert 1763327166.132501706, sequence: 5801 - clear  0.000000000, sequence: 0
source 0 - assert 1763327167.138082742, sequence: 5802 - clear  0.000000000, sequence: 0
source 0 - assert 1763327168.137030694, sequence: 5803 - clear  0.000000000, sequence: 0
source 0 - assert 1763327169.138837018, sequence: 5804 - clear  0.000000000, sequence: 0
source 0 - assert 1763327170.145399736, sequence: 5805 - clear  0.000000000, sequence: 0
source 0 - assert 1763327171.143562316, sequence: 5806 - clear  0.000000000, sequence: 0
source 0 - assert 1763327172.144993165, sequence: 5807 - clear  0.000000000, sequence: 0
source 0 - assert 1763327173.151481961, sequence: 5808 - clear  0.000000000, sequence: 0
source 0 - assert 1763327174.153584158, sequence: 5809 - clear  0.000000000, sequence: 0
source 0 - assert 1763327175.150706912, sequence: 5810 - clear  0.000000000, sequence: 0
source 0 - assert 1763327176.152366722, sequence: 5811 - clear  0.000000000, sequence: 0
source 0 - assert 1763327177.157081065, sequence: 5812 - clear  0.000000000, sequence: 0
source 0 - assert 1763327178.157006870, sequence: 5813 - clear  0.000000000, sequence: 0
source 0 - assert 1763327179.163154659, sequence: 5814 - clear  0.000000000, sequence: 0
source 0 - assert 1763327180.161587479, sequence: 5815 - clear  0.000000000, sequence: 0
source 0 - assert 1763327181.166859102, sequence: 5816 - clear  0.000000000, sequence: 0
source 0 - assert 1763327182.165201550, sequence: 5817 - clear  0.000000000, sequence: 0
source 0 - assert 1763327183.170748735, sequence: 5818 - clear  0.000000000, sequence: 0
source 0 - assert 1763327184.172761676, sequence: 5819 - clear  0.000000000, sequence: 0
source 0 - assert 1763327185.174015560, sequence: 5820 - clear  0.000000000, sequence: 0
source 0 - assert 1763327186.172141337, sequence: 5821 - clear  0.000000000, sequence: 0
