trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763328415.000013545, sequence: 7041 - clear  0.000000000, sequence: 0
source 0 - assert 1763328416.001259823, sequence: 7042 - clear  0.000000000, sequence: 0
source 0 - assert 1763328417.003639792, sequence: 7043 - clear  0.000000000, sequence: 0
source 0 - assert 1763328418.006244382, sequence: 7044 - clear  0.000000000, sequence: 0
source 0 - assert 1763328419.008737545, sequence: 7045 - clear  0.000000000, sequence: 0
source 0 - assert 1763328420.011065104, sequence: 7046 - clear  0.000000000, sequence: 0
source 0 - assert 1763328421.014677160, sequence: 7047 - clear  0.000000000, sequence: 0
source 0 - assert 1763328422.008536259, sequence: 7048 - clear  0.000000000, sequence: 0
source 0 - assert 1763328423.000080246, sequence: 7049 - clear  0.000000000, sequence: 0
source 0 - assert 1763328423.998628207, sequence: 7050 - clear  0.000000000, sequence: 0
source 0 - assert 1763328425.002162360, sequence: 7051 - clear  0.000000000, sequence: 0
source 0 - assert 1763328426.006510606, sequence: 7052 - clear  0.000000000, sequence: 0
source 0 - assert 1763328427.010043541, sequence: 7053 - clear  0.000000000, sequence: 0
source 0 - assert 1763328428.012612704, sequence: 7054 - clear  0.000000000, sequence: 0
source 0 - assert 1763328429.014654957, sequence: 7055 - clear  0.000000000, sequence: 0
source 0 - assert 1763328430.016546647, sequence: 7056 - clear  0.000000000, sequence: 0
source 0 - assert 1763328431.018465658, sequence: 7057 - clear  0.000000000, sequence: 0
source 0 - assert 1763328432.020420360, sequence: 7058 - clear  0.000000000, sequence: 0
source 0 - assert 1763328433.022312012, sequence: 7059 - clear  0.000000000, sequence: 0
source 0 - assert 1763328434.024294215, sequence: 7060 - clear  0.000000000, sequence: 0
source 0 - assert 1763328435.026287480, sequence: 7061 - clear  0.000000000, sequence: 0
source 0 - assert 1763328436.029071633, sequence: 7062 - clear  0.000000000, sequence: 0
source 0 - assert 1763328437.030725351, sequence: 7063 - clear  0.000000000, sequence: 0
source 0 - assert 1763328438.031157034, sequence: 7064 - clear  0.000000000, sequence: 0
source 0 - assert 1763328439.033494000, sequence: 7065 - clear  0.000000000, sequence: 0
source 0 - assert 1763328440.036226334, sequence: 7066 - clear  0.000000000, sequence: 0
source 0 - assert 1763328441.038538150, sequence: 7067 - clear  0.000000000, sequence: 0
source 0 - assert 1763328442.040563523, sequence: 7068 - clear  0.000000000, sequence: 0
source 0 - assert 1763328443.042564379, sequence: 7069 - clear  0.000000000, sequence: 0
source 0 - assert 1763328444.044543206, sequence: 7070 - clear  0.000000000, sequence: 0
source 0 - assert 1763328445.046553486, sequence: 7071 - clear  0.000000000, sequence: 0
source 0 - assert 1763328446.048455190, sequence: 7072 - clear  0.000000000, sequence: 0
source 0 - assert 1763328447.051114660, sequence: 7073 - clear  0.000000000, sequence: 0
source 0 - assert 1763328448.052628478, sequence: 7074 - clear  0.000000000, sequence: 0
source 0 - assert 1763328449.053166288, sequence: 7075 - clear  0.000000000, sequence: 0
source 0 - assert 1763328450.055516222, sequence: 7076 - clear  0.000000000, sequence: 0
source 0 - assert 1763328451.058186042, sequence: 7077 - clear  0.000000000, sequence: 0
source 0 - assert 1763328452.060543610, sequence: 7078 - clear  0.000000000, sequence: 0
source 0 - assert 1763328453.062632744, sequence: 7079 - clear  0.000000000, sequence: 0
source 0 - assert 1763328454.064597182, sequence: 7080 - clear  0.000000000, sequence: 0
source 0 - assert 1763328455.066434357, sequence: 7081 - clear  0.000000000, sequence: 0
source 0 - assert 1763328456.068370172, sequence: 7082 - clear  0.000000000, sequence: 0
source 0 - assert 1763328457.070414079, sequence: 7083 - clear  0.000000000, sequence: 0
source 0 - assert 1763328458.073258963, sequence: 7084 - clear  0.000000000, sequence: 0
source 0 - assert 1763328459.074709635, sequence: 7085 - clear  0.000000000, sequence: 0
source 0 - assert 1763328460.075276358, sequence: 7086 - clear  0.000000000, sequence: 0
source 0 - assert 1763328461.077710769, sequence: 7087 - clear  0.000000000, sequence: 0
source 0 - assert 1763328462.080352331, sequence: 7088 - clear  0.000000000, sequence: 0
source 0 - assert 1763328463.082587740, sequence: 7089 - clear  0.000000000, sequence: 0
source 0 - assert 1763328464.084643732, sequence: 7090 - clear  0.000000000, sequence: 0
source 0 - assert 1763328465.086593099, sequence: 7091 - clear  0.000000000, sequence: 0
source 0 - assert 1763328466.088481459, sequence: 7092 - clear  0.000000000, sequence: 0
source 0 - assert 1763328467.090422189, sequence: 7093 - clear  0.000000000, sequence: 0
source 0 - assert 1763328468.092388136, sequence: 7094 - clear  0.000000000, sequence: 0
source 0 - assert 1763328469.094375150, sequence: 7095 - clear  0.000000000, sequence: 0
source 0 - assert 1763328470.096355959, sequence: 7096 - clear  0.000000000, sequence: 0
source 0 - assert 1763328471.098358794, sequence: 7097 - clear  0.000000000, sequence: 0
source 0 - assert 1763328472.100366500, sequence: 7098 - clear  0.000000000, sequence: 0
source 0 - assert 1763328473.102376839, sequence: 7099 - clear  0.000000000, sequence: 0
source 0 - assert 1763328474.104429665, sequence: 7100 - clear  0.000000000, sequence: 0
source 0 - assert 1763328475.106572151, sequence: 7101 - clear  0.000000000, sequence: 0
source 0 - assert 1763328476.108616331, sequence: 7102 - clear  0.000000000, sequence: 0
source 0 - assert 1763328477.111431473, sequence: 7103 - clear  0.000000000, sequence: 0
source 0 - assert 1763328478.112570314, sequence: 7104 - clear  0.000000000, sequence: 0
source 0 - assert 1763328479.113162564, sequence: 7105 - clear  0.000000000, sequence: 0
source 0 - assert 1763328480.115622848, sequence: 7106 - clear  0.000000000, sequence: 0
source 0 - assert 1763328481.118364395, sequence: 7107 - clear  0.000000000, sequence: 0
source 0 - assert 1763328482.120791132, sequence: 7108 - clear  0.000000000, sequence: 0
source 0 - assert 1763328483.122854141, sequence: 7109 - clear  0.000000000, sequence: 0
source 0 - assert 1763328484.125773194, sequence: 7110 - clear  0.000000000, sequence: 0
source 0 - assert 1763328485.126745500, sequence: 7111 - clear  0.000000000, sequence: 0
source 0 - assert 1763328486.127190266, sequence: 7112 - clear  0.000000000, sequence: 0
source 0 - assert 1763328487.129604518, sequence: 7113 - clear  0.000000000, sequence: 0
source 0 - assert 1763328488.132348544, sequence: 7114 - clear  0.000000000, sequence: 0
source 0 - assert 1763328489.134710520, sequence: 7115 - clear  0.000000000, sequence: 0
source 0 - assert 1763328490.136766708, sequence: 7116 - clear  0.000000000, sequence: 0
source 0 - assert 1763328491.138755921, sequence: 7117 - clear  0.000000000, sequence: 0
source 0 - assert 1763328492.140673183, sequence: 7118 - clear  0.000000000, sequence: 0
source 0 - assert 1763328493.142617902, sequence: 7119 - clear  0.000000000, sequence: 0
source 0 - assert 1763328494.144558724, sequence: 7120 - clear  0.000000000, sequence: 0
source 0 - assert 1763328495.146457114, sequence: 7121 - clear  0.000000000, sequence: 0
source 0 - assert 1763328496.148426901, sequence: 7122 - clear  0.000000000, sequence: 0
source 0 - assert 1763328497.150515164, sequence: 7123 - clear  0.000000000, sequence: 0
source 0 - assert 1763328498.152598621, sequence: 7124 - clear  0.000000000, sequence: 0
source 0 - assert 1763328499.154556743, sequence: 7125 - clear  0.000000000, sequence: 0
source 0 - assert 1763328500.156460955, sequence: 7126 - clear  0.000000000, sequence: 0
source 0 - assert 1763328501.158341161, sequence: 7127 - clear  0.000000000, sequence: 0
source 0 - assert 1763328502.160357348, sequence: 7128 - clear  0.000000000, sequence: 0
source 0 - assert 1763328503.162484951, sequence: 7129 - clear  0.000000000, sequence: 0
source 0 - assert 1763328504.164520358, sequence: 7130 - clear  0.000000000, sequence: 0
source 0 - assert 1763328505.166528770, sequence: 7131 - clear  0.000000000, sequence: 0
source 0 - assert 1763328506.168590499, sequence: 7132 - clear  0.000000000, sequence: 0
source 0 - assert 1763328507.170701096, sequence: 7133 - clear  0.000000000, sequence: 0
source 0 - assert 1763328508.173778671, sequence: 7134 - clear  0.000000000, sequence: 0
source 0 - assert 1763328509.174692969, sequence: 7135 - clear  0.000000000, sequence: 0
source 0 - assert 1763328510.175346325, sequence: 7136 - clear  0.000000000, sequence: 0
source 0 - assert 1763328511.177807855, sequence: 7137 - clear  0.000000000, sequence: 0
source 0 - assert 1763328512.180481641, sequence: 7138 - clear  0.000000000, sequence: 0
source 0 - assert 1763328513.182759560, sequence: 7139 - clear  0.000000000, sequence: 0
source 0 - assert 1763328514.184697848, sequence: 7140 - clear  0.000000000, sequence: 0
source 0 - assert 1763328515.186630135, sequence: 7141 - clear  0.000000000, sequence: 0
