trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763324153.000005347, sequence: 3362 - clear  0.000000000, sequence: 0
source 0 - assert 1763324154.000001814, sequence: 3363 - clear  0.000000000, sequence: 0
source 0 - assert 1763324155.000001419, sequence: 3364 - clear  0.000000000, sequence: 0
source 0 - assert 1763324156.000000605, sequence: 3365 - clear  0.000000000, sequence: 0
source 0 - assert 1763324156.999999690, sequence: 3366 - clear  0.000000000, sequence: 0
source 0 - assert 1763324158.000002747, sequence: 3367 - clear  0.000000000, sequence: 0
source 0 - assert 1763324158.999998155, sequence: 3368 - clear  0.000000000, sequence: 0
source 0 - assert 1763324160.000001627, sequence: 3369 - clear  0.000000000, sequence: 0
source 0 - assert 1763324161.000002745, sequence: 3370 - clear  0.000000000, sequence: 0
source 0 - assert 1763324161.999999068, sequence: 3371 - clear  0.000000000, sequence: 0
source 0 - assert 1763324163.000000440, sequence: 3372 - clear  0.000000000, sequence: 0
source 0 - assert 1763324164.000003983, sequence: 3373 - clear  0.000000000, sequence: 0
source 0 - assert 1763324165.000003647, sequence: 3374 - clear  0.000000000, sequence: 0
source 0 - assert 1763324166.000005393, sequence: 3375 - clear  0.000000000, sequence: 0
source 0 - assert 1763324166.999999103, sequence: 3376 - clear  0.000000000, sequence: 0
source 0 - assert 1763324168.000002164, sequence: 3377 - clear  0.000000000, sequence: 0
source 0 - assert 1763324169.000003554, sequence: 3378 - clear  0.000000000, sequence: 0
source 0 - assert 1763324170.000002595, sequence: 3379 - clear  0.000000000, sequence: 0
source 0 - assert 1763324170.999998955, sequence: 3380 - clear  0.000000000, sequence: 0
source 0 - assert 1763324172.000002035, sequence: 3381 - clear  0.000000000, sequence: 0
source 0 - assert 1763324172.999999412, sequence: 3382 - clear  0.000000000, sequence: 0
source 0 - assert 1763324174.000004343, sequence: 3383 - clear  0.000000000, sequence: 0
source 0 - assert 1763324175.000001931, sequence: 3384 - clear  0.000000000, sequence: 0
source 0 - assert 1763324176.000003998, sequence: 3385 - clear  0.000000000, sequence: 0
source 0 - assert 1763324177.000002029, sequence: 3386 - clear  0.000000000, sequence: 0
source 0 - assert 1763324178.000000528, sequence: 3387 - clear  0.000000000, sequence: 0
source 0 - assert 1763324179.000002070, sequence: 3388 - clear  0.000000000, sequence: 0
source 0 - assert 1763324180.000001151, sequence: 3389 - clear  0.000000000, sequence: 0
source 0 - assert 1763324181.000001234, sequence: 3390 - clear  0.000000000, sequence: 0
source 0 - assert 1763324182.000001244, sequence: 3391 - clear  0.000000000, sequence: 0
source 0 - assert 1763324182.999998203, sequence: 3392 - clear  0.000000000, sequence: 0
source 0 - assert 1763324184.000004623, sequence: 3393 - clear  0.000000000, sequence: 0
source 0 - assert 1763324184.999996848, sequence: 3394 - clear  0.000000000, sequence: 0
source 0 - assert 1763324186.000006179, sequence: 3395 - clear  0.000000000, sequence: 0
source 0 - assert 1763324187.000001214, sequence: 3396 - clear  0.000000000, sequence: 0
source 0 - assert 1763324188.000000874, sequence: 3397 - clear  0.000000000, sequence: 0
source 0 - assert 1763324189.000004528, sequence: 3398 - clear  0.000000000, sequence: 0
source 0 - assert 1763324189.999998195, sequence: 3399 - clear  0.000000000, sequence: 0
source 0 - assert 1763324191.000001735, sequence: 3400 - clear  0.000000000, sequence: 0
source 0 - assert 1763324191.999997828, sequence: 3401 - clear  0.000000000, sequence: 0
source 0 - assert 1763324192.999998629, sequence: 3402 - clear  0.000000000, sequence: 0
source 0 - assert 1763324194.000005800, sequence: 3403 - clear  0.000000000, sequence: 0
source 0 - assert 1763324195.000004214, sequence: 3404 - clear  0.000000000, sequence: 0
source 0 - assert 1763324196.000002582, sequence: 3405 - clear  0.000000000, sequence: 0
source 0 - assert 1763324197.000000235, sequence: 3406 - clear  0.000000000, sequence: 0
source 0 - assert 1763324198.000002746, sequence: 3407 - clear  0.000000000, sequence: 0
source 0 - assert 1763324199.000002120, sequence: 3408 - clear  0.000000000, sequence: 0
source 0 - assert 1763324199.999999794, sequence: 3409 - clear  0.000000000, sequence: 0
source 0 - assert 1763324200.999998882, sequence: 3410 - clear  0.000000000, sequence: 0
source 0 - assert 1763324202.000002096, sequence: 3411 - clear  0.000000000, sequence: 0
source 0 - assert 1763324202.999998667, sequence: 3412 - clear  0.000000000, sequence: 0
source 0 - assert 1763324204.000002201, sequence: 3413 - clear  0.000000000, sequence: 0
source 0 - assert 1763324204.999999862, sequence: 3414 - clear  0.000000000, sequence: 0
source 0 - assert 1763324206.000002067, sequence: 3415 - clear  0.000000000, sequence: 0
source 0 - assert 1763324207.000004069, sequence: 3416 - clear  0.000000000, sequence: 0
source 0 - assert 1763324207.999998899, sequence: 3417 - clear  0.000000000, sequence: 0
source 0 - assert 1763324209.000005481, sequence: 3418 - clear  0.000000000, sequence: 0
source 0 - assert 1763324209.999996707, sequence: 3419 - clear  0.000000000, sequence: 0
source 0 - assert 1763324211.000001420, sequence: 3420 - clear  0.000000000, sequence: 0
source 0 - assert 1763324211.999999336, sequence: 3421 - clear  0.000000000, sequence: 0
source 0 - assert 1763324212.999999699, sequence: 3422 - clear  0.000000000, sequence: 0
source 0 - assert 1763324214.000003788, sequence: 3423 - clear  0.000000000, sequence: 0
source 0 - assert 1763324215.000001177, sequence: 3424 - clear  0.000000000, sequence: 0
source 0 - assert 1763324216.000001853, sequence: 3425 - clear  0.000000000, sequence: 0
source 0 - assert 1763324217.000008188, sequence: 3426 - clear  0.000000000, sequence: 0
source 0 - assert 1763324218.000001685, sequence: 3427 - clear  0.000000000, sequence: 0
source 0 - assert 1763324219.000002517, sequence: 3428 - clear  0.000000000, sequence: 0
source 0 - assert 1763324220.000005668, sequence: 3429 - clear  0.000000000, sequence: 0
source 0 - assert 1763324221.000000409, sequence: 3430 - clear  0.000000000, sequence: 0
source 0 - assert 1763324222.000007827, sequence: 3431 - clear  0.000000000, sequence: 0
source 0 - assert 1763324223.000000162, sequence: 3432 - clear  0.000000000, sequence: 0
source 0 - assert 1763324224.000003836, sequence: 3433 - clear  0.000000000, sequence: 0
source 0 - assert 1763324225.000007371, sequence: 3434 - clear  0.000000000, sequence: 0
source 0 - assert 1763324226.000004202, sequence: 3435 - clear  0.000000000, sequence: 0
source 0 - assert 1763324227.000000421, sequence: 3436 - clear  0.000000000, sequence: 0
source 0 - assert 1763324227.999999127, sequence: 3437 - clear  0.000000000, sequence: 0
