trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763324913.000004120, sequence: 4122 - clear  0.000000000, sequence: 0
source 0 - assert 1763324913.999999932, sequence: 4123 - clear  0.000000000, sequence: 0
source 0 - assert 1763324914.999998675, sequence: 4124 - clear  0.000000000, sequence: 0
source 0 - assert 1763324915.999999846, sequence: 4125 - clear  0.000000000, sequence: 0
source 0 - assert 1763324916.999997205, sequence: 4126 - clear  0.000000000, sequence: 0
source 0 - assert 1763324918.000005920, sequence: 4127 - clear  0.000000000, sequence: 0
source 0 - assert 1763324919.000001252, sequence: 4128 - clear  0.000000000, sequence: 0
source 0 - assert 1763324920.000001632, sequence: 4129 - clear  0.000000000, sequence: 0
source 0 - assert 1763324921.000004296, sequence: 4130 - clear  0.000000000, sequence: 0
source 0 - assert 1763324922.000001755, sequence: 4131 - clear  0.000000000, sequence: 0
source 0 - assert 1763324922.999997738, sequence: 4132 - clear  0.000000000, sequence: 0
source 0 - assert 1763324924.000004215, sequence: 4133 - clear  0.000000000, sequence: 0
source 0 - assert 1763324924.999998802, sequence: 4134 - clear  0.000000000, sequence: 0
source 0 - assert 1763324926.000004493, sequence: 4135 - clear  0.000000000, sequence: 0
source 0 - assert 1763324927.000005839, sequence: 4136 - clear  0.000000000, sequence: 0
source 0 - assert 1763324928.000000436, sequence: 4137 - clear  0.000000000, sequence: 0
source 0 - assert 1763324929.000002303, sequence: 4138 - clear  0.000000000, sequence: 0
source 0 - assert 1763324929.999999285, sequence: 4139 - clear  0.000000000, sequence: 0
source 0 - assert 1763324930.999999613, sequence: 4140 - clear  0.000000000, sequence: 0
source 0 - assert 1763324932.000001496, sequence: 4141 - clear  0.000000000, sequence: 0
source 0 - assert 1763324932.999997493, sequence: 4142 - clear  0.000000000, sequence: 0
source 0 - assert 1763324934.000002323, sequence: 4143 - clear  0.000000000, sequence: 0
source 0 - assert 1763324935.000002403, sequence: 4144 - clear  0.000000000, sequence: 0
source 0 - assert 1763324935.999996678, sequence: 4145 - clear  0.000000000, sequence: 0
source 0 - assert 1763324937.000004376, sequence: 4146 - clear  0.000000000, sequence: 0
source 0 - assert 1763324938.000000956, sequence: 4147 - clear  0.000000000, sequence: 0
source 0 - assert 1763324939.000004390, sequence: 4148 - clear  0.000000000, sequence: 0
