ptp4l[458836.948]: selected /dev/ptp0 as PTP clock
ptp4l[458836.953]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[458836.954]: port 0 (/var/run/ptp/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[458836.954]: port 0 (/var/run/ptp/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[458843.436]: selected local clock 000000.fffe.049f06 as best master
ptp4l[458846.762]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[458850.762]: selected best master clock 641c10.fffe.f12579
ptp4l[458850.762]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[458852.762]: master offset    -119058 s0 freq  -80736 path delay       957
ptp4l[458853.762]: master offset    -119436 s1 freq  -81114 path delay       974
ptp4l[458854.762]: master offset       1070 s2 freq  -80044 path delay       974
ptp4l[458854.763]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[458855.762]: master offset       1126 s2 freq  -79667 path delay       974
ptp4l[458856.763]: master offset        798 s2 freq  -79657 path delay       992
ptp4l[458857.763]: master offset        535 s2 freq  -79681 path delay       992
ptp4l[458858.763]: master offset        344 s2 freq  -79711 path delay       974
ptp4l[458859.763]: master offset        248 s2 freq  -79704 path delay       972
ptp4l[458860.763]: master offset        208 s2 freq  -79670 path delay       964
ptp4l[458861.763]: master offset        159 s2 freq  -79656 path delay       956
ptp4l[458862.763]: master offset        159 s2 freq  -79608 path delay       955
ptp4l[458863.763]: master offset        168 s2 freq  -79552 path delay       953
ptp4l[458864.763]: master offset        165 s2 freq  -79504 path delay       953
ptp4l[458865.763]: master offset        178 s2 freq  -79442 path delay       948
ptp4l[458866.764]: master offset        183 s2 freq  -79383 path delay       948
ptp4l[458867.764]: master offset        192 s2 freq  -79320 path delay       937
ptp4l[458868.764]: master offset        202 s2 freq  -79252 path delay       933
ptp4l[458869.764]: master offset        200 s2 freq  -79193 path delay       933
ptp4l[458870.764]: master offset        262 s2 freq  -79071 path delay       933
ptp4l[458871.764]: master offset        261 s2 freq  -78994 path delay       933
ptp4l[458872.764]: master offset        261 s2 freq  -78915 path delay       934
ptp4l[458873.764]: master offset        263 s2 freq  -78835 path delay       934
ptp4l[458874.765]: master offset        267 s2 freq  -78752 path delay       934
ptp4l[458875.765]: master offset        265 s2 freq  -78674 path delay       934
ptp4l[458876.765]: master offset        321 s2 freq  -78539 path delay       934
ptp4l[458877.765]: master offset        327 s2 freq  -78436 path delay       934
ptp4l[458878.765]: master offset        322 s2 freq  -78343 path delay       935
