ptp4l[459590.422]: selected /dev/ptp0 as PTP clock
ptp4l[459590.425]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[459590.426]: port 0 (/var/run/ptp/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[459590.426]: port 0 (/var/run/ptp/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[459596.392]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[459597.143]: selected local clock 000000.fffe.049f06 as best master
ptp4l[459600.392]: selected best master clock 641c10.fffe.f12579
ptp4l[459600.392]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[459602.391]: master offset       3137 s0 freq  -80961 path delay       936
ptp4l[459603.392]: master offset       3161 s2 freq  -80937 path delay       930
ptp4l[459603.392]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[459604.392]: master offset       4178 s2 freq  -76759 path delay       929
ptp4l[459605.392]: master offset       1053 s2 freq  -78631 path delay       933
ptp4l[459606.392]: master offset       -176 s2 freq  -79544 path delay       933
ptp4l[459607.392]: master offset       -436 s2 freq  -79857 path delay       936
ptp4l[459608.392]: master offset       -318 s2 freq  -79869 path delay       936
ptp4l[459609.393]: master offset       -143 s2 freq  -79790 path delay       933
ptp4l[459610.393]: master offset        -19 s2 freq  -79709 path delay       930
ptp4l[459611.393]: master offset         98 s2 freq  -79597 path delay       922
ptp4l[459612.393]: master offset        156 s2 freq  -79510 path delay       924
ptp4l[459613.393]: master offset        168 s2 freq  -79451 path delay       924
ptp4l[459614.393]: master offset        167 s2 freq  -79402 path delay       924
ptp4l[459615.393]: master offset        178 s2 freq  -79341 path delay       924
ptp4l[459616.394]: master offset        180 s2 freq  -79285 path delay       927
ptp4l[459617.393]: master offset        182 s2 freq  -79229 path delay       932
ptp4l[459618.394]: master offset        233 s2 freq  -79124 path delay       932
ptp4l[459619.394]: master offset        243 s2 freq  -79044 path delay       932
ptp4l[459620.394]: master offset        243 s2 freq  -78971 path delay       935
ptp4l[459621.394]: master offset        240 s2 freq  -78901 path delay       935
ptp4l[459622.394]: master offset        250 s2 freq  -78819 path delay       935
ptp4l[459623.394]: master offset        246 s2 freq  -78748 path delay       935
ptp4l[459624.394]: master offset        255 s2 freq  -78665 path delay       935
ptp4l[459625.394]: master offset        313 s2 freq  -78531 path delay       934
ptp4l[459626.394]: master offset        315 s2 freq  -78435 path delay       933
ptp4l[459627.395]: master offset        324 s2 freq  -78331 path delay       933
ptp4l[459628.395]: master offset        323 s2 freq  -78235 path delay       933
ptp4l[459629.395]: master offset        321 s2 freq  -78140 path delay       934
ptp4l[459630.395]: master offset        316 s2 freq  -78049 path delay       934
ptp4l[459631.395]: master offset        372 s2 freq  -77898 path delay       934
ptp4l[459632.395]: master offset        362 s2 freq  -77796 path delay       934
ptp4l[459633.395]: master offset        362 s2 freq  -77688 path delay       934
ptp4l[459634.396]: master offset        412 s2 freq  -77529 path delay       932
ptp4l[459635.396]: master offset        404 s2 freq  -77414 path delay       933
ptp4l[459636.396]: master offset        452 s2 freq  -77244 path delay       933
ptp4l[459637.396]: master offset        443 s2 freq  -77118 path delay       933
ptp4l[459638.396]: master offset        488 s2 freq  -76940 path delay       933
ptp4l[459639.396]: master offset        489 s2 freq  -76793 path delay       934
ptp4l[459640.396]: master offset        530 s2 freq  -76605 path delay       934
ptp4l[459641.396]: master offset        518 s2 freq  -76458 path delay       934
ptp4l[459642.397]: master offset        566 s2 freq  -76254 path delay       933
ptp4l[459643.397]: master offset        555 s2 freq  -76096 path delay       934
ptp4l[459644.397]: master offset        593 s2 freq  -75891 path delay       933
ptp4l[459645.397]: master offset        643 s2 freq  -75663 path delay       933
ptp4l[459646.397]: master offset        634 s2 freq  -75479 path delay       933
ptp4l[459647.397]: master offset        665 s2 freq  -75258 path delay       933
ptp4l[459648.398]: master offset        705 s2 freq  -75019 path delay       933
ptp4l[459649.398]: master offset        739 s2 freq  -74773 path delay       933
ptp4l[459650.398]: master offset        773 s2 freq  -74517 path delay       933
ptp4l[459651.398]: master offset        820 s2 freq  -74239 path delay       933
ptp4l[459652.398]: master offset        801 s2 freq  -74012 path delay       933
ptp4l[459653.398]: master offset        842 s2 freq  -73730 path delay       931
ptp4l[459654.398]: master offset        885 s2 freq  -73435 path delay       931
ptp4l[459655.398]: master offset        924 s2 freq  -73130 path delay       930
ptp4l[459656.398]: master offset        958 s2 freq  -72819 path delay       929
ptp4l[459657.398]: master offset       1001 s2 freq  -72489 path delay       926
ptp4l[459658.399]: master offset       1036 s2 freq  -72153 path delay       926
ptp4l[459659.399]: master offset       1066 s2 freq  -71812 path delay       926
ptp4l[459660.399]: master offset       1104 s2 freq  -71455 path delay       926
ptp4l[459661.399]: master offset       1135 s2 freq  -71092 path delay       926
ptp4l[459662.399]: master offset       1225 s2 freq  -70662 path delay       923
ptp4l[459663.399]: master offset       1252 s2 freq  -70267 path delay       923
ptp4l[459664.399]: master offset       1332 s2 freq  -69812 path delay       923
ptp4l[459665.399]: master offset       1359 s2 freq  -69385 path delay       923
ptp4l[459666.400]: master offset       1444 s2 freq  -68893 path delay       923
ptp4l[459667.400]: master offset       1480 s2 freq  -68423 path delay       924
ptp4l[459668.400]: master offset       1508 s2 freq  -67951 path delay       926
ptp4l[459669.400]: master offset       1598 s2 freq  -67409 path delay       926
ptp4l[459670.400]: master offset       1683 s2 freq  -66845 path delay       923
ptp4l[459671.400]: master offset       1722 s2 freq  -66301 path delay       923
ptp4l[459672.401]: master offset       1805 s2 freq  -65701 path delay       926
ptp4l[459673.401]: master offset       1895 s2 freq  -65070 path delay       926
ptp4l[459674.401]: master offset       1928 s2 freq  -64468 path delay       926
ptp4l[459675.401]: master offset       2023 s2 freq  -63795 path delay       922
ptp4l[459676.401]: master offset       2112 s2 freq  -63099 path delay       918
ptp4l[459677.401]: master offset       2202 s2 freq  -62375 path delay       918
ptp4l[459678.401]: master offset       2293 s2 freq  -61624 path delay       918
ptp4l[459679.401]: master offset       2386 s2 freq  -60843 path delay       918
ptp4l[459680.401]: master offset       2477 s2 freq  -60036 path delay       918
ptp4l[459681.401]: master offset       2570 s2 freq  -59200 path delay       918
ptp4l[459682.402]: master offset       2664 s2 freq  -58335 path delay       918
ptp4l[459683.402]: master offset       2753 s2 freq  -57447 path delay       918
ptp4l[459684.402]: master offset       2835 s2 freq  -56539 path delay       920
ptp4l[459685.402]: master offset       2977 s2 freq  -55546 path delay       920
ptp4l[459686.402]: master offset       3119 s2 freq  -54511 path delay       920
ptp4l[459687.402]: master offset       3261 s2 freq  -53433 path delay       920
ptp4l[459688.403]: master offset       3350 s2 freq  -52366 path delay       923
ptp4l[459689.402]: master offset       3509 s2 freq  -51202 path delay       910
ptp4l[459690.403]: master offset       3647 s2 freq  -50011 path delay       910
ptp4l[459691.403]: master offset       3801 s2 freq  -48763 path delay       902
ptp4l[459692.403]: master offset       3938 s2 freq  -47486 path delay       902
ptp4l[459693.403]: master offset       4070 s2 freq  -46173 path delay       902
ptp4l[459694.403]: master offset       4250 s2 freq  -44772 path delay       912
ptp4l[459695.403]: master offset       4444 s2 freq  -43303 path delay       914
ptp4l[459696.403]: master offset       4640 s2 freq  -41773 path delay       908
ptp4l[459697.403]: master offset       4773 s2 freq  -40248 path delay       908
ptp4l[459698.404]: master offset       4967 s2 freq  -38622 path delay       908
ptp4l[459699.404]: master offset       5216 s2 freq  -36883 path delay       899
ptp4l[459700.404]: master offset       5405 s2 freq  -35130 path delay       899
ptp4l[459701.404]: master offset       5604 s2 freq  -33309 path delay       894
ptp4l[459702.404]: master offset       5837 s2 freq  -31395 path delay       894
ptp4l[459703.404]: master offset       6087 s2 freq  -29394 path delay       894
ptp4l[459704.404]: master offset       6330 s2 freq  -27325 path delay       881
ptp4l[459705.405]: master offset       6589 s2 freq  -25167 path delay       865
ptp4l[459706.405]: master offset       6831 s2 freq  -22948 path delay       860
ptp4l[459707.405]: master offset       7060 s2 freq  -20670 path delay       861
ptp4l[459708.405]: master offset       7357 s2 freq  -18255 path delay       861
ptp4l[459709.405]: master offset       7643 s2 freq  -15762 path delay       861
ptp4l[459710.405]: master offset       7992 s2 freq  -13120 path delay       861
ptp4l[459711.405]: master offset       8289 s2 freq  -10425 path delay       854
ptp4l[459712.406]: master offset       8634 s2 freq   -7593 path delay       854
ptp4l[459713.406]: master offset       8982 s2 freq   -4655 path delay       844
ptp4l[459714.406]: master offset       9326 s2 freq   -1617 path delay       844
ptp4l[459715.406]: master offset       9724 s2 freq   +1579 path delay       844
ptp4l[459716.406]: master offset      10134 s2 freq   +4906 path delay       836
ptp4l[459717.406]: master offset      10535 s2 freq   +8348 path delay       829
ptp4l[459718.406]: master offset      10943 s2 freq  +11916 path delay       818
ptp4l[459719.407]: master offset      11340 s2 freq  +15596 path delay       818
ptp4l[459720.407]: master offset      11815 s2 freq  +19473 path delay       789
ptp4l[459721.407]: master offset      12262 s2 freq  +23465 path delay       789
ptp4l[459722.407]: master offset      12752 s2 freq  +27633 path delay       791
ptp4l[459723.407]: master offset      13306 s2 freq  +32013 path delay       791
ptp4l[459724.407]: master offset      13863 s2 freq  +36562 path delay       788
ptp4l[459725.407]: master offset      14411 s2 freq  +41268 path delay       788
ptp4l[459726.408]: master offset      14960 s2 freq  +46141 path delay       788
ptp4l[459727.408]: master offset      15573 s2 freq  +51242 path delay       781
