ptp4l[460259.394]: selected /dev/ptp0 as PTP clock
ptp4l[460259.398]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[460259.399]: port 0 (/var/run/ptp/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[460259.399]: port 0 (/var/run/ptp/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[460265.405]: selected local clock 000000.fffe.049f06 as best master
ptp4l[460265.468]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[460269.468]: selected best master clock 641c10.fffe.f12579
ptp4l[460269.468]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[460271.468]: master offset       1222 s0 freq  -80992 path delay       933
ptp4l[460272.468]: master offset       1231 s2 freq  -80983 path delay       933
ptp4l[460272.469]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[460273.468]: master offset       2294 s2 freq  -78689 path delay       933
ptp4l[460274.468]: master offset       1055 s2 freq  -79240 path delay       934
ptp4l[460275.469]: master offset        431 s2 freq  -79547 path delay       934
ptp4l[460276.469]: master offset        120 s2 freq  -79729 path delay       982
ptp4l[460277.469]: master offset         66 s2 freq  -79747 path delay       982
ptp4l[460278.469]: master offset         91 s2 freq  -79702 path delay       958
ptp4l[460279.469]: master offset        172 s2 freq  -79594 path delay       934
ptp4l[460280.469]: master offset        118 s2 freq  -79596 path delay       934
ptp4l[460281.469]: master offset        169 s2 freq  -79510 path delay       934
ptp4l[460282.469]: master offset        167 s2 freq  -79461 path delay       936
ptp4l[460283.469]: master offset        172 s2 freq  -79406 path delay       936
ptp4l[460284.469]: master offset        171 s2 freq  -79355 path delay       936
ptp4l[460285.470]: master offset        165 s2 freq  -79310 path delay       936
ptp4l[460286.470]: master offset        211 s2 freq  -79215 path delay       936
ptp4l[460287.470]: master offset        215 s2 freq  -79147 path delay       936
ptp4l[460288.470]: master offset        204 s2 freq  -79094 path delay       936
ptp4l[460289.470]: master offset        257 s2 freq  -78980 path delay       936
ptp4l[460290.470]: master offset        250 s2 freq  -78910 path delay       937
ptp4l[460291.470]: master offset        246 s2 freq  -78839 path delay       937
ptp4l[460292.471]: master offset        297 s2 freq  -78714 path delay       934
ptp4l[460293.471]: master offset        296 s2 freq  -78626 path delay       934
ptp4l[460294.471]: master offset        286 s2 freq  -78547 path delay       937
ptp4l[460295.471]: master offset        282 s2 freq  -78465 path delay       937
ptp4l[460296.471]: master offset        274 s2 freq  -78388 path delay       937
ptp4l[460297.471]: master offset        313 s2 freq  -78267 path delay       935
ptp4l[460298.471]: master offset        369 s2 freq  -78117 path delay       932
ptp4l[460299.471]: master offset        357 s2 freq  -78019 path delay       936
ptp4l[460300.472]: master offset        339 s2 freq  -77930 path delay       939
ptp4l[460301.472]: master offset        382 s2 freq  -77785 path delay       939
ptp4l[460302.472]: master offset        370 s2 freq  -77682 path delay       939
ptp4l[460303.472]: master offset        408 s2 freq  -77533 path delay       938
ptp4l[460304.472]: master offset        399 s2 freq  -77420 path delay       938
ptp4l[460305.472]: master offset        443 s2 freq  -77256 path delay       934
ptp4l[460306.472]: master offset        489 s2 freq  -77077 path delay       931
ptp4l[460307.472]: master offset        478 s2 freq  -76942 path delay       931
ptp4l[460308.473]: master offset        469 s2 freq  -76807 path delay       931
ptp4l[460309.473]: master offset        514 s2 freq  -76621 path delay       931
ptp4l[460310.473]: master offset        546 s2 freq  -76435 path delay       931
ptp4l[460311.473]: master offset        532 s2 freq  -76285 path delay       935
ptp4l[460312.473]: master offset        578 s2 freq  -76080 path delay       931
ptp4l[460313.473]: master offset        618 s2 freq  -75866 path delay       931
ptp4l[460314.473]: master offset        607 s2 freq  -75692 path delay       931
ptp4l[460315.474]: master offset        651 s2 freq  -75466 path delay       931
ptp4l[460316.474]: master offset        684 s2 freq  -75238 path delay       932
ptp4l[460317.474]: master offset        721 s2 freq  -74995 path delay       931
ptp4l[460318.474]: master offset        707 s2 freq  -74793 path delay       931
ptp4l[460319.474]: master offset        740 s2 freq  -74548 path delay       931
ptp4l[460320.474]: master offset        776 s2 freq  -74290 path delay       931
ptp4l[460321.474]: master offset        811 s2 freq  -74022 path delay       930
ptp4l[460322.474]: master offset        848 s2 freq  -73742 path delay       927
ptp4l[460323.474]: master offset        889 s2 freq  -73447 path delay       927
ptp4l[460324.474]: master offset        922 s2 freq  -73147 path delay       927
ptp4l[460325.475]: master offset        956 s2 freq  -72836 path delay       927
ptp4l[460326.475]: master offset        994 s2 freq  -72511 path delay       926
ptp4l[460327.475]: master offset       1024 s2 freq  -72183 path delay       926
ptp4l[460328.475]: master offset       1115 s2 freq  -71785 path delay       926
ptp4l[460329.475]: master offset       1150 s2 freq  -71416 path delay       925
ptp4l[460330.475]: master offset       1183 s2 freq  -71038 path delay       925
ptp4l[460331.475]: master offset       1219 s2 freq  -70647 path delay       926
ptp4l[460332.475]: master offset       1254 s2 freq  -70246 path delay       926
ptp4l[460333.475]: master offset       1282 s2 freq  -69842 path delay       926
ptp4l[460334.476]: master offset       1372 s2 freq  -69367 path delay       924
ptp4l[460335.476]: master offset       1409 s2 freq  -68919 path delay       924
ptp4l[460336.476]: master offset       1495 s2 freq  -68410 path delay       923
ptp4l[460337.476]: master offset       1525 s2 freq  -67931 path delay       923
ptp4l[460338.476]: master offset       1618 s2 freq  -67381 path delay       917
ptp4l[460339.476]: master offset       1647 s2 freq  -66866 path delay       917
ptp4l[460340.476]: master offset       1728 s2 freq  -66291 path delay       920
ptp4l[460341.477]: master offset       1824 s2 freq  -65677 path delay       913
ptp4l[460342.477]: master offset       1854 s2 freq  -65100 path delay       913
ptp4l[460343.477]: master offset       1941 s2 freq  -64457 path delay       913
ptp4l[460344.477]: master offset       2018 s2 freq  -63797 path delay       913
ptp4l[460345.477]: master offset       2098 s2 freq  -63112 path delay       911
ptp4l[460346.477]: master offset       2176 s2 freq  -62404 path delay       911
ptp4l[460347.477]: master offset       2262 s2 freq  -61666 path delay       911
ptp4l[460348.477]: master offset       2341 s2 freq  -60908 path delay       907
ptp4l[460349.478]: master offset       2475 s2 freq  -60072 path delay       907
ptp4l[460350.478]: master offset       2543 s2 freq  -59261 path delay       911
ptp4l[460351.478]: master offset       2676 s2 freq  -58365 path delay       910
ptp4l[460352.478]: master offset       2803 s2 freq  -57436 path delay       916
ptp4l[460353.478]: master offset       2874 s2 freq  -56524 path delay       913
ptp4l[460354.478]: master offset       3012 s2 freq  -55523 path delay       907
ptp4l[460355.478]: master offset       3087 s2 freq  -54545 path delay       907
ptp4l[460356.478]: master offset       3215 s2 freq  -53491 path delay       907
ptp4l[460357.479]: master offset       3396 s2 freq  -52345 path delay       905
ptp4l[460358.479]: master offset       3528 s2 freq  -51194 path delay       903
ptp4l[460359.479]: master offset       3661 s2 freq  -50003 path delay       903
ptp4l[460360.479]: master offset       3786 s2 freq  -48780 path delay       903
ptp4l[460361.479]: master offset       3914 s2 freq  -47516 path delay       903
ptp4l[460362.479]: master offset       4094 s2 freq  -46162 path delay       903
ptp4l[460363.479]: master offset       4278 s2 freq  -44750 path delay       895
ptp4l[460364.479]: master offset       4461 s2 freq  -43283 path delay       895
ptp4l[460365.480]: master offset       4587 s2 freq  -41819 path delay       899
ptp4l[460366.480]: master offset       4760 s2 freq  -40270 path delay       899
ptp4l[460367.480]: master offset       4992 s2 freq  -38610 path delay       899
ptp4l[460368.480]: master offset       5191 s2 freq  -36913 path delay       888
ptp4l[460369.480]: master offset       5415 s2 freq  -35132 path delay       896
ptp4l[460370.480]: master offset       5593 s2 freq  -33329 path delay       896
ptp4l[460371.480]: master offset       5846 s2 freq  -31398 path delay       880
ptp4l[460372.480]: master offset       6078 s2 freq  -29413 path delay       880
ptp4l[460373.480]: master offset       6310 s2 freq  -27357 path delay       880
ptp4l[460374.480]: master offset       6546 s2 freq  -25228 path delay       880
ptp4l[460375.481]: master offset       6824 s2 freq  -22986 path delay       880
ptp4l[460376.481]: master offset       7122 s2 freq  -20641 path delay       867
ptp4l[460377.481]: master offset       7408 s2 freq  -18219 path delay       867
ptp4l[460378.481]: master offset       7686 s2 freq  -15718 path delay       872
ptp4l[460379.481]: master offset       7992 s2 freq  -13106 path delay       852
ptp4l[460380.481]: master offset       8270 s2 freq  -10431 path delay       852
ptp4l[460381.481]: master offset       8609 s2 freq   -7611 path delay       852
ptp4l[460382.482]: master offset       8998 s2 freq   -4639 path delay       852
ptp4l[460383.482]: master offset       9333 s2 freq   -1605 path delay       856
ptp4l[460384.482]: master offset       9721 s2 freq   +1583 path delay       856
ptp4l[460385.482]: master offset      10112 s2 freq   +4890 path delay       856
ptp4l[460386.482]: master offset      10495 s2 freq   +8307 path delay       856
ptp4l[460387.482]: master offset      10948 s2 freq  +11909 path delay       847
ptp4l[460388.482]: master offset      11402 s2 freq  +15647 path delay       832
ptp4l[460389.483]: master offset      11796 s2 freq  +19462 path delay       832
ptp4l[460390.482]: master offset      12301 s2 freq  +23505 path delay       822
ptp4l[460391.483]: master offset      12789 s2 freq  +27684 path delay       822
ptp4l[460392.483]: master offset      13287 s2 freq  +32018 path delay       822
ptp4l[460393.483]: master offset      13867 s2 freq  +36584 path delay       792
ptp4l[460394.483]: master offset      14376 s2 freq  +41254 path delay       772
ptp4l[460395.483]: master offset      14955 s2 freq  +46145 path delay       745
ptp4l[460396.483]: master offset      15554 s2 freq  +51231 path delay       745
ptp4l[460397.483]: master offset      16160 s2 freq  +56503 path delay       741
ptp4l[460398.483]: master offset      16817 s2 freq  +62008 path delay       741
ptp4l[460399.484]: master offset      17485 s2 freq  +67721 path delay       730
ptp4l[460400.484]: master offset      18174 s2 freq  +73656 path delay       741
ptp4l[460401.484]: master offset      18949 s2 freq  +79883 path delay       730
ptp4l[460402.484]: master offset      19651 s2 freq  +86270 path delay       730
ptp4l[460403.484]: master offset      20467 s2 freq  +92981 path delay       727
ptp4l[460404.484]: master offset      21310 s2 freq  +99964 path delay       693
ptp4l[460405.484]: master offset      22124 s2 freq +107171 path delay       693
ptp4l[460406.484]: master offset      22963 s2 freq +114647 path delay       719
ptp4l[460407.485]: master offset      23960 s2 freq +122533 path delay       694
ptp4l[460408.485]: master offset      24946 s2 freq +130707 path delay       684
ptp4l[460409.485]: master offset      25893 s2 freq +139138 path delay       714
ptp4l[460410.485]: master offset      26945 s2 freq +147958 path delay       684
ptp4l[460411.485]: master offset      28026 s2 freq +157122 path delay       684
ptp4l[460412.485]: master offset      29071 s2 freq +166575 path delay       714
ptp4l[460413.486]: master offset      30314 s2 freq +176539 path delay       714
ptp4l[460414.486]: master offset      31503 s2 freq +186823 path delay       714
ptp4l[460415.486]: master offset      32744 s2 freq +197514 path delay       766
ptp4l[460416.486]: master offset      34148 s2 freq +208742 path delay       714
ptp4l[460417.486]: master offset      35466 s2 freq +220304 path delay       684
ptp4l[460418.487]: master offset      36879 s2 freq +232357 path delay       684
ptp4l[460419.487]: master offset      38335 s2 freq +244877 path delay       680
ptp4l[460420.487]: master offset      39949 s2 freq +257991 path delay       578
ptp4l[460421.487]: master offset      41455 s2 freq +271482 path delay       578
ptp4l[460422.487]: master offset      43080 s2 freq +285543 path delay       578
ptp4l[460423.487]: master offset      44803 s2 freq +300190 path delay       578
ptp4l[460424.487]: master offset      46822 s2 freq +315650 path delay       396
ptp4l[460425.487]: master offset      48492 s2 freq +331367 path delay       396
ptp4l[460426.487]: master offset      50375 s2 freq +347797 path delay       400
ptp4l[460427.487]: master offset      52497 s2 freq +365032 path delay       341
ptp4l[460428.488]: master offset      54555 s2 freq +382839 path delay       341
ptp4l[460429.487]: master offset      56856 s2 freq +401506 path delay       205
ptp4l[460430.488]: master offset      58930 s2 freq +420637 path delay       245
ptp4l[460431.488]: master offset      61402 s2 freq +440788 path delay       167
