trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763324152.999964349, sequence: 2875 - clear  0.000000000, sequence: 0
source 0 - assert 1763324153.999962146, sequence: 2876 - clear  0.000000000, sequence: 0
source 0 - assert 1763324154.999961561, sequence: 2877 - clear  0.000000000, sequence: 0
source 0 - assert 1763324155.999958941, sequence: 2878 - clear  0.000000000, sequence: 0
source 0 - assert 1763324156.999964270, sequence: 2879 - clear  0.000000000, sequence: 0
source 0 - assert 1763324157.999963327, sequence: 2880 - clear  0.000000000, sequence: 0
source 0 - assert 1763324159.000036878, sequence: 2881 - clear  0.000000000, sequence: 0
source 0 - assert 1763324160.000104850, sequence: 2882 - clear  0.000000000, sequence: 0
source 0 - assert 1763324161.000117592, sequence: 2883 - clear  0.000000000, sequence: 0
source 0 - assert 1763324162.000111745, sequence: 2884 - clear  0.000000000, sequence: 0
source 0 - assert 1763324163.000102428, sequence: 2885 - clear  0.000000000, sequence: 0
source 0 - assert 1763324164.000091781, sequence: 2886 - clear  0.000000000, sequence: 0
source 0 - assert 1763324165.000086438, sequence: 2887 - clear  0.000000000, sequence: 0
source 0 - assert 1763324166.000083557, sequence: 2888 - clear  0.000000000, sequence: 0
source 0 - assert 1763324167.000083435, sequence: 2889 - clear  0.000000000, sequence: 0
source 0 - assert 1763324168.000080904, sequence: 2890 - clear  0.000000000, sequence: 0
source 0 - assert 1763324169.000082416, sequence: 2891 - clear  0.000000000, sequence: 0
source 0 - assert 1763324170.000082262, sequence: 2892 - clear  0.000000000, sequence: 0
source 0 - assert 1763324171.000082447, sequence: 2893 - clear  0.000000000, sequence: 0
source 0 - assert 1763324172.000082949, sequence: 2894 - clear  0.000000000, sequence: 0
source 0 - assert 1763324173.000082102, sequence: 2895 - clear  0.000000000, sequence: 0
source 0 - assert 1763324174.000083250, sequence: 2896 - clear  0.000000000, sequence: 0
source 0 - assert 1763324175.000083365, sequence: 2897 - clear  0.000000000, sequence: 0
source 0 - assert 1763324176.000082516, sequence: 2898 - clear  0.000000000, sequence: 0
source 0 - assert 1763324177.000082686, sequence: 2899 - clear  0.000000000, sequence: 0
source 0 - assert 1763324178.000083134, sequence: 2900 - clear  0.000000000, sequence: 0
source 0 - assert 1763324179.000081928, sequence: 2901 - clear  0.000000000, sequence: 0
source 0 - assert 1763324180.000083339, sequence: 2902 - clear  0.000000000, sequence: 0
source 0 - assert 1763324181.000083754, sequence: 2903 - clear  0.000000000, sequence: 0
source 0 - assert 1763324182.000077584, sequence: 2904 - clear  0.000000000, sequence: 0
