trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763325591.000011521, sequence: 4289 - clear  0.000000000, sequence: 0
source 0 - assert 1763325592.000010837, sequence: 4290 - clear  0.000000000, sequence: 0
source 0 - assert 1763325593.000011002, sequence: 4291 - clear  0.000000000, sequence: 0
source 0 - assert 1763325594.000010810, sequence: 4292 - clear  0.000000000, sequence: 0
source 0 - assert 1763325595.000010435, sequence: 4293 - clear  0.000000000, sequence: 0
source 0 - assert 1763325596.000011094, sequence: 4294 - clear  0.000000000, sequence: 0
source 0 - assert 1763325597.000010648, sequence: 4295 - clear  0.000000000, sequence: 0
source 0 - assert 1763325598.000011255, sequence: 4296 - clear  0.000000000, sequence: 0
source 0 - assert 1763325599.000011389, sequence: 4297 - clear  0.000000000, sequence: 0
source 0 - assert 1763325600.000010087, sequence: 4298 - clear  0.000000000, sequence: 0
source 0 - assert 1763325601.000010561, sequence: 4299 - clear  0.000000000, sequence: 0
source 0 - assert 1763325602.000010060, sequence: 4300 - clear  0.000000000, sequence: 0
source 0 - assert 1763325603.000009430, sequence: 4301 - clear  0.000000000, sequence: 0
source 0 - assert 1763325604.000009251, sequence: 4302 - clear  0.000000000, sequence: 0
source 0 - assert 1763325605.000011398, sequence: 4303 - clear  0.000000000, sequence: 0
source 0 - assert 1763325606.000009753, sequence: 4304 - clear  0.000000000, sequence: 0
source 0 - assert 1763325607.000010788, sequence: 4305 - clear  0.000000000, sequence: 0
source 0 - assert 1763325608.000011227, sequence: 4306 - clear  0.000000000, sequence: 0
source 0 - assert 1763325609.000011225, sequence: 4307 - clear  0.000000000, sequence: 0
source 0 - assert 1763325610.000035272, sequence: 4308 - clear  0.000000000, sequence: 0
source 0 - assert 1763325611.000011883, sequence: 4309 - clear  0.000000000, sequence: 0
source 0 - assert 1763325612.000010378, sequence: 4310 - clear  0.000000000, sequence: 0
source 0 - assert 1763325613.000010315, sequence: 4311 - clear  0.000000000, sequence: 0
source 0 - assert 1763325614.000010113, sequence: 4312 - clear  0.000000000, sequence: 0
source 0 - assert 1763325615.000011043, sequence: 4313 - clear  0.000000000, sequence: 0
source 0 - assert 1763325616.000010398, sequence: 4314 - clear  0.000000000, sequence: 0
source 0 - assert 1763325617.000010445, sequence: 4315 - clear  0.000000000, sequence: 0
source 0 - assert 1763325618.000009515, sequence: 4316 - clear  0.000000000, sequence: 0
source 0 - assert 1763325619.000011143, sequence: 4317 - clear  0.000000000, sequence: 0
source 0 - assert 1763325620.000010180, sequence: 4318 - clear  0.000000000, sequence: 0
source 0 - assert 1763325621.000010105, sequence: 4319 - clear  0.000000000, sequence: 0
source 0 - assert 1763325622.000010886, sequence: 4320 - clear  0.000000000, sequence: 0
source 0 - assert 1763325623.000009610, sequence: 4321 - clear  0.000000000, sequence: 0
source 0 - assert 1763325624.000009250, sequence: 4322 - clear  0.000000000, sequence: 0
source 0 - assert 1763325625.000011478, sequence: 4323 - clear  0.000000000, sequence: 0
source 0 - assert 1763325626.000011516, sequence: 4324 - clear  0.000000000, sequence: 0
source 0 - assert 1763325627.000011397, sequence: 4325 - clear  0.000000000, sequence: 0
source 0 - assert 1763325628.000011125, sequence: 4326 - clear  0.000000000, sequence: 0
source 0 - assert 1763325629.000011377, sequence: 4327 - clear  0.000000000, sequence: 0
source 0 - assert 1763325630.000010994, sequence: 4328 - clear  0.000000000, sequence: 0
source 0 - assert 1763325631.000009825, sequence: 4329 - clear  0.000000000, sequence: 0
source 0 - assert 1763325632.000012147, sequence: 4330 - clear  0.000000000, sequence: 0
source 0 - assert 1763325633.000010206, sequence: 4331 - clear  0.000000000, sequence: 0
source 0 - assert 1763325634.000009844, sequence: 4332 - clear  0.000000000, sequence: 0
source 0 - assert 1763325635.000010623, sequence: 4333 - clear  0.000000000, sequence: 0
source 0 - assert 1763325636.000010634, sequence: 4334 - clear  0.000000000, sequence: 0
source 0 - assert 1763325637.000010746, sequence: 4335 - clear  0.000000000, sequence: 0
source 0 - assert 1763325638.000011060, sequence: 4336 - clear  0.000000000, sequence: 0
source 0 - assert 1763325639.000027481, sequence: 4337 - clear  0.000000000, sequence: 0
source 0 - assert 1763325640.000023095, sequence: 4338 - clear  0.000000000, sequence: 0
source 0 - assert 1763325641.000010238, sequence: 4339 - clear  0.000000000, sequence: 0
source 0 - assert 1763325642.000009895, sequence: 4340 - clear  0.000000000, sequence: 0
source 0 - assert 1763325643.000011956, sequence: 4341 - clear  0.000000000, sequence: 0
source 0 - assert 1763325644.000010895, sequence: 4342 - clear  0.000000000, sequence: 0
source 0 - assert 1763325645.000011306, sequence: 4343 - clear  0.000000000, sequence: 0
source 0 - assert 1763325646.000030820, sequence: 4344 - clear  0.000000000, sequence: 0
source 0 - assert 1763325647.000016481, sequence: 4345 - clear  0.000000000, sequence: 0
source 0 - assert 1763325648.000011288, sequence: 4346 - clear  0.000000000, sequence: 0
source 0 - assert 1763325649.000010629, sequence: 4347 - clear  0.000000000, sequence: 0
source 0 - assert 1763325650.000010753, sequence: 4348 - clear  0.000000000, sequence: 0
source 0 - assert 1763325651.000010089, sequence: 4349 - clear  0.000000000, sequence: 0
source 0 - assert 1763325652.000011157, sequence: 4350 - clear  0.000000000, sequence: 0
source 0 - assert 1763325653.000010626, sequence: 4351 - clear  0.000000000, sequence: 0
source 0 - assert 1763325654.000010033, sequence: 4352 - clear  0.000000000, sequence: 0
source 0 - assert 1763325655.000010100, sequence: 4353 - clear  0.000000000, sequence: 0
source 0 - assert 1763325656.000011154, sequence: 4354 - clear  0.000000000, sequence: 0
source 0 - assert 1763325657.000010865, sequence: 4355 - clear  0.000000000, sequence: 0
source 0 - assert 1763325658.000010253, sequence: 4356 - clear  0.000000000, sequence: 0
source 0 - assert 1763325659.000010643, sequence: 4357 - clear  0.000000000, sequence: 0
source 0 - assert 1763325660.000010094, sequence: 4358 - clear  0.000000000, sequence: 0
source 0 - assert 1763325661.000010748, sequence: 4359 - clear  0.000000000, sequence: 0
source 0 - assert 1763325662.000010741, sequence: 4360 - clear  0.000000000, sequence: 0
source 0 - assert 1763325663.000010952, sequence: 4361 - clear  0.000000000, sequence: 0
source 0 - assert 1763325664.000011124, sequence: 4362 - clear  0.000000000, sequence: 0
source 0 - assert 1763325665.000009894, sequence: 4363 - clear  0.000000000, sequence: 0
source 0 - assert 1763325666.000010683, sequence: 4364 - clear  0.000000000, sequence: 0
source 0 - assert 1763325667.000010689, sequence: 4365 - clear  0.000000000, sequence: 0
source 0 - assert 1763325668.000011075, sequence: 4366 - clear  0.000000000, sequence: 0
source 0 - assert 1763325669.000010243, sequence: 4367 - clear  0.000000000, sequence: 0
source 0 - assert 1763325670.000010014, sequence: 4368 - clear  0.000000000, sequence: 0
source 0 - assert 1763325671.000010848, sequence: 4369 - clear  0.000000000, sequence: 0
source 0 - assert 1763325672.000009848, sequence: 4370 - clear  0.000000000, sequence: 0
source 0 - assert 1763325673.000010007, sequence: 4371 - clear  0.000000000, sequence: 0
source 0 - assert 1763325674.000009750, sequence: 4372 - clear  0.000000000, sequence: 0
source 0 - assert 1763325675.000011230, sequence: 4373 - clear  0.000000000, sequence: 0
source 0 - assert 1763325676.000010465, sequence: 4374 - clear  0.000000000, sequence: 0
source 0 - assert 1763325677.000009621, sequence: 4375 - clear  0.000000000, sequence: 0
source 0 - assert 1763325678.000011386, sequence: 4376 - clear  0.000000000, sequence: 0
source 0 - assert 1763325679.000011563, sequence: 4377 - clear  0.000000000, sequence: 0
source 0 - assert 1763325680.000011263, sequence: 4378 - clear  0.000000000, sequence: 0
source 0 - assert 1763325681.000011708, sequence: 4379 - clear  0.000000000, sequence: 0
source 0 - assert 1763325682.000009948, sequence: 4380 - clear  0.000000000, sequence: 0
source 0 - assert 1763325683.000011631, sequence: 4381 - clear  0.000000000, sequence: 0
source 0 - assert 1763325684.000010461, sequence: 4382 - clear  0.000000000, sequence: 0
source 0 - assert 1763325685.000009521, sequence: 4383 - clear  0.000000000, sequence: 0
source 0 - assert 1763325686.000010684, sequence: 4384 - clear  0.000000000, sequence: 0
source 0 - assert 1763325687.000009896, sequence: 4385 - clear  0.000000000, sequence: 0
source 0 - assert 1763325688.000011250, sequence: 4386 - clear  0.000000000, sequence: 0
source 0 - assert 1763325689.000009723, sequence: 4387 - clear  0.000000000, sequence: 0
source 0 - assert 1763325690.000011240, sequence: 4388 - clear  0.000000000, sequence: 0
source 0 - assert 1763325691.000010412, sequence: 4389 - clear  0.000000000, sequence: 0
source 0 - assert 1763325692.000009621, sequence: 4390 - clear  0.000000000, sequence: 0
source 0 - assert 1763325693.000010259, sequence: 4391 - clear  0.000000000, sequence: 0
source 0 - assert 1763325694.000011876, sequence: 4392 - clear  0.000000000, sequence: 0
source 0 - assert 1763325695.000010807, sequence: 4393 - clear  0.000000000, sequence: 0
source 0 - assert 1763325696.000010770, sequence: 4394 - clear  0.000000000, sequence: 0
source 0 - assert 1763325697.000010340, sequence: 4395 - clear  0.000000000, sequence: 0
source 0 - assert 1763325698.000010891, sequence: 4396 - clear  0.000000000, sequence: 0
source 0 - assert 1763325699.000011234, sequence: 4397 - clear  0.000000000, sequence: 0
source 0 - assert 1763325700.000011172, sequence: 4398 - clear  0.000000000, sequence: 0
source 0 - assert 1763325701.000010902, sequence: 4399 - clear  0.000000000, sequence: 0
source 0 - assert 1763325702.000010561, sequence: 4400 - clear  0.000000000, sequence: 0
source 0 - assert 1763325703.000010205, sequence: 4401 - clear  0.000000000, sequence: 0
source 0 - assert 1763325704.000010816, sequence: 4402 - clear  0.000000000, sequence: 0
source 0 - assert 1763325705.000011124, sequence: 4403 - clear  0.000000000, sequence: 0
source 0 - assert 1763325706.000012174, sequence: 4404 - clear  0.000000000, sequence: 0
source 0 - assert 1763325707.000010278, sequence: 4405 - clear  0.000000000, sequence: 0
source 0 - assert 1763325708.000010989, sequence: 4406 - clear  0.000000000, sequence: 0
source 0 - assert 1763325709.000010799, sequence: 4407 - clear  0.000000000, sequence: 0
source 0 - assert 1763325710.000010298, sequence: 4408 - clear  0.000000000, sequence: 0
source 0 - assert 1763325711.000010393, sequence: 4409 - clear  0.000000000, sequence: 0
source 0 - assert 1763325712.000009855, sequence: 4410 - clear  0.000000000, sequence: 0
source 0 - assert 1763325713.000012028, sequence: 4411 - clear  0.000000000, sequence: 0
source 0 - assert 1763325714.000010142, sequence: 4412 - clear  0.000000000, sequence: 0
source 0 - assert 1763325715.000011682, sequence: 4413 - clear  0.000000000, sequence: 0
source 0 - assert 1763325716.000010500, sequence: 4414 - clear  0.000000000, sequence: 0
source 0 - assert 1763325717.000009105, sequence: 4415 - clear  0.000000000, sequence: 0
source 0 - assert 1763325718.000009726, sequence: 4416 - clear  0.000000000, sequence: 0
source 0 - assert 1763325719.000010614, sequence: 4417 - clear  0.000000000, sequence: 0
source 0 - assert 1763325720.000011602, sequence: 4418 - clear  0.000000000, sequence: 0
source 0 - assert 1763325721.000009835, sequence: 4419 - clear  0.000000000, sequence: 0
source 0 - assert 1763325722.000009812, sequence: 4420 - clear  0.000000000, sequence: 0
source 0 - assert 1763325723.000010223, sequence: 4421 - clear  0.000000000, sequence: 0
source 0 - assert 1763325724.000009915, sequence: 4422 - clear  0.000000000, sequence: 0
source 0 - assert 1763325725.000012122, sequence: 4423 - clear  0.000000000, sequence: 0
source 0 - assert 1763325726.000010199, sequence: 4424 - clear  0.000000000, sequence: 0
source 0 - assert 1763325727.000010715, sequence: 4425 - clear  0.000000000, sequence: 0
source 0 - assert 1763325728.000009912, sequence: 4426 - clear  0.000000000, sequence: 0
source 0 - assert 1763325729.000010450, sequence: 4427 - clear  0.000000000, sequence: 0
source 0 - assert 1763325730.000010359, sequence: 4428 - clear  0.000000000, sequence: 0
source 0 - assert 1763325731.000010633, sequence: 4429 - clear  0.000000000, sequence: 0
