trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763397250.000008873, sequence: 109 - clear  0.000000000, sequence: 0
source 0 - assert 1763397251.000002397, sequence: 110 - clear  0.000000000, sequence: 0
source 0 - assert 1763397252.000008992, sequence: 111 - clear  0.000000000, sequence: 0
source 0 - assert 1763397253.000002605, sequence: 112 - clear  0.000000000, sequence: 0
source 0 - assert 1763397254.000011004, sequence: 113 - clear  0.000000000, sequence: 0
source 0 - assert 1763397255.000005449, sequence: 114 - clear  0.000000000, sequence: 0
source 0 - assert 1763397256.000008404, sequence: 115 - clear  0.000000000, sequence: 0
source 0 - assert 1763397257.000000694, sequence: 116 - clear  0.000000000, sequence: 0
source 0 - assert 1763397258.000008931, sequence: 117 - clear  0.000000000, sequence: 0
source 0 - assert 1763397259.000001403, sequence: 118 - clear  0.000000000, sequence: 0
source 0 - assert 1763397260.000002338, sequence: 119 - clear  0.000000000, sequence: 0
source 0 - assert 1763397261.000010468, sequence: 120 - clear  0.000000000, sequence: 0
source 0 - assert 1763397262.000004927, sequence: 121 - clear  0.000000000, sequence: 0
source 0 - assert 1763397263.000009832, sequence: 122 - clear  0.000000000, sequence: 0
source 0 - assert 1763397264.000004289, sequence: 123 - clear  0.000000000, sequence: 0
source 0 - assert 1763397265.000003004, sequence: 124 - clear  0.000000000, sequence: 0
source 0 - assert 1763397266.000005549, sequence: 125 - clear  0.000000000, sequence: 0
source 0 - assert 1763397267.000006169, sequence: 126 - clear  0.000000000, sequence: 0
source 0 - assert 1763397268.000005828, sequence: 127 - clear  0.000000000, sequence: 0
source 0 - assert 1763397269.000004663, sequence: 128 - clear  0.000000000, sequence: 0
source 0 - assert 1763397270.000004789, sequence: 129 - clear  0.000000000, sequence: 0
source 0 - assert 1763397271.000006740, sequence: 130 - clear  0.000000000, sequence: 0
source 0 - assert 1763397272.000008504, sequence: 131 - clear  0.000000000, sequence: 0
source 0 - assert 1763397273.000008797, sequence: 132 - clear  0.000000000, sequence: 0
source 0 - assert 1763397274.000005826, sequence: 133 - clear  0.000000000, sequence: 0
source 0 - assert 1763397275.000006073, sequence: 134 - clear  0.000000000, sequence: 0
source 0 - assert 1763397276.000000698, sequence: 135 - clear  0.000000000, sequence: 0
source 0 - assert 1763397277.000003865, sequence: 136 - clear  0.000000000, sequence: 0
source 0 - assert 1763397278.000006621, sequence: 137 - clear  0.000000000, sequence: 0
source 0 - assert 1763397279.000000374, sequence: 138 - clear  0.000000000, sequence: 0
source 0 - assert 1763397280.000004712, sequence: 139 - clear  0.000000000, sequence: 0
source 0 - assert 1763397281.000003833, sequence: 140 - clear  0.000000000, sequence: 0
source 0 - assert 1763397282.000005500, sequence: 141 - clear  0.000000000, sequence: 0
source 0 - assert 1763397283.000009883, sequence: 142 - clear  0.000000000, sequence: 0
source 0 - assert 1763397284.000009958, sequence: 143 - clear  0.000000000, sequence: 0
source 0 - assert 1763397285.000010616, sequence: 144 - clear  0.000000000, sequence: 0
source 0 - assert 1763397286.000007455, sequence: 145 - clear  0.000000000, sequence: 0
