trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763399509.000008244, sequence: 2368 - clear  0.000000000, sequence: 0
source 0 - assert 1763399510.000007481, sequence: 2369 - clear  0.000000000, sequence: 0
source 0 - assert 1763399511.000006213, sequence: 2370 - clear  0.000000000, sequence: 0
source 0 - assert 1763399512.000007170, sequence: 2371 - clear  0.000000000, sequence: 0
source 0 - assert 1763399513.000005012, sequence: 2372 - clear  0.000000000, sequence: 0
source 0 - assert 1763399514.000007680, sequence: 2373 - clear  0.000000000, sequence: 0
source 0 - assert 1763399515.000008294, sequence: 2374 - clear  0.000000000, sequence: 0
source 0 - assert 1763399516.000005240, sequence: 2375 - clear  0.000000000, sequence: 0
source 0 - assert 1763399517.000007092, sequence: 2376 - clear  0.000000000, sequence: 0
source 0 - assert 1763399518.000005131, sequence: 2377 - clear  0.000000000, sequence: 0
source 0 - assert 1763399519.000006207, sequence: 2378 - clear  0.000000000, sequence: 0
source 0 - assert 1763399520.000009091, sequence: 2379 - clear  0.000000000, sequence: 0
source 0 - assert 1763399521.000007563, sequence: 2380 - clear  0.000000000, sequence: 0
source 0 - assert 1763399522.000006405, sequence: 2381 - clear  0.000000000, sequence: 0
source 0 - assert 1763399523.000012326, sequence: 2382 - clear  0.000000000, sequence: 0
source 0 - assert 1763399524.000004280, sequence: 2383 - clear  0.000000000, sequence: 0
source 0 - assert 1763399525.000005469, sequence: 2384 - clear  0.000000000, sequence: 0
source 0 - assert 1763399526.000009789, sequence: 2385 - clear  0.000000000, sequence: 0
source 0 - assert 1763399527.000006614, sequence: 2386 - clear  0.000000000, sequence: 0
source 0 - assert 1763399528.000005503, sequence: 2387 - clear  0.000000000, sequence: 0
source 0 - assert 1763399529.000006594, sequence: 2388 - clear  0.000000000, sequence: 0
source 0 - assert 1763399530.000007026, sequence: 2389 - clear  0.000000000, sequence: 0
source 0 - assert 1763399531.000007666, sequence: 2390 - clear  0.000000000, sequence: 0
source 0 - assert 1763399532.000005630, sequence: 2391 - clear  0.000000000, sequence: 0
source 0 - assert 1763399533.000003724, sequence: 2392 - clear  0.000000000, sequence: 0
source 0 - assert 1763399534.000005150, sequence: 2393 - clear  0.000000000, sequence: 0
source 0 - assert 1763399535.000007954, sequence: 2394 - clear  0.000000000, sequence: 0
source 0 - assert 1763399536.000006415, sequence: 2395 - clear  0.000000000, sequence: 0
source 0 - assert 1763399537.000009147, sequence: 2396 - clear  0.000000000, sequence: 0
source 0 - assert 1763399538.000005638, sequence: 2397 - clear  0.000000000, sequence: 0
source 0 - assert 1763399539.000003511, sequence: 2398 - clear  0.000000000, sequence: 0
source 0 - assert 1763399540.000009316, sequence: 2399 - clear  0.000000000, sequence: 0
source 0 - assert 1763399541.000008441, sequence: 2400 - clear  0.000000000, sequence: 0
source 0 - assert 1763399542.000008735, sequence: 2401 - clear  0.000000000, sequence: 0
source 0 - assert 1763399543.000008071, sequence: 2402 - clear  0.000000000, sequence: 0
source 0 - assert 1763399544.000009241, sequence: 2403 - clear  0.000000000, sequence: 0
source 0 - assert 1763399545.000006876, sequence: 2404 - clear  0.000000000, sequence: 0
source 0 - assert 1763399546.000006634, sequence: 2405 - clear  0.000000000, sequence: 0
source 0 - assert 1763399547.000007162, sequence: 2406 - clear  0.000000000, sequence: 0
source 0 - assert 1763399548.000007756, sequence: 2407 - clear  0.000000000, sequence: 0
source 0 - assert 1763399549.000007714, sequence: 2408 - clear  0.000000000, sequence: 0
source 0 - assert 1763399550.000004081, sequence: 2409 - clear  0.000000000, sequence: 0
source 0 - assert 1763399551.000007077, sequence: 2410 - clear  0.000000000, sequence: 0
source 0 - assert 1763399552.000009082, sequence: 2411 - clear  0.000000000, sequence: 0
source 0 - assert 1763399553.000009464, sequence: 2412 - clear  0.000000000, sequence: 0
source 0 - assert 1763399554.000007460, sequence: 2413 - clear  0.000000000, sequence: 0
source 0 - assert 1763399555.000005294, sequence: 2414 - clear  0.000000000, sequence: 0
source 0 - assert 1763399556.000006066, sequence: 2415 - clear  0.000000000, sequence: 0
source 0 - assert 1763399557.000008904, sequence: 2416 - clear  0.000000000, sequence: 0
source 0 - assert 1763399558.000006246, sequence: 2417 - clear  0.000000000, sequence: 0
source 0 - assert 1763399559.000007221, sequence: 2418 - clear  0.000000000, sequence: 0
source 0 - assert 1763399560.000007462, sequence: 2419 - clear  0.000000000, sequence: 0
source 0 - assert 1763399561.000007498, sequence: 2420 - clear  0.000000000, sequence: 0
source 0 - assert 1763399562.000007244, sequence: 2421 - clear  0.000000000, sequence: 0
source 0 - assert 1763399563.000006911, sequence: 2422 - clear  0.000000000, sequence: 0
source 0 - assert 1763399564.000008793, sequence: 2423 - clear  0.000000000, sequence: 0
source 0 - assert 1763399565.000004661, sequence: 2424 - clear  0.000000000, sequence: 0
source 0 - assert 1763399566.000004718, sequence: 2425 - clear  0.000000000, sequence: 0
source 0 - assert 1763399567.000006768, sequence: 2426 - clear  0.000000000, sequence: 0
source 0 - assert 1763399568.000008510, sequence: 2427 - clear  0.000000000, sequence: 0
source 0 - assert 1763399569.000003752, sequence: 2428 - clear  0.000000000, sequence: 0
source 0 - assert 1763399570.000007844, sequence: 2429 - clear  0.000000000, sequence: 0
source 0 - assert 1763399571.000005433, sequence: 2430 - clear  0.000000000, sequence: 0
source 0 - assert 1763399572.000010602, sequence: 2431 - clear  0.000000000, sequence: 0
source 0 - assert 1763399573.000005961, sequence: 2432 - clear  0.000000000, sequence: 0
source 0 - assert 1763399574.000007039, sequence: 2433 - clear  0.000000000, sequence: 0
source 0 - assert 1763399575.000006794, sequence: 2434 - clear  0.000000000, sequence: 0
source 0 - assert 1763399576.000005966, sequence: 2435 - clear  0.000000000, sequence: 0
source 0 - assert 1763399577.000008069, sequence: 2436 - clear  0.000000000, sequence: 0
source 0 - assert 1763399578.000005563, sequence: 2437 - clear  0.000000000, sequence: 0
source 0 - assert 1763399579.000006872, sequence: 2438 - clear  0.000000000, sequence: 0
source 0 - assert 1763399580.000007369, sequence: 2439 - clear  0.000000000, sequence: 0
source 0 - assert 1763399581.000006869, sequence: 2440 - clear  0.000000000, sequence: 0
source 0 - assert 1763399582.000008748, sequence: 2441 - clear  0.000000000, sequence: 0
source 0 - assert 1763399583.000010728, sequence: 2442 - clear  0.000000000, sequence: 0
source 0 - assert 1763399584.000004358, sequence: 2443 - clear  0.000000000, sequence: 0
source 0 - assert 1763399585.000009337, sequence: 2444 - clear  0.000000000, sequence: 0
source 0 - assert 1763399586.000009954, sequence: 2445 - clear  0.000000000, sequence: 0
source 0 - assert 1763399587.000006183, sequence: 2446 - clear  0.000000000, sequence: 0
source 0 - assert 1763399588.000007233, sequence: 2447 - clear  0.000000000, sequence: 0
source 0 - assert 1763399589.000009016, sequence: 2448 - clear  0.000000000, sequence: 0
source 0 - assert 1763399590.000010295, sequence: 2449 - clear  0.000000000, sequence: 0
source 0 - assert 1763399591.000007339, sequence: 2450 - clear  0.000000000, sequence: 0
source 0 - assert 1763399592.000009107, sequence: 2451 - clear  0.000000000, sequence: 0
source 0 - assert 1763399593.000003704, sequence: 2452 - clear  0.000000000, sequence: 0
source 0 - assert 1763399594.000004273, sequence: 2453 - clear  0.000000000, sequence: 0
source 0 - assert 1763399595.000004213, sequence: 2454 - clear  0.000000000, sequence: 0
source 0 - assert 1763399596.000006175, sequence: 2455 - clear  0.000000000, sequence: 0
source 0 - assert 1763399597.000007043, sequence: 2456 - clear  0.000000000, sequence: 0
source 0 - assert 1763399598.000002949, sequence: 2457 - clear  0.000000000, sequence: 0
source 0 - assert 1763399599.000006181, sequence: 2458 - clear  0.000000000, sequence: 0
source 0 - assert 1763399600.000009503, sequence: 2459 - clear  0.000000000, sequence: 0
source 0 - assert 1763399601.000005786, sequence: 2460 - clear  0.000000000, sequence: 0
source 0 - assert 1763399602.000007145, sequence: 2461 - clear  0.000000000, sequence: 0
source 0 - assert 1763399603.000010052, sequence: 2462 - clear  0.000000000, sequence: 0
source 0 - assert 1763399604.000003377, sequence: 2463 - clear  0.000000000, sequence: 0
source 0 - assert 1763399605.000007228, sequence: 2464 - clear  0.000000000, sequence: 0
source 0 - assert 1763399606.000002781, sequence: 2465 - clear  0.000000000, sequence: 0
source 0 - assert 1763399607.000002344, sequence: 2466 - clear  0.000000000, sequence: 0
source 0 - assert 1763399608.000007329, sequence: 2467 - clear  0.000000000, sequence: 0
source 0 - assert 1763399609.000006476, sequence: 2468 - clear  0.000000000, sequence: 0
source 0 - assert 1763399610.000008305, sequence: 2469 - clear  0.000000000, sequence: 0
source 0 - assert 1763399611.000004509, sequence: 2470 - clear  0.000000000, sequence: 0
source 0 - assert 1763399612.000007257, sequence: 2471 - clear  0.000000000, sequence: 0
source 0 - assert 1763399613.000006742, sequence: 2472 - clear  0.000000000, sequence: 0
source 0 - assert 1763399614.000010362, sequence: 2473 - clear  0.000000000, sequence: 0
source 0 - assert 1763399615.000005900, sequence: 2474 - clear  0.000000000, sequence: 0
source 0 - assert 1763399616.000004627, sequence: 2475 - clear  0.000000000, sequence: 0
source 0 - assert 1763399617.000007915, sequence: 2476 - clear  0.000000000, sequence: 0
source 0 - assert 1763399618.000008477, sequence: 2477 - clear  0.000000000, sequence: 0
source 0 - assert 1763399619.000009860, sequence: 2478 - clear  0.000000000, sequence: 0
source 0 - assert 1763399620.000008544, sequence: 2479 - clear  0.000000000, sequence: 0
source 0 - assert 1763399621.000007584, sequence: 2480 - clear  0.000000000, sequence: 0
