trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763397250.000011146, sequence: 82 - clear  0.000000000, sequence: 0
source 0 - assert 1763397251.000011716, sequence: 83 - clear  0.000000000, sequence: 0
source 0 - assert 1763397252.000010953, sequence: 84 - clear  0.000000000, sequence: 0
source 0 - assert 1763397253.000010944, sequence: 85 - clear  0.000000000, sequence: 0
source 0 - assert 1763397254.000011204, sequence: 86 - clear  0.000000000, sequence: 0
source 0 - assert 1763397255.000011163, sequence: 87 - clear  0.000000000, sequence: 0
source 0 - assert 1763397256.000009871, sequence: 88 - clear  0.000000000, sequence: 0
source 0 - assert 1763397257.000011443, sequence: 89 - clear  0.000000000, sequence: 0
source 0 - assert 1763397258.000010167, sequence: 90 - clear  0.000000000, sequence: 0
source 0 - assert 1763397259.000013093, sequence: 91 - clear  0.000000000, sequence: 0
source 0 - assert 1763397260.000010568, sequence: 92 - clear  0.000000000, sequence: 0
source 0 - assert 1763397261.000005566, sequence: 93 - clear  0.000000000, sequence: 0
source 0 - assert 1763397262.000009298, sequence: 94 - clear  0.000000000, sequence: 0
source 0 - assert 1763397263.000010063, sequence: 95 - clear  0.000000000, sequence: 0
source 0 - assert 1763397264.000010061, sequence: 96 - clear  0.000000000, sequence: 0
source 0 - assert 1763397265.000011313, sequence: 97 - clear  0.000000000, sequence: 0
source 0 - assert 1763397266.000011474, sequence: 98 - clear  0.000000000, sequence: 0
source 0 - assert 1763397267.000011074, sequence: 99 - clear  0.000000000, sequence: 0
source 0 - assert 1763397268.000010080, sequence: 100 - clear  0.000000000, sequence: 0
source 0 - assert 1763397269.000010345, sequence: 101 - clear  0.000000000, sequence: 0
source 0 - assert 1763397270.000010601, sequence: 102 - clear  0.000000000, sequence: 0
source 0 - assert 1763397271.000009893, sequence: 103 - clear  0.000000000, sequence: 0
source 0 - assert 1763397272.000011517, sequence: 104 - clear  0.000000000, sequence: 0
source 0 - assert 1763397273.000011131, sequence: 105 - clear  0.000000000, sequence: 0
source 0 - assert 1763397274.000009361, sequence: 106 - clear  0.000000000, sequence: 0
source 0 - assert 1763397275.000009985, sequence: 107 - clear  0.000000000, sequence: 0
source 0 - assert 1763397276.000011188, sequence: 108 - clear  0.000000000, sequence: 0
source 0 - assert 1763397277.000010200, sequence: 109 - clear  0.000000000, sequence: 0
source 0 - assert 1763397278.000009465, sequence: 110 - clear  0.000000000, sequence: 0
source 0 - assert 1763397279.000011368, sequence: 111 - clear  0.000000000, sequence: 0
source 0 - assert 1763397280.000011367, sequence: 112 - clear  0.000000000, sequence: 0
source 0 - assert 1763397281.000010960, sequence: 113 - clear  0.000000000, sequence: 0
source 0 - assert 1763397282.000011250, sequence: 114 - clear  0.000000000, sequence: 0
source 0 - assert 1763397283.000011246, sequence: 115 - clear  0.000000000, sequence: 0
source 0 - assert 1763397284.000010162, sequence: 116 - clear  0.000000000, sequence: 0
source 0 - assert 1763397285.000010002, sequence: 117 - clear  0.000000000, sequence: 0
source 0 - assert 1763397286.000006281, sequence: 118 - clear  0.000000000, sequence: 0
source 0 - assert 1763397287.000006945, sequence: 119 - clear  0.000000000, sequence: 0
source 0 - assert 1763397288.000009864, sequence: 120 - clear  0.000000000, sequence: 0
source 0 - assert 1763397289.000011855, sequence: 121 - clear  0.000000000, sequence: 0
source 0 - assert 1763397290.000010843, sequence: 122 - clear  0.000000000, sequence: 0
source 0 - assert 1763397291.000010091, sequence: 123 - clear  0.000000000, sequence: 0
source 0 - assert 1763397292.000010380, sequence: 124 - clear  0.000000000, sequence: 0
source 0 - assert 1763397293.000010320, sequence: 125 - clear  0.000000000, sequence: 0
source 0 - assert 1763397294.000010223, sequence: 126 - clear  0.000000000, sequence: 0
source 0 - assert 1763397295.000010516, sequence: 127 - clear  0.000000000, sequence: 0
source 0 - assert 1763397296.000011482, sequence: 128 - clear  0.000000000, sequence: 0
source 0 - assert 1763397297.000010806, sequence: 129 - clear  0.000000000, sequence: 0
source 0 - assert 1763397298.000010406, sequence: 130 - clear  0.000000000, sequence: 0
source 0 - assert 1763397299.000010058, sequence: 131 - clear  0.000000000, sequence: 0
