trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763399509.000009045, sequence: 2341 - clear  0.000000000, sequence: 0
source 0 - assert 1763399510.000011392, sequence: 2342 - clear  0.000000000, sequence: 0
source 0 - assert 1763399511.000009370, sequence: 2343 - clear  0.000000000, sequence: 0
source 0 - assert 1763399512.000009752, sequence: 2344 - clear  0.000000000, sequence: 0
source 0 - assert 1763399513.000011819, sequence: 2345 - clear  0.000000000, sequence: 0
source 0 - assert 1763399514.000009455, sequence: 2346 - clear  0.000000000, sequence: 0
source 0 - assert 1763399515.000011754, sequence: 2347 - clear  0.000000000, sequence: 0
source 0 - assert 1763399516.000011461, sequence: 2348 - clear  0.000000000, sequence: 0
source 0 - assert 1763399517.000010352, sequence: 2349 - clear  0.000000000, sequence: 0
source 0 - assert 1763399518.000009890, sequence: 2350 - clear  0.000000000, sequence: 0
source 0 - assert 1763399519.000010386, sequence: 2351 - clear  0.000000000, sequence: 0
source 0 - assert 1763399520.000010137, sequence: 2352 - clear  0.000000000, sequence: 0
source 0 - assert 1763399521.000012017, sequence: 2353 - clear  0.000000000, sequence: 0
source 0 - assert 1763399522.000011735, sequence: 2354 - clear  0.000000000, sequence: 0
source 0 - assert 1763399523.000007091, sequence: 2355 - clear  0.000000000, sequence: 0
source 0 - assert 1763399524.000011218, sequence: 2356 - clear  0.000000000, sequence: 0
source 0 - assert 1763399525.000010178, sequence: 2357 - clear  0.000000000, sequence: 0
source 0 - assert 1763399526.000009549, sequence: 2358 - clear  0.000000000, sequence: 0
source 0 - assert 1763399527.000010188, sequence: 2359 - clear  0.000000000, sequence: 0
source 0 - assert 1763399528.000010912, sequence: 2360 - clear  0.000000000, sequence: 0
source 0 - assert 1763399529.000010328, sequence: 2361 - clear  0.000000000, sequence: 0
source 0 - assert 1763399530.000009333, sequence: 2362 - clear  0.000000000, sequence: 0
source 0 - assert 1763399531.000010630, sequence: 2363 - clear  0.000000000, sequence: 0
source 0 - assert 1763399532.000010236, sequence: 2364 - clear  0.000000000, sequence: 0
source 0 - assert 1763399533.000012600, sequence: 2365 - clear  0.000000000, sequence: 0
source 0 - assert 1763399534.000010348, sequence: 2366 - clear  0.000000000, sequence: 0
source 0 - assert 1763399535.000010670, sequence: 2367 - clear  0.000000000, sequence: 0
source 0 - assert 1763399536.000010314, sequence: 2368 - clear  0.000000000, sequence: 0
source 0 - assert 1763399537.000010361, sequence: 2369 - clear  0.000000000, sequence: 0
source 0 - assert 1763399538.000010409, sequence: 2370 - clear  0.000000000, sequence: 0
source 0 - assert 1763399539.000011421, sequence: 2371 - clear  0.000000000, sequence: 0
source 0 - assert 1763399540.000012762, sequence: 2372 - clear  0.000000000, sequence: 0
source 0 - assert 1763399541.000006770, sequence: 2373 - clear  0.000000000, sequence: 0
source 0 - assert 1763399542.000011469, sequence: 2374 - clear  0.000000000, sequence: 0
source 0 - assert 1763399543.000020482, sequence: 2375 - clear  0.000000000, sequence: 0
source 0 - assert 1763399544.000009517, sequence: 2376 - clear  0.000000000, sequence: 0
source 0 - assert 1763399545.000010550, sequence: 2377 - clear  0.000000000, sequence: 0
source 0 - assert 1763399546.000009601, sequence: 2378 - clear  0.000000000, sequence: 0
source 0 - assert 1763399547.000009604, sequence: 2379 - clear  0.000000000, sequence: 0
source 0 - assert 1763399548.000010606, sequence: 2380 - clear  0.000000000, sequence: 0
source 0 - assert 1763399549.000005954, sequence: 2381 - clear  0.000000000, sequence: 0
