trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763404397.000011096, sequence: 7256 - clear  0.000000000, sequence: 0
source 0 - assert 1763404398.000006848, sequence: 7257 - clear  0.000000000, sequence: 0
source 0 - assert 1763404399.000007325, sequence: 7258 - clear  0.000000000, sequence: 0
source 0 - assert 1763404400.000009543, sequence: 7259 - clear  0.000000000, sequence: 0
source 0 - assert 1763404401.000007917, sequence: 7260 - clear  0.000000000, sequence: 0
source 0 - assert 1763404402.000010077, sequence: 7261 - clear  0.000000000, sequence: 0
source 0 - assert 1763404403.000009012, sequence: 7262 - clear  0.000000000, sequence: 0
source 0 - assert 1763404404.000004978, sequence: 7263 - clear  0.000000000, sequence: 0
source 0 - assert 1763404405.000009156, sequence: 7264 - clear  0.000000000, sequence: 0
source 0 - assert 1763404406.000003138, sequence: 7265 - clear  0.000000000, sequence: 0
source 0 - assert 1763404407.000009306, sequence: 7266 - clear  0.000000000, sequence: 0
source 0 - assert 1763404408.000009471, sequence: 7267 - clear  0.000000000, sequence: 0
source 0 - assert 1763404409.000003916, sequence: 7268 - clear  0.000000000, sequence: 0
source 0 - assert 1763404410.000009047, sequence: 7269 - clear  0.000000000, sequence: 0
source 0 - assert 1763404411.000008500, sequence: 7270 - clear  0.000000000, sequence: 0
source 0 - assert 1763404412.000007834, sequence: 7271 - clear  0.000000000, sequence: 0
source 0 - assert 1763404413.000004171, sequence: 7272 - clear  0.000000000, sequence: 0
source 0 - assert 1763404414.000010372, sequence: 7273 - clear  0.000000000, sequence: 0
source 0 - assert 1763404415.000005657, sequence: 7274 - clear  0.000000000, sequence: 0
source 0 - assert 1763404416.000007358, sequence: 7275 - clear  0.000000000, sequence: 0
source 0 - assert 1763404417.000008786, sequence: 7276 - clear  0.000000000, sequence: 0
source 0 - assert 1763404418.000007714, sequence: 7277 - clear  0.000000000, sequence: 0
source 0 - assert 1763404419.000006565, sequence: 7278 - clear  0.000000000, sequence: 0
source 0 - assert 1763404420.000008850, sequence: 7279 - clear  0.000000000, sequence: 0
source 0 - assert 1763404421.000007122, sequence: 7280 - clear  0.000000000, sequence: 0
source 0 - assert 1763404422.000007910, sequence: 7281 - clear  0.000000000, sequence: 0
source 0 - assert 1763404423.000010698, sequence: 7282 - clear  0.000000000, sequence: 0
source 0 - assert 1763404424.000003950, sequence: 7283 - clear  0.000000000, sequence: 0
source 0 - assert 1763404425.000008409, sequence: 7284 - clear  0.000000000, sequence: 0
source 0 - assert 1763404426.000008250, sequence: 7285 - clear  0.000000000, sequence: 0
source 0 - assert 1763404427.000007734, sequence: 7286 - clear  0.000000000, sequence: 0
source 0 - assert 1763404428.000010491, sequence: 7287 - clear  0.000000000, sequence: 0
source 0 - assert 1763404429.000003829, sequence: 7288 - clear  0.000000000, sequence: 0
source 0 - assert 1763404430.000010436, sequence: 7289 - clear  0.000000000, sequence: 0
source 0 - assert 1763404431.000007436, sequence: 7290 - clear  0.000000000, sequence: 0
source 0 - assert 1763404432.000005326, sequence: 7291 - clear  0.000000000, sequence: 0
source 0 - assert 1763404433.000004608, sequence: 7292 - clear  0.000000000, sequence: 0
source 0 - assert 1763404434.000001364, sequence: 7293 - clear  0.000000000, sequence: 0
source 0 - assert 1763404435.000005768, sequence: 7294 - clear  0.000000000, sequence: 0
source 0 - assert 1763404436.000008996, sequence: 7295 - clear  0.000000000, sequence: 0
source 0 - assert 1763404437.000007719, sequence: 7296 - clear  0.000000000, sequence: 0
source 0 - assert 1763404438.000007207, sequence: 7297 - clear  0.000000000, sequence: 0
source 0 - assert 1763404439.000006965, sequence: 7298 - clear  0.000000000, sequence: 0
source 0 - assert 1763404440.000007597, sequence: 7299 - clear  0.000000000, sequence: 0
source 0 - assert 1763404441.000008758, sequence: 7300 - clear  0.000000000, sequence: 0
source 0 - assert 1763404442.000009258, sequence: 7301 - clear  0.000000000, sequence: 0
source 0 - assert 1763404443.000007705, sequence: 7302 - clear  0.000000000, sequence: 0
source 0 - assert 1763404444.000005611, sequence: 7303 - clear  0.000000000, sequence: 0
source 0 - assert 1763404445.000006654, sequence: 7304 - clear  0.000000000, sequence: 0
source 0 - assert 1763404446.000002080, sequence: 7305 - clear  0.000000000, sequence: 0
source 0 - assert 1763404447.000007102, sequence: 7306 - clear  0.000000000, sequence: 0
source 0 - assert 1763404448.000006888, sequence: 7307 - clear  0.000000000, sequence: 0
source 0 - assert 1763404449.000006167, sequence: 7308 - clear  0.000000000, sequence: 0
source 0 - assert 1763404450.000005997, sequence: 7309 - clear  0.000000000, sequence: 0
source 0 - assert 1763404451.000007043, sequence: 7310 - clear  0.000000000, sequence: 0
source 0 - assert 1763404452.000009856, sequence: 7311 - clear  0.000000000, sequence: 0
source 0 - assert 1763404453.000005081, sequence: 7312 - clear  0.000000000, sequence: 0
source 0 - assert 1763404454.000009614, sequence: 7313 - clear  0.000000000, sequence: 0
source 0 - assert 1763404455.000006003, sequence: 7314 - clear  0.000000000, sequence: 0
source 0 - assert 1763404456.000004962, sequence: 7315 - clear  0.000000000, sequence: 0
source 0 - assert 1763404457.000008871, sequence: 7316 - clear  0.000000000, sequence: 0
source 0 - assert 1763404458.000009371, sequence: 7317 - clear  0.000000000, sequence: 0
source 0 - assert 1763404459.000005392, sequence: 7318 - clear  0.000000000, sequence: 0
source 0 - assert 1763404460.000007946, sequence: 7319 - clear  0.000000000, sequence: 0
source 0 - assert 1763404461.000009749, sequence: 7320 - clear  0.000000000, sequence: 0
source 0 - assert 1763404462.000009253, sequence: 7321 - clear  0.000000000, sequence: 0
source 0 - assert 1763404463.000007428, sequence: 7322 - clear  0.000000000, sequence: 0
source 0 - assert 1763404464.000007165, sequence: 7323 - clear  0.000000000, sequence: 0
source 0 - assert 1763404465.000006234, sequence: 7324 - clear  0.000000000, sequence: 0
source 0 - assert 1763404466.000003578, sequence: 7325 - clear  0.000000000, sequence: 0
source 0 - assert 1763404467.000007828, sequence: 7326 - clear  0.000000000, sequence: 0
source 0 - assert 1763404468.000005837, sequence: 7327 - clear  0.000000000, sequence: 0
source 0 - assert 1763404469.000007510, sequence: 7328 - clear  0.000000000, sequence: 0
source 0 - assert 1763404470.000005289, sequence: 7329 - clear  0.000000000, sequence: 0
source 0 - assert 1763404471.000008623, sequence: 7330 - clear  0.000000000, sequence: 0
source 0 - assert 1763404472.000004083, sequence: 7331 - clear  0.000000000, sequence: 0
source 0 - assert 1763404473.000006129, sequence: 7332 - clear  0.000000000, sequence: 0
source 0 - assert 1763404474.000008386, sequence: 7333 - clear  0.000000000, sequence: 0
source 0 - assert 1763404475.000005037, sequence: 7334 - clear  0.000000000, sequence: 0
source 0 - assert 1763404476.000007653, sequence: 7335 - clear  0.000000000, sequence: 0
source 0 - assert 1763404477.000005834, sequence: 7336 - clear  0.000000000, sequence: 0
source 0 - assert 1763404478.000004966, sequence: 7337 - clear  0.000000000, sequence: 0
source 0 - assert 1763404479.000007088, sequence: 7338 - clear  0.000000000, sequence: 0
source 0 - assert 1763404480.000008952, sequence: 7339 - clear  0.000000000, sequence: 0
source 0 - assert 1763404481.000007968, sequence: 7340 - clear  0.000000000, sequence: 0
source 0 - assert 1763404482.000007587, sequence: 7341 - clear  0.000000000, sequence: 0
source 0 - assert 1763404483.000004868, sequence: 7342 - clear  0.000000000, sequence: 0
source 0 - assert 1763404484.000010864, sequence: 7343 - clear  0.000000000, sequence: 0
source 0 - assert 1763404485.000009040, sequence: 7344 - clear  0.000000000, sequence: 0
source 0 - assert 1763404486.000009254, sequence: 7345 - clear  0.000000000, sequence: 0
source 0 - assert 1763404487.000010998, sequence: 7346 - clear  0.000000000, sequence: 0
source 0 - assert 1763404488.000006508, sequence: 7347 - clear  0.000000000, sequence: 0
source 0 - assert 1763404489.000005292, sequence: 7348 - clear  0.000000000, sequence: 0
source 0 - assert 1763404490.000005514, sequence: 7349 - clear  0.000000000, sequence: 0
source 0 - assert 1763404491.000007470, sequence: 7350 - clear  0.000000000, sequence: 0
source 0 - assert 1763404492.000012036, sequence: 7351 - clear  0.000000000, sequence: 0
source 0 - assert 1763404493.000005363, sequence: 7352 - clear  0.000000000, sequence: 0
source 0 - assert 1763404494.000006833, sequence: 7353 - clear  0.000000000, sequence: 0
source 0 - assert 1763404495.000007190, sequence: 7354 - clear  0.000000000, sequence: 0
source 0 - assert 1763404496.000008031, sequence: 7355 - clear  0.000000000, sequence: 0
source 0 - assert 1763404497.000012454, sequence: 7356 - clear  0.000000000, sequence: 0
source 0 - assert 1763404498.000006950, sequence: 7357 - clear  0.000000000, sequence: 0
source 0 - assert 1763404499.000004672, sequence: 7358 - clear  0.000000000, sequence: 0
source 0 - assert 1763404500.000002928, sequence: 7359 - clear  0.000000000, sequence: 0
source 0 - assert 1763404501.000003212, sequence: 7360 - clear  0.000000000, sequence: 0
source 0 - assert 1763404502.000010992, sequence: 7361 - clear  0.000000000, sequence: 0
source 0 - assert 1763404503.000007767, sequence: 7362 - clear  0.000000000, sequence: 0
source 0 - assert 1763404504.000009025, sequence: 7363 - clear  0.000000000, sequence: 0
source 0 - assert 1763404505.000004332, sequence: 7364 - clear  0.000000000, sequence: 0
source 0 - assert 1763404506.000006499, sequence: 7365 - clear  0.000000000, sequence: 0
source 0 - assert 1763404507.000010825, sequence: 7366 - clear  0.000000000, sequence: 0
source 0 - assert 1763404508.000005499, sequence: 7367 - clear  0.000000000, sequence: 0
source 0 - assert 1763404509.000006489, sequence: 7368 - clear  0.000000000, sequence: 0
source 0 - assert 1763404510.000004136, sequence: 7369 - clear  0.000000000, sequence: 0
source 0 - assert 1763404511.000005522, sequence: 7370 - clear  0.000000000, sequence: 0
source 0 - assert 1763404512.000008930, sequence: 7371 - clear  0.000000000, sequence: 0
source 0 - assert 1763404513.000009785, sequence: 7372 - clear  0.000000000, sequence: 0
source 0 - assert 1763404514.000011036, sequence: 7373 - clear  0.000000000, sequence: 0
source 0 - assert 1763404515.000008680, sequence: 7374 - clear  0.000000000, sequence: 0
source 0 - assert 1763404516.000008613, sequence: 7375 - clear  0.000000000, sequence: 0
source 0 - assert 1763404517.000008190, sequence: 7376 - clear  0.000000000, sequence: 0
source 0 - assert 1763404518.000007752, sequence: 7377 - clear  0.000000000, sequence: 0
source 0 - assert 1763404519.000004127, sequence: 7378 - clear  0.000000000, sequence: 0
source 0 - assert 1763404520.000008609, sequence: 7379 - clear  0.000000000, sequence: 0
source 0 - assert 1763404521.000007975, sequence: 7380 - clear  0.000000000, sequence: 0
source 0 - assert 1763404522.000006817, sequence: 7381 - clear  0.000000000, sequence: 0
source 0 - assert 1763404523.000009867, sequence: 7382 - clear  0.000000000, sequence: 0
source 0 - assert 1763404524.000007738, sequence: 7383 - clear  0.000000000, sequence: 0
source 0 - assert 1763404525.000008126, sequence: 7384 - clear  0.000000000, sequence: 0
source 0 - assert 1763404526.000004346, sequence: 7385 - clear  0.000000000, sequence: 0
source 0 - assert 1763404527.000007963, sequence: 7386 - clear  0.000000000, sequence: 0
source 0 - assert 1763404528.000007294, sequence: 7387 - clear  0.000000000, sequence: 0
source 0 - assert 1763404529.000010511, sequence: 7388 - clear  0.000000000, sequence: 0
source 0 - assert 1763404530.000006262, sequence: 7389 - clear  0.000000000, sequence: 0
source 0 - assert 1763404531.000006899, sequence: 7390 - clear  0.000000000, sequence: 0
source 0 - assert 1763404532.000005230, sequence: 7391 - clear  0.000000000, sequence: 0
source 0 - assert 1763404533.000008069, sequence: 7392 - clear  0.000000000, sequence: 0
source 0 - assert 1763404534.000009538, sequence: 7393 - clear  0.000000000, sequence: 0
source 0 - assert 1763404535.000007083, sequence: 7394 - clear  0.000000000, sequence: 0
source 0 - assert 1763404536.000007247, sequence: 7395 - clear  0.000000000, sequence: 0
source 0 - assert 1763404537.000004704, sequence: 7396 - clear  0.000000000, sequence: 0
source 0 - assert 1763404538.000008158, sequence: 7397 - clear  0.000000000, sequence: 0
source 0 - assert 1763404539.000005292, sequence: 7398 - clear  0.000000000, sequence: 0
source 0 - assert 1763404540.000007326, sequence: 7399 - clear  0.000000000, sequence: 0
source 0 - assert 1763404541.000003340, sequence: 7400 - clear  0.000000000, sequence: 0
source 0 - assert 1763404542.000008635, sequence: 7401 - clear  0.000000000, sequence: 0
source 0 - assert 1763404543.000008725, sequence: 7402 - clear  0.000000000, sequence: 0
source 0 - assert 1763404544.000012302, sequence: 7403 - clear  0.000000000, sequence: 0
source 0 - assert 1763404545.000006639, sequence: 7404 - clear  0.000000000, sequence: 0
source 0 - assert 1763404546.000008119, sequence: 7405 - clear  0.000000000, sequence: 0
source 0 - assert 1763404547.000005127, sequence: 7406 - clear  0.000000000, sequence: 0
source 0 - assert 1763404548.000005663, sequence: 7407 - clear  0.000000000, sequence: 0
source 0 - assert 1763404549.000007277, sequence: 7408 - clear  0.000000000, sequence: 0
source 0 - assert 1763404550.000003942, sequence: 7409 - clear  0.000000000, sequence: 0
source 0 - assert 1763404551.000007662, sequence: 7410 - clear  0.000000000, sequence: 0
source 0 - assert 1763404552.000002626, sequence: 7411 - clear  0.000000000, sequence: 0
source 0 - assert 1763404553.000005463, sequence: 7412 - clear  0.000000000, sequence: 0
source 0 - assert 1763404554.000006724, sequence: 7413 - clear  0.000000000, sequence: 0
source 0 - assert 1763404555.000009543, sequence: 7414 - clear  0.000000000, sequence: 0
source 0 - assert 1763404556.000006250, sequence: 7415 - clear  0.000000000, sequence: 0
source 0 - assert 1763404557.000010586, sequence: 7416 - clear  0.000000000, sequence: 0
source 0 - assert 1763404558.000011100, sequence: 7417 - clear  0.000000000, sequence: 0
source 0 - assert 1763404559.000006336, sequence: 7418 - clear  0.000000000, sequence: 0
source 0 - assert 1763404560.000008029, sequence: 7419 - clear  0.000000000, sequence: 0
source 0 - assert 1763404561.000004860, sequence: 7420 - clear  0.000000000, sequence: 0
source 0 - assert 1763404562.000010334, sequence: 7421 - clear  0.000000000, sequence: 0
source 0 - assert 1763404563.000003740, sequence: 7422 - clear  0.000000000, sequence: 0
