trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763404974.000010297, sequence: 7833 - clear  0.000000000, sequence: 0
source 0 - assert 1763404975.000005141, sequence: 7834 - clear  0.000000000, sequence: 0
source 0 - assert 1763404976.000004938, sequence: 7835 - clear  0.000000000, sequence: 0
source 0 - assert 1763404977.000003088, sequence: 7836 - clear  0.000000000, sequence: 0
source 0 - assert 1763404978.000007876, sequence: 7837 - clear  0.000000000, sequence: 0
source 0 - assert 1763404979.000004858, sequence: 7838 - clear  0.000000000, sequence: 0
source 0 - assert 1763404980.000007064, sequence: 7839 - clear  0.000000000, sequence: 0
source 0 - assert 1763404981.000004866, sequence: 7840 - clear  0.000000000, sequence: 0
source 0 - assert 1763404982.000004121, sequence: 7841 - clear  0.000000000, sequence: 0
source 0 - assert 1763404983.000005340, sequence: 7842 - clear  0.000000000, sequence: 0
source 0 - assert 1763404984.000005508, sequence: 7843 - clear  0.000000000, sequence: 0
source 0 - assert 1763404985.000007917, sequence: 7844 - clear  0.000000000, sequence: 0
source 0 - assert 1763404986.000008868, sequence: 7845 - clear  0.000000000, sequence: 0
source 0 - assert 1763404987.000005124, sequence: 7846 - clear  0.000000000, sequence: 0
source 0 - assert 1763404988.000004335, sequence: 7847 - clear  0.000000000, sequence: 0
source 0 - assert 1763404989.000002282, sequence: 7848 - clear  0.000000000, sequence: 0
source 0 - assert 1763404990.000006985, sequence: 7849 - clear  0.000000000, sequence: 0
source 0 - assert 1763404991.000009068, sequence: 7850 - clear  0.000000000, sequence: 0
source 0 - assert 1763404992.000004824, sequence: 7851 - clear  0.000000000, sequence: 0
source 0 - assert 1763404993.000005636, sequence: 7852 - clear  0.000000000, sequence: 0
source 0 - assert 1763404994.000006338, sequence: 7853 - clear  0.000000000, sequence: 0
source 0 - assert 1763404995.000008582, sequence: 7854 - clear  0.000000000, sequence: 0
source 0 - assert 1763404996.000009351, sequence: 7855 - clear  0.000000000, sequence: 0
source 0 - assert 1763404997.000009143, sequence: 7856 - clear  0.000000000, sequence: 0
source 0 - assert 1763404998.000011340, sequence: 7857 - clear  0.000000000, sequence: 0
source 0 - assert 1763404999.000008960, sequence: 7858 - clear  0.000000000, sequence: 0
source 0 - assert 1763405000.000007046, sequence: 7859 - clear  0.000000000, sequence: 0
source 0 - assert 1763405001.000003040, sequence: 7860 - clear  0.000000000, sequence: 0
source 0 - assert 1763405002.000005893, sequence: 7861 - clear  0.000000000, sequence: 0
source 0 - assert 1763405003.000006524, sequence: 7862 - clear  0.000000000, sequence: 0
source 0 - assert 1763405004.000006960, sequence: 7863 - clear  0.000000000, sequence: 0
source 0 - assert 1763405005.000005640, sequence: 7864 - clear  0.000000000, sequence: 0
source 0 - assert 1763405006.000006567, sequence: 7865 - clear  0.000000000, sequence: 0
source 0 - assert 1763405007.000008469, sequence: 7866 - clear  0.000000000, sequence: 0
source 0 - assert 1763405008.000006618, sequence: 7867 - clear  0.000000000, sequence: 0
source 0 - assert 1763405009.000006737, sequence: 7868 - clear  0.000000000, sequence: 0
source 0 - assert 1763405010.000000995, sequence: 7869 - clear  0.000000000, sequence: 0
source 0 - assert 1763405011.000004336, sequence: 7870 - clear  0.000000000, sequence: 0
source 0 - assert 1763405012.000002680, sequence: 7871 - clear  0.000000000, sequence: 0
source 0 - assert 1763405013.000009635, sequence: 7872 - clear  0.000000000, sequence: 0
source 0 - assert 1763405014.000004332, sequence: 7873 - clear  0.000000000, sequence: 0
source 0 - assert 1763405015.000005375, sequence: 7874 - clear  0.000000000, sequence: 0
source 0 - assert 1763405016.000005090, sequence: 7875 - clear  0.000000000, sequence: 0
source 0 - assert 1763405017.000002419, sequence: 7876 - clear  0.000000000, sequence: 0
source 0 - assert 1763405018.000008824, sequence: 7877 - clear  0.000000000, sequence: 0
source 0 - assert 1763405019.000007569, sequence: 7878 - clear  0.000000000, sequence: 0
source 0 - assert 1763405020.000005620, sequence: 7879 - clear  0.000000000, sequence: 0
source 0 - assert 1763405021.000002216, sequence: 7880 - clear  0.000000000, sequence: 0
source 0 - assert 1763405022.000004263, sequence: 7881 - clear  0.000000000, sequence: 0
source 0 - assert 1763405023.000003557, sequence: 7882 - clear  0.000000000, sequence: 0
source 0 - assert 1763405024.000008086, sequence: 7883 - clear  0.000000000, sequence: 0
source 0 - assert 1763405025.000000334, sequence: 7884 - clear  0.000000000, sequence: 0
source 0 - assert 1763405026.000006302, sequence: 7885 - clear  0.000000000, sequence: 0
source 0 - assert 1763405027.000009835, sequence: 7886 - clear  0.000000000, sequence: 0
source 0 - assert 1763405028.000011948, sequence: 7887 - clear  0.000000000, sequence: 0
source 0 - assert 1763405029.000007046, sequence: 7888 - clear  0.000000000, sequence: 0
source 0 - assert 1763405030.000006856, sequence: 7889 - clear  0.000000000, sequence: 0
source 0 - assert 1763405031.000003687, sequence: 7890 - clear  0.000000000, sequence: 0
source 0 - assert 1763405032.000009085, sequence: 7891 - clear  0.000000000, sequence: 0
source 0 - assert 1763405033.000007990, sequence: 7892 - clear  0.000000000, sequence: 0
source 0 - assert 1763405034.000005413, sequence: 7893 - clear  0.000000000, sequence: 0
source 0 - assert 1763405035.000011418, sequence: 7894 - clear  0.000000000, sequence: 0
source 0 - assert 1763405036.000002837, sequence: 7895 - clear  0.000000000, sequence: 0
source 0 - assert 1763405037.000009954, sequence: 7896 - clear  0.000000000, sequence: 0
source 0 - assert 1763405038.000003325, sequence: 7897 - clear  0.000000000, sequence: 0
source 0 - assert 1763405039.000006077, sequence: 7898 - clear  0.000000000, sequence: 0
source 0 - assert 1763405040.000007869, sequence: 7899 - clear  0.000000000, sequence: 0
source 0 - assert 1763405041.000006584, sequence: 7900 - clear  0.000000000, sequence: 0
source 0 - assert 1763405042.000007964, sequence: 7901 - clear  0.000000000, sequence: 0
source 0 - assert 1763405043.000009049, sequence: 7902 - clear  0.000000000, sequence: 0
source 0 - assert 1763405044.000004634, sequence: 7903 - clear  0.000000000, sequence: 0
