ptp4l[14436.168]: selected /dev/ptp0 as PTP clock
ptp4l[14436.174]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[14436.177]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[14436.180]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[14436.182]: timeguard: registered, proxy_id=0x2e54203f07a9a038

ptp4l[14436.183]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[14442.467]: selected local clock 000000.fffe.049f06 as best master
ptp4l[14442.469]: TEE: InvokeCommand returned 0x0

ptp4l[14442.471]: TEE: InvokeCommand returned 0x0

ptp4l[14442.471]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[14442.809]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[14446.825]: selected best master clock 641c10.fffe.f12579
ptp4l[14446.827]: TEE: InvokeCommand returned 0x0

ptp4l[14446.829]: TEE: InvokeCommand returned 0x0

ptp4l[14446.829]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[14446.831]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[14448.824]: master offset   12996000 s0 freq  -81008 path delay   -999063
ptp4l[14449.827]: master offset   12995934 s1 freq  -81074 path delay   -999063
ptp4l[14450.821]: master offset    2000033 s2 freq +1918959 path delay   -999063
ptp4l[14450.823]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[14451.815]: master offset    1936994 s2 freq +2455930 path delay   -924291
ptp4l[14452.814]: master offset    3285720 s2 freq +4385754 path delay   -849520
ptp4l[14453.815]: master offset   -1751814 s2 freq +333936 path delay   -342961
ptp4l[14454.813]: master offset    -635746 s2 freq +924460 path delay     67295
ptp4l[14455.813]: master offset   -1638225 s2 freq -268743 path delay     67295
ptp4l[14456.815]: master offset    3009056 s2 freq +3887070 path delay   -401787
ptp4l[14457.816]: master offset   -1391516 s2 freq +389215 path delay     45945
ptp4l[14458.813]: master offset     558665 s2 freq +1921941 path delay   -401787
ptp4l[14459.816]: master offset     560948 s2 freq +2091824 path delay   -401787
ptp4l[14460.817]: master offset     861856 s2 freq +2561016 path delay   -901233
ptp4l[14461.817]: master offset    2224105 s2 freq +4181822 path delay   -944835
ptp4l[14462.816]: master offset   -2154406 s2 freq +470542 path delay   -944835
ptp4l[14463.815]: master offset    1262023 s2 freq +3240650 path delay   -944835
ptp4l[14464.816]: master offset    -194395 s2 freq +2162839 path delay   -835332
ptp4l[14465.816]: master offset    -672365 s2 freq +1626550 path delay   -640547
ptp4l[14466.815]: master offset   -2402697 s2 freq -305491 path delay   -640547
ptp4l[14467.816]: master offset    1806513 s2 freq +3182909 path delay   -640547
ptp4l[14468.817]: master offset     153132 s2 freq +2071482 path delay   -245969
ptp4l[14469.816]: master offset    -394397 s2 freq +1569893 path delay    128148
ptp4l[14470.816]: master offset   -2061839 s2 freq -215868 path delay    128148
ptp4l[14471.816]: master offset    2176707 s2 freq +3404126 path delay      9703
ptp4l[14472.819]: master offset     624372 s2 freq +2504803 path delay     36602
ptp4l[14473.820]: master offset   -2015304 s2 freq  +52439 path delay     36602
ptp4l[14474.818]: master offset    -187832 s2 freq +1275320 path delay   -337515
ptp4l[14475.817]: master offset    2410199 s2 freq +3817001 path delay   -281599
ptp4l[14476.818]: master offset   -1558555 s2 freq +571307 path delay   -281599
ptp4l[14477.818]: master offset    1761437 s2 freq +3423732 path delay   -281599
ptp4l[14478.819]: master offset     389784 s2 freq +2580510 path delay   -281599
ptp4l[14479.820]: master offset    -302141 s2 freq +2005521 path delay   -281599
ptp4l[14480.818]: master offset    -559458 s2 freq +1657561 path delay   -126130
ptp4l[14481.816]: master offset    -733250 s2 freq +1315932 path delay    297091
ptp4l[14482.816]: master offset    -146821 s2 freq +1682386 path delay    297091
ptp4l[14483.819]: master offset   -1914643 s2 freq -129482 path delay    297091
ptp4l[14484.814]: master offset    2117100 s2 freq +3327868 path delay    297091
ptp4l[14485.820]: master offset   -1330085 s2 freq +515813 path delay    297091
ptp4l[14486.822]: master offset    2049995 s2 freq +3496867 path delay    297091
ptp4l[14487.822]: master offset     299323 s2 freq +2361194 path delay    420016
ptp4l[14488.822]: master offset   -2195318 s2 freq  -43650 path delay    420016
ptp4l[14489.820]: master offset    2768844 s2 freq +4261916 path delay   -886479
ptp4l[14490.822]: master offset     412662 s2 freq +2736387 path delay   -886479
ptp4l[14491.819]: master offset   -2461319 s2 freq  -13795 path delay   -886479
ptp4l[14492.818]: master offset    1499466 s2 freq +3208594 path delay   -936776
ptp4l[14493.819]: master offset   -1845750 s2 freq +313218 path delay   -936776
ptp4l[14494.819]: master offset    1717312 s2 freq +3322555 path delay   -920569
ptp4l[14495.819]: master offset   -1718794 s2 freq +401643 path delay   -920569
