ptp4l[15032.692]: selected /dev/ptp0 as PTP clock
ptp4l[15032.696]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[15032.699]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[15032.702]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[15032.704]: timeguard: registered, proxy_id=0xeba4f6a02162d091

ptp4l[15032.705]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[15039.827]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[15040.421]: selected local clock 000000.fffe.049f06 as best master
ptp4l[15040.422]: TEE: InvokeCommand returned 0x0

ptp4l[15040.424]: TEE: InvokeCommand returned 0x0

ptp4l[15040.425]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[15043.842]: selected best master clock 641c10.fffe.f12579
ptp4l[15043.843]: TEE: InvokeCommand returned 0x0

ptp4l[15043.845]: TEE: InvokeCommand returned 0x0

ptp4l[15043.845]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[15043.847]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[15045.843]: master offset   12501491 s0 freq  -81065 path delay   -499091
ptp4l[15046.846]: master offset   12501513 s1 freq  -81043 path delay   -499091
ptp4l[15047.845]: master offset    3999956 s2 freq +3918913 path delay   -499091
ptp4l[15047.847]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[15048.836]: master offset    1443580 s2 freq +2562524 path delay    -24380
ptp4l[15049.832]: master offset     722171 s2 freq +2274189 path delay       911
ptp4l[15050.832]: master offset   -1676288 s2 freq  +92381 path delay       911
ptp4l[15051.829]: master offset    3011458 s2 freq +4277241 path delay    -24380
ptp4l[15052.833]: master offset   -1349599 s2 freq +819621 path delay    -24380
ptp4l[15053.832]: master offset    1745309 s2 freq +3509650 path delay    -49672
ptp4l[15054.834]: master offset      88659 s2 freq +2376592 path delay    -24380
ptp4l[15055.833]: master offset    -345265 s2 freq +1969266 path delay       911
ptp4l[15056.828]: master offset   -2414020 s2 freq -203068 path delay       911
ptp4l[15057.831]: master offset    -273419 s2 freq +1213327 path delay    -24380
ptp4l[15058.832]: master offset    2735251 s2 freq +4139971 path delay   -316513
ptp4l[15059.835]: master offset      28551 s2 freq +2253846 path delay    165131
ptp4l[15060.834]: master offset   -2340184 s2 freq -106324 path delay    165131
ptp4l[15061.832]: master offset    2602555 s2 freq +4134360 path delay   -688675
ptp4l[15062.834]: master offset    -485891 s2 freq +1826681 path delay    184029
ptp4l[15063.835]: master offset   -2422777 s2 freq -255973 path delay    184029
ptp4l[15064.832]: master offset    1735492 s2 freq +3175463 path delay    184029
ptp4l[15065.836]: master offset    9088675 s2 freq +11049294 path delay    139910
ptp4l[15066.843]: master offset   -2295428 s2 freq +2391793 path delay    139910
ptp4l[15067.836]: master offset    -189715 s2 freq +3808878 path delay   -522195
ptp4l[15068.834]: master offset   -2633992 s2 freq +1307687 path delay    -54173
ptp4l[15069.832]: master offset   -1998031 s2 freq +1153450 path delay   -107156
ptp4l[15070.832]: master offset    7398629 s2 freq +9950701 path delay   -174700
ptp4l[15071.841]: master offset   -1029738 s2 freq +3741922 path delay   -174700
ptp4l[15072.837]: master offset   -5308335 s2 freq -845596 path delay    179178
ptp4l[15073.831]: master offset    -221457 s2 freq +2648781 path delay   -174700
ptp4l[15074.833]: master offset   -2935194 s2 freq -131393 path delay   -174700
ptp4l[15075.834]: master offset    9802333 s2 freq +11725576 path delay   -314893
ptp4l[15076.844]: master offset   -1214541 s2 freq +3649402 path delay    218677
ptp4l[15077.839]: master offset   -3409770 s2 freq +1089811 path delay    587862
ptp4l[15078.834]: master offset   -2707569 s2 freq +769081 path delay    688793
ptp4l[15079.832]: master offset   -1562775 s2 freq +1101604 path delay    688793
ptp4l[15080.834]: master offset   -2747819 s2 freq -552272 path delay    688793
ptp4l[15081.835]: master offset   10510266 s2 freq +11881467 path delay    456393
ptp4l[15082.841]: master offset   -1971170 s2 freq +2553111 path delay    456393
ptp4l[15083.840]: master offset    -688115 s2 freq +3244815 path delay    456393
ptp4l[15084.837]: master offset   -2053757 s2 freq +1672738 path delay    456393
ptp4l[15085.836]: master offset    6829471 s2 freq +9939839 path delay    359150
ptp4l[15086.843]: master offset   -3604440 s2 freq +1554769 path delay    359150
ptp4l[15087.836]: master offset   -2746112 s2 freq +1331765 path delay   -212577
ptp4l[15088.833]: master offset     110481 s2 freq +3364525 path delay   -496106
ptp4l[15089.836]: master offset   -3334513 s2 freq  -47325 path delay   -496106
ptp4l[15090.835]: master offset    9399911 s2 freq +11686745 path delay   -722827
ptp4l[15091.844]: master offset   -3086033 s2 freq +2020774 path delay   -722827
ptp4l[15092.838]: master offset   -1223095 s2 freq +2957903 path delay   -797619
ptp4l[15093.836]: master offset   -4273975 s2 freq -459906 path delay   -797619
ptp4l[15094.832]: master offset     167952 s2 freq +2699829 path delay   -888359
ptp4l[15095.836]: master offset     249312 s2 freq +2831574 path delay   -888359
ptp4l[15096.837]: master offset    -671964 s2 freq +1985092 path delay   -888359
ptp4l[15097.837]: master offset    -866172 s2 freq +1589295 path delay   -797619
ptp4l[15098.837]: master offset    -779819 s2 freq +1415796 path delay   -570899
ptp4l[15099.837]: master offset   -1145189 s2 freq +816480 path delay    291401
ptp4l[15100.839]: master offset    8389791 s2 freq +10007904 path delay    422596
ptp4l[15101.848]: master offset   -2037813 s2 freq +2097237 path delay    422596
ptp4l[15102.841]: master offset    -304494 s2 freq +3219212 path delay    422596
