trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763404397.000022697, sequence: 7226 - clear  0.000000000, sequence: 0
source 0 - assert 1763404398.000977758, sequence: 7227 - clear  0.000000000, sequence: 0
source 0 - assert 1763404399.003273210, sequence: 7228 - clear  0.000000000, sequence: 0
source 0 - assert 1763404400.005889064, sequence: 7229 - clear  0.000000000, sequence: 0
source 0 - assert 1763404401.008398017, sequence: 7230 - clear  0.000000000, sequence: 0
source 0 - assert 1763404402.010735784, sequence: 7231 - clear  0.000000000, sequence: 0
source 0 - assert 1763404403.013771264, sequence: 7232 - clear  0.000000000, sequence: 0
source 0 - assert 1763404404.010459034, sequence: 7233 - clear  0.000000000, sequence: 0
source 0 - assert 1763404405.003780878, sequence: 7234 - clear  0.000000000, sequence: 0
source 0 - assert 1763404406.003098371, sequence: 7235 - clear  0.000000000, sequence: 0
source 0 - assert 1763404407.007546243, sequence: 7236 - clear  0.000000000, sequence: 0
source 0 - assert 1763404408.011236943, sequence: 7237 - clear  0.000000000, sequence: 0
source 0 - assert 1763404409.011312296, sequence: 7238 - clear  0.000000000, sequence: 0
source 0 - assert 1763404410.013649049, sequence: 7239 - clear  0.000000000, sequence: 0
source 0 - assert 1763404411.016436699, sequence: 7240 - clear  0.000000000, sequence: 0
source 0 - assert 1763404412.018949428, sequence: 7241 - clear  0.000000000, sequence: 0
source 0 - assert 1763404413.021932134, sequence: 7242 - clear  0.000000000, sequence: 0
source 0 - assert 1763404414.026596430, sequence: 7243 - clear  0.000000000, sequence: 0
source 0 - assert 1763404415.027848630, sequence: 7244 - clear  0.000000000, sequence: 0
source 0 - assert 1763404416.026734492, sequence: 7245 - clear  0.000000000, sequence: 0
source 0 - assert 1763404417.028784919, sequence: 7246 - clear  0.000000000, sequence: 0
source 0 - assert 1763404418.032218246, sequence: 7247 - clear  0.000000000, sequence: 0
source 0 - assert 1763404419.035236944, sequence: 7248 - clear  0.000000000, sequence: 0
source 0 - assert 1763404420.036785772, sequence: 7249 - clear  0.000000000, sequence: 0
source 0 - assert 1763404421.038273917, sequence: 7250 - clear  0.000000000, sequence: 0
source 0 - assert 1763404422.040396071, sequence: 7251 - clear  0.000000000, sequence: 0
source 0 - assert 1763404423.043551367, sequence: 7252 - clear  0.000000000, sequence: 0
source 0 - assert 1763404424.046296046, sequence: 7253 - clear  0.000000000, sequence: 0
source 0 - assert 1763404425.047838366, sequence: 7254 - clear  0.000000000, sequence: 0
source 0 - assert 1763404426.051356402, sequence: 7255 - clear  0.000000000, sequence: 0
source 0 - assert 1763404427.052686195, sequence: 7256 - clear  0.000000000, sequence: 0
source 0 - assert 1763404428.061125255, sequence: 7257 - clear  0.000000000, sequence: 0
source 0 - assert 1763404429.070039987, sequence: 7258 - clear  0.000000000, sequence: 0
source 0 - assert 1763404430.068345312, sequence: 7259 - clear  0.000000000, sequence: 0
source 0 - assert 1763404431.067037492, sequence: 7260 - clear  0.000000000, sequence: 0
source 0 - assert 1763404432.068015540, sequence: 7261 - clear  0.000000000, sequence: 0
source 0 - assert 1763404433.079661209, sequence: 7262 - clear  0.000000000, sequence: 0
source 0 - assert 1763404434.088741142, sequence: 7263 - clear  0.000000000, sequence: 0
source 0 - assert 1763404435.086793888, sequence: 7264 - clear  0.000000000, sequence: 0
source 0 - assert 1763404436.085447029, sequence: 7265 - clear  0.000000000, sequence: 0
source 0 - assert 1763404437.086987286, sequence: 7266 - clear  0.000000000, sequence: 0
source 0 - assert 1763404438.099056384, sequence: 7267 - clear  0.000000000, sequence: 0
source 0 - assert 1763404439.109845639, sequence: 7268 - clear  0.000000000, sequence: 0
source 0 - assert 1763404440.109203465, sequence: 7269 - clear  0.000000000, sequence: 0
source 0 - assert 1763404441.104469222, sequence: 7270 - clear  0.000000000, sequence: 0
source 0 - assert 1763404442.115295888, sequence: 7271 - clear  0.000000000, sequence: 0
source 0 - assert 1763404443.123219038, sequence: 7272 - clear  0.000000000, sequence: 0
