trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763405571.000303467, sequence: 8390 - clear  0.000000000, sequence: 0
source 0 - assert 1763405572.002393782, sequence: 8391 - clear  0.000000000, sequence: 0
source 0 - assert 1763405573.004998547, sequence: 8392 - clear  0.000000000, sequence: 0
source 0 - assert 1763405574.007889940, sequence: 8393 - clear  0.000000000, sequence: 0
source 0 - assert 1763405575.012066033, sequence: 8394 - clear  0.000000000, sequence: 0
source 0 - assert 1763405576.014484649, sequence: 8395 - clear  0.000000000, sequence: 0
source 0 - assert 1763405577.013176717, sequence: 8396 - clear  0.000000000, sequence: 0
source 0 - assert 1763405578.008681729, sequence: 8397 - clear  0.000000000, sequence: 0
source 0 - assert 1763405579.007015197, sequence: 8398 - clear  0.000000000, sequence: 0
source 0 - assert 1763405580.007441100, sequence: 8399 - clear  0.000000000, sequence: 0
source 0 - assert 1763405581.006469048, sequence: 8400 - clear  0.000000000, sequence: 0
source 0 - assert 1763405582.014218832, sequence: 8401 - clear  0.000000000, sequence: 0
source 0 - assert 1763405583.014016933, sequence: 8402 - clear  0.000000000, sequence: 0
source 0 - assert 1763405584.019410734, sequence: 8403 - clear  0.000000000, sequence: 0
source 0 - assert 1763405585.021421210, sequence: 8404 - clear  0.000000000, sequence: 0
source 0 - assert 1763405586.022407936, sequence: 8405 - clear  0.000000000, sequence: 0
source 0 - assert 1763405587.020594307, sequence: 8406 - clear  0.000000000, sequence: 0
source 0 - assert 1763405588.023608934, sequence: 8407 - clear  0.000000000, sequence: 0
source 0 - assert 1763405589.030244979, sequence: 8408 - clear  0.000000000, sequence: 0
source 0 - assert 1763405590.029956819, sequence: 8409 - clear  0.000000000, sequence: 0
source 0 - assert 1763405591.029298936, sequence: 8410 - clear  0.000000000, sequence: 0
source 0 - assert 1763405592.036137570, sequence: 8411 - clear  0.000000000, sequence: 0
source 0 - assert 1763405593.037106285, sequence: 8412 - clear  0.000000000, sequence: 0
source 0 - assert 1763405594.035570754, sequence: 8413 - clear  0.000000000, sequence: 0
source 0 - assert 1763405595.043423442, sequence: 8414 - clear  0.000000000, sequence: 0
source 0 - assert 1763405596.060019704, sequence: 8415 - clear  0.000000000, sequence: 0
source 0 - assert 1763405597.055818010, sequence: 8416 - clear  0.000000000, sequence: 0
source 0 - assert 1763405598.056782796, sequence: 8417 - clear  0.000000000, sequence: 0
source 0 - assert 1763405599.056033997, sequence: 8418 - clear  0.000000000, sequence: 0
source 0 - assert 1763405600.059707334, sequence: 8419 - clear  0.000000000, sequence: 0
source 0 - assert 1763405601.076610263, sequence: 8420 - clear  0.000000000, sequence: 0
source 0 - assert 1763405602.075588297, sequence: 8421 - clear  0.000000000, sequence: 0
source 0 - assert 1763405603.070360000, sequence: 8422 - clear  0.000000000, sequence: 0
source 0 - assert 1763405604.074325628, sequence: 8423 - clear  0.000000000, sequence: 0
source 0 - assert 1763405605.077063159, sequence: 8424 - clear  0.000000000, sequence: 0
source 0 - assert 1763405606.097163327, sequence: 8425 - clear  0.000000000, sequence: 0
source 0 - assert 1763405607.095658188, sequence: 8426 - clear  0.000000000, sequence: 0
source 0 - assert 1763405608.092382513, sequence: 8427 - clear  0.000000000, sequence: 0
source 0 - assert 1763405609.092045874, sequence: 8428 - clear  0.000000000, sequence: 0
source 0 - assert 1763405610.092533640, sequence: 8429 - clear  0.000000000, sequence: 0
source 0 - assert 1763405611.097251742, sequence: 8430 - clear  0.000000000, sequence: 0
source 0 - assert 1763405612.117297279, sequence: 8431 - clear  0.000000000, sequence: 0
source 0 - assert 1763405613.114454573, sequence: 8432 - clear  0.000000000, sequence: 0
source 0 - assert 1763405614.114786835, sequence: 8433 - clear  0.000000000, sequence: 0
source 0 - assert 1763405615.117887313, sequence: 8434 - clear  0.000000000, sequence: 0
source 0 - assert 1763405616.131480553, sequence: 8435 - clear  0.000000000, sequence: 0
source 0 - assert 1763405617.127386179, sequence: 8436 - clear  0.000000000, sequence: 0
source 0 - assert 1763405618.127163092, sequence: 8437 - clear  0.000000000, sequence: 0
source 0 - assert 1763405619.130915467, sequence: 8438 - clear  0.000000000, sequence: 0
source 0 - assert 1763405620.134181476, sequence: 8439 - clear  0.000000000, sequence: 0
source 0 - assert 1763405621.151705571, sequence: 8440 - clear  0.000000000, sequence: 0
source 0 - assert 1763405622.148251242, sequence: 8441 - clear  0.000000000, sequence: 0
source 0 - assert 1763405623.148024523, sequence: 8442 - clear  0.000000000, sequence: 0
source 0 - assert 1763405624.146408053, sequence: 8443 - clear  0.000000000, sequence: 0
source 0 - assert 1763405625.152033495, sequence: 8444 - clear  0.000000000, sequence: 0
source 0 - assert 1763405626.156107109, sequence: 8445 - clear  0.000000000, sequence: 0
source 0 - assert 1763405627.157833152, sequence: 8446 - clear  0.000000000, sequence: 0
source 0 - assert 1763405628.159230241, sequence: 8447 - clear  0.000000000, sequence: 0
source 0 - assert 1763405629.160832678, sequence: 8448 - clear  0.000000000, sequence: 0
source 0 - assert 1763405630.166583183, sequence: 8449 - clear  0.000000000, sequence: 0
source 0 - assert 1763405631.180519806, sequence: 8450 - clear  0.000000000, sequence: 0
source 0 - assert 1763405632.177937626, sequence: 8451 - clear  0.000000000, sequence: 0
source 0 - assert 1763405633.178029214, sequence: 8452 - clear  0.000000000, sequence: 0
source 0 - assert 1763405634.176535438, sequence: 8453 - clear  0.000000000, sequence: 0
source 0 - assert 1763405635.181876696, sequence: 8454 - clear  0.000000000, sequence: 0
source 0 - assert 1763405636.184771425, sequence: 8455 - clear  0.000000000, sequence: 0
source 0 - assert 1763405637.184583401, sequence: 8456 - clear  0.000000000, sequence: 0
source 0 - assert 1763405638.189639997, sequence: 8457 - clear  0.000000000, sequence: 0
source 0 - assert 1763405639.191600499, sequence: 8458 - clear  0.000000000, sequence: 0
source 0 - assert 1763405640.193326995, sequence: 8459 - clear  0.000000000, sequence: 0
source 0 - assert 1763405641.196245159, sequence: 8460 - clear  0.000000000, sequence: 0
source 0 - assert 1763405642.196813290, sequence: 8461 - clear  0.000000000, sequence: 0
source 0 - assert 1763405643.196871772, sequence: 8462 - clear  0.000000000, sequence: 0
source 0 - assert 1763405644.202237808, sequence: 8463 - clear  0.000000000, sequence: 0
source 0 - assert 1763405645.205005968, sequence: 8464 - clear  0.000000000, sequence: 0
source 0 - assert 1763405646.206660608, sequence: 8465 - clear  0.000000000, sequence: 0
source 0 - assert 1763405647.206424347, sequence: 8466 - clear  0.000000000, sequence: 0
source 0 - assert 1763405648.211247045, sequence: 8467 - clear  0.000000000, sequence: 0
source 0 - assert 1763405649.212623557, sequence: 8468 - clear  0.000000000, sequence: 0
source 0 - assert 1763405650.213746123, sequence: 8469 - clear  0.000000000, sequence: 0
source 0 - assert 1763405651.216593485, sequence: 8470 - clear  0.000000000, sequence: 0
source 0 - assert 1763405652.217159220, sequence: 8471 - clear  0.000000000, sequence: 0
source 0 - assert 1763405653.221138433, sequence: 8472 - clear  0.000000000, sequence: 0
source 0 - assert 1763405654.221940824, sequence: 8473 - clear  0.000000000, sequence: 0
source 0 - assert 1763405655.232007758, sequence: 8474 - clear  0.000000000, sequence: 0
source 0 - assert 1763405656.244620960, sequence: 8475 - clear  0.000000000, sequence: 0
source 0 - assert 1763405657.241074500, sequence: 8476 - clear  0.000000000, sequence: 0
source 0 - assert 1763405658.236926328, sequence: 8477 - clear  0.000000000, sequence: 0
source 0 - assert 1763405659.240740013, sequence: 8478 - clear  0.000000000, sequence: 0
source 0 - assert 1763405660.241695378, sequence: 8479 - clear  0.000000000, sequence: 0
source 0 - assert 1763405661.248012730, sequence: 8480 - clear  0.000000000, sequence: 0
source 0 - assert 1763405662.263257586, sequence: 8481 - clear  0.000000000, sequence: 0
source 0 - assert 1763405663.260569049, sequence: 8482 - clear  0.000000000, sequence: 0
source 0 - assert 1763405664.259722260, sequence: 8483 - clear  0.000000000, sequence: 0
source 0 - assert 1763405665.264671914, sequence: 8484 - clear  0.000000000, sequence: 0
source 0 - assert 1763405666.279978364, sequence: 8485 - clear  0.000000000, sequence: 0
source 0 - assert 1763405667.279179732, sequence: 8486 - clear  0.000000000, sequence: 0
source 0 - assert 1763405668.275064027, sequence: 8487 - clear  0.000000000, sequence: 0
source 0 - assert 1763405669.274556072, sequence: 8488 - clear  0.000000000, sequence: 0
source 0 - assert 1763405670.278918511, sequence: 8489 - clear  0.000000000, sequence: 0
source 0 - assert 1763405671.282118428, sequence: 8490 - clear  0.000000000, sequence: 0
source 0 - assert 1763405672.288425490, sequence: 8491 - clear  0.000000000, sequence: 0
source 0 - assert 1763405673.287449117, sequence: 8492 - clear  0.000000000, sequence: 0
source 0 - assert 1763405674.288074760, sequence: 8493 - clear  0.000000000, sequence: 0
source 0 - assert 1763405675.299636533, sequence: 8494 - clear  0.000000000, sequence: 0
source 0 - assert 1763405676.310865779, sequence: 8495 - clear  0.000000000, sequence: 0
source 0 - assert 1763405677.307846719, sequence: 8496 - clear  0.000000000, sequence: 0
source 0 - assert 1763405678.305652888, sequence: 8497 - clear  0.000000000, sequence: 0
source 0 - assert 1763405679.305147614, sequence: 8498 - clear  0.000000000, sequence: 0
source 0 - assert 1763405680.313505709, sequence: 8499 - clear  0.000000000, sequence: 0
source 0 - assert 1763405681.328720454, sequence: 8500 - clear  0.000000000, sequence: 0
source 0 - assert 1763405682.325359178, sequence: 8501 - clear  0.000000000, sequence: 0
source 0 - assert 1763405683.323028790, sequence: 8502 - clear  0.000000000, sequence: 0
source 0 - assert 1763405684.326089802, sequence: 8503 - clear  0.000000000, sequence: 0
source 0 - assert 1763405685.326174164, sequence: 8504 - clear  0.000000000, sequence: 0
source 0 - assert 1763405686.329332290, sequence: 8505 - clear  0.000000000, sequence: 0
source 0 - assert 1763405687.334202455, sequence: 8506 - clear  0.000000000, sequence: 0
