trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763409238.000010565, sequence: 12097 - clear  0.000000000, sequence: 0
source 0 - assert 1763409239.000010366, sequence: 12098 - clear  0.000000000, sequence: 0
source 0 - assert 1763409240.000004434, sequence: 12099 - clear  0.000000000, sequence: 0
source 0 - assert 1763409241.000008062, sequence: 12100 - clear  0.000000000, sequence: 0
source 0 - assert 1763409242.000006121, sequence: 12101 - clear  0.000000000, sequence: 0
source 0 - assert 1763409243.000011102, sequence: 12102 - clear  0.000000000, sequence: 0
source 0 - assert 1763409244.000008906, sequence: 12103 - clear  0.000000000, sequence: 0
source 0 - assert 1763409245.000006622, sequence: 12104 - clear  0.000000000, sequence: 0
source 0 - assert 1763409246.000005884, sequence: 12105 - clear  0.000000000, sequence: 0
source 0 - assert 1763409247.000004342, sequence: 12106 - clear  0.000000000, sequence: 0
source 0 - assert 1763409248.000005176, sequence: 12107 - clear  0.000000000, sequence: 0
source 0 - assert 1763409249.000008887, sequence: 12108 - clear  0.000000000, sequence: 0
source 0 - assert 1763409250.000007388, sequence: 12109 - clear  0.000000000, sequence: 0
source 0 - assert 1763409251.000005571, sequence: 12110 - clear  0.000000000, sequence: 0
source 0 - assert 1763409252.000007624, sequence: 12111 - clear  0.000000000, sequence: 0
source 0 - assert 1763409253.000008087, sequence: 12112 - clear  0.000000000, sequence: 0
source 0 - assert 1763409254.000004831, sequence: 12113 - clear  0.000000000, sequence: 0
source 0 - assert 1763409255.000007463, sequence: 12114 - clear  0.000000000, sequence: 0
source 0 - assert 1763409256.000005094, sequence: 12115 - clear  0.000000000, sequence: 0
source 0 - assert 1763409257.000008968, sequence: 12116 - clear  0.000000000, sequence: 0
source 0 - assert 1763409258.000003573, sequence: 12117 - clear  0.000000000, sequence: 0
source 0 - assert 1763409259.000005727, sequence: 12118 - clear  0.000000000, sequence: 0
source 0 - assert 1763409260.000008892, sequence: 12119 - clear  0.000000000, sequence: 0
source 0 - assert 1763409261.000007405, sequence: 12120 - clear  0.000000000, sequence: 0
source 0 - assert 1763409262.000008807, sequence: 12121 - clear  0.000000000, sequence: 0
source 0 - assert 1763409263.000009771, sequence: 12122 - clear  0.000000000, sequence: 0
source 0 - assert 1763409264.000007829, sequence: 12123 - clear  0.000000000, sequence: 0
source 0 - assert 1763409265.000005970, sequence: 12124 - clear  0.000000000, sequence: 0
source 0 - assert 1763409266.000010796, sequence: 12125 - clear  0.000000000, sequence: 0
source 0 - assert 1763409267.000007300, sequence: 12126 - clear  0.000000000, sequence: 0
source 0 - assert 1763409268.000005342, sequence: 12127 - clear  0.000000000, sequence: 0
source 0 - assert 1763409269.000007468, sequence: 12128 - clear  0.000000000, sequence: 0
source 0 - assert 1763409270.000007712, sequence: 12129 - clear  0.000000000, sequence: 0
source 0 - assert 1763409271.000007990, sequence: 12130 - clear  0.000000000, sequence: 0
source 0 - assert 1763409272.000008579, sequence: 12131 - clear  0.000000000, sequence: 0
source 0 - assert 1763409273.000008953, sequence: 12132 - clear  0.000000000, sequence: 0
source 0 - assert 1763409274.000005955, sequence: 12133 - clear  0.000000000, sequence: 0
source 0 - assert 1763409275.000009996, sequence: 12134 - clear  0.000000000, sequence: 0
source 0 - assert 1763409276.000005331, sequence: 12135 - clear  0.000000000, sequence: 0
source 0 - assert 1763409277.000007961, sequence: 12136 - clear  0.000000000, sequence: 0
source 0 - assert 1763409278.000007212, sequence: 12137 - clear  0.000000000, sequence: 0
source 0 - assert 1763409279.000008963, sequence: 12138 - clear  0.000000000, sequence: 0
source 0 - assert 1763409280.000007375, sequence: 12139 - clear  0.000000000, sequence: 0
source 0 - assert 1763409281.000004319, sequence: 12140 - clear  0.000000000, sequence: 0
source 0 - assert 1763409282.000009825, sequence: 12141 - clear  0.000000000, sequence: 0
source 0 - assert 1763409283.000009961, sequence: 12142 - clear  0.000000000, sequence: 0
source 0 - assert 1763409284.000002417, sequence: 12143 - clear  0.000000000, sequence: 0
source 0 - assert 1763409285.000008482, sequence: 12144 - clear  0.000000000, sequence: 0
source 0 - assert 1763409286.000003546, sequence: 12145 - clear  0.000000000, sequence: 0
source 0 - assert 1763409287.000008470, sequence: 12146 - clear  0.000000000, sequence: 0
source 0 - assert 1763409288.000007262, sequence: 12147 - clear  0.000000000, sequence: 0
source 0 - assert 1763409289.000006006, sequence: 12148 - clear  0.000000000, sequence: 0
source 0 - assert 1763409290.000007915, sequence: 12149 - clear  0.000000000, sequence: 0
source 0 - assert 1763409291.000005278, sequence: 12150 - clear  0.000000000, sequence: 0
