trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763409831.000009469, sequence: 12690 - clear  0.000000000, sequence: 0
source 0 - assert 1763409832.000004644, sequence: 12691 - clear  0.000000000, sequence: 0
source 0 - assert 1763409833.000004267, sequence: 12692 - clear  0.000000000, sequence: 0
source 0 - assert 1763409834.000003206, sequence: 12693 - clear  0.000000000, sequence: 0
source 0 - assert 1763409835.000006604, sequence: 12694 - clear  0.000000000, sequence: 0
source 0 - assert 1763409836.000009562, sequence: 12695 - clear  0.000000000, sequence: 0
source 0 - assert 1763409837.000008741, sequence: 12696 - clear  0.000000000, sequence: 0
source 0 - assert 1763409838.000009588, sequence: 12697 - clear  0.000000000, sequence: 0
source 0 - assert 1763409839.000006345, sequence: 12698 - clear  0.000000000, sequence: 0
source 0 - assert 1763409840.000004431, sequence: 12699 - clear  0.000000000, sequence: 0
source 0 - assert 1763409841.000005062, sequence: 12700 - clear  0.000000000, sequence: 0
source 0 - assert 1763409842.000009348, sequence: 12701 - clear  0.000000000, sequence: 0
source 0 - assert 1763409843.000005555, sequence: 12702 - clear  0.000000000, sequence: 0
source 0 - assert 1763409844.000003342, sequence: 12703 - clear  0.000000000, sequence: 0
source 0 - assert 1763409845.000003585, sequence: 12704 - clear  0.000000000, sequence: 0
source 0 - assert 1763409846.000006702, sequence: 12705 - clear  0.000000000, sequence: 0
source 0 - assert 1763409847.000002820, sequence: 12706 - clear  0.000000000, sequence: 0
source 0 - assert 1763409848.000009493, sequence: 12707 - clear  0.000000000, sequence: 0
source 0 - assert 1763409849.000007233, sequence: 12708 - clear  0.000000000, sequence: 0
source 0 - assert 1763409850.000004251, sequence: 12709 - clear  0.000000000, sequence: 0
source 0 - assert 1763409851.000005170, sequence: 12710 - clear  0.000000000, sequence: 0
source 0 - assert 1763409852.000004162, sequence: 12711 - clear  0.000000000, sequence: 0
source 0 - assert 1763409853.000007130, sequence: 12712 - clear  0.000000000, sequence: 0
source 0 - assert 1763409854.000006676, sequence: 12713 - clear  0.000000000, sequence: 0
source 0 - assert 1763409855.000005041, sequence: 12714 - clear  0.000000000, sequence: 0
source 0 - assert 1763409856.000006328, sequence: 12715 - clear  0.000000000, sequence: 0
source 0 - assert 1763409857.000005830, sequence: 12716 - clear  0.000000000, sequence: 0
source 0 - assert 1763409858.000003575, sequence: 12717 - clear  0.000000000, sequence: 0
source 0 - assert 1763409859.000007956, sequence: 12718 - clear  0.000000000, sequence: 0
source 0 - assert 1763409860.000006748, sequence: 12719 - clear  0.000000000, sequence: 0
source 0 - assert 1763409861.000005675, sequence: 12720 - clear  0.000000000, sequence: 0
source 0 - assert 1763409862.000004055, sequence: 12721 - clear  0.000000000, sequence: 0
source 0 - assert 1763409863.000004762, sequence: 12722 - clear  0.000000000, sequence: 0
source 0 - assert 1763409864.000007596, sequence: 12723 - clear  0.000000000, sequence: 0
source 0 - assert 1763409865.000005628, sequence: 12724 - clear  0.000000000, sequence: 0
source 0 - assert 1763409866.000004492, sequence: 12725 - clear  0.000000000, sequence: 0
source 0 - assert 1763409867.000003851, sequence: 12726 - clear  0.000000000, sequence: 0
source 0 - assert 1763409868.000011659, sequence: 12727 - clear  0.000000000, sequence: 0
source 0 - assert 1763409869.000006361, sequence: 12728 - clear  0.000000000, sequence: 0
source 0 - assert 1763409870.000009290, sequence: 12729 - clear  0.000000000, sequence: 0
source 0 - assert 1763409871.000005744, sequence: 12730 - clear  0.000000000, sequence: 0
source 0 - assert 1763409872.000003368, sequence: 12731 - clear  0.000000000, sequence: 0
source 0 - assert 1763409873.000004382, sequence: 12732 - clear  0.000000000, sequence: 0
source 0 - assert 1763409874.000004446, sequence: 12733 - clear  0.000000000, sequence: 0
