trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763409238.000011527, sequence: 12023 - clear  0.000000000, sequence: 0
source 0 - assert 1763409239.000010581, sequence: 12024 - clear  0.000000000, sequence: 0
source 0 - assert 1763409240.000010432, sequence: 12025 - clear  0.000000000, sequence: 0
source 0 - assert 1763409241.000011038, sequence: 12026 - clear  0.000000000, sequence: 0
source 0 - assert 1763409242.000011201, sequence: 12027 - clear  0.000000000, sequence: 0
source 0 - assert 1763409243.000010312, sequence: 12028 - clear  0.000000000, sequence: 0
source 0 - assert 1763409244.000010167, sequence: 12029 - clear  0.000000000, sequence: 0
source 0 - assert 1763409245.000009521, sequence: 12030 - clear  0.000000000, sequence: 0
source 0 - assert 1763409246.000009536, sequence: 12031 - clear  0.000000000, sequence: 0
source 0 - assert 1763409247.000011431, sequence: 12032 - clear  0.000000000, sequence: 0
source 0 - assert 1763409248.000011156, sequence: 12033 - clear  0.000000000, sequence: 0
source 0 - assert 1763409249.000012259, sequence: 12034 - clear  0.000000000, sequence: 0
source 0 - assert 1763409250.000010455, sequence: 12035 - clear  0.000000000, sequence: 0
source 0 - assert 1763409251.000008768, sequence: 12036 - clear  0.000000000, sequence: 0
source 0 - assert 1763409252.000009819, sequence: 12037 - clear  0.000000000, sequence: 0
source 0 - assert 1763409253.000011888, sequence: 12038 - clear  0.000000000, sequence: 0
source 0 - assert 1763409254.000012282, sequence: 12039 - clear  0.000000000, sequence: 0
source 0 - assert 1763409255.000010283, sequence: 12040 - clear  0.000000000, sequence: 0
source 0 - assert 1763409256.000011094, sequence: 12041 - clear  0.000000000, sequence: 0
source 0 - assert 1763409257.000011226, sequence: 12042 - clear  0.000000000, sequence: 0
source 0 - assert 1763409258.000010504, sequence: 12043 - clear  0.000000000, sequence: 0
source 0 - assert 1763409259.000010643, sequence: 12044 - clear  0.000000000, sequence: 0
source 0 - assert 1763409260.000013467, sequence: 12045 - clear  0.000000000, sequence: 0
source 0 - assert 1763409261.000006941, sequence: 12046 - clear  0.000000000, sequence: 0
source 0 - assert 1763409262.000007130, sequence: 12047 - clear  0.000000000, sequence: 0
source 0 - assert 1763409263.000011937, sequence: 12048 - clear  0.000000000, sequence: 0
source 0 - assert 1763409264.000069102, sequence: 12049 - clear  0.000000000, sequence: 0
source 0 - assert 1763409265.000010954, sequence: 12050 - clear  0.000000000, sequence: 0
source 0 - assert 1763409266.000010453, sequence: 12051 - clear  0.000000000, sequence: 0
source 0 - assert 1763409267.000010851, sequence: 12052 - clear  0.000000000, sequence: 0
source 0 - assert 1763409268.000011270, sequence: 12053 - clear  0.000000000, sequence: 0
source 0 - assert 1763409269.000010414, sequence: 12054 - clear  0.000000000, sequence: 0
source 0 - assert 1763409270.000009946, sequence: 12055 - clear  0.000000000, sequence: 0
source 0 - assert 1763409271.000012146, sequence: 12056 - clear  0.000000000, sequence: 0
source 0 - assert 1763409272.000011338, sequence: 12057 - clear  0.000000000, sequence: 0
source 0 - assert 1763409273.000012686, sequence: 12058 - clear  0.000000000, sequence: 0
source 0 - assert 1763409274.000011675, sequence: 12059 - clear  0.000000000, sequence: 0
source 0 - assert 1763409275.000012403, sequence: 12060 - clear  0.000000000, sequence: 0
source 0 - assert 1763409276.000011534, sequence: 12061 - clear  0.000000000, sequence: 0
