trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763410573.000021573, sequence: 13308 - clear  0.000000000, sequence: 0
source 0 - assert 1763410574.000024550, sequence: 13309 - clear  0.000000000, sequence: 0
source 0 - assert 1763410575.000022455, sequence: 13310 - clear  0.000000000, sequence: 0
source 0 - assert 1763410576.000023566, sequence: 13311 - clear  0.000000000, sequence: 0
source 0 - assert 1763410577.000021010, sequence: 13312 - clear  0.000000000, sequence: 0
source 0 - assert 1763410578.000024854, sequence: 13313 - clear  0.000000000, sequence: 0
source 0 - assert 1763410579.000005737, sequence: 13314 - clear  0.000000000, sequence: 0
source 0 - assert 1763410580.000010472, sequence: 13315 - clear  0.000000000, sequence: 0
source 0 - assert 1763410581.000023403, sequence: 13316 - clear  0.000000000, sequence: 0
source 0 - assert 1763410582.000025429, sequence: 13317 - clear  0.000000000, sequence: 0
source 0 - assert 1763410583.000027412, sequence: 13318 - clear  0.000000000, sequence: 0
source 0 - assert 1763410584.000024317, sequence: 13319 - clear  0.000000000, sequence: 0
source 0 - assert 1763410585.000024627, sequence: 13320 - clear  0.000000000, sequence: 0
source 0 - assert 1763410586.000023246, sequence: 13321 - clear  0.000000000, sequence: 0
source 0 - assert 1763410587.000026791, sequence: 13322 - clear  0.000000000, sequence: 0
source 0 - assert 1763410588.000030181, sequence: 13323 - clear  0.000000000, sequence: 0
source 0 - assert 1763410589.000024828, sequence: 13324 - clear  0.000000000, sequence: 0
source 0 - assert 1763410590.000025245, sequence: 13325 - clear  0.000000000, sequence: 0
source 0 - assert 1763410591.000029735, sequence: 13326 - clear  0.000000000, sequence: 0
source 0 - assert 1763410592.000024993, sequence: 13327 - clear  0.000000000, sequence: 0
source 0 - assert 1763410593.000025900, sequence: 13328 - clear  0.000000000, sequence: 0
source 0 - assert 1763410594.000028202, sequence: 13329 - clear  0.000000000, sequence: 0
source 0 - assert 1763410595.000027858, sequence: 13330 - clear  0.000000000, sequence: 0
