trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763413835.000008208, sequence: 16694 - clear  0.000000000, sequence: 0
source 0 - assert 1763413836.000003632, sequence: 16695 - clear  0.000000000, sequence: 0
source 0 - assert 1763413837.000004116, sequence: 16696 - clear  0.000000000, sequence: 0
source 0 - assert 1763413838.000004784, sequence: 16697 - clear  0.000000000, sequence: 0
source 0 - assert 1763413839.000003429, sequence: 16698 - clear  0.000000000, sequence: 0
source 0 - assert 1763413840.000007184, sequence: 16699 - clear  0.000000000, sequence: 0
source 0 - assert 1763413841.000008713, sequence: 16700 - clear  0.000000000, sequence: 0
source 0 - assert 1763413842.000007186, sequence: 16701 - clear  0.000000000, sequence: 0
source 0 - assert 1763413843.000005628, sequence: 16702 - clear  0.000000000, sequence: 0
source 0 - assert 1763413844.000005800, sequence: 16703 - clear  0.000000000, sequence: 0
source 0 - assert 1763413845.000004649, sequence: 16704 - clear  0.000000000, sequence: 0
source 0 - assert 1763413846.000007874, sequence: 16705 - clear  0.000000000, sequence: 0
source 0 - assert 1763413847.000009135, sequence: 16706 - clear  0.000000000, sequence: 0
source 0 - assert 1763413848.000004759, sequence: 16707 - clear  0.000000000, sequence: 0
source 0 - assert 1763413849.000006922, sequence: 16708 - clear  0.000000000, sequence: 0
source 0 - assert 1763413850.000005535, sequence: 16709 - clear  0.000000000, sequence: 0
source 0 - assert 1763413851.000005018, sequence: 16710 - clear  0.000000000, sequence: 0
source 0 - assert 1763413852.000007552, sequence: 16711 - clear  0.000000000, sequence: 0
source 0 - assert 1763413853.000006769, sequence: 16712 - clear  0.000000000, sequence: 0
source 0 - assert 1763413854.000006441, sequence: 16713 - clear  0.000000000, sequence: 0
source 0 - assert 1763413855.000004942, sequence: 16714 - clear  0.000000000, sequence: 0
source 0 - assert 1763413856.000005919, sequence: 16715 - clear  0.000000000, sequence: 0
source 0 - assert 1763413857.000010618, sequence: 16716 - clear  0.000000000, sequence: 0
source 0 - assert 1763413858.000007863, sequence: 16717 - clear  0.000000000, sequence: 0
source 0 - assert 1763413859.000006161, sequence: 16718 - clear  0.000000000, sequence: 0
source 0 - assert 1763413860.000005245, sequence: 16719 - clear  0.000000000, sequence: 0
source 0 - assert 1763413861.000012624, sequence: 16720 - clear  0.000000000, sequence: 0
source 0 - assert 1763413862.000008093, sequence: 16721 - clear  0.000000000, sequence: 0
source 0 - assert 1763413863.000009286, sequence: 16722 - clear  0.000000000, sequence: 0
source 0 - assert 1763413864.000004953, sequence: 16723 - clear  0.000000000, sequence: 0
source 0 - assert 1763413865.000005842, sequence: 16724 - clear  0.000000000, sequence: 0
source 0 - assert 1763413866.000006092, sequence: 16725 - clear  0.000000000, sequence: 0
source 0 - assert 1763413867.000011060, sequence: 16726 - clear  0.000000000, sequence: 0
source 0 - assert 1763413868.000007074, sequence: 16727 - clear  0.000000000, sequence: 0
source 0 - assert 1763413869.000005673, sequence: 16728 - clear  0.000000000, sequence: 0
source 0 - assert 1763413870.000010721, sequence: 16729 - clear  0.000000000, sequence: 0
source 0 - assert 1763413871.000001550, sequence: 16730 - clear  0.000000000, sequence: 0
source 0 - assert 1763413872.000009914, sequence: 16731 - clear  0.000000000, sequence: 0
source 0 - assert 1763413873.000008117, sequence: 16732 - clear  0.000000000, sequence: 0
source 0 - assert 1763413874.000009031, sequence: 16733 - clear  0.000000000, sequence: 0
source 0 - assert 1763413875.000009033, sequence: 16734 - clear  0.000000000, sequence: 0
source 0 - assert 1763413876.000004229, sequence: 16735 - clear  0.000000000, sequence: 0
source 0 - assert 1763413877.000008362, sequence: 16736 - clear  0.000000000, sequence: 0
source 0 - assert 1763413878.000009001, sequence: 16737 - clear  0.000000000, sequence: 0
source 0 - assert 1763413879.000007932, sequence: 16738 - clear  0.000000000, sequence: 0
source 0 - assert 1763413880.000010497, sequence: 16739 - clear  0.000000000, sequence: 0
source 0 - assert 1763413881.000008707, sequence: 16740 - clear  0.000000000, sequence: 0
source 0 - assert 1763413882.000005163, sequence: 16741 - clear  0.000000000, sequence: 0
source 0 - assert 1763413883.000005838, sequence: 16742 - clear  0.000000000, sequence: 0
source 0 - assert 1763413884.000008565, sequence: 16743 - clear  0.000000000, sequence: 0
source 0 - assert 1763413885.000009278, sequence: 16744 - clear  0.000000000, sequence: 0
source 0 - assert 1763413886.000008721, sequence: 16745 - clear  0.000000000, sequence: 0
source 0 - assert 1763413887.000003217, sequence: 16746 - clear  0.000000000, sequence: 0
source 0 - assert 1763413888.000007953, sequence: 16747 - clear  0.000000000, sequence: 0
source 0 - assert 1763413889.000003843, sequence: 16748 - clear  0.000000000, sequence: 0
source 0 - assert 1763413890.000011388, sequence: 16749 - clear  0.000000000, sequence: 0
source 0 - assert 1763413891.000006122, sequence: 16750 - clear  0.000000000, sequence: 0
source 0 - assert 1763413892.000011043, sequence: 16751 - clear  0.000000000, sequence: 0
source 0 - assert 1763413893.000009991, sequence: 16752 - clear  0.000000000, sequence: 0
source 0 - assert 1763413894.000007955, sequence: 16753 - clear  0.000000000, sequence: 0
source 0 - assert 1763413895.000005362, sequence: 16754 - clear  0.000000000, sequence: 0
source 0 - assert 1763413896.000007584, sequence: 16755 - clear  0.000000000, sequence: 0
source 0 - assert 1763413897.000006150, sequence: 16756 - clear  0.000000000, sequence: 0
source 0 - assert 1763413898.000010152, sequence: 16757 - clear  0.000000000, sequence: 0
source 0 - assert 1763413899.000006238, sequence: 16758 - clear  0.000000000, sequence: 0
source 0 - assert 1763413900.000003239, sequence: 16759 - clear  0.000000000, sequence: 0
source 0 - assert 1763413901.000007166, sequence: 16760 - clear  0.000000000, sequence: 0
source 0 - assert 1763413902.000005654, sequence: 16761 - clear  0.000000000, sequence: 0
source 0 - assert 1763413903.000009129, sequence: 16762 - clear  0.000000000, sequence: 0
source 0 - assert 1763413904.000006370, sequence: 16763 - clear  0.000000000, sequence: 0
source 0 - assert 1763413905.000007786, sequence: 16764 - clear  0.000000000, sequence: 0
source 0 - assert 1763413906.000008412, sequence: 16765 - clear  0.000000000, sequence: 0
source 0 - assert 1763413907.000006589, sequence: 16766 - clear  0.000000000, sequence: 0
source 0 - assert 1763413908.000008572, sequence: 16767 - clear  0.000000000, sequence: 0
source 0 - assert 1763413909.000003620, sequence: 16768 - clear  0.000000000, sequence: 0
source 0 - assert 1763413910.000006702, sequence: 16769 - clear  0.000000000, sequence: 0
source 0 - assert 1763413911.000008248, sequence: 16770 - clear  0.000000000, sequence: 0
