trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763414509.000008242, sequence: 17368 - clear  0.000000000, sequence: 0
source 0 - assert 1763414510.000010778, sequence: 17369 - clear  0.000000000, sequence: 0
source 0 - assert 1763414511.000003177, sequence: 17370 - clear  0.000000000, sequence: 0
source 0 - assert 1763414512.000008860, sequence: 17371 - clear  0.000000000, sequence: 0
source 0 - assert 1763414513.000004993, sequence: 17372 - clear  0.000000000, sequence: 0
source 0 - assert 1763414514.000005538, sequence: 17373 - clear  0.000000000, sequence: 0
source 0 - assert 1763414515.000007964, sequence: 17374 - clear  0.000000000, sequence: 0
source 0 - assert 1763414516.000006338, sequence: 17375 - clear  0.000000000, sequence: 0
source 0 - assert 1763414517.000006001, sequence: 17376 - clear  0.000000000, sequence: 0
source 0 - assert 1763414518.000008707, sequence: 17377 - clear  0.000000000, sequence: 0
source 0 - assert 1763414519.000008879, sequence: 17378 - clear  0.000000000, sequence: 0
source 0 - assert 1763414520.000011326, sequence: 17379 - clear  0.000000000, sequence: 0
source 0 - assert 1763414521.000008406, sequence: 17380 - clear  0.000000000, sequence: 0
source 0 - assert 1763414522.000008697, sequence: 17381 - clear  0.000000000, sequence: 0
source 0 - assert 1763414523.000009896, sequence: 17382 - clear  0.000000000, sequence: 0
source 0 - assert 1763414524.000003905, sequence: 17383 - clear  0.000000000, sequence: 0
source 0 - assert 1763414525.000008624, sequence: 17384 - clear  0.000000000, sequence: 0
source 0 - assert 1763414526.000009096, sequence: 17385 - clear  0.000000000, sequence: 0
source 0 - assert 1763414527.000011674, sequence: 17386 - clear  0.000000000, sequence: 0
source 0 - assert 1763414528.000007363, sequence: 17387 - clear  0.000000000, sequence: 0
source 0 - assert 1763414529.000007514, sequence: 17388 - clear  0.000000000, sequence: 0
source 0 - assert 1763414530.000007433, sequence: 17389 - clear  0.000000000, sequence: 0
source 0 - assert 1763414531.000011964, sequence: 17390 - clear  0.000000000, sequence: 0
source 0 - assert 1763414532.000007436, sequence: 17391 - clear  0.000000000, sequence: 0
source 0 - assert 1763414533.000004137, sequence: 17392 - clear  0.000000000, sequence: 0
source 0 - assert 1763414534.000009152, sequence: 17393 - clear  0.000000000, sequence: 0
source 0 - assert 1763414535.000007111, sequence: 17394 - clear  0.000000000, sequence: 0
source 0 - assert 1763414536.000005168, sequence: 17395 - clear  0.000000000, sequence: 0
source 0 - assert 1763414537.000008069, sequence: 17396 - clear  0.000000000, sequence: 0
source 0 - assert 1763414538.000007236, sequence: 17397 - clear  0.000000000, sequence: 0
source 0 - assert 1763414539.000004303, sequence: 17398 - clear  0.000000000, sequence: 0
source 0 - assert 1763414540.000007583, sequence: 17399 - clear  0.000000000, sequence: 0
source 0 - assert 1763414541.000006587, sequence: 17400 - clear  0.000000000, sequence: 0
source 0 - assert 1763414542.000010169, sequence: 17401 - clear  0.000000000, sequence: 0
source 0 - assert 1763414543.000006451, sequence: 17402 - clear  0.000000000, sequence: 0
source 0 - assert 1763414544.000006745, sequence: 17403 - clear  0.000000000, sequence: 0
source 0 - assert 1763414545.000005825, sequence: 17404 - clear  0.000000000, sequence: 0
source 0 - assert 1763414546.000007898, sequence: 17405 - clear  0.000000000, sequence: 0
source 0 - assert 1763414547.000004334, sequence: 17406 - clear  0.000000000, sequence: 0
source 0 - assert 1763414548.000010404, sequence: 17407 - clear  0.000000000, sequence: 0
source 0 - assert 1763414549.000006365, sequence: 17408 - clear  0.000000000, sequence: 0
source 0 - assert 1763414550.000007981, sequence: 17409 - clear  0.000000000, sequence: 0
source 0 - assert 1763414551.000007900, sequence: 17410 - clear  0.000000000, sequence: 0
source 0 - assert 1763414552.000004122, sequence: 17411 - clear  0.000000000, sequence: 0
source 0 - assert 1763414553.000009625, sequence: 17412 - clear  0.000000000, sequence: 0
source 0 - assert 1763414554.000009793, sequence: 17413 - clear  0.000000000, sequence: 0
source 0 - assert 1763414555.000003752, sequence: 17414 - clear  0.000000000, sequence: 0
source 0 - assert 1763414556.000008166, sequence: 17415 - clear  0.000000000, sequence: 0
source 0 - assert 1763414557.000012487, sequence: 17416 - clear  0.000000000, sequence: 0
source 0 - assert 1763414558.000007166, sequence: 17417 - clear  0.000000000, sequence: 0
source 0 - assert 1763414559.000008595, sequence: 17418 - clear  0.000000000, sequence: 0
source 0 - assert 1763414560.000007619, sequence: 17419 - clear  0.000000000, sequence: 0
source 0 - assert 1763414561.000007090, sequence: 17420 - clear  0.000000000, sequence: 0
source 0 - assert 1763414562.000003682, sequence: 17421 - clear  0.000000000, sequence: 0
source 0 - assert 1763414563.000006481, sequence: 17422 - clear  0.000000000, sequence: 0
source 0 - assert 1763414564.000009136, sequence: 17423 - clear  0.000000000, sequence: 0
source 0 - assert 1763414565.000004316, sequence: 17424 - clear  0.000000000, sequence: 0
source 0 - assert 1763414566.000008015, sequence: 17425 - clear  0.000000000, sequence: 0
source 0 - assert 1763414567.000007498, sequence: 17426 - clear  0.000000000, sequence: 0
source 0 - assert 1763414568.000007278, sequence: 17427 - clear  0.000000000, sequence: 0
source 0 - assert 1763414569.000004571, sequence: 17428 - clear  0.000000000, sequence: 0
source 0 - assert 1763414570.000009739, sequence: 17429 - clear  0.000000000, sequence: 0
source 0 - assert 1763414571.000006373, sequence: 17430 - clear  0.000000000, sequence: 0
source 0 - assert 1763414572.000007470, sequence: 17431 - clear  0.000000000, sequence: 0
source 0 - assert 1763414573.000006463, sequence: 17432 - clear  0.000000000, sequence: 0
source 0 - assert 1763414574.000007449, sequence: 17433 - clear  0.000000000, sequence: 0
source 0 - assert 1763414575.000009314, sequence: 17434 - clear  0.000000000, sequence: 0
source 0 - assert 1763414576.000007529, sequence: 17435 - clear  0.000000000, sequence: 0
source 0 - assert 1763414577.000006343, sequence: 17436 - clear  0.000000000, sequence: 0
source 0 - assert 1763414578.000005100, sequence: 17437 - clear  0.000000000, sequence: 0
source 0 - assert 1763414579.000003671, sequence: 17438 - clear  0.000000000, sequence: 0
source 0 - assert 1763414580.000007483, sequence: 17439 - clear  0.000000000, sequence: 0
source 0 - assert 1763414581.000006524, sequence: 17440 - clear  0.000000000, sequence: 0
source 0 - assert 1763414582.000008341, sequence: 17441 - clear  0.000000000, sequence: 0
source 0 - assert 1763414583.000004731, sequence: 17442 - clear  0.000000000, sequence: 0
