ptp4l[23249.903]: selected /dev/ptp0 as PTP clock
ptp4l[23249.912]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[23249.918]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[23249.922]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[23249.924]: timeguard: registered, proxy_id=0x47f1b6fa926d8a98

ptp4l[23249.925]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[23257.038]: selected local clock 000000.fffe.049f06 as best master
ptp4l[23257.039]: TEE: InvokeCommand returned 0x0

ptp4l[23257.041]: TEE: InvokeCommand returned 0x0

ptp4l[23257.042]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[23257.285]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[23261.130]: selected best master clock 641c10.fffe.f12579
ptp4l[23261.132]: TEE: InvokeCommand returned 0x0

ptp4l[23261.134]: TEE: InvokeCommand returned 0x0

ptp4l[23261.134]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[23261.137]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[23263.041]: master offset -571147443 s0 freq  -81144 path delay   3788380
ptp4l[23263.999]: master offset -616194603 s1 freq -32767999 path delay   7082405
ptp4l[23264.965]: master offset  -41408709 s2 freq -32767999 path delay   7082405
ptp4l[23264.967]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[23266.065]: master offset  -25241829 s2 freq -32767999 path delay   3788380
ptp4l[23267.167]: master offset   19112693 s2 freq -13655306 path delay    335146
ptp4l[23268.265]: master offset   48165339 s2 freq +21131148 path delay  -4886821
ptp4l[23269.365]: master offset   17639847 s2 freq +5055258 path delay  -3118087
ptp4l[23270.465]: master offset   10245186 s2 freq +2952551 path delay  -1307968
ptp4l[23271.547]: master offset   -7587121 s2 freq -11806201 path delay    376473
ptp4l[23272.591]: master offset    4405539 s2 freq -2089677 path delay    376473
ptp4l[23273.617]: master offset   16760512 s2 freq +11586958 path delay  -1433645
ptp4l[23274.624]: master offset  -26333885 s2 freq -26479286 path delay    376473
ptp4l[23275.606]: master offset  -24511244 s2 freq -32556810 path delay    376473
ptp4l[23276.597]: master offset   16440960 s2 freq +1042021 path delay    376473
ptp4l[23277.615]: master offset   14111383 s2 freq +3644732 path delay    306216
ptp4l[23278.627]: master offset   -8987769 s2 freq -15221005 path delay    306216
ptp4l[23279.617]: master offset    6148574 s2 freq -2780993 path delay    306216
ptp4l[23280.616]: master offset    7512970 s2 freq +427975 path delay      1922
ptp4l[23281.618]: master offset    6532173 s2 freq +1701069 path delay    162216
ptp4l[23282.618]: master offset   -2715148 s2 freq -5586600 path delay    162216
ptp4l[23283.612]: master offset  -24663223 s2 freq -28349219 path delay    170200
ptp4l[23284.599]: master offset    5991900 s2 freq -5093063 path delay    170200
ptp4l[23285.606]: master offset   11109904 s2 freq +1822511 path delay    170200
ptp4l[23286.620]: master offset    5060177 s2 freq -894245 path delay    170200
ptp4l[23287.622]: master offset   -6963326 s2 freq -11399695 path delay     61885
ptp4l[23288.614]: master offset    5042192 s2 freq -1483175 path delay     61885
ptp4l[23289.614]: master offset    2701305 s2 freq -2311404 path delay     61885
ptp4l[23290.616]: master offset    4589753 s2 freq +387435 path delay     61885
ptp4l[23291.616]: master offset  -10073303 s2 freq -12898695 path delay     66730
ptp4l[23292.611]: master offset    3321791 s2 freq -2525592 path delay     66730
ptp4l[23293.615]: master offset   15886391 s2 freq +11035546 path delay    -81528
ptp4l[23294.627]: master offset   -5214022 s2 freq -5298950 path delay    -81528
ptp4l[23295.617]: master offset    -223593 s2 freq -1872728 path delay    -81528
ptp4l[23296.611]: master offset  -14750557 s2 freq -16466770 path delay    -81528
ptp4l[23297.605]: master offset    2649102 s2 freq -3492278 path delay   -161698
ptp4l[23298.605]: master offset  -29851313 s2 freq -32767999 path delay    -81528
ptp4l[23299.599]: master offset  -19884732 s2 freq -25231381 path delay  -1127115
ptp4l[23300.597]: master offset   10722249 s2 freq -589820 path delay  -1127115
ptp4l[23301.614]: master offset   -2199337 s2 freq -10294731 path delay  -1127115
ptp4l[23302.619]: master offset  -15187175 s2 freq -23942370 path delay  -1127115
ptp4l[23303.612]: master offset    9222736 s2 freq -4088612 path delay  -1127115
ptp4l[23304.618]: master offset   13286477 s2 freq +2741950 path delay  -1138414
ptp4l[23305.627]: master offset   -6911240 s2 freq -13469824 path delay   -488801
ptp4l[23306.620]: master offset    6620712 s2 freq -2011244 path delay   -654218
ptp4l[23307.620]: master offset    8490100 s2 freq +1844358 path delay   -654218
ptp4l[23308.628]: master offset    8540315 s2 freq +4441603 path delay   -654218
ptp4l[23309.627]: master offset    3697518 s2 freq +2160900 path delay   -654218
ptp4l[23310.620]: master offset   -6110277 s2 freq -6537639 path delay   -488801
ptp4l[23311.612]: master offset      12706 s2 freq -2247739 path delay   -488801
ptp4l[23312.612]: master offset    1998631 s2 freq -258002 path delay   -385401
ptp4l[23313.614]: master offset    2160986 s2 freq +503942 path delay   -385401
ptp4l[23314.616]: master offset   -6057039 s2 freq -7065787 path delay   -242758
ptp4l[23315.614]: master offset   -8800650 s2 freq -11626510 path delay   -242758
ptp4l[23316.610]: master offset   -4509153 s2 freq -9975208 path delay   -367221
ptp4l[23317.611]: master offset   -8020316 s2 freq -14839117 path delay   -456999
ptp4l[23318.612]: master offset  -24907590 s2 freq -32767999 path delay   -456999
ptp4l[23319.607]: master offset   16059436 s2 freq +6834540 path delay   -456999
ptp4l[23320.621]: master offset   -5539737 s2 freq -9946802 path delay   -456999
ptp4l[23321.621]: master offset    4770659 s2 freq -1298327 path delay   -900694
ptp4l[23322.621]: master offset    2626482 s2 freq -2011306 path delay   -900694
ptp4l[23323.621]: master offset  -19626704 s2 freq -23476548 path delay   -900694
ptp4l[23324.610]: master offset    4787059 s2 freq -4950796 path delay   -900694
ptp4l[23325.615]: master offset  -17262828 s2 freq -25564565 path delay   -764728
ptp4l[23326.612]: master offset   13295879 s2 freq -184707 path delay   -764728
ptp4l[23327.622]: master offset   12625973 s2 freq +3134151 path delay   -331624
ptp4l[23328.632]: master offset    9038921 s2 freq +3334891 path delay   -331624
ptp4l[23329.631]: master offset    5153415 s2 freq +2161061 path delay    -32670
ptp4l[23330.626]: master offset   -7833059 s2 freq -9279388 path delay    -32670
ptp4l[23331.617]: master offset    1290897 s2 freq -2505350 path delay    -32670
ptp4l[23332.615]: master offset   -6378154 s2 freq -9787132 path delay   -155469
ptp4l[23333.614]: master offset    3570251 s2 freq -1752173 path delay   -155469
ptp4l[23334.618]: master offset   -6905071 s2 freq -11156420 path delay   -155469
ptp4l[23335.617]: master offset  -24596103 s2 freq -30918973 path delay   -305457
ptp4l[23336.607]: master offset    6028889 s2 freq -7672812 path delay   -305457
ptp4l[23337.616]: master offset   12043437 s2 freq +150403 path delay   -609794
ptp4l[23338.630]: master offset   11485253 s2 freq +3205250 path delay   -609794
ptp4l[23339.634]: master offset    8011067 s2 freq +3176640 path delay   -609794
ptp4l[23340.631]: master offset  -15409523 s2 freq -17840630 path delay   -609794
ptp4l[23341.616]: master offset    1481529 s2 freq -5572435 path delay  -1902293
ptp4l[23342.614]: master offset   -4740961 s2 freq -11350466 path delay  -1896801
ptp4l[23343.616]: master offset    6030997 s2 freq -2000797 path delay  -2380028
ptp4l[23344.620]: master offset    7601915 s2 freq +1379420 path delay  -2380028
ptp4l[23345.621]: master offset     791051 s2 freq -3150869 path delay  -1038295
ptp4l[23346.624]: master offset    3757263 s2 freq  +52658 path delay  -1038295
ptp4l[23347.623]: master offset   -6424626 s2 freq -9002052 path delay   -280958
ptp4l[23348.619]: master offset    2712600 s2 freq -1792214 path delay   -280958
ptp4l[23349.620]: master offset   -7970533 s2 freq -11661567 path delay   -610038
ptp4l[23350.618]: master offset    4029414 s2 freq -2052780 path delay   -610038
ptp4l[23351.621]: master offset  -14921973 s2 freq -19795342 path delay   -368498
ptp4l[23352.618]: master offset    5343935 s2 freq -4006026 path delay   -368498
ptp4l[23353.627]: master offset    8528922 s2 freq +782141 path delay   -368498
ptp4l[23354.634]: master offset  -14758884 s2 freq -19946988 path delay   -242522
ptp4l[23355.621]: master offset  -13466424 s2 freq -23082193 path delay   -528621
ptp4l[23356.614]: master offset   10939876 s2 freq -2715821 path delay   -528621
ptp4l[23357.624]: master offset   -1053404 s2 freq -11427138 path delay  -2094161
ptp4l[23358.627]: master offset   -4656086 s2 freq -15345841 path delay  -1907524
ptp4l[23359.623]: master offset  -22965932 s2 freq -32767999 path delay  -2094161
ptp4l[23360.613]: master offset  -16773558 s2 freq -28860139 path delay  -2094161
ptp4l[23361.608]: master offset   12891297 s2 freq -4227351 path delay  -2601092
ptp4l[23362.625]: master offset   22104888 s2 freq +8853629 path delay  -2043135
ptp4l[23363.646]: master offset   12835024 s2 freq +6215231 path delay  -2043135
ptp4l[23364.641]: master offset  -16151035 s2 freq -18920320 path delay  -1820613
ptp4l[23365.628]: master offset    4481821 s2 freq -3132775 path delay  -2214499
ptp4l[23366.620]: master offset  -14009876 s2 freq -20279926 path delay  -1247322
ptp4l[23367.620]: master offset    8294872 s2 freq -2178140 path delay  -2214499
ptp4l[23368.623]: master offset   -6542166 s2 freq -14526717 path delay  -1247322
ptp4l[23369.627]: master offset    8546218 s2 freq -1400983 path delay  -1247322
ptp4l[23370.629]: master offset  -13111553 s2 freq -20494888 path delay  -1247322
ptp4l[23371.624]: master offset    1963583 s2 freq -9353218 path delay  -1247322
ptp4l[23372.625]: master offset   11042376 s2 freq +314650 path delay  -1247322
ptp4l[23373.642]: master offset   13332266 s2 freq +5917253 path delay  -3370079
ptp4l[23374.640]: master offset    6883296 s2 freq +3467962 path delay  -3370079
ptp4l[23375.637]: master offset    2237786 s2 freq +887441 path delay  -2402902
ptp4l[23376.626]: master offset   -4991541 s2 freq -5670550 path delay  -2261093
ptp4l[23377.624]: master offset   -1403983 s2 freq -3580454 path delay   -622732
ptp4l[23378.625]: master offset   -8742369 s2 freq -11340035 path delay  -2457527
ptp4l[23379.627]: master offset   -8346270 s2 freq -13566647 path delay  -4111130
ptp4l[23380.616]: master offset    4729924 s2 freq -2994334 path delay  -4111130
ptp4l[23381.625]: master offset    5962561 s2 freq -342720 path delay  -2457527
ptp4l[23382.629]: master offset   -7516961 s2 freq -12033473 path delay   -556607
ptp4l[23383.628]: master offset    -164305 s2 freq -6935906 path delay   -556607
ptp4l[23384.626]: master offset    2574323 s2 freq -4246569 path delay   -556607
ptp4l[23385.632]: master offset    6442528 s2 freq +393933 path delay   -556607
ptp4l[23386.632]: master offset  -19247653 s2 freq -23363490 path delay   -556607
ptp4l[23387.624]: master offset  -21102799 s2 freq -30992932 path delay  -1868683
ptp4l[23388.612]: master offset   10948153 s2 freq -5272820 path delay  -3522286
ptp4l[23389.625]: master offset    3446068 s2 freq -9490459 path delay  -3522286
ptp4l[23390.632]: master offset   11452213 s2 freq -450493 path delay  -2425344
ptp4l[23391.633]: master offset    9608941 s2 freq +1141899 path delay  -1113268
ptp4l[23392.640]: master offset    8231774 s2 freq +2647414 path delay  -1113268
ptp4l[23393.645]: master offset   -1114838 s2 freq -4229666 path delay  -2425344
ptp4l[23394.633]: master offset  -19952454 s2 freq -23401733 path delay  -2425344
ptp4l[23395.616]: master offset  -17354260 s2 freq -26789275 path delay  -2607973
ptp4l[23396.611]: master offset    7343395 s2 freq -7297898 path delay  -2607973
ptp4l[23397.620]: master offset   14240818 s2 freq +1802543 path delay  -2607973
ptp4l[23398.643]: master offset   20819675 s2 freq +12653646 path delay  -2607973
ptp4l[23399.651]: master offset  -11044460 s2 freq -12964587 path delay  -2061198
ptp4l[23400.631]: master offset  -30797796 s2 freq -32767999 path delay  -1701743
ptp4l[23401.613]: master offset   11399605 s2 freq +6166140 path delay  -2924003
ptp4l[23402.621]: master offset    4932821 s2 freq +3119238 path delay  -2924003
ptp4l[23403.637]: master offset  -10171001 s2 freq -10504738 path delay  -3295286
ptp4l[23404.628]: master offset     264153 s2 freq -3120884 path delay  -2935831
ptp4l[23405.626]: master offset    1780980 s2 freq -1524812 path delay  -1498702
ptp4l[23406.627]: master offset   -4516544 s2 freq -7288042 path delay   -448766
ptp4l[23407.631]: master offset    2392143 s2 freq -1734318 path delay   -448766
ptp4l[23408.635]: master offset  -10855967 s2 freq -14264785 path delay  -1514612
ptp4l[23409.631]: master offset  -15307055 s2 freq -21972663 path delay  -2935831
ptp4l[23410.620]: master offset    9760681 s2 freq -1497044 path delay  -3713134
ptp4l[23411.627]: master offset  -14996982 s2 freq -23326502 path delay  -1496277
ptp4l[23412.628]: master offset    9219106 s2 freq -3609509 path delay  -1299829
ptp4l[23413.638]: master offset   -1263214 s2 freq -11326097 path delay  -2331430
ptp4l[23414.639]: master offset    1120327 s2 freq -9321520 path delay  -3323515
ptp4l[23415.633]: master offset    8210565 s2 freq -1895184 path delay  -3323515
ptp4l[23416.635]: master offset    9729896 s2 freq +2087316 path delay  -3323515
ptp4l[23417.638]: master offset    6444303 s2 freq +1720692 path delay  -2331430
ptp4l[23418.637]: master offset   12581641 s2 freq +9791321 path delay  -2692452
