trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763413834.000009805, sequence: 16479 - clear  0.000000000, sequence: 0
source 0 - assert 1763413835.000011477, sequence: 16480 - clear  0.000000000, sequence: 0
source 0 - assert 1763413836.000009413, sequence: 16481 - clear  0.000000000, sequence: 0
source 0 - assert 1763413837.000011723, sequence: 16482 - clear  0.000000000, sequence: 0
source 0 - assert 1763413838.000005120, sequence: 16483 - clear  0.000000000, sequence: 0
source 0 - assert 1763413839.000009695, sequence: 16484 - clear  0.000000000, sequence: 0
source 0 - assert 1763413839.999672799, sequence: 16485 - clear  0.000000000, sequence: 0
source 0 - assert 1763413841.037210080, sequence: 16486 - clear  0.000000000, sequence: 0
source 0 - assert 1763413842.123522780, sequence: 16487 - clear  0.000000000, sequence: 0
source 0 - assert 1763413843.193833413, sequence: 16488 - clear  0.000000000, sequence: 0
source 0 - assert 1763413844.299448914, sequence: 16489 - clear  0.000000000, sequence: 0
source 0 - assert 1763413845.420832914, sequence: 16490 - clear  0.000000000, sequence: 0
source 0 - assert 1763413846.522329708, sequence: 16491 - clear  0.000000000, sequence: 0
source 0 - assert 1763413847.593387332, sequence: 16492 - clear  0.000000000, sequence: 0
source 0 - assert 1763413848.613686225, sequence: 16493 - clear  0.000000000, sequence: 0
source 0 - assert 1763413849.656512833, sequence: 16494 - clear  0.000000000, sequence: 0
source 0 - assert 1763413850.652107793, sequence: 16495 - clear  0.000000000, sequence: 0
source 0 - assert 1763413851.625413318, sequence: 16496 - clear  0.000000000, sequence: 0
source 0 - assert 1763413852.609689712, sequence: 16497 - clear  0.000000000, sequence: 0
source 0 - assert 1763413853.648443966, sequence: 16498 - clear  0.000000000, sequence: 0
source 0 - assert 1763413854.660497927, sequence: 16499 - clear  0.000000000, sequence: 0
source 0 - assert 1763413855.639599054, sequence: 16500 - clear  0.000000000, sequence: 0
source 0 - assert 1763413856.644663777, sequence: 16501 - clear  0.000000000, sequence: 0
source 0 - assert 1763413857.646949365, sequence: 16502 - clear  0.000000000, sequence: 0
source 0 - assert 1763413858.664493576, sequence: 16503 - clear  0.000000000, sequence: 0
source 0 - assert 1763413859.656228471, sequence: 16504 - clear  0.000000000, sequence: 0
source 0 - assert 1763413860.630915980, sequence: 16505 - clear  0.000000000, sequence: 0
source 0 - assert 1763413861.646780920, sequence: 16506 - clear  0.000000000, sequence: 0
source 0 - assert 1763413862.661000481, sequence: 16507 - clear  0.000000000, sequence: 0
source 0 - assert 1763413863.668838470, sequence: 16508 - clear  0.000000000, sequence: 0
source 0 - assert 1763413864.655832780, sequence: 16509 - clear  0.000000000, sequence: 0
source 0 - assert 1763413865.661920710, sequence: 16510 - clear  0.000000000, sequence: 0
source 0 - assert 1763413866.661384960, sequence: 16511 - clear  0.000000000, sequence: 0
source 0 - assert 1763413867.666632407, sequence: 16512 - clear  0.000000000, sequence: 0
source 0 - assert 1763413868.655412385, sequence: 16513 - clear  0.000000000, sequence: 0
source 0 - assert 1763413869.674713516, sequence: 16514 - clear  0.000000000, sequence: 0
source 0 - assert 1763413870.685734465, sequence: 16515 - clear  0.000000000, sequence: 0
source 0 - assert 1763413871.670220673, sequence: 16516 - clear  0.000000000, sequence: 0
source 0 - assert 1763413872.672488501, sequence: 16517 - clear  0.000000000, sequence: 0
source 0 - assert 1763413873.682899187, sequence: 16518 - clear  0.000000000, sequence: 0
source 0 - assert 1763413874.677532673, sequence: 16519 - clear  0.000000000, sequence: 0
source 0 - assert 1763413875.666093776, sequence: 16520 - clear  0.000000000, sequence: 0
source 0 - assert 1763413876.660189138, sequence: 16521 - clear  0.000000000, sequence: 0
source 0 - assert 1763413877.694216466, sequence: 16522 - clear  0.000000000, sequence: 0
source 0 - assert 1763413878.693115054, sequence: 16523 - clear  0.000000000, sequence: 0
source 0 - assert 1763413879.676130920, sequence: 16524 - clear  0.000000000, sequence: 0
source 0 - assert 1763413880.688528377, sequence: 16525 - clear  0.000000000, sequence: 0
source 0 - assert 1763413881.699682843, sequence: 16526 - clear  0.000000000, sequence: 0
source 0 - assert 1763413882.683922779, sequence: 16527 - clear  0.000000000, sequence: 0
source 0 - assert 1763413883.690803599, sequence: 16528 - clear  0.000000000, sequence: 0
source 0 - assert 1763413884.707233478, sequence: 16529 - clear  0.000000000, sequence: 0
source 0 - assert 1763413885.704061055, sequence: 16530 - clear  0.000000000, sequence: 0
source 0 - assert 1763413886.701075235, sequence: 16531 - clear  0.000000000, sequence: 0
source 0 - assert 1763413887.691074361, sequence: 16532 - clear  0.000000000, sequence: 0
source 0 - assert 1763413888.693156049, sequence: 16533 - clear  0.000000000, sequence: 0
source 0 - assert 1763413889.696519306, sequence: 16534 - clear  0.000000000, sequence: 0
source 0 - assert 1763413890.699821954, sequence: 16535 - clear  0.000000000, sequence: 0
source 0 - assert 1763413891.694947933, sequence: 16536 - clear  0.000000000, sequence: 0
source 0 - assert 1763413892.691516901, sequence: 16537 - clear  0.000000000, sequence: 0
source 0 - assert 1763413893.711322784, sequence: 16538 - clear  0.000000000, sequence: 0
source 0 - assert 1763413894.700737197, sequence: 16539 - clear  0.000000000, sequence: 0
source 0 - assert 1763413895.687973144, sequence: 16540 - clear  0.000000000, sequence: 0
source 0 - assert 1763413896.714226340, sequence: 16541 - clear  0.000000000, sequence: 0
source 0 - assert 1763413897.704456329, sequence: 16542 - clear  0.000000000, sequence: 0
source 0 - assert 1763413898.723893272, sequence: 16543 - clear  0.000000000, sequence: 0
source 0 - assert 1763413899.719688033, sequence: 16544 - clear  0.000000000, sequence: 0
source 0 - assert 1763413900.707652656, sequence: 16545 - clear  0.000000000, sequence: 0
source 0 - assert 1763413901.713226635, sequence: 16546 - clear  0.000000000, sequence: 0
source 0 - assert 1763413902.699503052, sequence: 16547 - clear  0.000000000, sequence: 0
source 0 - assert 1763413903.726743884, sequence: 16548 - clear  0.000000000, sequence: 0
source 0 - assert 1763413904.732628803, sequence: 16549 - clear  0.000000000, sequence: 0
source 0 - assert 1763413905.731519744, sequence: 16550 - clear  0.000000000, sequence: 0
source 0 - assert 1763413906.730052024, sequence: 16551 - clear  0.000000000, sequence: 0
source 0 - assert 1763413907.719307524, sequence: 16552 - clear  0.000000000, sequence: 0
source 0 - assert 1763413908.731191160, sequence: 16553 - clear  0.000000000, sequence: 0
source 0 - assert 1763413909.726055993, sequence: 16554 - clear  0.000000000, sequence: 0
source 0 - assert 1763413910.743239016, sequence: 16555 - clear  0.000000000, sequence: 0
source 0 - assert 1763413911.732110936, sequence: 16556 - clear  0.000000000, sequence: 0
source 0 - assert 1763413912.711973777, sequence: 16557 - clear  0.000000000, sequence: 0
source 0 - assert 1763413913.737454116, sequence: 16558 - clear  0.000000000, sequence: 0
source 0 - assert 1763413914.747378249, sequence: 16559 - clear  0.000000000, sequence: 0
source 0 - assert 1763413915.755935939, sequence: 16560 - clear  0.000000000, sequence: 0
source 0 - assert 1763413916.750990285, sequence: 16561 - clear  0.000000000, sequence: 0
source 0 - assert 1763413917.733538953, sequence: 16562 - clear  0.000000000, sequence: 0
source 0 - assert 1763413918.746132276, sequence: 16563 - clear  0.000000000, sequence: 0
source 0 - assert 1763413919.743280388, sequence: 16564 - clear  0.000000000, sequence: 0
source 0 - assert 1763413920.749826435, sequence: 16565 - clear  0.000000000, sequence: 0
source 0 - assert 1763413921.753731456, sequence: 16566 - clear  0.000000000, sequence: 0
source 0 - assert 1763413922.753287324, sequence: 16567 - clear  0.000000000, sequence: 0
source 0 - assert 1763413923.760785047, sequence: 16568 - clear  0.000000000, sequence: 0
source 0 - assert 1763413924.753460715, sequence: 16569 - clear  0.000000000, sequence: 0
source 0 - assert 1763413925.759340726, sequence: 16570 - clear  0.000000000, sequence: 0
source 0 - assert 1763413926.757151524, sequence: 16571 - clear  0.000000000, sequence: 0
source 0 - assert 1763413927.760438638, sequence: 16572 - clear  0.000000000, sequence: 0
source 0 - assert 1763413928.750207771, sequence: 16573 - clear  0.000000000, sequence: 0
source 0 - assert 1763413929.782861720, sequence: 16574 - clear  0.000000000, sequence: 0
source 0 - assert 1763413930.777203386, sequence: 16575 - clear  0.000000000, sequence: 0
source 0 - assert 1763413931.760114675, sequence: 16576 - clear  0.000000000, sequence: 0
source 0 - assert 1763413932.763839377, sequence: 16577 - clear  0.000000000, sequence: 0
source 0 - assert 1763413933.780700630, sequence: 16578 - clear  0.000000000, sequence: 0
source 0 - assert 1763413934.792347912, sequence: 16579 - clear  0.000000000, sequence: 0
source 0 - assert 1763413935.778886488, sequence: 16580 - clear  0.000000000, sequence: 0
source 0 - assert 1763413936.764792565, sequence: 16581 - clear  0.000000000, sequence: 0
source 0 - assert 1763413937.760112145, sequence: 16582 - clear  0.000000000, sequence: 0
source 0 - assert 1763413938.787984478, sequence: 16583 - clear  0.000000000, sequence: 0
source 0 - assert 1763413939.812831628, sequence: 16584 - clear  0.000000000, sequence: 0
source 0 - assert 1763413940.800279785, sequence: 16585 - clear  0.000000000, sequence: 0
source 0 - assert 1763413941.783951016, sequence: 16586 - clear  0.000000000, sequence: 0
source 0 - assert 1763413942.786025171, sequence: 16587 - clear  0.000000000, sequence: 0
source 0 - assert 1763413943.787625496, sequence: 16588 - clear  0.000000000, sequence: 0
source 0 - assert 1763413944.798007055, sequence: 16589 - clear  0.000000000, sequence: 0
source 0 - assert 1763413945.801831938, sequence: 16590 - clear  0.000000000, sequence: 0
source 0 - assert 1763413946.802409120, sequence: 16591 - clear  0.000000000, sequence: 0
source 0 - assert 1763413947.789058265, sequence: 16592 - clear  0.000000000, sequence: 0
source 0 - assert 1763413948.797028745, sequence: 16593 - clear  0.000000000, sequence: 0
source 0 - assert 1763413949.818921796, sequence: 16594 - clear  0.000000000, sequence: 0
source 0 - assert 1763413950.816921926, sequence: 16595 - clear  0.000000000, sequence: 0
source 0 - assert 1763413951.811218932, sequence: 16596 - clear  0.000000000, sequence: 0
source 0 - assert 1763413952.807320077, sequence: 16597 - clear  0.000000000, sequence: 0
source 0 - assert 1763413953.810814411, sequence: 16598 - clear  0.000000000, sequence: 0
source 0 - assert 1763413954.819591533, sequence: 16599 - clear  0.000000000, sequence: 0
source 0 - assert 1763413955.811265371, sequence: 16600 - clear  0.000000000, sequence: 0
source 0 - assert 1763413956.806072160, sequence: 16601 - clear  0.000000000, sequence: 0
source 0 - assert 1763413957.821100670, sequence: 16602 - clear  0.000000000, sequence: 0
source 0 - assert 1763413958.826324178, sequence: 16603 - clear  0.000000000, sequence: 0
source 0 - assert 1763413959.820085770, sequence: 16604 - clear  0.000000000, sequence: 0
source 0 - assert 1763413960.822067684, sequence: 16605 - clear  0.000000000, sequence: 0
source 0 - assert 1763413961.837619940, sequence: 16606 - clear  0.000000000, sequence: 0
source 0 - assert 1763413962.846315423, sequence: 16607 - clear  0.000000000, sequence: 0
source 0 - assert 1763413963.823206776, sequence: 16608 - clear  0.000000000, sequence: 0
source 0 - assert 1763413964.814408962, sequence: 16609 - clear  0.000000000, sequence: 0
source 0 - assert 1763413965.833472101, sequence: 16610 - clear  0.000000000, sequence: 0
source 0 - assert 1763413966.833813311, sequence: 16611 - clear  0.000000000, sequence: 0
source 0 - assert 1763413967.839147488, sequence: 16612 - clear  0.000000000, sequence: 0
source 0 - assert 1763413968.848972429, sequence: 16613 - clear  0.000000000, sequence: 0
source 0 - assert 1763413969.865063877, sequence: 16614 - clear  0.000000000, sequence: 0
source 0 - assert 1763413970.845659732, sequence: 16615 - clear  0.000000000, sequence: 0
source 0 - assert 1763413971.824293861, sequence: 16616 - clear  0.000000000, sequence: 0
source 0 - assert 1763413972.824048145, sequence: 16617 - clear  0.000000000, sequence: 0
source 0 - assert 1763413973.842697611, sequence: 16618 - clear  0.000000000, sequence: 0
source 0 - assert 1763413974.875432055, sequence: 16619 - clear  0.000000000, sequence: 0
source 0 - assert 1763413975.884449480, sequence: 16620 - clear  0.000000000, sequence: 0
source 0 - assert 1763413976.842704034, sequence: 16621 - clear  0.000000000, sequence: 0
source 0 - assert 1763413977.832791844, sequence: 16622 - clear  0.000000000, sequence: 0
source 0 - assert 1763413978.867848452, sequence: 16623 - clear  0.000000000, sequence: 0
source 0 - assert 1763413979.871544754, sequence: 16624 - clear  0.000000000, sequence: 0
source 0 - assert 1763413980.857441952, sequence: 16625 - clear  0.000000000, sequence: 0
source 0 - assert 1763413981.858737065, sequence: 16626 - clear  0.000000000, sequence: 0
source 0 - assert 1763413982.860931701, sequence: 16627 - clear  0.000000000, sequence: 0
source 0 - assert 1763413983.875576690, sequence: 16628 - clear  0.000000000, sequence: 0
source 0 - assert 1763413984.882810543, sequence: 16629 - clear  0.000000000, sequence: 0
source 0 - assert 1763413985.863259211, sequence: 16630 - clear  0.000000000, sequence: 0
source 0 - assert 1763413986.870755564, sequence: 16631 - clear  0.000000000, sequence: 0
