trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763415092.000009770, sequence: 17720 - clear  0.000000000, sequence: 0
source 0 - assert 1763415093.000009642, sequence: 17721 - clear  0.000000000, sequence: 0
source 0 - assert 1763415094.000008730, sequence: 17722 - clear  0.000000000, sequence: 0
source 0 - assert 1763415095.000010870, sequence: 17723 - clear  0.000000000, sequence: 0
source 0 - assert 1763415095.906582790, sequence: 17724 - clear  0.000000000, sequence: 0
source 0 - assert 1763415097.000010840, sequence: 17725 - clear  0.000000000, sequence: 0
source 0 - assert 1763415098.022645908, sequence: 17726 - clear  0.000000000, sequence: 0
source 0 - assert 1763415099.109685342, sequence: 17727 - clear  0.000000000, sequence: 0
source 0 - assert 1763415100.221776542, sequence: 17728 - clear  0.000000000, sequence: 0
source 0 - assert 1763415101.335033375, sequence: 17729 - clear  0.000000000, sequence: 0
source 0 - assert 1763415102.457927309, sequence: 17730 - clear  0.000000000, sequence: 0
source 0 - assert 1763415103.540361113, sequence: 17731 - clear  0.000000000, sequence: 0
source 0 - assert 1763415104.575982381, sequence: 17732 - clear  0.000000000, sequence: 0
source 0 - assert 1763415105.587939221, sequence: 17733 - clear  0.000000000, sequence: 0
source 0 - assert 1763415106.577537402, sequence: 17734 - clear  0.000000000, sequence: 0
source 0 - assert 1763415107.598433284, sequence: 17735 - clear  0.000000000, sequence: 0
source 0 - assert 1763415108.597491877, sequence: 17736 - clear  0.000000000, sequence: 0
source 0 - assert 1763415109.595648878, sequence: 17737 - clear  0.000000000, sequence: 0
source 0 - assert 1763415110.605525968, sequence: 17738 - clear  0.000000000, sequence: 0
source 0 - assert 1763415111.585765051, sequence: 17739 - clear  0.000000000, sequence: 0
source 0 - assert 1763415112.586402974, sequence: 17740 - clear  0.000000000, sequence: 0
source 0 - assert 1763415113.606679676, sequence: 17741 - clear  0.000000000, sequence: 0
source 0 - assert 1763415113.696349952, sequence: 17742 - clear  0.000000000, sequence: 0
source 0 - assert 1763415115.584881305, sequence: 17743 - clear  0.000000000, sequence: 0
source 0 - assert 1763415116.613491589, sequence: 17744 - clear  0.000000000, sequence: 0
source 0 - assert 1763415117.615701869, sequence: 17745 - clear  0.000000000, sequence: 0
source 0 - assert 1763415118.611068388, sequence: 17746 - clear  0.000000000, sequence: 0
source 0 - assert 1763415119.595396856, sequence: 17747 - clear  0.000000000, sequence: 0
source 0 - assert 1763415120.604762960, sequence: 17748 - clear  0.000000000, sequence: 0
source 0 - assert 1763415121.634106381, sequence: 17749 - clear  0.000000000, sequence: 0
