trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763321640.000008229, sequence: 849 - clear  0.000000000, sequence: 0
source 0 - assert 1763321641.000005095, sequence: 850 - clear  0.000000000, sequence: 0
source 0 - assert 1763321642.000002244, sequence: 851 - clear  0.000000000, sequence: 0
source 0 - assert 1763321642.999997756, sequence: 852 - clear  0.000000000, sequence: 0
source 0 - assert 1763321643.999999992, sequence: 853 - clear  0.000000000, sequence: 0
source 0 - assert 1763321645.000004796, sequence: 854 - clear  0.000000000, sequence: 0
source 0 - assert 1763321646.000001795, sequence: 855 - clear  0.000000000, sequence: 0
source 0 - assert 1763321647.000000610, sequence: 856 - clear  0.000000000, sequence: 0
source 0 - assert 1763321647.999998836, sequence: 857 - clear  0.000000000, sequence: 0
source 0 - assert 1763321648.999999716, sequence: 858 - clear  0.000000000, sequence: 0
source 0 - assert 1763321649.999998048, sequence: 859 - clear  0.000000000, sequence: 0
source 0 - assert 1763321651.000004822, sequence: 860 - clear  0.000000000, sequence: 0
source 0 - assert 1763321652.000002118, sequence: 861 - clear  0.000000000, sequence: 0
source 0 - assert 1763321652.999996684, sequence: 862 - clear  0.000000000, sequence: 0
source 0 - assert 1763321654.000005928, sequence: 863 - clear  0.000000000, sequence: 0
source 0 - assert 1763321655.000002370, sequence: 864 - clear  0.000000000, sequence: 0
source 0 - assert 1763321656.000004353, sequence: 865 - clear  0.000000000, sequence: 0
source 0 - assert 1763321657.000008188, sequence: 866 - clear  0.000000000, sequence: 0
source 0 - assert 1763321658.000003810, sequence: 867 - clear  0.000000000, sequence: 0
source 0 - assert 1763321659.000003224, sequence: 868 - clear  0.000000000, sequence: 0
source 0 - assert 1763321660.000000255, sequence: 869 - clear  0.000000000, sequence: 0
source 0 - assert 1763321661.000003862, sequence: 870 - clear  0.000000000, sequence: 0
source 0 - assert 1763321662.000004006, sequence: 871 - clear  0.000000000, sequence: 0
source 0 - assert 1763321662.999998840, sequence: 872 - clear  0.000000000, sequence: 0
source 0 - assert 1763321664.000001760, sequence: 873 - clear  0.000000000, sequence: 0
source 0 - assert 1763321665.000001933, sequence: 874 - clear  0.000000000, sequence: 0
source 0 - assert 1763321666.000005943, sequence: 875 - clear  0.000000000, sequence: 0
source 0 - assert 1763321667.000005117, sequence: 876 - clear  0.000000000, sequence: 0
source 0 - assert 1763321668.000004132, sequence: 877 - clear  0.000000000, sequence: 0
source 0 - assert 1763321669.000000260, sequence: 878 - clear  0.000000000, sequence: 0
source 0 - assert 1763321670.000001785, sequence: 879 - clear  0.000000000, sequence: 0
source 0 - assert 1763321671.000004499, sequence: 880 - clear  0.000000000, sequence: 0
source 0 - assert 1763321672.000007340, sequence: 881 - clear  0.000000000, sequence: 0
source 0 - assert 1763321673.000000725, sequence: 882 - clear  0.000000000, sequence: 0
source 0 - assert 1763321674.000000278, sequence: 883 - clear  0.000000000, sequence: 0
source 0 - assert 1763321675.000001772, sequence: 884 - clear  0.000000000, sequence: 0
source 0 - assert 1763321676.000002874, sequence: 885 - clear  0.000000000, sequence: 0
source 0 - assert 1763321677.000001175, sequence: 886 - clear  0.000000000, sequence: 0
source 0 - assert 1763321678.000000846, sequence: 887 - clear  0.000000000, sequence: 0
source 0 - assert 1763321679.000003746, sequence: 888 - clear  0.000000000, sequence: 0
source 0 - assert 1763321680.000003734, sequence: 889 - clear  0.000000000, sequence: 0
source 0 - assert 1763321681.000002969, sequence: 890 - clear  0.000000000, sequence: 0
source 0 - assert 1763321682.000003126, sequence: 891 - clear  0.000000000, sequence: 0
source 0 - assert 1763321683.000000105, sequence: 892 - clear  0.000000000, sequence: 0
source 0 - assert 1763321684.000009150, sequence: 893 - clear  0.000000000, sequence: 0
source 0 - assert 1763321685.000001961, sequence: 894 - clear  0.000000000, sequence: 0
source 0 - assert 1763321686.000005682, sequence: 895 - clear  0.000000000, sequence: 0
source 0 - assert 1763321687.000006176, sequence: 896 - clear  0.000000000, sequence: 0
source 0 - assert 1763321687.999999872, sequence: 897 - clear  0.000000000, sequence: 0
source 0 - assert 1763321689.000004366, sequence: 898 - clear  0.000000000, sequence: 0
source 0 - assert 1763321689.999999302, sequence: 899 - clear  0.000000000, sequence: 0
source 0 - assert 1763321691.000004570, sequence: 900 - clear  0.000000000, sequence: 0
source 0 - assert 1763321692.000004675, sequence: 901 - clear  0.000000000, sequence: 0
source 0 - assert 1763321693.000002691, sequence: 902 - clear  0.000000000, sequence: 0
source 0 - assert 1763321694.000000322, sequence: 903 - clear  0.000000000, sequence: 0
source 0 - assert 1763321695.000001338, sequence: 904 - clear  0.000000000, sequence: 0
source 0 - assert 1763321696.000005136, sequence: 905 - clear  0.000000000, sequence: 0
