trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763322459.000006837, sequence: 1668 - clear  0.000000000, sequence: 0
source 0 - assert 1763322460.000005746, sequence: 1669 - clear  0.000000000, sequence: 0
source 0 - assert 1763322461.000000979, sequence: 1670 - clear  0.000000000, sequence: 0
source 0 - assert 1763322461.999995599, sequence: 1671 - clear  0.000000000, sequence: 0
source 0 - assert 1763322463.000000178, sequence: 1672 - clear  0.000000000, sequence: 0
source 0 - assert 1763322464.000000290, sequence: 1673 - clear  0.000000000, sequence: 0
source 0 - assert 1763322465.000004161, sequence: 1674 - clear  0.000000000, sequence: 0
source 0 - assert 1763322466.000000464, sequence: 1675 - clear  0.000000000, sequence: 0
source 0 - assert 1763322467.000005509, sequence: 1676 - clear  0.000000000, sequence: 0
source 0 - assert 1763322467.999997591, sequence: 1677 - clear  0.000000000, sequence: 0
source 0 - assert 1763322469.000002044, sequence: 1678 - clear  0.000000000, sequence: 0
source 0 - assert 1763322470.000004071, sequence: 1679 - clear  0.000000000, sequence: 0
source 0 - assert 1763322471.000004416, sequence: 1680 - clear  0.000000000, sequence: 0
source 0 - assert 1763322472.000002448, sequence: 1681 - clear  0.000000000, sequence: 0
source 0 - assert 1763322473.000002541, sequence: 1682 - clear  0.000000000, sequence: 0
source 0 - assert 1763322473.999996461, sequence: 1683 - clear  0.000000000, sequence: 0
source 0 - assert 1763322475.000003420, sequence: 1684 - clear  0.000000000, sequence: 0
source 0 - assert 1763322476.000002955, sequence: 1685 - clear  0.000000000, sequence: 0
source 0 - assert 1763322477.000001876, sequence: 1686 - clear  0.000000000, sequence: 0
source 0 - assert 1763322478.000002257, sequence: 1687 - clear  0.000000000, sequence: 0
source 0 - assert 1763322478.999997492, sequence: 1688 - clear  0.000000000, sequence: 0
source 0 - assert 1763322480.000003024, sequence: 1689 - clear  0.000000000, sequence: 0
source 0 - assert 1763322480.999999861, sequence: 1690 - clear  0.000000000, sequence: 0
source 0 - assert 1763322482.000001585, sequence: 1691 - clear  0.000000000, sequence: 0
source 0 - assert 1763322483.000000548, sequence: 1692 - clear  0.000000000, sequence: 0
source 0 - assert 1763322484.000002375, sequence: 1693 - clear  0.000000000, sequence: 0
source 0 - assert 1763322485.000003129, sequence: 1694 - clear  0.000000000, sequence: 0
source 0 - assert 1763322486.000002032, sequence: 1695 - clear  0.000000000, sequence: 0
source 0 - assert 1763322486.999999313, sequence: 1696 - clear  0.000000000, sequence: 0
source 0 - assert 1763322488.000001356, sequence: 1697 - clear  0.000000000, sequence: 0
source 0 - assert 1763322489.000001404, sequence: 1698 - clear  0.000000000, sequence: 0
source 0 - assert 1763322490.000004876, sequence: 1699 - clear  0.000000000, sequence: 0
source 0 - assert 1763322491.000006414, sequence: 1700 - clear  0.000000000, sequence: 0
source 0 - assert 1763322491.999998491, sequence: 1701 - clear  0.000000000, sequence: 0
source 0 - assert 1763322492.999997589, sequence: 1702 - clear  0.000000000, sequence: 0
source 0 - assert 1763322493.999999547, sequence: 1703 - clear  0.000000000, sequence: 0
source 0 - assert 1763322495.000000714, sequence: 1704 - clear  0.000000000, sequence: 0
source 0 - assert 1763322496.000003223, sequence: 1705 - clear  0.000000000, sequence: 0
source 0 - assert 1763322497.000001258, sequence: 1706 - clear  0.000000000, sequence: 0
source 0 - assert 1763322498.000004080, sequence: 1707 - clear  0.000000000, sequence: 0
source 0 - assert 1763322499.000001163, sequence: 1708 - clear  0.000000000, sequence: 0
source 0 - assert 1763322499.999999664, sequence: 1709 - clear  0.000000000, sequence: 0
source 0 - assert 1763322501.000005334, sequence: 1710 - clear  0.000000000, sequence: 0
source 0 - assert 1763322501.999999824, sequence: 1711 - clear  0.000000000, sequence: 0
source 0 - assert 1763322503.000002036, sequence: 1712 - clear  0.000000000, sequence: 0
source 0 - assert 1763322504.000002056, sequence: 1713 - clear  0.000000000, sequence: 0
source 0 - assert 1763322505.000003021, sequence: 1714 - clear  0.000000000, sequence: 0
source 0 - assert 1763322505.999997711, sequence: 1715 - clear  0.000000000, sequence: 0
source 0 - assert 1763322507.000000451, sequence: 1716 - clear  0.000000000, sequence: 0
source 0 - assert 1763322508.000000495, sequence: 1717 - clear  0.000000000, sequence: 0
source 0 - assert 1763322508.999997948, sequence: 1718 - clear  0.000000000, sequence: 0
source 0 - assert 1763322510.000005073, sequence: 1719 - clear  0.000000000, sequence: 0
source 0 - assert 1763322510.999997239, sequence: 1720 - clear  0.000000000, sequence: 0
source 0 - assert 1763322512.000000464, sequence: 1721 - clear  0.000000000, sequence: 0
source 0 - assert 1763322513.000003036, sequence: 1722 - clear  0.000000000, sequence: 0
source 0 - assert 1763322513.999998592, sequence: 1723 - clear  0.000000000, sequence: 0
source 0 - assert 1763322515.000005145, sequence: 1724 - clear  0.000000000, sequence: 0
source 0 - assert 1763322516.000002975, sequence: 1725 - clear  0.000000000, sequence: 0
source 0 - assert 1763322517.000001547, sequence: 1726 - clear  0.000000000, sequence: 0
source 0 - assert 1763322518.000002782, sequence: 1727 - clear  0.000000000, sequence: 0
source 0 - assert 1763322519.000001029, sequence: 1728 - clear  0.000000000, sequence: 0
source 0 - assert 1763322520.000005028, sequence: 1729 - clear  0.000000000, sequence: 0
source 0 - assert 1763322521.000002127, sequence: 1730 - clear  0.000000000, sequence: 0
source 0 - assert 1763322522.000003714, sequence: 1731 - clear  0.000000000, sequence: 0
source 0 - assert 1763322523.000005413, sequence: 1732 - clear  0.000000000, sequence: 0
source 0 - assert 1763322524.000000550, sequence: 1733 - clear  0.000000000, sequence: 0
source 0 - assert 1763322525.000005390, sequence: 1734 - clear  0.000000000, sequence: 0
source 0 - assert 1763322526.000000426, sequence: 1735 - clear  0.000000000, sequence: 0
source 0 - assert 1763322527.000003356, sequence: 1736 - clear  0.000000000, sequence: 0
source 0 - assert 1763322528.000002074, sequence: 1737 - clear  0.000000000, sequence: 0
source 0 - assert 1763322528.999996797, sequence: 1738 - clear  0.000000000, sequence: 0
source 0 - assert 1763322530.000003137, sequence: 1739 - clear  0.000000000, sequence: 0
source 0 - assert 1763322531.000004629, sequence: 1740 - clear  0.000000000, sequence: 0
