ptp4l[456325.825]: selected /dev/ptp0 as PTP clock
ptp4l[456325.828]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[456325.828]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[456325.829]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[456332.858]: selected local clock 000000.fffe.049f06 as best master
ptp4l[456333.529]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[456337.529]: selected best master clock 641c10.fffe.f12579
ptp4l[456337.529]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[456339.528]: master offset      -3498 s0 freq  -80418 path delay       937
ptp4l[456340.529]: master offset      -3548 s2 freq  -80468 path delay       943
ptp4l[456340.529]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[456341.529]: master offset      -3539 s2 freq  -84007 path delay       938
ptp4l[456342.529]: master offset         33 s2 freq  -81497 path delay       937
ptp4l[456343.529]: master offset       1092 s2 freq  -80428 path delay       937
ptp4l[456344.529]: master offset       1041 s2 freq  -80152 path delay       941
ptp4l[456345.529]: master offset        723 s2 freq  -80157 path delay       941
ptp4l[456346.529]: master offset        410 s2 freq  -80253 path delay       945
ptp4l[456347.529]: master offset        199 s2 freq  -80341 path delay       947
ptp4l[456348.529]: master offset         88 s2 freq  -80393 path delay       950
ptp4l[456349.530]: master offset         33 s2 freq  -80421 path delay       950
ptp4l[456350.530]: master offset        -24 s2 freq  -80468 path delay       950
ptp4l[456351.530]: master offset        -30 s2 freq  -80482 path delay       948
ptp4l[456352.530]: master offset        -36 s2 freq  -80497 path delay       948
ptp4l[456353.530]: master offset         14 s2 freq  -80457 path delay       945
ptp4l[456354.530]: master offset          2 s2 freq  -80465 path delay       945
ptp4l[456355.530]: master offset         -2 s2 freq  -80469 path delay       939
ptp4l[456356.530]: master offset         -7 s2 freq  -80474 path delay       939
ptp4l[456357.530]: master offset        -18 s2 freq  -80487 path delay       939
ptp4l[456358.530]: master offset        -25 s2 freq  -80500 path delay       939
ptp4l[456359.531]: master offset         13 s2 freq  -80469 path delay       935
ptp4l[456360.531]: master offset          6 s2 freq  -80472 path delay       935
ptp4l[456361.531]: master offset        -12 s2 freq  -80488 path delay       935
ptp4l[456362.531]: master offset        -34 s2 freq  -80514 path delay       937
ptp4l[456363.531]: master offset          2 s2 freq  -80488 path delay       936
ptp4l[456364.531]: master offset         -7 s2 freq  -80497 path delay       936
ptp4l[456365.531]: master offset         27 s2 freq  -80465 path delay       930
ptp4l[456366.531]: master offset          7 s2 freq  -80477 path delay       930
ptp4l[456367.532]: master offset        -19 s2 freq  -80501 path delay       930
ptp4l[456368.532]: master offset         -1 s2 freq  -80488 path delay       930
ptp4l[456369.531]: master offset        -37 s2 freq  -80525 path delay       938
ptp4l[456370.532]: master offset        -14 s2 freq  -80513 path delay       933
ptp4l[456371.532]: master offset         12 s2 freq  -80491 path delay       933
