trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763321640.000009653, sequence: 362 - clear  0.000000000, sequence: 0
source 0 - assert 1763321641.000010179, sequence: 363 - clear  0.000000000, sequence: 0
source 0 - assert 1763321642.000010578, sequence: 364 - clear  0.000000000, sequence: 0
source 0 - assert 1763321643.000010348, sequence: 365 - clear  0.000000000, sequence: 0
source 0 - assert 1763321644.000005465, sequence: 366 - clear  0.000000000, sequence: 0
source 0 - assert 1763321645.000010949, sequence: 367 - clear  0.000000000, sequence: 0
source 0 - assert 1763321646.000011712, sequence: 368 - clear  0.000000000, sequence: 0
source 0 - assert 1763321647.000007913, sequence: 369 - clear  0.000000000, sequence: 0
source 0 - assert 1763321648.000009924, sequence: 370 - clear  0.000000000, sequence: 0
source 0 - assert 1763321649.000011078, sequence: 371 - clear  0.000000000, sequence: 0
source 0 - assert 1763321650.000012074, sequence: 372 - clear  0.000000000, sequence: 0
source 0 - assert 1763321651.000011736, sequence: 373 - clear  0.000000000, sequence: 0
source 0 - assert 1763321652.000011433, sequence: 374 - clear  0.000000000, sequence: 0
source 0 - assert 1763321653.000011596, sequence: 375 - clear  0.000000000, sequence: 0
source 0 - assert 1763321654.000010460, sequence: 376 - clear  0.000000000, sequence: 0
source 0 - assert 1763321655.000010158, sequence: 377 - clear  0.000000000, sequence: 0
source 0 - assert 1763321656.000010231, sequence: 378 - clear  0.000000000, sequence: 0
source 0 - assert 1763321657.000011771, sequence: 379 - clear  0.000000000, sequence: 0
source 0 - assert 1763321658.000010010, sequence: 380 - clear  0.000000000, sequence: 0
source 0 - assert 1763321659.000010473, sequence: 381 - clear  0.000000000, sequence: 0
source 0 - assert 1763321660.000011983, sequence: 382 - clear  0.000000000, sequence: 0
source 0 - assert 1763321661.000010132, sequence: 383 - clear  0.000000000, sequence: 0
source 0 - assert 1763321662.000010952, sequence: 384 - clear  0.000000000, sequence: 0
source 0 - assert 1763321663.000009504, sequence: 385 - clear  0.000000000, sequence: 0
source 0 - assert 1763321664.000011366, sequence: 386 - clear  0.000000000, sequence: 0
source 0 - assert 1763321665.000010571, sequence: 387 - clear  0.000000000, sequence: 0
source 0 - assert 1763321666.000010741, sequence: 388 - clear  0.000000000, sequence: 0
source 0 - assert 1763321667.000011205, sequence: 389 - clear  0.000000000, sequence: 0
source 0 - assert 1763321668.000011022, sequence: 390 - clear  0.000000000, sequence: 0
source 0 - assert 1763321669.000010879, sequence: 391 - clear  0.000000000, sequence: 0
source 0 - assert 1763321670.000006957, sequence: 392 - clear  0.000000000, sequence: 0
source 0 - assert 1763321671.000010163, sequence: 393 - clear  0.000000000, sequence: 0
source 0 - assert 1763321672.000010636, sequence: 394 - clear  0.000000000, sequence: 0
source 0 - assert 1763321673.000009741, sequence: 395 - clear  0.000000000, sequence: 0
source 0 - assert 1763321674.000009265, sequence: 396 - clear  0.000000000, sequence: 0
source 0 - assert 1763321675.000009182, sequence: 397 - clear  0.000000000, sequence: 0
source 0 - assert 1763321676.000009690, sequence: 398 - clear  0.000000000, sequence: 0
source 0 - assert 1763321677.000009921, sequence: 399 - clear  0.000000000, sequence: 0
source 0 - assert 1763321678.000009780, sequence: 400 - clear  0.000000000, sequence: 0
source 0 - assert 1763321679.000009268, sequence: 401 - clear  0.000000000, sequence: 0
source 0 - assert 1763321680.000010148, sequence: 402 - clear  0.000000000, sequence: 0
source 0 - assert 1763321681.000010674, sequence: 403 - clear  0.000000000, sequence: 0
source 0 - assert 1763321682.000010519, sequence: 404 - clear  0.000000000, sequence: 0
source 0 - assert 1763321683.000011023, sequence: 405 - clear  0.000000000, sequence: 0
source 0 - assert 1763321684.000011271, sequence: 406 - clear  0.000000000, sequence: 0
source 0 - assert 1763321685.000009180, sequence: 407 - clear  0.000000000, sequence: 0
source 0 - assert 1763321686.000009962, sequence: 408 - clear  0.000000000, sequence: 0
source 0 - assert 1763321687.000010814, sequence: 409 - clear  0.000000000, sequence: 0
source 0 - assert 1763321688.000012439, sequence: 410 - clear  0.000000000, sequence: 0
source 0 - assert 1763321689.000010034, sequence: 411 - clear  0.000000000, sequence: 0
source 0 - assert 1763321690.000010170, sequence: 412 - clear  0.000000000, sequence: 0
source 0 - assert 1763321691.000012001, sequence: 413 - clear  0.000000000, sequence: 0
source 0 - assert 1763321692.000010877, sequence: 414 - clear  0.000000000, sequence: 0
source 0 - assert 1763321693.000010785, sequence: 415 - clear  0.000000000, sequence: 0
source 0 - assert 1763321694.000009974, sequence: 416 - clear  0.000000000, sequence: 0
source 0 - assert 1763321695.000010840, sequence: 417 - clear  0.000000000, sequence: 0
source 0 - assert 1763321696.000006953, sequence: 418 - clear  0.000000000, sequence: 0
source 0 - assert 1763321697.000010165, sequence: 419 - clear  0.000000000, sequence: 0
source 0 - assert 1763321698.000010441, sequence: 420 - clear  0.000000000, sequence: 0
source 0 - assert 1763321699.000011007, sequence: 421 - clear  0.000000000, sequence: 0
source 0 - assert 1763321700.000010146, sequence: 422 - clear  0.000000000, sequence: 0
source 0 - assert 1763321701.000010728, sequence: 423 - clear  0.000000000, sequence: 0
source 0 - assert 1763321702.000011288, sequence: 424 - clear  0.000000000, sequence: 0
source 0 - assert 1763321703.000011170, sequence: 425 - clear  0.000000000, sequence: 0
source 0 - assert 1763321704.000009767, sequence: 426 - clear  0.000000000, sequence: 0
source 0 - assert 1763321705.000010621, sequence: 427 - clear  0.000000000, sequence: 0
source 0 - assert 1763321706.000010506, sequence: 428 - clear  0.000000000, sequence: 0
source 0 - assert 1763321707.000009967, sequence: 429 - clear  0.000000000, sequence: 0
source 0 - assert 1763321708.000010492, sequence: 430 - clear  0.000000000, sequence: 0
source 0 - assert 1763321709.000011075, sequence: 431 - clear  0.000000000, sequence: 0
source 0 - assert 1763321710.000009595, sequence: 432 - clear  0.000000000, sequence: 0
source 0 - assert 1763321711.000010542, sequence: 433 - clear  0.000000000, sequence: 0
source 0 - assert 1763321712.000010051, sequence: 434 - clear  0.000000000, sequence: 0
source 0 - assert 1763321713.000010873, sequence: 435 - clear  0.000000000, sequence: 0
source 0 - assert 1763321714.000009140, sequence: 436 - clear  0.000000000, sequence: 0
source 0 - assert 1763321715.000014409, sequence: 437 - clear  0.000000000, sequence: 0
source 0 - assert 1763321716.000010966, sequence: 438 - clear  0.000000000, sequence: 0
source 0 - assert 1763321717.000010576, sequence: 439 - clear  0.000000000, sequence: 0
source 0 - assert 1763321718.000011128, sequence: 440 - clear  0.000000000, sequence: 0
source 0 - assert 1763321719.000010664, sequence: 441 - clear  0.000000000, sequence: 0
source 0 - assert 1763321720.000011856, sequence: 442 - clear  0.000000000, sequence: 0
source 0 - assert 1763321721.000011084, sequence: 443 - clear  0.000000000, sequence: 0
source 0 - assert 1763321722.000006934, sequence: 444 - clear  0.000000000, sequence: 0
source 0 - assert 1763321723.000011072, sequence: 445 - clear  0.000000000, sequence: 0
source 0 - assert 1763321724.000010605, sequence: 446 - clear  0.000000000, sequence: 0
source 0 - assert 1763321725.000010500, sequence: 447 - clear  0.000000000, sequence: 0
source 0 - assert 1763321726.000010181, sequence: 448 - clear  0.000000000, sequence: 0
source 0 - assert 1763321727.000010086, sequence: 449 - clear  0.000000000, sequence: 0
source 0 - assert 1763321728.000009987, sequence: 450 - clear  0.000000000, sequence: 0
source 0 - assert 1763321729.000009202, sequence: 451 - clear  0.000000000, sequence: 0
source 0 - assert 1763321730.000011132, sequence: 452 - clear  0.000000000, sequence: 0
source 0 - assert 1763321731.000011031, sequence: 453 - clear  0.000000000, sequence: 0
source 0 - assert 1763321732.000011594, sequence: 454 - clear  0.000000000, sequence: 0
source 0 - assert 1763321733.000010870, sequence: 455 - clear  0.000000000, sequence: 0
source 0 - assert 1763321734.000010462, sequence: 456 - clear  0.000000000, sequence: 0
source 0 - assert 1763321735.000009668, sequence: 457 - clear  0.000000000, sequence: 0
source 0 - assert 1763321736.000010528, sequence: 458 - clear  0.000000000, sequence: 0
source 0 - assert 1763321737.000008788, sequence: 459 - clear  0.000000000, sequence: 0
source 0 - assert 1763321738.000010742, sequence: 460 - clear  0.000000000, sequence: 0
source 0 - assert 1763321739.000011294, sequence: 461 - clear  0.000000000, sequence: 0
source 0 - assert 1763321740.000009825, sequence: 462 - clear  0.000000000, sequence: 0
source 0 - assert 1763321741.000009950, sequence: 463 - clear  0.000000000, sequence: 0
source 0 - assert 1763321742.000009510, sequence: 464 - clear  0.000000000, sequence: 0
source 0 - assert 1763321743.000010430, sequence: 465 - clear  0.000000000, sequence: 0
source 0 - assert 1763321744.000011070, sequence: 466 - clear  0.000000000, sequence: 0
source 0 - assert 1763321745.000011347, sequence: 467 - clear  0.000000000, sequence: 0
source 0 - assert 1763321746.000010258, sequence: 468 - clear  0.000000000, sequence: 0
source 0 - assert 1763321747.000010167, sequence: 469 - clear  0.000000000, sequence: 0
source 0 - assert 1763321748.000005382, sequence: 470 - clear  0.000000000, sequence: 0
source 0 - assert 1763321749.000009717, sequence: 471 - clear  0.000000000, sequence: 0
source 0 - assert 1763321750.000012045, sequence: 472 - clear  0.000000000, sequence: 0
source 0 - assert 1763321751.000010184, sequence: 473 - clear  0.000000000, sequence: 0
source 0 - assert 1763321752.000010940, sequence: 474 - clear  0.000000000, sequence: 0
source 0 - assert 1763321753.000010841, sequence: 475 - clear  0.000000000, sequence: 0
source 0 - assert 1763321754.000009806, sequence: 476 - clear  0.000000000, sequence: 0
source 0 - assert 1763321755.000010056, sequence: 477 - clear  0.000000000, sequence: 0
source 0 - assert 1763321756.000011716, sequence: 478 - clear  0.000000000, sequence: 0
source 0 - assert 1763321757.000010604, sequence: 479 - clear  0.000000000, sequence: 0
source 0 - assert 1763321758.000010571, sequence: 480 - clear  0.000000000, sequence: 0
source 0 - assert 1763321759.000010824, sequence: 481 - clear  0.000000000, sequence: 0
source 0 - assert 1763321760.000010349, sequence: 482 - clear  0.000000000, sequence: 0
source 0 - assert 1763321761.000009489, sequence: 483 - clear  0.000000000, sequence: 0
source 0 - assert 1763321762.000009771, sequence: 484 - clear  0.000000000, sequence: 0
source 0 - assert 1763321763.000009723, sequence: 485 - clear  0.000000000, sequence: 0
source 0 - assert 1763321764.000010341, sequence: 486 - clear  0.000000000, sequence: 0
source 0 - assert 1763321765.000016913, sequence: 487 - clear  0.000000000, sequence: 0
source 0 - assert 1763321766.000010889, sequence: 488 - clear  0.000000000, sequence: 0
source 0 - assert 1763321767.000010127, sequence: 489 - clear  0.000000000, sequence: 0
source 0 - assert 1763321768.000010994, sequence: 490 - clear  0.000000000, sequence: 0
source 0 - assert 1763321769.000010878, sequence: 491 - clear  0.000000000, sequence: 0
source 0 - assert 1763321770.000010805, sequence: 492 - clear  0.000000000, sequence: 0
source 0 - assert 1763321771.000010968, sequence: 493 - clear  0.000000000, sequence: 0
source 0 - assert 1763321772.000010201, sequence: 494 - clear  0.000000000, sequence: 0
source 0 - assert 1763321773.000009173, sequence: 495 - clear  0.000000000, sequence: 0
source 0 - assert 1763321774.000006579, sequence: 496 - clear  0.000000000, sequence: 0
source 0 - assert 1763321775.000010203, sequence: 497 - clear  0.000000000, sequence: 0
source 0 - assert 1763321776.000009698, sequence: 498 - clear  0.000000000, sequence: 0
source 0 - assert 1763321777.000010533, sequence: 499 - clear  0.000000000, sequence: 0
source 0 - assert 1763321778.000012454, sequence: 500 - clear  0.000000000, sequence: 0
source 0 - assert 1763321779.000010151, sequence: 501 - clear  0.000000000, sequence: 0
source 0 - assert 1763321780.000011473, sequence: 502 - clear  0.000000000, sequence: 0
source 0 - assert 1763321781.000010997, sequence: 503 - clear  0.000000000, sequence: 0
source 0 - assert 1763321782.000011189, sequence: 504 - clear  0.000000000, sequence: 0
source 0 - assert 1763321783.000009386, sequence: 505 - clear  0.000000000, sequence: 0
source 0 - assert 1763321784.000009986, sequence: 506 - clear  0.000000000, sequence: 0
source 0 - assert 1763321785.000010311, sequence: 507 - clear  0.000000000, sequence: 0
source 0 - assert 1763321786.000010552, sequence: 508 - clear  0.000000000, sequence: 0
source 0 - assert 1763321787.000009862, sequence: 509 - clear  0.000000000, sequence: 0
source 0 - assert 1763321788.000009740, sequence: 510 - clear  0.000000000, sequence: 0
source 0 - assert 1763321789.000009937, sequence: 511 - clear  0.000000000, sequence: 0
source 0 - assert 1763321790.000010822, sequence: 512 - clear  0.000000000, sequence: 0
source 0 - assert 1763321791.000009744, sequence: 513 - clear  0.000000000, sequence: 0
source 0 - assert 1763321792.000009380, sequence: 514 - clear  0.000000000, sequence: 0
source 0 - assert 1763321793.000011337, sequence: 515 - clear  0.000000000, sequence: 0
source 0 - assert 1763321794.000010625, sequence: 516 - clear  0.000000000, sequence: 0
source 0 - assert 1763321795.000010884, sequence: 517 - clear  0.000000000, sequence: 0
source 0 - assert 1763321796.000010785, sequence: 518 - clear  0.000000000, sequence: 0
source 0 - assert 1763321797.000011783, sequence: 519 - clear  0.000000000, sequence: 0
source 0 - assert 1763321798.000010352, sequence: 520 - clear  0.000000000, sequence: 0
source 0 - assert 1763321799.000009676, sequence: 521 - clear  0.000000000, sequence: 0
source 0 - assert 1763321800.000006361, sequence: 522 - clear  0.000000000, sequence: 0
source 0 - assert 1763321801.000010800, sequence: 523 - clear  0.000000000, sequence: 0
source 0 - assert 1763321802.000010411, sequence: 524 - clear  0.000000000, sequence: 0
source 0 - assert 1763321803.000011749, sequence: 525 - clear  0.000000000, sequence: 0
source 0 - assert 1763321804.000011024, sequence: 526 - clear  0.000000000, sequence: 0
source 0 - assert 1763321805.000012538, sequence: 527 - clear  0.000000000, sequence: 0
source 0 - assert 1763321806.000011133, sequence: 528 - clear  0.000000000, sequence: 0
source 0 - assert 1763321807.000012720, sequence: 529 - clear  0.000000000, sequence: 0
source 0 - assert 1763321808.000011966, sequence: 530 - clear  0.000000000, sequence: 0
source 0 - assert 1763321809.000010225, sequence: 531 - clear  0.000000000, sequence: 0
source 0 - assert 1763321810.000011470, sequence: 532 - clear  0.000000000, sequence: 0
source 0 - assert 1763321811.000010780, sequence: 533 - clear  0.000000000, sequence: 0
