trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763322459.000010855, sequence: 1181 - clear  0.000000000, sequence: 0
source 0 - assert 1763322460.000009896, sequence: 1182 - clear  0.000000000, sequence: 0
source 0 - assert 1763322461.000010227, sequence: 1183 - clear  0.000000000, sequence: 0
source 0 - assert 1763322462.000010300, sequence: 1184 - clear  0.000000000, sequence: 0
source 0 - assert 1763322463.000010658, sequence: 1185 - clear  0.000000000, sequence: 0
source 0 - assert 1763322464.000010363, sequence: 1186 - clear  0.000000000, sequence: 0
source 0 - assert 1763322465.000000884, sequence: 1187 - clear  0.000000000, sequence: 0
source 0 - assert 1763322465.999960958, sequence: 1188 - clear  0.000000000, sequence: 0
source 0 - assert 1763322466.999948131, sequence: 1189 - clear  0.000000000, sequence: 0
source 0 - assert 1763322467.999950280, sequence: 1190 - clear  0.000000000, sequence: 0
source 0 - assert 1763322468.999954804, sequence: 1191 - clear  0.000000000, sequence: 0
source 0 - assert 1763322469.999958738, sequence: 1192 - clear  0.000000000, sequence: 0
source 0 - assert 1763322470.999961040, sequence: 1193 - clear  0.000000000, sequence: 0
source 0 - assert 1763322471.999962643, sequence: 1194 - clear  0.000000000, sequence: 0
source 0 - assert 1763322472.999962335, sequence: 1195 - clear  0.000000000, sequence: 0
source 0 - assert 1763322473.999963816, sequence: 1196 - clear  0.000000000, sequence: 0
source 0 - assert 1763322474.999963020, sequence: 1197 - clear  0.000000000, sequence: 0
source 0 - assert 1763322475.999958608, sequence: 1198 - clear  0.000000000, sequence: 0
source 0 - assert 1763322476.999964180, sequence: 1199 - clear  0.000000000, sequence: 0
source 0 - assert 1763322477.999963441, sequence: 1200 - clear  0.000000000, sequence: 0
source 0 - assert 1763322478.999964418, sequence: 1201 - clear  0.000000000, sequence: 0
source 0 - assert 1763322479.999963077, sequence: 1202 - clear  0.000000000, sequence: 0
source 0 - assert 1763322480.999964002, sequence: 1203 - clear  0.000000000, sequence: 0
source 0 - assert 1763322481.999963558, sequence: 1204 - clear  0.000000000, sequence: 0
source 0 - assert 1763322482.999964469, sequence: 1205 - clear  0.000000000, sequence: 0
source 0 - assert 1763322483.999963221, sequence: 1206 - clear  0.000000000, sequence: 0
source 0 - assert 1763322484.999962466, sequence: 1207 - clear  0.000000000, sequence: 0
source 0 - assert 1763322485.999963353, sequence: 1208 - clear  0.000000000, sequence: 0
source 0 - assert 1763322486.999962697, sequence: 1209 - clear  0.000000000, sequence: 0
source 0 - assert 1763322487.999961894, sequence: 1210 - clear  0.000000000, sequence: 0
source 0 - assert 1763322488.999963501, sequence: 1211 - clear  0.000000000, sequence: 0
source 0 - assert 1763322489.999962127, sequence: 1212 - clear  0.000000000, sequence: 0
source 0 - assert 1763322490.999962063, sequence: 1213 - clear  0.000000000, sequence: 0
source 0 - assert 1763322491.999963077, sequence: 1214 - clear  0.000000000, sequence: 0
source 0 - assert 1763322492.999962531, sequence: 1215 - clear  0.000000000, sequence: 0
source 0 - assert 1763322493.999964478, sequence: 1216 - clear  0.000000000, sequence: 0
source 0 - assert 1763322494.999963697, sequence: 1217 - clear  0.000000000, sequence: 0
source 0 - assert 1763322495.999963607, sequence: 1218 - clear  0.000000000, sequence: 0
source 0 - assert 1763322496.999963145, sequence: 1219 - clear  0.000000000, sequence: 0
source 0 - assert 1763322497.999963179, sequence: 1220 - clear  0.000000000, sequence: 0
source 0 - assert 1763322498.999963117, sequence: 1221 - clear  0.000000000, sequence: 0
source 0 - assert 1763322499.999964129, sequence: 1222 - clear  0.000000000, sequence: 0
source 0 - assert 1763322500.999962817, sequence: 1223 - clear  0.000000000, sequence: 0
source 0 - assert 1763322501.999958463, sequence: 1224 - clear  0.000000000, sequence: 0
source 0 - assert 1763322502.999962673, sequence: 1225 - clear  0.000000000, sequence: 0
source 0 - assert 1763322503.999964006, sequence: 1226 - clear  0.000000000, sequence: 0
source 0 - assert 1763322504.999963557, sequence: 1227 - clear  0.000000000, sequence: 0
source 0 - assert 1763322505.999963111, sequence: 1228 - clear  0.000000000, sequence: 0
source 0 - assert 1763322506.999964144, sequence: 1229 - clear  0.000000000, sequence: 0
source 0 - assert 1763322507.999964551, sequence: 1230 - clear  0.000000000, sequence: 0
source 0 - assert 1763322508.999963856, sequence: 1231 - clear  0.000000000, sequence: 0
source 0 - assert 1763322509.999962762, sequence: 1232 - clear  0.000000000, sequence: 0
