trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763400228.000010059, sequence: 3087 - clear  0.000000000, sequence: 0
source 0 - assert 1763400229.000003606, sequence: 3088 - clear  0.000000000, sequence: 0
source 0 - assert 1763400230.000002909, sequence: 3089 - clear  0.000000000, sequence: 0
source 0 - assert 1763400231.000006163, sequence: 3090 - clear  0.000000000, sequence: 0
source 0 - assert 1763400232.000006159, sequence: 3091 - clear  0.000000000, sequence: 0
source 0 - assert 1763400233.000004598, sequence: 3092 - clear  0.000000000, sequence: 0
source 0 - assert 1763400234.000005752, sequence: 3093 - clear  0.000000000, sequence: 0
source 0 - assert 1763400235.000002278, sequence: 3094 - clear  0.000000000, sequence: 0
source 0 - assert 1763400236.000002077, sequence: 3095 - clear  0.000000000, sequence: 0
source 0 - assert 1763400237.000005127, sequence: 3096 - clear  0.000000000, sequence: 0
source 0 - assert 1763400238.000004500, sequence: 3097 - clear  0.000000000, sequence: 0
source 0 - assert 1763400239.000005434, sequence: 3098 - clear  0.000000000, sequence: 0
source 0 - assert 1763400240.000003596, sequence: 3099 - clear  0.000000000, sequence: 0
source 0 - assert 1763400241.000003306, sequence: 3100 - clear  0.000000000, sequence: 0
source 0 - assert 1763400242.000003453, sequence: 3101 - clear  0.000000000, sequence: 0
source 0 - assert 1763400243.000003252, sequence: 3102 - clear  0.000000000, sequence: 0
source 0 - assert 1763400244.000001837, sequence: 3103 - clear  0.000000000, sequence: 0
source 0 - assert 1763400245.000008383, sequence: 3104 - clear  0.000000000, sequence: 0
source 0 - assert 1763400246.000005366, sequence: 3105 - clear  0.000000000, sequence: 0
source 0 - assert 1763400247.000001771, sequence: 3106 - clear  0.000000000, sequence: 0
source 0 - assert 1763400248.000005662, sequence: 3107 - clear  0.000000000, sequence: 0
source 0 - assert 1763400249.000008616, sequence: 3108 - clear  0.000000000, sequence: 0
source 0 - assert 1763400250.000006470, sequence: 3109 - clear  0.000000000, sequence: 0
source 0 - assert 1763400251.000004624, sequence: 3110 - clear  0.000000000, sequence: 0
source 0 - assert 1763400252.000006458, sequence: 3111 - clear  0.000000000, sequence: 0
source 0 - assert 1763400253.000003445, sequence: 3112 - clear  0.000000000, sequence: 0
source 0 - assert 1763400254.000005578, sequence: 3113 - clear  0.000000000, sequence: 0
source 0 - assert 1763400255.000006951, sequence: 3114 - clear  0.000000000, sequence: 0
source 0 - assert 1763400256.000006573, sequence: 3115 - clear  0.000000000, sequence: 0
source 0 - assert 1763400257.000007413, sequence: 3116 - clear  0.000000000, sequence: 0
source 0 - assert 1763400258.000004744, sequence: 3117 - clear  0.000000000, sequence: 0
source 0 - assert 1763400259.000003366, sequence: 3118 - clear  0.000000000, sequence: 0
source 0 - assert 1763400260.000004690, sequence: 3119 - clear  0.000000000, sequence: 0
source 0 - assert 1763400261.000006024, sequence: 3120 - clear  0.000000000, sequence: 0
source 0 - assert 1763400262.000007692, sequence: 3121 - clear  0.000000000, sequence: 0
source 0 - assert 1763400263.000002863, sequence: 3122 - clear  0.000000000, sequence: 0
source 0 - assert 1763400264.000003682, sequence: 3123 - clear  0.000000000, sequence: 0
source 0 - assert 1763400265.000005452, sequence: 3124 - clear  0.000000000, sequence: 0
source 0 - assert 1763400266.000004681, sequence: 3125 - clear  0.000000000, sequence: 0
source 0 - assert 1763400267.000008008, sequence: 3126 - clear  0.000000000, sequence: 0
source 0 - assert 1763400268.000006121, sequence: 3127 - clear  0.000000000, sequence: 0
source 0 - assert 1763400269.000003664, sequence: 3128 - clear  0.000000000, sequence: 0
source 0 - assert 1763400270.000003306, sequence: 3129 - clear  0.000000000, sequence: 0
source 0 - assert 1763400271.000004261, sequence: 3130 - clear  0.000000000, sequence: 0
source 0 - assert 1763400272.000006093, sequence: 3131 - clear  0.000000000, sequence: 0
source 0 - assert 1763400273.000004331, sequence: 3132 - clear  0.000000000, sequence: 0
source 0 - assert 1763400274.000004099, sequence: 3133 - clear  0.000000000, sequence: 0
source 0 - assert 1763400275.000003790, sequence: 3134 - clear  0.000000000, sequence: 0
source 0 - assert 1763400276.000001258, sequence: 3135 - clear  0.000000000, sequence: 0
source 0 - assert 1763400277.000007265, sequence: 3136 - clear  0.000000000, sequence: 0
source 0 - assert 1763400278.000006496, sequence: 3137 - clear  0.000000000, sequence: 0
source 0 - assert 1763400279.000007267, sequence: 3138 - clear  0.000000000, sequence: 0
source 0 - assert 1763400280.000004679, sequence: 3139 - clear  0.000000000, sequence: 0
source 0 - assert 1763400281.000005945, sequence: 3140 - clear  0.000000000, sequence: 0
source 0 - assert 1763400282.000004787, sequence: 3141 - clear  0.000000000, sequence: 0
source 0 - assert 1763400283.000007148, sequence: 3142 - clear  0.000000000, sequence: 0
source 0 - assert 1763400284.000005325, sequence: 3143 - clear  0.000000000, sequence: 0
source 0 - assert 1763400285.000000085, sequence: 3144 - clear  0.000000000, sequence: 0
source 0 - assert 1763400286.000003796, sequence: 3145 - clear  0.000000000, sequence: 0
source 0 - assert 1763400287.000004508, sequence: 3146 - clear  0.000000000, sequence: 0
source 0 - assert 1763400288.000004669, sequence: 3147 - clear  0.000000000, sequence: 0
source 0 - assert 1763400289.000006294, sequence: 3148 - clear  0.000000000, sequence: 0
source 0 - assert 1763400290.000003659, sequence: 3149 - clear  0.000000000, sequence: 0
