trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763401159.000008088, sequence: 4018 - clear  0.000000000, sequence: 0
source 0 - assert 1763401160.000010207, sequence: 4019 - clear  0.000000000, sequence: 0
source 0 - assert 1763401161.000006083, sequence: 4020 - clear  0.000000000, sequence: 0
source 0 - assert 1763401162.000007734, sequence: 4021 - clear  0.000000000, sequence: 0
source 0 - assert 1763401163.000007983, sequence: 4022 - clear  0.000000000, sequence: 0
source 0 - assert 1763401164.000005904, sequence: 4023 - clear  0.000000000, sequence: 0
source 0 - assert 1763401165.000009129, sequence: 4024 - clear  0.000000000, sequence: 0
source 0 - assert 1763401166.000006047, sequence: 4025 - clear  0.000000000, sequence: 0
source 0 - assert 1763401167.000008216, sequence: 4026 - clear  0.000000000, sequence: 0
source 0 - assert 1763401168.000006012, sequence: 4027 - clear  0.000000000, sequence: 0
source 0 - assert 1763401169.000006081, sequence: 4028 - clear  0.000000000, sequence: 0
source 0 - assert 1763401170.000011542, sequence: 4029 - clear  0.000000000, sequence: 0
source 0 - assert 1763401171.000004700, sequence: 4030 - clear  0.000000000, sequence: 0
source 0 - assert 1763401172.000010567, sequence: 4031 - clear  0.000000000, sequence: 0
source 0 - assert 1763401173.000006812, sequence: 4032 - clear  0.000000000, sequence: 0
source 0 - assert 1763401174.000008159, sequence: 4033 - clear  0.000000000, sequence: 0
source 0 - assert 1763401175.000007297, sequence: 4034 - clear  0.000000000, sequence: 0
source 0 - assert 1763401176.000010144, sequence: 4035 - clear  0.000000000, sequence: 0
source 0 - assert 1763401177.000008569, sequence: 4036 - clear  0.000000000, sequence: 0
source 0 - assert 1763401178.000003251, sequence: 4037 - clear  0.000000000, sequence: 0
source 0 - assert 1763401179.000004032, sequence: 4038 - clear  0.000000000, sequence: 0
source 0 - assert 1763401180.000009573, sequence: 4039 - clear  0.000000000, sequence: 0
source 0 - assert 1763401181.000008286, sequence: 4040 - clear  0.000000000, sequence: 0
source 0 - assert 1763401182.000007846, sequence: 4041 - clear  0.000000000, sequence: 0
source 0 - assert 1763401183.000003379, sequence: 4042 - clear  0.000000000, sequence: 0
source 0 - assert 1763401184.000002413, sequence: 4043 - clear  0.000000000, sequence: 0
source 0 - assert 1763401185.000006535, sequence: 4044 - clear  0.000000000, sequence: 0
source 0 - assert 1763401186.000006574, sequence: 4045 - clear  0.000000000, sequence: 0
source 0 - assert 1763401187.000011461, sequence: 4046 - clear  0.000000000, sequence: 0
source 0 - assert 1763401188.000006649, sequence: 4047 - clear  0.000000000, sequence: 0
source 0 - assert 1763401189.000005004, sequence: 4048 - clear  0.000000000, sequence: 0
source 0 - assert 1763401190.000006541, sequence: 4049 - clear  0.000000000, sequence: 0
source 0 - assert 1763401191.000007715, sequence: 4050 - clear  0.000000000, sequence: 0
source 0 - assert 1763401192.000008378, sequence: 4051 - clear  0.000000000, sequence: 0
source 0 - assert 1763401193.000010663, sequence: 4052 - clear  0.000000000, sequence: 0
source 0 - assert 1763401194.000007125, sequence: 4053 - clear  0.000000000, sequence: 0
source 0 - assert 1763401195.000005325, sequence: 4054 - clear  0.000000000, sequence: 0
source 0 - assert 1763401196.000010112, sequence: 4055 - clear  0.000000000, sequence: 0
source 0 - assert 1763401197.000004052, sequence: 4056 - clear  0.000000000, sequence: 0
source 0 - assert 1763401198.000008663, sequence: 4057 - clear  0.000000000, sequence: 0
source 0 - assert 1763401199.000008838, sequence: 4058 - clear  0.000000000, sequence: 0
source 0 - assert 1763401200.000004432, sequence: 4059 - clear  0.000000000, sequence: 0
source 0 - assert 1763401201.000008829, sequence: 4060 - clear  0.000000000, sequence: 0
source 0 - assert 1763401202.000008091, sequence: 4061 - clear  0.000000000, sequence: 0
source 0 - assert 1763401203.000009715, sequence: 4062 - clear  0.000000000, sequence: 0
source 0 - assert 1763401204.000006586, sequence: 4063 - clear  0.000000000, sequence: 0
source 0 - assert 1763401205.000005048, sequence: 4064 - clear  0.000000000, sequence: 0
source 0 - assert 1763401206.000011006, sequence: 4065 - clear  0.000000000, sequence: 0
source 0 - assert 1763401207.000008585, sequence: 4066 - clear  0.000000000, sequence: 0
source 0 - assert 1763401208.000005390, sequence: 4067 - clear  0.000000000, sequence: 0
source 0 - assert 1763401209.000010378, sequence: 4068 - clear  0.000000000, sequence: 0
source 0 - assert 1763401210.000010779, sequence: 4069 - clear  0.000000000, sequence: 0
source 0 - assert 1763401211.000004039, sequence: 4070 - clear  0.000000000, sequence: 0
source 0 - assert 1763401212.000007514, sequence: 4071 - clear  0.000000000, sequence: 0
source 0 - assert 1763401213.000003953, sequence: 4072 - clear  0.000000000, sequence: 0
source 0 - assert 1763401214.000008061, sequence: 4073 - clear  0.000000000, sequence: 0
source 0 - assert 1763401215.000005813, sequence: 4074 - clear  0.000000000, sequence: 0
source 0 - assert 1763401216.000009575, sequence: 4075 - clear  0.000000000, sequence: 0
source 0 - assert 1763401217.000010338, sequence: 4076 - clear  0.000000000, sequence: 0
source 0 - assert 1763401218.000007382, sequence: 4077 - clear  0.000000000, sequence: 0
source 0 - assert 1763401219.000006513, sequence: 4078 - clear  0.000000000, sequence: 0
source 0 - assert 1763401220.000009927, sequence: 4079 - clear  0.000000000, sequence: 0
source 0 - assert 1763401221.000009087, sequence: 4080 - clear  0.000000000, sequence: 0
source 0 - assert 1763401222.000004169, sequence: 4081 - clear  0.000000000, sequence: 0
source 0 - assert 1763401223.000004701, sequence: 4082 - clear  0.000000000, sequence: 0
source 0 - assert 1763401224.000005414, sequence: 4083 - clear  0.000000000, sequence: 0
source 0 - assert 1763401225.000007618, sequence: 4084 - clear  0.000000000, sequence: 0
source 0 - assert 1763401226.000007461, sequence: 4085 - clear  0.000000000, sequence: 0
source 0 - assert 1763401227.000002247, sequence: 4086 - clear  0.000000000, sequence: 0
source 0 - assert 1763401228.000005618, sequence: 4087 - clear  0.000000000, sequence: 0
source 0 - assert 1763401229.000007827, sequence: 4088 - clear  0.000000000, sequence: 0
source 0 - assert 1763401230.000006300, sequence: 4089 - clear  0.000000000, sequence: 0
source 0 - assert 1763401231.000009414, sequence: 4090 - clear  0.000000000, sequence: 0
source 0 - assert 1763401232.000006326, sequence: 4091 - clear  0.000000000, sequence: 0
source 0 - assert 1763401233.000006414, sequence: 4092 - clear  0.000000000, sequence: 0
source 0 - assert 1763401234.000004846, sequence: 4093 - clear  0.000000000, sequence: 0
source 0 - assert 1763401235.000005525, sequence: 4094 - clear  0.000000000, sequence: 0
source 0 - assert 1763401236.000010360, sequence: 4095 - clear  0.000000000, sequence: 0
source 0 - assert 1763401237.000009603, sequence: 4096 - clear  0.000000000, sequence: 0
source 0 - assert 1763401238.000007086, sequence: 4097 - clear  0.000000000, sequence: 0
source 0 - assert 1763401239.000006154, sequence: 4098 - clear  0.000000000, sequence: 0
source 0 - assert 1763401240.000007562, sequence: 4099 - clear  0.000000000, sequence: 0
source 0 - assert 1763401241.000009296, sequence: 4100 - clear  0.000000000, sequence: 0
source 0 - assert 1763401242.000012454, sequence: 4101 - clear  0.000000000, sequence: 0
source 0 - assert 1763401243.000008393, sequence: 4102 - clear  0.000000000, sequence: 0
source 0 - assert 1763401244.000006012, sequence: 4103 - clear  0.000000000, sequence: 0
source 0 - assert 1763401245.000004955, sequence: 4104 - clear  0.000000000, sequence: 0
source 0 - assert 1763401246.000006293, sequence: 4105 - clear  0.000000000, sequence: 0
source 0 - assert 1763401247.000010123, sequence: 4106 - clear  0.000000000, sequence: 0
source 0 - assert 1763401248.000007139, sequence: 4107 - clear  0.000000000, sequence: 0
source 0 - assert 1763401249.000004387, sequence: 4108 - clear  0.000000000, sequence: 0
source 0 - assert 1763401250.000006685, sequence: 4109 - clear  0.000000000, sequence: 0
source 0 - assert 1763401251.000008634, sequence: 4110 - clear  0.000000000, sequence: 0
source 0 - assert 1763401252.000009303, sequence: 4111 - clear  0.000000000, sequence: 0
source 0 - assert 1763401253.000009311, sequence: 4112 - clear  0.000000000, sequence: 0
source 0 - assert 1763401254.000008677, sequence: 4113 - clear  0.000000000, sequence: 0
source 0 - assert 1763401255.000006510, sequence: 4114 - clear  0.000000000, sequence: 0
source 0 - assert 1763401256.000006558, sequence: 4115 - clear  0.000000000, sequence: 0
source 0 - assert 1763401257.000008871, sequence: 4116 - clear  0.000000000, sequence: 0
source 0 - assert 1763401258.000010202, sequence: 4117 - clear  0.000000000, sequence: 0
source 0 - assert 1763401259.000008919, sequence: 4118 - clear  0.000000000, sequence: 0
source 0 - assert 1763401260.000005705, sequence: 4119 - clear  0.000000000, sequence: 0
source 0 - assert 1763401261.000116635, sequence: 4120 - clear  0.000000000, sequence: 0
source 0 - assert 1763401262.000008715, sequence: 4121 - clear  0.000000000, sequence: 0
source 0 - assert 1763401263.000004498, sequence: 4122 - clear  0.000000000, sequence: 0
source 0 - assert 1763401264.000007461, sequence: 4123 - clear  0.000000000, sequence: 0
source 0 - assert 1763401265.000009172, sequence: 4124 - clear  0.000000000, sequence: 0
source 0 - assert 1763401266.000005329, sequence: 4125 - clear  0.000000000, sequence: 0
source 0 - assert 1763401267.000008244, sequence: 4126 - clear  0.000000000, sequence: 0
source 0 - assert 1763401268.000009284, sequence: 4127 - clear  0.000000000, sequence: 0
source 0 - assert 1763401269.000007100, sequence: 4128 - clear  0.000000000, sequence: 0
source 0 - assert 1763401270.000006115, sequence: 4129 - clear  0.000000000, sequence: 0
source 0 - assert 1763401271.000007743, sequence: 4130 - clear  0.000000000, sequence: 0
source 0 - assert 1763401272.000010127, sequence: 4131 - clear  0.000000000, sequence: 0
source 0 - assert 1763401273.000009544, sequence: 4132 - clear  0.000000000, sequence: 0
source 0 - assert 1763401274.000009542, sequence: 4133 - clear  0.000000000, sequence: 0
source 0 - assert 1763401275.000008501, sequence: 4134 - clear  0.000000000, sequence: 0
source 0 - assert 1763401276.000005339, sequence: 4135 - clear  0.000000000, sequence: 0
source 0 - assert 1763401277.000013009, sequence: 4136 - clear  0.000000000, sequence: 0
source 0 - assert 1763401278.000012512, sequence: 4137 - clear  0.000000000, sequence: 0
source 0 - assert 1763401279.000008504, sequence: 4138 - clear  0.000000000, sequence: 0
source 0 - assert 1763401280.000008988, sequence: 4139 - clear  0.000000000, sequence: 0
source 0 - assert 1763401281.000006034, sequence: 4140 - clear  0.000000000, sequence: 0
source 0 - assert 1763401282.000008157, sequence: 4141 - clear  0.000000000, sequence: 0
source 0 - assert 1763401283.000008001, sequence: 4142 - clear  0.000000000, sequence: 0
source 0 - assert 1763401284.000005385, sequence: 4143 - clear  0.000000000, sequence: 0
source 0 - assert 1763401285.000004561, sequence: 4144 - clear  0.000000000, sequence: 0
source 0 - assert 1763401286.000009801, sequence: 4145 - clear  0.000000000, sequence: 0
source 0 - assert 1763401287.000006050, sequence: 4146 - clear  0.000000000, sequence: 0
source 0 - assert 1763401288.000004035, sequence: 4147 - clear  0.000000000, sequence: 0
source 0 - assert 1763401289.000008277, sequence: 4148 - clear  0.000000000, sequence: 0
source 0 - assert 1763401290.000007459, sequence: 4149 - clear  0.000000000, sequence: 0
source 0 - assert 1763401291.000009361, sequence: 4150 - clear  0.000000000, sequence: 0
source 0 - assert 1763401292.000007987, sequence: 4151 - clear  0.000000000, sequence: 0
source 0 - assert 1763401293.000003575, sequence: 4152 - clear  0.000000000, sequence: 0
source 0 - assert 1763401294.000006287, sequence: 4153 - clear  0.000000000, sequence: 0
source 0 - assert 1763401295.000001838, sequence: 4154 - clear  0.000000000, sequence: 0
source 0 - assert 1763401296.000008926, sequence: 4155 - clear  0.000000000, sequence: 0
source 0 - assert 1763401297.000009083, sequence: 4156 - clear  0.000000000, sequence: 0
source 0 - assert 1763401298.000007333, sequence: 4157 - clear  0.000000000, sequence: 0
source 0 - assert 1763401299.000007832, sequence: 4158 - clear  0.000000000, sequence: 0
source 0 - assert 1763401300.000005345, sequence: 4159 - clear  0.000000000, sequence: 0
source 0 - assert 1763401301.000007415, sequence: 4160 - clear  0.000000000, sequence: 0
source 0 - assert 1763401302.000009250, sequence: 4161 - clear  0.000000000, sequence: 0
