trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763400228.000011462, sequence: 3060 - clear  0.000000000, sequence: 0
source 0 - assert 1763400229.000010941, sequence: 3061 - clear  0.000000000, sequence: 0
source 0 - assert 1763400230.000009943, sequence: 3062 - clear  0.000000000, sequence: 0
source 0 - assert 1763400231.000009909, sequence: 3063 - clear  0.000000000, sequence: 0
source 0 - assert 1763400232.000010946, sequence: 3064 - clear  0.000000000, sequence: 0
source 0 - assert 1763400233.000011345, sequence: 3065 - clear  0.000000000, sequence: 0
source 0 - assert 1763400234.000003330, sequence: 3066 - clear  0.000000000, sequence: 0
source 0 - assert 1763400234.999982330, sequence: 3067 - clear  0.000000000, sequence: 0
source 0 - assert 1763400235.999978027, sequence: 3068 - clear  0.000000000, sequence: 0
source 0 - assert 1763400236.999979305, sequence: 3069 - clear  0.000000000, sequence: 0
source 0 - assert 1763400237.999980748, sequence: 3070 - clear  0.000000000, sequence: 0
source 0 - assert 1763400238.999982818, sequence: 3071 - clear  0.000000000, sequence: 0
source 0 - assert 1763400239.999983935, sequence: 3072 - clear  0.000000000, sequence: 0
source 0 - assert 1763400240.999985150, sequence: 3073 - clear  0.000000000, sequence: 0
source 0 - assert 1763400241.999982788, sequence: 3074 - clear  0.000000000, sequence: 0
source 0 - assert 1763400242.999985519, sequence: 3075 - clear  0.000000000, sequence: 0
source 0 - assert 1763400243.999986428, sequence: 3076 - clear  0.000000000, sequence: 0
source 0 - assert 1763400244.999985682, sequence: 3077 - clear  0.000000000, sequence: 0
source 0 - assert 1763400245.999985964, sequence: 3078 - clear  0.000000000, sequence: 0
source 0 - assert 1763400246.999984908, sequence: 3079 - clear  0.000000000, sequence: 0
source 0 - assert 1763400247.999985465, sequence: 3080 - clear  0.000000000, sequence: 0
source 0 - assert 1763400248.999986689, sequence: 3081 - clear  0.000000000, sequence: 0
source 0 - assert 1763400249.999985956, sequence: 3082 - clear  0.000000000, sequence: 0
source 0 - assert 1763400250.999981919, sequence: 3083 - clear  0.000000000, sequence: 0
source 0 - assert 1763400251.999985946, sequence: 3084 - clear  0.000000000, sequence: 0
source 0 - assert 1763400252.999985245, sequence: 3085 - clear  0.000000000, sequence: 0
source 0 - assert 1763400253.999986102, sequence: 3086 - clear  0.000000000, sequence: 0
source 0 - assert 1763400254.999984329, sequence: 3087 - clear  0.000000000, sequence: 0
source 0 - assert 1763400255.999984299, sequence: 3088 - clear  0.000000000, sequence: 0
source 0 - assert 1763400256.999984317, sequence: 3089 - clear  0.000000000, sequence: 0
source 0 - assert 1763400257.999985596, sequence: 3090 - clear  0.000000000, sequence: 0
source 0 - assert 1763400258.999985249, sequence: 3091 - clear  0.000000000, sequence: 0
source 0 - assert 1763400259.999984530, sequence: 3092 - clear  0.000000000, sequence: 0
source 0 - assert 1763400260.999985743, sequence: 3093 - clear  0.000000000, sequence: 0
source 0 - assert 1763400261.999984611, sequence: 3094 - clear  0.000000000, sequence: 0
source 0 - assert 1763400262.999984236, sequence: 3095 - clear  0.000000000, sequence: 0
source 0 - assert 1763400263.999986341, sequence: 3096 - clear  0.000000000, sequence: 0
source 0 - assert 1763400264.999985668, sequence: 3097 - clear  0.000000000, sequence: 0
source 0 - assert 1763400265.999985895, sequence: 3098 - clear  0.000000000, sequence: 0
source 0 - assert 1763400266.999986177, sequence: 3099 - clear  0.000000000, sequence: 0
source 0 - assert 1763400267.999986467, sequence: 3100 - clear  0.000000000, sequence: 0
source 0 - assert 1763400268.999985398, sequence: 3101 - clear  0.000000000, sequence: 0
source 0 - assert 1763400269.999984350, sequence: 3102 - clear  0.000000000, sequence: 0
source 0 - assert 1763400270.999985057, sequence: 3103 - clear  0.000000000, sequence: 0
source 0 - assert 1763400271.999985059, sequence: 3104 - clear  0.000000000, sequence: 0
source 0 - assert 1763400272.999984917, sequence: 3105 - clear  0.000000000, sequence: 0
source 0 - assert 1763400273.999985843, sequence: 3106 - clear  0.000000000, sequence: 0
source 0 - assert 1763400274.999985185, sequence: 3107 - clear  0.000000000, sequence: 0
source 0 - assert 1763400275.999985545, sequence: 3108 - clear  0.000000000, sequence: 0
source 0 - assert 1763400276.999980526, sequence: 3109 - clear  0.000000000, sequence: 0
source 0 - assert 1763400277.999984435, sequence: 3110 - clear  0.000000000, sequence: 0
source 0 - assert 1763400278.999985106, sequence: 3111 - clear  0.000000000, sequence: 0
source 0 - assert 1763400279.999986102, sequence: 3112 - clear  0.000000000, sequence: 0
source 0 - assert 1763400280.999985362, sequence: 3113 - clear  0.000000000, sequence: 0
source 0 - assert 1763400281.999985309, sequence: 3114 - clear  0.000000000, sequence: 0
source 0 - assert 1763400282.999986298, sequence: 3115 - clear  0.000000000, sequence: 0
source 0 - assert 1763400283.999985535, sequence: 3116 - clear  0.000000000, sequence: 0
source 0 - assert 1763400284.999985169, sequence: 3117 - clear  0.000000000, sequence: 0
source 0 - assert 1763400285.999985531, sequence: 3118 - clear  0.000000000, sequence: 0
source 0 - assert 1763400286.999985549, sequence: 3119 - clear  0.000000000, sequence: 0
source 0 - assert 1763400287.999984820, sequence: 3120 - clear  0.000000000, sequence: 0
source 0 - assert 1763400288.999984469, sequence: 3121 - clear  0.000000000, sequence: 0
source 0 - assert 1763400289.999986121, sequence: 3122 - clear  0.000000000, sequence: 0
source 0 - assert 1763400290.999984457, sequence: 3123 - clear  0.000000000, sequence: 0
source 0 - assert 1763400291.999985814, sequence: 3124 - clear  0.000000000, sequence: 0
