trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763400719.999985978, sequence: 3552 - clear  0.000000000, sequence: 0
source 0 - assert 1763400720.999985499, sequence: 3553 - clear  0.000000000, sequence: 0
source 0 - assert 1763400721.999985404, sequence: 3554 - clear  0.000000000, sequence: 0
source 0 - assert 1763400722.999985423, sequence: 3555 - clear  0.000000000, sequence: 0
source 0 - assert 1763400723.999986110, sequence: 3556 - clear  0.000000000, sequence: 0
source 0 - assert 1763400724.999985013, sequence: 3557 - clear  0.000000000, sequence: 0
source 0 - assert 1763400725.999985332, sequence: 3558 - clear  0.000000000, sequence: 0
source 0 - assert 1763400726.999986045, sequence: 3559 - clear  0.000000000, sequence: 0
source 0 - assert 1763400727.999985645, sequence: 3560 - clear  0.000000000, sequence: 0
source 0 - assert 1763400728.999985386, sequence: 3561 - clear  0.000000000, sequence: 0
source 0 - assert 1763400729.999985683, sequence: 3562 - clear  0.000000000, sequence: 0
source 0 - assert 1763400730.999986213, sequence: 3563 - clear  0.000000000, sequence: 0
source 0 - assert 1763400731.999985266, sequence: 3564 - clear  0.000000000, sequence: 0
source 0 - assert 1763400732.999984692, sequence: 3565 - clear  0.000000000, sequence: 0
source 0 - assert 1763400733.999985482, sequence: 3566 - clear  0.000000000, sequence: 0
source 0 - assert 1763400734.999984841, sequence: 3567 - clear  0.000000000, sequence: 0
source 0 - assert 1763400735.999985384, sequence: 3568 - clear  0.000000000, sequence: 0
source 0 - assert 1763400736.999983456, sequence: 3569 - clear  0.000000000, sequence: 0
source 0 - assert 1763400737.999986425, sequence: 3570 - clear  0.000000000, sequence: 0
source 0 - assert 1763400738.999985809, sequence: 3571 - clear  0.000000000, sequence: 0
source 0 - assert 1763400739.999985478, sequence: 3572 - clear  0.000000000, sequence: 0
source 0 - assert 1763400740.999986120, sequence: 3573 - clear  0.000000000, sequence: 0
source 0 - assert 1763400741.999985227, sequence: 3574 - clear  0.000000000, sequence: 0
source 0 - assert 1763400742.999984932, sequence: 3575 - clear  0.000000000, sequence: 0
source 0 - assert 1763400743.999984610, sequence: 3576 - clear  0.000000000, sequence: 0
source 0 - assert 1763400744.999979839, sequence: 3577 - clear  0.000000000, sequence: 0
source 0 - assert 1763400745.999984773, sequence: 3578 - clear  0.000000000, sequence: 0
source 0 - assert 1763400746.999984137, sequence: 3579 - clear  0.000000000, sequence: 0
source 0 - assert 1763400747.999985923, sequence: 3580 - clear  0.000000000, sequence: 0
source 0 - assert 1763400748.999984908, sequence: 3581 - clear  0.000000000, sequence: 0
source 0 - assert 1763400749.999984946, sequence: 3582 - clear  0.000000000, sequence: 0
source 0 - assert 1763400750.999986322, sequence: 3583 - clear  0.000000000, sequence: 0
source 0 - assert 1763400751.999984605, sequence: 3584 - clear  0.000000000, sequence: 0
source 0 - assert 1763400752.999984202, sequence: 3585 - clear  0.000000000, sequence: 0
source 0 - assert 1763400753.999991900, sequence: 3586 - clear  0.000000000, sequence: 0
source 0 - assert 1763400754.999984508, sequence: 3587 - clear  0.000000000, sequence: 0
source 0 - assert 1763400755.999985973, sequence: 3588 - clear  0.000000000, sequence: 0
source 0 - assert 1763400756.999985626, sequence: 3589 - clear  0.000000000, sequence: 0
source 0 - assert 1763400757.999984342, sequence: 3590 - clear  0.000000000, sequence: 0
source 0 - assert 1763400758.999984378, sequence: 3591 - clear  0.000000000, sequence: 0
source 0 - assert 1763400759.999984688, sequence: 3592 - clear  0.000000000, sequence: 0
source 0 - assert 1763400760.999987064, sequence: 3593 - clear  0.000000000, sequence: 0
source 0 - assert 1763400761.999985384, sequence: 3594 - clear  0.000000000, sequence: 0
source 0 - assert 1763400762.999984056, sequence: 3595 - clear  0.000000000, sequence: 0
source 0 - assert 1763400763.999984634, sequence: 3596 - clear  0.000000000, sequence: 0
source 0 - assert 1763400764.999985238, sequence: 3597 - clear  0.000000000, sequence: 0
source 0 - assert 1763400765.999985227, sequence: 3598 - clear  0.000000000, sequence: 0
source 0 - assert 1763400766.999984946, sequence: 3599 - clear  0.000000000, sequence: 0
source 0 - assert 1763400767.999985282, sequence: 3600 - clear  0.000000000, sequence: 0
source 0 - assert 1763400768.999984372, sequence: 3601 - clear  0.000000000, sequence: 0
source 0 - assert 1763400769.999999430, sequence: 3602 - clear  0.000000000, sequence: 0
source 0 - assert 1763400770.999980418, sequence: 3603 - clear  0.000000000, sequence: 0
source 0 - assert 1763400771.999985769, sequence: 3604 - clear  0.000000000, sequence: 0
source 0 - assert 1763400772.999985422, sequence: 3605 - clear  0.000000000, sequence: 0
source 0 - assert 1763400773.999985871, sequence: 3606 - clear  0.000000000, sequence: 0
source 0 - assert 1763400774.999985529, sequence: 3607 - clear  0.000000000, sequence: 0
source 0 - assert 1763400775.999984898, sequence: 3608 - clear  0.000000000, sequence: 0
source 0 - assert 1763400776.999985290, sequence: 3609 - clear  0.000000000, sequence: 0
source 0 - assert 1763400777.999985633, sequence: 3610 - clear  0.000000000, sequence: 0
source 0 - assert 1763400778.999985227, sequence: 3611 - clear  0.000000000, sequence: 0
source 0 - assert 1763400779.999985997, sequence: 3612 - clear  0.000000000, sequence: 0
source 0 - assert 1763400780.999985322, sequence: 3613 - clear  0.000000000, sequence: 0
source 0 - assert 1763400781.999984960, sequence: 3614 - clear  0.000000000, sequence: 0
source 0 - assert 1763400782.999985491, sequence: 3615 - clear  0.000000000, sequence: 0
source 0 - assert 1763400783.999984514, sequence: 3616 - clear  0.000000000, sequence: 0
source 0 - assert 1763400784.999984972, sequence: 3617 - clear  0.000000000, sequence: 0
source 0 - assert 1763400785.999990007, sequence: 3618 - clear  0.000000000, sequence: 0
source 0 - assert 1763400786.999984749, sequence: 3619 - clear  0.000000000, sequence: 0
source 0 - assert 1763400787.999985661, sequence: 3620 - clear  0.000000000, sequence: 0
source 0 - assert 1763400788.999986989, sequence: 3621 - clear  0.000000000, sequence: 0
source 0 - assert 1763400789.999982076, sequence: 3622 - clear  0.000000000, sequence: 0
source 0 - assert 1763400790.999985435, sequence: 3623 - clear  0.000000000, sequence: 0
source 0 - assert 1763400791.999986726, sequence: 3624 - clear  0.000000000, sequence: 0
source 0 - assert 1763400792.999985049, sequence: 3625 - clear  0.000000000, sequence: 0
source 0 - assert 1763400793.999996507, sequence: 3626 - clear  0.000000000, sequence: 0
source 0 - assert 1763400794.999985876, sequence: 3627 - clear  0.000000000, sequence: 0
source 0 - assert 1763400795.999985948, sequence: 3628 - clear  0.000000000, sequence: 0
source 0 - assert 1763400796.999981537, sequence: 3629 - clear  0.000000000, sequence: 0
source 0 - assert 1763400797.999986224, sequence: 3630 - clear  0.000000000, sequence: 0
source 0 - assert 1763400798.999986212, sequence: 3631 - clear  0.000000000, sequence: 0
source 0 - assert 1763400799.999985862, sequence: 3632 - clear  0.000000000, sequence: 0
source 0 - assert 1763400800.999984147, sequence: 3633 - clear  0.000000000, sequence: 0
source 0 - assert 1763400801.999985811, sequence: 3634 - clear  0.000000000, sequence: 0
source 0 - assert 1763400802.999984552, sequence: 3635 - clear  0.000000000, sequence: 0
source 0 - assert 1763400803.999984297, sequence: 3636 - clear  0.000000000, sequence: 0
source 0 - assert 1763400804.999985067, sequence: 3637 - clear  0.000000000, sequence: 0
source 0 - assert 1763400805.999985058, sequence: 3638 - clear  0.000000000, sequence: 0
source 0 - assert 1763400806.999985410, sequence: 3639 - clear  0.000000000, sequence: 0
source 0 - assert 1763400807.999991761, sequence: 3640 - clear  0.000000000, sequence: 0
