trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763406764.000008636, sequence: 9623 - clear  0.000000000, sequence: 0
source 0 - assert 1763406765.000007428, sequence: 9624 - clear  0.000000000, sequence: 0
source 0 - assert 1763406766.000005950, sequence: 9625 - clear  0.000000000, sequence: 0
source 0 - assert 1763406767.000010015, sequence: 9626 - clear  0.000000000, sequence: 0
source 0 - assert 1763406768.000003556, sequence: 9627 - clear  0.000000000, sequence: 0
source 0 - assert 1763406769.000006697, sequence: 9628 - clear  0.000000000, sequence: 0
source 0 - assert 1763406770.000011068, sequence: 9629 - clear  0.000000000, sequence: 0
source 0 - assert 1763406771.000007817, sequence: 9630 - clear  0.000000000, sequence: 0
source 0 - assert 1763406772.000005140, sequence: 9631 - clear  0.000000000, sequence: 0
source 0 - assert 1763406773.000007635, sequence: 9632 - clear  0.000000000, sequence: 0
source 0 - assert 1763406774.000005619, sequence: 9633 - clear  0.000000000, sequence: 0
source 0 - assert 1763406775.000010582, sequence: 9634 - clear  0.000000000, sequence: 0
source 0 - assert 1763406776.000006446, sequence: 9635 - clear  0.000000000, sequence: 0
source 0 - assert 1763406777.000008719, sequence: 9636 - clear  0.000000000, sequence: 0
source 0 - assert 1763406778.000005400, sequence: 9637 - clear  0.000000000, sequence: 0
source 0 - assert 1763406779.000007722, sequence: 9638 - clear  0.000000000, sequence: 0
source 0 - assert 1763406780.000007382, sequence: 9639 - clear  0.000000000, sequence: 0
source 0 - assert 1763406781.000010461, sequence: 9640 - clear  0.000000000, sequence: 0
source 0 - assert 1763406782.000007406, sequence: 9641 - clear  0.000000000, sequence: 0
source 0 - assert 1763406783.000009577, sequence: 9642 - clear  0.000000000, sequence: 0
source 0 - assert 1763406784.000008062, sequence: 9643 - clear  0.000000000, sequence: 0
source 0 - assert 1763406785.000006259, sequence: 9644 - clear  0.000000000, sequence: 0
source 0 - assert 1763406786.000010247, sequence: 9645 - clear  0.000000000, sequence: 0
source 0 - assert 1763406787.000004611, sequence: 9646 - clear  0.000000000, sequence: 0
source 0 - assert 1763406788.000008497, sequence: 9647 - clear  0.000000000, sequence: 0
source 0 - assert 1763406789.000005331, sequence: 9648 - clear  0.000000000, sequence: 0
source 0 - assert 1763406790.000005974, sequence: 9649 - clear  0.000000000, sequence: 0
source 0 - assert 1763406791.000010865, sequence: 9650 - clear  0.000000000, sequence: 0
source 0 - assert 1763406792.000010167, sequence: 9651 - clear  0.000000000, sequence: 0
source 0 - assert 1763406793.000006919, sequence: 9652 - clear  0.000000000, sequence: 0
source 0 - assert 1763406794.000005174, sequence: 9653 - clear  0.000000000, sequence: 0
source 0 - assert 1763406795.000007707, sequence: 9654 - clear  0.000000000, sequence: 0
source 0 - assert 1763406796.000008773, sequence: 9655 - clear  0.000000000, sequence: 0
source 0 - assert 1763406797.000009559, sequence: 9656 - clear  0.000000000, sequence: 0
source 0 - assert 1763406798.000009330, sequence: 9657 - clear  0.000000000, sequence: 0
source 0 - assert 1763406799.000005102, sequence: 9658 - clear  0.000000000, sequence: 0
