trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763407837.000011927, sequence: 10696 - clear  0.000000000, sequence: 0
source 0 - assert 1763407838.000005947, sequence: 10697 - clear  0.000000000, sequence: 0
source 0 - assert 1763407839.000001998, sequence: 10698 - clear  0.000000000, sequence: 0
source 0 - assert 1763407840.000004635, sequence: 10699 - clear  0.000000000, sequence: 0
source 0 - assert 1763407841.000006876, sequence: 10700 - clear  0.000000000, sequence: 0
source 0 - assert 1763407842.000009075, sequence: 10701 - clear  0.000000000, sequence: 0
source 0 - assert 1763407843.000006560, sequence: 10702 - clear  0.000000000, sequence: 0
source 0 - assert 1763407844.000003819, sequence: 10703 - clear  0.000000000, sequence: 0
source 0 - assert 1763407845.000003840, sequence: 10704 - clear  0.000000000, sequence: 0
source 0 - assert 1763407846.000004045, sequence: 10705 - clear  0.000000000, sequence: 0
source 0 - assert 1763407847.000002592, sequence: 10706 - clear  0.000000000, sequence: 0
source 0 - assert 1763407848.000009053, sequence: 10707 - clear  0.000000000, sequence: 0
source 0 - assert 1763407849.000004149, sequence: 10708 - clear  0.000000000, sequence: 0
source 0 - assert 1763407850.000005669, sequence: 10709 - clear  0.000000000, sequence: 0
source 0 - assert 1763407851.000005196, sequence: 10710 - clear  0.000000000, sequence: 0
source 0 - assert 1763407852.000005813, sequence: 10711 - clear  0.000000000, sequence: 0
source 0 - assert 1763407853.000002581, sequence: 10712 - clear  0.000000000, sequence: 0
source 0 - assert 1763407854.000005910, sequence: 10713 - clear  0.000000000, sequence: 0
source 0 - assert 1763407855.000004698, sequence: 10714 - clear  0.000000000, sequence: 0
source 0 - assert 1763407856.000001880, sequence: 10715 - clear  0.000000000, sequence: 0
source 0 - assert 1763407857.000005878, sequence: 10716 - clear  0.000000000, sequence: 0
source 0 - assert 1763407858.000003674, sequence: 10717 - clear  0.000000000, sequence: 0
source 0 - assert 1763407859.000005132, sequence: 10718 - clear  0.000000000, sequence: 0
source 0 - assert 1763407860.000004798, sequence: 10719 - clear  0.000000000, sequence: 0
source 0 - assert 1763407861.000004830, sequence: 10720 - clear  0.000000000, sequence: 0
source 0 - assert 1763407862.000005933, sequence: 10721 - clear  0.000000000, sequence: 0
source 0 - assert 1763407863.000004720, sequence: 10722 - clear  0.000000000, sequence: 0
source 0 - assert 1763407864.000004256, sequence: 10723 - clear  0.000000000, sequence: 0
source 0 - assert 1763407865.000005625, sequence: 10724 - clear  0.000000000, sequence: 0
source 0 - assert 1763407866.000005843, sequence: 10725 - clear  0.000000000, sequence: 0
source 0 - assert 1763407867.000007544, sequence: 10726 - clear  0.000000000, sequence: 0
source 0 - assert 1763407868.000003961, sequence: 10727 - clear  0.000000000, sequence: 0
source 0 - assert 1763407869.000005220, sequence: 10728 - clear  0.000000000, sequence: 0
source 0 - assert 1763407870.000006966, sequence: 10729 - clear  0.000000000, sequence: 0
source 0 - assert 1763407871.000007661, sequence: 10730 - clear  0.000000000, sequence: 0
source 0 - assert 1763407872.000007125, sequence: 10731 - clear  0.000000000, sequence: 0
source 0 - assert 1763407873.000007002, sequence: 10732 - clear  0.000000000, sequence: 0
source 0 - assert 1763407874.000003490, sequence: 10733 - clear  0.000000000, sequence: 0
source 0 - assert 1763407875.000002867, sequence: 10734 - clear  0.000000000, sequence: 0
source 0 - assert 1763407876.000008239, sequence: 10735 - clear  0.000000000, sequence: 0
source 0 - assert 1763407877.000007499, sequence: 10736 - clear  0.000000000, sequence: 0
source 0 - assert 1763407878.000005386, sequence: 10737 - clear  0.000000000, sequence: 0
source 0 - assert 1763407878.999999171, sequence: 10738 - clear  0.000000000, sequence: 0
source 0 - assert 1763407880.000006708, sequence: 10739 - clear  0.000000000, sequence: 0
source 0 - assert 1763407881.000009128, sequence: 10740 - clear  0.000000000, sequence: 0
source 0 - assert 1763407882.000001245, sequence: 10741 - clear  0.000000000, sequence: 0
source 0 - assert 1763407883.000005290, sequence: 10742 - clear  0.000000000, sequence: 0
source 0 - assert 1763407884.000005167, sequence: 10743 - clear  0.000000000, sequence: 0
source 0 - assert 1763407885.000002820, sequence: 10744 - clear  0.000000000, sequence: 0
source 0 - assert 1763407886.000006103, sequence: 10745 - clear  0.000000000, sequence: 0
source 0 - assert 1763407887.000008400, sequence: 10746 - clear  0.000000000, sequence: 0
source 0 - assert 1763407888.000009030, sequence: 10747 - clear  0.000000000, sequence: 0
source 0 - assert 1763407889.000009292, sequence: 10748 - clear  0.000000000, sequence: 0
source 0 - assert 1763407890.000005204, sequence: 10749 - clear  0.000000000, sequence: 0
source 0 - assert 1763407891.000001277, sequence: 10750 - clear  0.000000000, sequence: 0
source 0 - assert 1763407892.000006658, sequence: 10751 - clear  0.000000000, sequence: 0
source 0 - assert 1763407893.000006219, sequence: 10752 - clear  0.000000000, sequence: 0
source 0 - assert 1763407894.000000882, sequence: 10753 - clear  0.000000000, sequence: 0
source 0 - assert 1763407895.000003319, sequence: 10754 - clear  0.000000000, sequence: 0
source 0 - assert 1763407896.000003080, sequence: 10755 - clear  0.000000000, sequence: 0
source 0 - assert 1763407897.000002768, sequence: 10756 - clear  0.000000000, sequence: 0
source 0 - assert 1763407898.000004443, sequence: 10757 - clear  0.000000000, sequence: 0
source 0 - assert 1763407899.000007381, sequence: 10758 - clear  0.000000000, sequence: 0
source 0 - assert 1763407900.000002883, sequence: 10759 - clear  0.000000000, sequence: 0
source 0 - assert 1763407901.000004547, sequence: 10760 - clear  0.000000000, sequence: 0
source 0 - assert 1763407902.000011186, sequence: 10761 - clear  0.000000000, sequence: 0
source 0 - assert 1763407903.000008321, sequence: 10762 - clear  0.000000000, sequence: 0
source 0 - assert 1763407904.000004592, sequence: 10763 - clear  0.000000000, sequence: 0
source 0 - assert 1763407905.000005734, sequence: 10764 - clear  0.000000000, sequence: 0
source 0 - assert 1763407906.000001253, sequence: 10765 - clear  0.000000000, sequence: 0
source 0 - assert 1763407907.000005584, sequence: 10766 - clear  0.000000000, sequence: 0
source 0 - assert 1763407908.000005991, sequence: 10767 - clear  0.000000000, sequence: 0
source 0 - assert 1763407909.000004509, sequence: 10768 - clear  0.000000000, sequence: 0
source 0 - assert 1763407910.000004806, sequence: 10769 - clear  0.000000000, sequence: 0
source 0 - assert 1763407911.000005157, sequence: 10770 - clear  0.000000000, sequence: 0
