ptp4l[16222.120]: selected /dev/ptp0 as PTP clock
ptp4l[16222.127]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[16222.131]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[16222.133]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[16222.135]: timeguard: registered, proxy_id=0xa78d389efd35320f

ptp4l[16222.136]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[16228.402]: selected local clock 000000.fffe.049f06 as best master
ptp4l[16228.403]: TEE: InvokeCommand returned 0x0

ptp4l[16228.405]: TEE: InvokeCommand returned 0x0

ptp4l[16228.406]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[16229.432]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[16233.447]: selected best master clock 641c10.fffe.f12579
ptp4l[16233.449]: TEE: InvokeCommand returned 0x0

ptp4l[16233.451]: TEE: InvokeCommand returned 0x0

ptp4l[16233.452]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[16233.454]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[16235.447]: master offset   11000577 s0 freq  -81031 path delay   -999086
ptp4l[16236.448]: master offset   15000561 s1 freq +3903034 path delay   -999083
ptp4l[16237.444]: master offset   -3957480 s2 freq  -54446 path delay   -999083
ptp4l[16237.446]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[16238.432]: master offset   -2014696 s2 freq +701094 path delay   -999083
ptp4l[16239.430]: master offset    1074409 s2 freq +3185790 path delay   -865733
ptp4l[16240.431]: master offset    1770722 s2 freq +4204426 path delay   -833996
ptp4l[16241.432]: master offset   -2612683 s2 freq +352237 path delay   -833996
ptp4l[16242.429]: master offset     941269 s2 freq +3122384 path delay   -853123
ptp4l[16243.436]: master offset   -2256632 s2 freq +206864 path delay   -853123
ptp4l[16244.435]: master offset    1457417 s2 freq +3243924 path delay   -877911
ptp4l[16245.437]: master offset      91622 s2 freq +2315354 path delay   -859428
ptp4l[16246.437]: master offset   -2387015 s2 freq -135797 path delay   -827691
ptp4l[16247.435]: master offset    1692348 s2 freq +3227462 path delay   -871606
ptp4l[16248.435]: master offset     347391 s2 freq +2390209 path delay   -871606
ptp4l[16249.435]: master offset    -650979 s2 freq +1496056 path delay   -365063
ptp4l[16250.436]: master offset   -2800166 s2 freq -848424 path delay    190420
ptp4l[16251.436]: master offset    1948087 s2 freq +3059779 path delay    190420
ptp4l[16252.440]: master offset   -1338923 s2 freq +357195 path delay    301704
ptp4l[16253.438]: master offset    2308256 s2 freq +3602697 path delay    190420
ptp4l[16254.438]: master offset     463173 s2 freq +2450091 path delay    301704
ptp4l[16255.437]: master offset    -446913 s2 freq +1678957 path delay    490460
ptp4l[16256.437]: master offset   -2273826 s2 freq -282030 path delay    541421
ptp4l[16257.437]: master offset      19569 s2 freq +1329217 path delay    433491
ptp4l[16258.438]: master offset    2980969 s2 freq +4296488 path delay     73988
ptp4l[16259.440]: master offset   -1792827 s2 freq +416983 path delay    477470
ptp4l[16260.439]: master offset    1676940 s2 freq +3348901 path delay    477470
ptp4l[16261.439]: master offset     239943 s2 freq +2414986 path delay    477470
ptp4l[16262.438]: master offset   -2299555 s2 freq  -52529 path delay    477470
ptp4l[16263.438]: master offset    -118946 s2 freq +1438214 path delay    249293
ptp4l[16264.439]: master offset    3140463 s2 freq +4661939 path delay   -532969
ptp4l[16265.442]: master offset   -1723671 s2 freq +739944 path delay   -532969
ptp4l[16266.438]: master offset   -3273294 s2 freq -1326780 path delay   -339148
ptp4l[16267.436]: master offset    2585001 s2 freq +3549526 path delay   -964639
ptp4l[16268.435]: master offset     968778 s2 freq +2708804 path delay   -964639
ptp4l[16269.439]: master offset   -1834049 s2 freq +196610 path delay   -964639
ptp4l[16270.440]: master offset    -147527 s2 freq +1332917 path delay   -948817
ptp4l[16271.440]: master offset    1341211 s2 freq +2777397 path delay   -948817
ptp4l[16272.441]: master offset     481919 s2 freq +2320469 path delay   -937290
ptp4l[16273.441]: master offset    2039128 s2 freq +4022253 path delay   -937290
ptp4l[16274.440]: master offset     -61520 s2 freq +2533344 path delay   -937290
ptp4l[16275.440]: master offset   -2705210 s2 freq -128802 path delay   -937290
ptp4l[16276.438]: master offset    1301059 s2 freq +3065904 path delay   -937290
ptp4l[16277.440]: master offset   -1880921 s2 freq +274241 path delay   -937290
ptp4l[16278.439]: master offset    -296002 s2 freq +1294884 path delay   -899689
ptp4l[16279.440]: master offset     328110 s2 freq +1830196 path delay   -899689
ptp4l[16280.443]: master offset     369993 s2 freq +1970512 path delay   -856652
ptp4l[16281.442]: master offset     305830 s2 freq +2017346 path delay   -856652
ptp4l[16282.442]: master offset     175906 s2 freq +1979171 path delay   -856652
ptp4l[16283.442]: master offset    2153443 s2 freq +4009480 path delay   -899689
ptp4l[16284.443]: master offset   -1945061 s2 freq +557009 path delay   -899689
ptp4l[16285.441]: master offset    1388480 s2 freq +3307032 path delay   -899689
ptp4l[16286.440]: master offset   -2050204 s2 freq +284892 path delay   -899689
ptp4l[16287.440]: master offset    1535434 s2 freq +3255469 path delay   -875799
ptp4l[16288.441]: master offset   -1811853 s2 freq +368812 path delay   -875799
ptp4l[16289.441]: master offset    -292349 s2 freq +1344760 path delay   -870380
