ptp4l[16774.718]: selected /dev/ptp0 as PTP clock
ptp4l[16774.726]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[16774.728]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[16774.730]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[16774.732]: timeguard: registered, proxy_id=0x75d3a1df13dc7491

ptp4l[16774.732]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[16782.304]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[16782.449]: selected local clock 000000.fffe.049f06 as best master
ptp4l[16782.451]: TEE: InvokeCommand returned 0x0

ptp4l[16782.453]: TEE: InvokeCommand returned 0x0

ptp4l[16782.453]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[16786.320]: selected best master clock 641c10.fffe.f12579
ptp4l[16786.321]: TEE: InvokeCommand returned 0x0

ptp4l[16786.323]: TEE: InvokeCommand returned 0x0

ptp4l[16786.324]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[16786.326]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[16788.321]: master offset   11004199 s0 freq  -81122 path delay   -999106
ptp4l[16789.321]: master offset   15004274 s1 freq +3902975 path delay   -999111
ptp4l[16790.314]: master offset   -3957488 s2 freq  -54513 path delay   -999111
ptp4l[16790.315]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[16791.305]: master offset   -2014329 s2 freq +701399 path delay   -999111
ptp4l[16792.304]: master offset    -791514 s2 freq +1319916 path delay   -999106
ptp4l[16793.305]: master offset    2612180 s2 freq +4486156 path delay   -951469
ptp4l[16794.307]: master offset    -121048 s2 freq +2536582 path delay   -903832
ptp4l[16795.308]: master offset   -2769966 s2 freq -148651 path delay   -903832
ptp4l[16796.308]: master offset    -676236 s2 freq +1114089 path delay   -951469
ptp4l[16797.308]: master offset     136888 s2 freq +1724343 path delay   -951469
ptp4l[16798.306]: master offset    3164056 s2 freq +4792577 path delay   -934211
ptp4l[16799.311]: master offset   -1714209 s2 freq +863529 path delay   -934211
ptp4l[16800.309]: master offset    1272918 s2 freq +3336393 path delay   -903832
ptp4l[16801.309]: master offset   -2168557 s2 freq +276793 path delay   -903832
ptp4l[16802.309]: master offset    1413035 s2 freq +3207818 path delay   -868798
ptp4l[16803.311]: master offset   -2102821 s2 freq +115873 path delay   -700966
ptp4l[16804.310]: master offset   10434968 s2 freq +12022816 path delay   -899177
ptp4l[16805.318]: master offset   -2102062 s2 freq +2616276 path delay   -899177
ptp4l[16806.314]: master offset   -2920267 s2 freq +1167452 path delay   -899177
ptp4l[16807.309]: master offset   -2181933 s2 freq +1029706 path delay   -899177
ptp4l[16808.308]: master offset    9197493 s2 freq +11754552 path delay   -825785
ptp4l[16809.306]: master offset   -3296251 s2 freq +2020056 path delay   -825785
ptp4l[16810.313]: master offset   -1508803 s2 freq +2818629 path delay   -775946
ptp4l[16811.308]: master offset   -4568074 s2 freq -693283 path delay   -631363
ptp4l[16812.307]: master offset   -1983165 s2 freq +521204 path delay   -631363
ptp4l[16813.310]: master offset    -578244 s2 freq +1331175 path delay   -631363
ptp4l[16814.316]: master offset    8716632 s2 freq +10452578 path delay   -775946
ptp4l[16815.320]: master offset     835194 s2 freq +5186130 path delay   -263254
ptp4l[16816.316]: master offset   -5131075 s2 freq -529581 path delay    368262
ptp4l[16817.310]: master offset    -726730 s2 freq +2335441 path delay    368262
ptp4l[16818.311]: master offset   -3145570 s2 freq -301418 path delay    368262
ptp4l[16819.311]: master offset     -73625 s2 freq +1826856 path delay    349427
ptp4l[16820.313]: master offset    2133420 s2 freq +4011814 path delay    239446
ptp4l[16821.314]: master offset   -2314655 s2 freq +203765 path delay    590848
ptp4l[16822.310]: master offset    1370834 s2 freq +3194857 path delay    590848
ptp4l[16823.315]: master offset   -1903088 s2 freq +332186 path delay    590848
ptp4l[16824.319]: master offset    8874778 s2 freq +10539125 path delay    -59562
ptp4l[16825.322]: master offset    -486849 s2 freq +3839932 path delay    -59562
ptp4l[16826.318]: master offset   -2294315 s2 freq +1886411 path delay   -295851
ptp4l[16827.313]: master offset   -2039326 s2 freq +1453105 path delay   -541783
ptp4l[16828.310]: master offset    8991097 s2 freq +11871731 path delay   -542008
ptp4l[16829.314]: master offset   -3511612 s2 freq +2066351 path delay   -542008
ptp4l[16830.313]: master offset   -1756881 s2 freq +2767598 path delay   -542008
ptp4l[16831.310]: master offset   -2747402 s2 freq +1250013 path delay   -405116
ptp4l[16832.309]: master offset   -4321636 s2 freq -1148442 path delay   -186313
ptp4l[16833.310]: master offset    9524026 s2 freq +11400729 path delay   -405116
ptp4l[16834.315]: master offset   -3147021 s2 freq +1586890 path delay   -217559
ptp4l[16835.311]: master offset    -953603 s2 freq +2836202 path delay   -174073
ptp4l[16836.313]: master offset   -4200171 s2 freq -696447 path delay    153829
ptp4l[16837.313]: master offset   -1610513 s2 freq +633160 path delay    153829
ptp4l[16838.316]: master offset    -315871 s2 freq +1444648 path delay    153829
ptp4l[16839.321]: master offset    8725120 s2 freq +10390878 path delay    153829
ptp4l[16840.325]: master offset    2111229 s2 freq +6394523 path delay    339013
ptp4l[16841.320]: master offset   -2578536 s2 freq +2338126 path delay    339013
ptp4l[16842.314]: master offset   -5049828 s2 freq -906727 path delay    339013
ptp4l[16843.311]: master offset    9369087 s2 freq +11997240 path delay   -705907
ptp4l[16844.315]: master offset   -3112128 s2 freq +2326751 path delay   -705907
ptp4l[16845.315]: master offset   -1786320 s2 freq +2718921 path delay   -553668
ptp4l[16846.312]: master offset   -4642251 s2 freq -672906 path delay   -553668
ptp4l[16847.312]: master offset   -1577181 s2 freq +999488 path delay  -1049615
ptp4l[16848.313]: master offset    9637197 s2 freq +11740712 path delay   -763956
