trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763406764.000010985, sequence: 9575 - clear  0.000000000, sequence: 0
source 0 - assert 1763406765.001112159, sequence: 9576 - clear  0.000000000, sequence: 0
source 0 - assert 1763406766.003445781, sequence: 9577 - clear  0.000000000, sequence: 0
source 0 - assert 1763406767.006053173, sequence: 9578 - clear  0.000000000, sequence: 0
source 0 - assert 1763406768.008560045, sequence: 9579 - clear  0.000000000, sequence: 0
source 0 - assert 1763406769.010885416, sequence: 9580 - clear  0.000000000, sequence: 0
source 0 - assert 1763406770.013954319, sequence: 9581 - clear  0.000000000, sequence: 0
source 0 - assert 1763406771.009138864, sequence: 9582 - clear  0.000000000, sequence: 0
source 0 - assert 1763406771.999913005, sequence: 9583 - clear  0.000000000, sequence: 0
source 0 - assert 1763406772.999904850, sequence: 9584 - clear  0.000000000, sequence: 0
source 0 - assert 1763406774.004477433, sequence: 9585 - clear  0.000000000, sequence: 0
source 0 - assert 1763406775.008876911, sequence: 9586 - clear  0.000000000, sequence: 0
source 0 - assert 1763406776.012015632, sequence: 9587 - clear  0.000000000, sequence: 0
source 0 - assert 1763406777.015121828, sequence: 9588 - clear  0.000000000, sequence: 0
source 0 - assert 1763406778.016868895, sequence: 9589 - clear  0.000000000, sequence: 0
source 0 - assert 1763406779.021190719, sequence: 9590 - clear  0.000000000, sequence: 0
source 0 - assert 1763406780.021554527, sequence: 9591 - clear  0.000000000, sequence: 0
source 0 - assert 1763406781.021238157, sequence: 9592 - clear  0.000000000, sequence: 0
source 0 - assert 1763406782.024474587, sequence: 9593 - clear  0.000000000, sequence: 0
source 0 - assert 1763406783.026310573, sequence: 9594 - clear  0.000000000, sequence: 0
source 0 - assert 1763406784.026991177, sequence: 9595 - clear  0.000000000, sequence: 0
source 0 - assert 1763406785.029549873, sequence: 9596 - clear  0.000000000, sequence: 0
source 0 - assert 1763406786.033467446, sequence: 9597 - clear  0.000000000, sequence: 0
source 0 - assert 1763406787.034596636, sequence: 9598 - clear  0.000000000, sequence: 0
source 0 - assert 1763406788.037652779, sequence: 9599 - clear  0.000000000, sequence: 0
source 0 - assert 1763406789.038894659, sequence: 9600 - clear  0.000000000, sequence: 0
source 0 - assert 1763406790.039252985, sequence: 9601 - clear  0.000000000, sequence: 0
source 0 - assert 1763406791.040083627, sequence: 9602 - clear  0.000000000, sequence: 0
source 0 - assert 1763406792.043886477, sequence: 9603 - clear  0.000000000, sequence: 0
source 0 - assert 1763406793.047388006, sequence: 9604 - clear  0.000000000, sequence: 0
source 0 - assert 1763406794.048143959, sequence: 9605 - clear  0.000000000, sequence: 0
source 0 - assert 1763406795.050908140, sequence: 9606 - clear  0.000000000, sequence: 0
source 0 - assert 1763406796.051898195, sequence: 9607 - clear  0.000000000, sequence: 0
source 0 - assert 1763406797.052456846, sequence: 9608 - clear  0.000000000, sequence: 0
source 0 - assert 1763406798.056091550, sequence: 9609 - clear  0.000000000, sequence: 0
source 0 - assert 1763406799.059583383, sequence: 9610 - clear  0.000000000, sequence: 0
source 0 - assert 1763406800.057374915, sequence: 9611 - clear  0.000000000, sequence: 0
source 0 - assert 1763406801.057217083, sequence: 9612 - clear  0.000000000, sequence: 0
source 0 - assert 1763406802.061759398, sequence: 9613 - clear  0.000000000, sequence: 0
source 0 - assert 1763406803.063675189, sequence: 9614 - clear  0.000000000, sequence: 0
source 0 - assert 1763406804.064368975, sequence: 9615 - clear  0.000000000, sequence: 0
source 0 - assert 1763406805.067741768, sequence: 9616 - clear  0.000000000, sequence: 0
source 0 - assert 1763406806.071448360, sequence: 9617 - clear  0.000000000, sequence: 0
source 0 - assert 1763406807.074028978, sequence: 9618 - clear  0.000000000, sequence: 0
source 0 - assert 1763406808.076245894, sequence: 9619 - clear  0.000000000, sequence: 0
source 0 - assert 1763406809.076263767, sequence: 9620 - clear  0.000000000, sequence: 0
source 0 - assert 1763406810.078221525, sequence: 9621 - clear  0.000000000, sequence: 0
source 0 - assert 1763406811.080998247, sequence: 9622 - clear  0.000000000, sequence: 0
source 0 - assert 1763406812.081465410, sequence: 9623 - clear  0.000000000, sequence: 0
source 0 - assert 1763406813.083816720, sequence: 9624 - clear  0.000000000, sequence: 0
source 0 - assert 1763406814.086563406, sequence: 9625 - clear  0.000000000, sequence: 0
source 0 - assert 1763406815.088907792, sequence: 9626 - clear  0.000000000, sequence: 0
source 0 - assert 1763406816.090911074, sequence: 9627 - clear  0.000000000, sequence: 0
source 0 - assert 1763406817.094642520, sequence: 9628 - clear  0.000000000, sequence: 0
source 0 - assert 1763406818.096458023, sequence: 9629 - clear  0.000000000, sequence: 0
source 0 - assert 1763406819.096362467, sequence: 9630 - clear  0.000000000, sequence: 0
source 0 - assert 1763406820.098115636, sequence: 9631 - clear  0.000000000, sequence: 0
source 0 - assert 1763406821.099577975, sequence: 9632 - clear  0.000000000, sequence: 0
source 0 - assert 1763406822.102218349, sequence: 9633 - clear  0.000000000, sequence: 0
source 0 - assert 1763406823.103396830, sequence: 9634 - clear  0.000000000, sequence: 0
source 0 - assert 1763406824.105959619, sequence: 9635 - clear  0.000000000, sequence: 0
source 0 - assert 1763406825.108960266, sequence: 9636 - clear  0.000000000, sequence: 0
source 0 - assert 1763406826.113424685, sequence: 9637 - clear  0.000000000, sequence: 0
source 0 - assert 1763406827.115700534, sequence: 9638 - clear  0.000000000, sequence: 0
source 0 - assert 1763406828.116749328, sequence: 9639 - clear  0.000000000, sequence: 0
source 0 - assert 1763406829.116472561, sequence: 9640 - clear  0.000000000, sequence: 0
source 0 - assert 1763406830.116459147, sequence: 9641 - clear  0.000000000, sequence: 0
source 0 - assert 1763406831.119247139, sequence: 9642 - clear  0.000000000, sequence: 0
source 0 - assert 1763406832.122544007, sequence: 9643 - clear  0.000000000, sequence: 0
source 0 - assert 1763406833.125202970, sequence: 9644 - clear  0.000000000, sequence: 0
source 0 - assert 1763406834.127895110, sequence: 9645 - clear  0.000000000, sequence: 0
source 0 - assert 1763406835.129529237, sequence: 9646 - clear  0.000000000, sequence: 0
source 0 - assert 1763406836.130435777, sequence: 9647 - clear  0.000000000, sequence: 0
source 0 - assert 1763406837.132468325, sequence: 9648 - clear  0.000000000, sequence: 0
source 0 - assert 1763406838.135484060, sequence: 9649 - clear  0.000000000, sequence: 0
