trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763407317.000273754, sequence: 10124 - clear  0.000000000, sequence: 0
source 0 - assert 1763407318.002353512, sequence: 10125 - clear  0.000000000, sequence: 0
source 0 - assert 1763407319.004958467, sequence: 10126 - clear  0.000000000, sequence: 0
source 0 - assert 1763407320.007542242, sequence: 10127 - clear  0.000000000, sequence: 0
source 0 - assert 1763407321.009943571, sequence: 10128 - clear  0.000000000, sequence: 0
source 0 - assert 1763407322.012172239, sequence: 10129 - clear  0.000000000, sequence: 0
source 0 - assert 1763407323.014008784, sequence: 10130 - clear  0.000000000, sequence: 0
source 0 - assert 1763407324.002567700, sequence: 10131 - clear  0.000000000, sequence: 0
source 0 - assert 1763407324.998604580, sequence: 10132 - clear  0.000000000, sequence: 0
source 0 - assert 1763407326.000918912, sequence: 10133 - clear  0.000000000, sequence: 0
source 0 - assert 1763407327.006363594, sequence: 10134 - clear  0.000000000, sequence: 0
source 0 - assert 1763407328.011076240, sequence: 10135 - clear  0.000000000, sequence: 0
source 0 - assert 1763407329.011261446, sequence: 10136 - clear  0.000000000, sequence: 0
source 0 - assert 1763407330.012262148, sequence: 10137 - clear  0.000000000, sequence: 0
source 0 - assert 1763407331.015463683, sequence: 10138 - clear  0.000000000, sequence: 0
source 0 - assert 1763407332.019987913, sequence: 10139 - clear  0.000000000, sequence: 0
source 0 - assert 1763407333.022520054, sequence: 10140 - clear  0.000000000, sequence: 0
source 0 - assert 1763407334.023546252, sequence: 10141 - clear  0.000000000, sequence: 0
source 0 - assert 1763407335.024776502, sequence: 10142 - clear  0.000000000, sequence: 0
source 0 - assert 1763407336.026619569, sequence: 10143 - clear  0.000000000, sequence: 0
source 0 - assert 1763407337.029889990, sequence: 10144 - clear  0.000000000, sequence: 0
source 0 - assert 1763407338.044384704, sequence: 10145 - clear  0.000000000, sequence: 0
source 0 - assert 1763407339.049646790, sequence: 10146 - clear  0.000000000, sequence: 0
source 0 - assert 1763407340.044748780, sequence: 10147 - clear  0.000000000, sequence: 0
source 0 - assert 1763407341.043589410, sequence: 10148 - clear  0.000000000, sequence: 0
source 0 - assert 1763407342.052613425, sequence: 10149 - clear  0.000000000, sequence: 0
source 0 - assert 1763407343.062589277, sequence: 10150 - clear  0.000000000, sequence: 0
source 0 - assert 1763407344.061325845, sequence: 10151 - clear  0.000000000, sequence: 0
source 0 - assert 1763407345.060546071, sequence: 10152 - clear  0.000000000, sequence: 0
source 0 - assert 1763407346.061231616, sequence: 10153 - clear  0.000000000, sequence: 0
source 0 - assert 1763407347.066333356, sequence: 10154 - clear  0.000000000, sequence: 0
source 0 - assert 1763407348.082274622, sequence: 10155 - clear  0.000000000, sequence: 0
source 0 - assert 1763407349.088169572, sequence: 10156 - clear  0.000000000, sequence: 0
source 0 - assert 1763407350.082710871, sequence: 10157 - clear  0.000000000, sequence: 0
source 0 - assert 1763407351.080887335, sequence: 10158 - clear  0.000000000, sequence: 0
source 0 - assert 1763407352.082377367, sequence: 10159 - clear  0.000000000, sequence: 0
source 0 - assert 1763407353.085659217, sequence: 10160 - clear  0.000000000, sequence: 0
