trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763411547.000009653, sequence: 14406 - clear  0.000000000, sequence: 0
source 0 - assert 1763411548.000007174, sequence: 14407 - clear  0.000000000, sequence: 0
source 0 - assert 1763411549.000006535, sequence: 14408 - clear  0.000000000, sequence: 0
source 0 - assert 1763411550.000003821, sequence: 14409 - clear  0.000000000, sequence: 0
source 0 - assert 1763411551.000003779, sequence: 14410 - clear  0.000000000, sequence: 0
source 0 - assert 1763411552.000009625, sequence: 14411 - clear  0.000000000, sequence: 0
source 0 - assert 1763411553.000009233, sequence: 14412 - clear  0.000000000, sequence: 0
source 0 - assert 1763411554.000004689, sequence: 14413 - clear  0.000000000, sequence: 0
source 0 - assert 1763411555.000007294, sequence: 14414 - clear  0.000000000, sequence: 0
source 0 - assert 1763411556.000006718, sequence: 14415 - clear  0.000000000, sequence: 0
source 0 - assert 1763411557.000007764, sequence: 14416 - clear  0.000000000, sequence: 0
source 0 - assert 1763411558.000008329, sequence: 14417 - clear  0.000000000, sequence: 0
source 0 - assert 1763411559.000006623, sequence: 14418 - clear  0.000000000, sequence: 0
source 0 - assert 1763411560.000003798, sequence: 14419 - clear  0.000000000, sequence: 0
source 0 - assert 1763411561.000008895, sequence: 14420 - clear  0.000000000, sequence: 0
source 0 - assert 1763411562.000010056, sequence: 14421 - clear  0.000000000, sequence: 0
source 0 - assert 1763411563.000008785, sequence: 14422 - clear  0.000000000, sequence: 0
source 0 - assert 1763411564.000008526, sequence: 14423 - clear  0.000000000, sequence: 0
source 0 - assert 1763411565.000008142, sequence: 14424 - clear  0.000000000, sequence: 0
source 0 - assert 1763411566.000006171, sequence: 14425 - clear  0.000000000, sequence: 0
source 0 - assert 1763411567.000006519, sequence: 14426 - clear  0.000000000, sequence: 0
source 0 - assert 1763411568.000009850, sequence: 14427 - clear  0.000000000, sequence: 0
source 0 - assert 1763411569.000007222, sequence: 14428 - clear  0.000000000, sequence: 0
source 0 - assert 1763411570.000006665, sequence: 14429 - clear  0.000000000, sequence: 0
source 0 - assert 1763411571.000004754, sequence: 14430 - clear  0.000000000, sequence: 0
source 0 - assert 1763411572.000007091, sequence: 14431 - clear  0.000000000, sequence: 0
source 0 - assert 1763411573.000004423, sequence: 14432 - clear  0.000000000, sequence: 0
source 0 - assert 1763411574.000007628, sequence: 14433 - clear  0.000000000, sequence: 0
source 0 - assert 1763411575.000009747, sequence: 14434 - clear  0.000000000, sequence: 0
source 0 - assert 1763411576.000003703, sequence: 14435 - clear  0.000000000, sequence: 0
source 0 - assert 1763411577.000005960, sequence: 14436 - clear  0.000000000, sequence: 0
source 0 - assert 1763411578.000007834, sequence: 14437 - clear  0.000000000, sequence: 0
source 0 - assert 1763411579.000008590, sequence: 14438 - clear  0.000000000, sequence: 0
source 0 - assert 1763411580.000009746, sequence: 14439 - clear  0.000000000, sequence: 0
source 0 - assert 1763411581.000005760, sequence: 14440 - clear  0.000000000, sequence: 0
source 0 - assert 1763411582.000006905, sequence: 14441 - clear  0.000000000, sequence: 0
source 0 - assert 1763411583.000008665, sequence: 14442 - clear  0.000000000, sequence: 0
source 0 - assert 1763411584.000005812, sequence: 14443 - clear  0.000000000, sequence: 0
source 0 - assert 1763411585.000004793, sequence: 14444 - clear  0.000000000, sequence: 0
source 0 - assert 1763411586.000009662, sequence: 14445 - clear  0.000000000, sequence: 0
source 0 - assert 1763411587.000005702, sequence: 14446 - clear  0.000000000, sequence: 0
source 0 - assert 1763411588.000006661, sequence: 14447 - clear  0.000000000, sequence: 0
source 0 - assert 1763411589.000005367, sequence: 14448 - clear  0.000000000, sequence: 0
source 0 - assert 1763411590.000008556, sequence: 14449 - clear  0.000000000, sequence: 0
source 0 - assert 1763411591.000009081, sequence: 14450 - clear  0.000000000, sequence: 0
source 0 - assert 1763411592.000007727, sequence: 14451 - clear  0.000000000, sequence: 0
source 0 - assert 1763411593.000007897, sequence: 14452 - clear  0.000000000, sequence: 0
source 0 - assert 1763411594.000007138, sequence: 14453 - clear  0.000000000, sequence: 0
source 0 - assert 1763411595.000004624, sequence: 14454 - clear  0.000000000, sequence: 0
source 0 - assert 1763411596.000004523, sequence: 14455 - clear  0.000000000, sequence: 0
source 0 - assert 1763411597.000009564, sequence: 14456 - clear  0.000000000, sequence: 0
source 0 - assert 1763411598.000006452, sequence: 14457 - clear  0.000000000, sequence: 0
