trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763412719.000008867, sequence: 15578 - clear  0.000000000, sequence: 0
source 0 - assert 1763412720.000006863, sequence: 15579 - clear  0.000000000, sequence: 0
source 0 - assert 1763412721.000004622, sequence: 15580 - clear  0.000000000, sequence: 0
source 0 - assert 1763412722.000005390, sequence: 15581 - clear  0.000000000, sequence: 0
source 0 - assert 1763412723.000007350, sequence: 15582 - clear  0.000000000, sequence: 0
source 0 - assert 1763412724.000008230, sequence: 15583 - clear  0.000000000, sequence: 0
source 0 - assert 1763412725.000008001, sequence: 15584 - clear  0.000000000, sequence: 0
source 0 - assert 1763412726.000008460, sequence: 15585 - clear  0.000000000, sequence: 0
source 0 - assert 1763412727.000005416, sequence: 15586 - clear  0.000000000, sequence: 0
source 0 - assert 1763412728.000003340, sequence: 15587 - clear  0.000000000, sequence: 0
source 0 - assert 1763412729.000008354, sequence: 15588 - clear  0.000000000, sequence: 0
source 0 - assert 1763412730.000008930, sequence: 15589 - clear  0.000000000, sequence: 0
source 0 - assert 1763412731.000008837, sequence: 15590 - clear  0.000000000, sequence: 0
source 0 - assert 1763412732.000005123, sequence: 15591 - clear  0.000000000, sequence: 0
source 0 - assert 1763412733.000006039, sequence: 15592 - clear  0.000000000, sequence: 0
source 0 - assert 1763412734.000007393, sequence: 15593 - clear  0.000000000, sequence: 0
source 0 - assert 1763412735.000004629, sequence: 15594 - clear  0.000000000, sequence: 0
source 0 - assert 1763412736.000010784, sequence: 15595 - clear  0.000000000, sequence: 0
source 0 - assert 1763412737.000006833, sequence: 15596 - clear  0.000000000, sequence: 0
source 0 - assert 1763412738.000006881, sequence: 15597 - clear  0.000000000, sequence: 0
source 0 - assert 1763412739.000009338, sequence: 15598 - clear  0.000000000, sequence: 0
source 0 - assert 1763412740.000006486, sequence: 15599 - clear  0.000000000, sequence: 0
source 0 - assert 1763412741.000007220, sequence: 15600 - clear  0.000000000, sequence: 0
source 0 - assert 1763412742.000008191, sequence: 15601 - clear  0.000000000, sequence: 0
source 0 - assert 1763412743.000007281, sequence: 15602 - clear  0.000000000, sequence: 0
source 0 - assert 1763412744.000006576, sequence: 15603 - clear  0.000000000, sequence: 0
source 0 - assert 1763412745.000007324, sequence: 15604 - clear  0.000000000, sequence: 0
source 0 - assert 1763412746.000007530, sequence: 15605 - clear  0.000000000, sequence: 0
source 0 - assert 1763412747.000008623, sequence: 15606 - clear  0.000000000, sequence: 0
source 0 - assert 1763412748.000002904, sequence: 15607 - clear  0.000000000, sequence: 0
source 0 - assert 1763412749.000006918, sequence: 15608 - clear  0.000000000, sequence: 0
source 0 - assert 1763412750.000004181, sequence: 15609 - clear  0.000000000, sequence: 0
source 0 - assert 1763412751.000006802, sequence: 15610 - clear  0.000000000, sequence: 0
source 0 - assert 1763412752.000008083, sequence: 15611 - clear  0.000000000, sequence: 0
source 0 - assert 1763412753.000005408, sequence: 15612 - clear  0.000000000, sequence: 0
source 0 - assert 1763412754.000008705, sequence: 15613 - clear  0.000000000, sequence: 0
source 0 - assert 1763412755.000006633, sequence: 15614 - clear  0.000000000, sequence: 0
source 0 - assert 1763412756.000006663, sequence: 15615 - clear  0.000000000, sequence: 0
source 0 - assert 1763412757.000006495, sequence: 15616 - clear  0.000000000, sequence: 0
source 0 - assert 1763412758.000005517, sequence: 15617 - clear  0.000000000, sequence: 0
source 0 - assert 1763412759.000005362, sequence: 15618 - clear  0.000000000, sequence: 0
source 0 - assert 1763412760.000006207, sequence: 15619 - clear  0.000000000, sequence: 0
source 0 - assert 1763412761.000003053, sequence: 15620 - clear  0.000000000, sequence: 0
source 0 - assert 1763412762.000005246, sequence: 15621 - clear  0.000000000, sequence: 0
source 0 - assert 1763412763.000007732, sequence: 15622 - clear  0.000000000, sequence: 0
source 0 - assert 1763412764.000006588, sequence: 15623 - clear  0.000000000, sequence: 0
source 0 - assert 1763412765.000003878, sequence: 15624 - clear  0.000000000, sequence: 0
source 0 - assert 1763412766.000004586, sequence: 15625 - clear  0.000000000, sequence: 0
source 0 - assert 1763412767.000007204, sequence: 15626 - clear  0.000000000, sequence: 0
source 0 - assert 1763412768.000002942, sequence: 15627 - clear  0.000000000, sequence: 0
source 0 - assert 1763412769.000006982, sequence: 15628 - clear  0.000000000, sequence: 0
source 0 - assert 1763412770.000004446, sequence: 15629 - clear  0.000000000, sequence: 0
