trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763411547.000012125, sequence: 14248 - clear  0.000000000, sequence: 0
source 0 - assert 1763411548.000009991, sequence: 14249 - clear  0.000000000, sequence: 0
source 0 - assert 1763411549.000009819, sequence: 14250 - clear  0.000000000, sequence: 0
source 0 - assert 1763411550.000011279, sequence: 14251 - clear  0.000000000, sequence: 0
source 0 - assert 1763411551.000011373, sequence: 14252 - clear  0.000000000, sequence: 0
source 0 - assert 1763411552.000010934, sequence: 14253 - clear  0.000000000, sequence: 0
source 0 - assert 1763411553.000010816, sequence: 14254 - clear  0.000000000, sequence: 0
source 0 - assert 1763411554.000011308, sequence: 14255 - clear  0.000000000, sequence: 0
source 0 - assert 1763411555.000009606, sequence: 14256 - clear  0.000000000, sequence: 0
source 0 - assert 1763411556.000011540, sequence: 14257 - clear  0.000000000, sequence: 0
source 0 - assert 1763411557.000012601, sequence: 14258 - clear  0.000000000, sequence: 0
source 0 - assert 1763411558.000010144, sequence: 14259 - clear  0.000000000, sequence: 0
source 0 - assert 1763411559.000011232, sequence: 14260 - clear  0.000000000, sequence: 0
source 0 - assert 1763411560.000009449, sequence: 14261 - clear  0.000000000, sequence: 0
source 0 - assert 1763411561.000011385, sequence: 14262 - clear  0.000000000, sequence: 0
source 0 - assert 1763411562.000010354, sequence: 14263 - clear  0.000000000, sequence: 0
source 0 - assert 1763411563.000009467, sequence: 14264 - clear  0.000000000, sequence: 0
source 0 - assert 1763411564.000011030, sequence: 14265 - clear  0.000000000, sequence: 0
source 0 - assert 1763411565.000017585, sequence: 14266 - clear  0.000000000, sequence: 0
source 0 - assert 1763411566.000010962, sequence: 14267 - clear  0.000000000, sequence: 0
source 0 - assert 1763411567.000006807, sequence: 14268 - clear  0.000000000, sequence: 0
source 0 - assert 1763411568.000011282, sequence: 14269 - clear  0.000000000, sequence: 0
source 0 - assert 1763411569.000011503, sequence: 14270 - clear  0.000000000, sequence: 0
source 0 - assert 1763411570.000007360, sequence: 14271 - clear  0.000000000, sequence: 0
source 0 - assert 1763411571.000011796, sequence: 14272 - clear  0.000000000, sequence: 0
source 0 - assert 1763411572.000011621, sequence: 14273 - clear  0.000000000, sequence: 0
source 0 - assert 1763411573.000031020, sequence: 14274 - clear  0.000000000, sequence: 0
source 0 - assert 1763411574.000011182, sequence: 14275 - clear  0.000000000, sequence: 0
source 0 - assert 1763411575.000011040, sequence: 14276 - clear  0.000000000, sequence: 0
source 0 - assert 1763411576.000011713, sequence: 14277 - clear  0.000000000, sequence: 0
source 0 - assert 1763411577.000010895, sequence: 14278 - clear  0.000000000, sequence: 0
source 0 - assert 1763411578.000011757, sequence: 14279 - clear  0.000000000, sequence: 0
source 0 - assert 1763411579.000012187, sequence: 14280 - clear  0.000000000, sequence: 0
source 0 - assert 1763411580.000011952, sequence: 14281 - clear  0.000000000, sequence: 0
source 0 - assert 1763411581.000012859, sequence: 14282 - clear  0.000000000, sequence: 0
source 0 - assert 1763411582.000012644, sequence: 14283 - clear  0.000000000, sequence: 0
