trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763412130.000011568, sequence: 14822 - clear  0.000000000, sequence: 0
source 0 - assert 1763412131.000010813, sequence: 14823 - clear  0.000000000, sequence: 0
source 0 - assert 1763412132.000009673, sequence: 14824 - clear  0.000000000, sequence: 0
source 0 - assert 1763412133.000010308, sequence: 14825 - clear  0.000000000, sequence: 0
source 0 - assert 1763412134.000011435, sequence: 14826 - clear  0.000000000, sequence: 0
source 0 - assert 1763412135.000010603, sequence: 14827 - clear  0.000000000, sequence: 0
source 0 - assert 1763412136.000011697, sequence: 14828 - clear  0.000000000, sequence: 0
source 0 - assert 1763412137.000011126, sequence: 14829 - clear  0.000000000, sequence: 0
source 0 - assert 1763412138.000010131, sequence: 14830 - clear  0.000000000, sequence: 0
source 0 - assert 1763412139.000006213, sequence: 14831 - clear  0.000000000, sequence: 0
source 0 - assert 1763412140.000011167, sequence: 14832 - clear  0.000000000, sequence: 0
source 0 - assert 1763412141.000011352, sequence: 14833 - clear  0.000000000, sequence: 0
source 0 - assert 1763412142.000007040, sequence: 14834 - clear  0.000000000, sequence: 0
source 0 - assert 1763412143.000011316, sequence: 14835 - clear  0.000000000, sequence: 0
source 0 - assert 1763412144.000009734, sequence: 14836 - clear  0.000000000, sequence: 0
source 0 - assert 1763412145.000010951, sequence: 14837 - clear  0.000000000, sequence: 0
source 0 - assert 1763412146.000011354, sequence: 14838 - clear  0.000000000, sequence: 0
source 0 - assert 1763412147.000010914, sequence: 14839 - clear  0.000000000, sequence: 0
source 0 - assert 1763412148.000012410, sequence: 14840 - clear  0.000000000, sequence: 0
source 0 - assert 1763412149.000011633, sequence: 14841 - clear  0.000000000, sequence: 0
source 0 - assert 1763412150.000011022, sequence: 14842 - clear  0.000000000, sequence: 0
source 0 - assert 1763412151.000011007, sequence: 14843 - clear  0.000000000, sequence: 0
source 0 - assert 1763412152.000012175, sequence: 14844 - clear  0.000000000, sequence: 0
source 0 - assert 1763412153.000012740, sequence: 14845 - clear  0.000000000, sequence: 0
source 0 - assert 1763412154.000012206, sequence: 14846 - clear  0.000000000, sequence: 0
source 0 - assert 1763412155.000013317, sequence: 14847 - clear  0.000000000, sequence: 0
source 0 - assert 1763412156.000024806, sequence: 14848 - clear  0.000000000, sequence: 0
source 0 - assert 1763412157.000011742, sequence: 14849 - clear  0.000000000, sequence: 0
source 0 - assert 1763412158.000011847, sequence: 14850 - clear  0.000000000, sequence: 0
source 0 - assert 1763412159.000011960, sequence: 14851 - clear  0.000000000, sequence: 0
source 0 - assert 1763412160.000010209, sequence: 14852 - clear  0.000000000, sequence: 0
source 0 - assert 1763412161.000012870, sequence: 14853 - clear  0.000000000, sequence: 0
source 0 - assert 1763412162.000011486, sequence: 14854 - clear  0.000000000, sequence: 0
source 0 - assert 1763412163.000011762, sequence: 14855 - clear  0.000000000, sequence: 0
source 0 - assert 1763412164.000014679, sequence: 14856 - clear  0.000000000, sequence: 0
source 0 - assert 1763412165.000010142, sequence: 14857 - clear  0.000000000, sequence: 0
source 0 - assert 1763412166.000015016, sequence: 14858 - clear  0.000000000, sequence: 0
source 0 - assert 1763412167.000013788, sequence: 14859 - clear  0.000000000, sequence: 0
source 0 - assert 1763412168.000012897, sequence: 14860 - clear  0.000000000, sequence: 0
source 0 - assert 1763412169.000015115, sequence: 14861 - clear  0.000000000, sequence: 0
source 0 - assert 1763412170.000015761, sequence: 14862 - clear  0.000000000, sequence: 0
source 0 - assert 1763412171.000014917, sequence: 14863 - clear  0.000000000, sequence: 0
source 0 - assert 1763412172.000014848, sequence: 14864 - clear  0.000000000, sequence: 0
source 0 - assert 1763412173.000014318, sequence: 14865 - clear  0.000000000, sequence: 0
source 0 - assert 1763412174.000015517, sequence: 14866 - clear  0.000000000, sequence: 0
source 0 - assert 1763412175.000015456, sequence: 14867 - clear  0.000000000, sequence: 0
source 0 - assert 1763412176.000014246, sequence: 14868 - clear  0.000000000, sequence: 0
source 0 - assert 1763412177.000014785, sequence: 14869 - clear  0.000000000, sequence: 0
source 0 - assert 1763412178.000015565, sequence: 14870 - clear  0.000000000, sequence: 0
source 0 - assert 1763412179.000015098, sequence: 14871 - clear  0.000000000, sequence: 0
source 0 - assert 1763412180.000017256, sequence: 14872 - clear  0.000000000, sequence: 0
source 0 - assert 1763412181.000015981, sequence: 14873 - clear  0.000000000, sequence: 0
source 0 - assert 1763412182.000015019, sequence: 14874 - clear  0.000000000, sequence: 0
source 0 - assert 1763412183.000016488, sequence: 14875 - clear  0.000000000, sequence: 0
source 0 - assert 1763412184.000017158, sequence: 14876 - clear  0.000000000, sequence: 0
source 0 - assert 1763412185.000018069, sequence: 14877 - clear  0.000000000, sequence: 0
source 0 - assert 1763412186.000016799, sequence: 14878 - clear  0.000000000, sequence: 0
source 0 - assert 1763412187.000017378, sequence: 14879 - clear  0.000000000, sequence: 0
source 0 - assert 1763412188.000017104, sequence: 14880 - clear  0.000000000, sequence: 0
source 0 - assert 1763412189.000014708, sequence: 14881 - clear  0.000000000, sequence: 0
