trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763415838.000009553, sequence: 18697 - clear  0.000000000, sequence: 0
source 0 - assert 1763415839.000007611, sequence: 18698 - clear  0.000000000, sequence: 0
source 0 - assert 1763415840.000009830, sequence: 18699 - clear  0.000000000, sequence: 0
source 0 - assert 1763415841.000005540, sequence: 18700 - clear  0.000000000, sequence: 0
source 0 - assert 1763415842.000009261, sequence: 18701 - clear  0.000000000, sequence: 0
source 0 - assert 1763415843.000009308, sequence: 18702 - clear  0.000000000, sequence: 0
source 0 - assert 1763415844.000012189, sequence: 18703 - clear  0.000000000, sequence: 0
source 0 - assert 1763415845.000008281, sequence: 18704 - clear  0.000000000, sequence: 0
source 0 - assert 1763415846.000005034, sequence: 18705 - clear  0.000000000, sequence: 0
source 0 - assert 1763415847.000008383, sequence: 18706 - clear  0.000000000, sequence: 0
source 0 - assert 1763415848.000006094, sequence: 18707 - clear  0.000000000, sequence: 0
source 0 - assert 1763415849.000009233, sequence: 18708 - clear  0.000000000, sequence: 0
source 0 - assert 1763415850.000005836, sequence: 18709 - clear  0.000000000, sequence: 0
source 0 - assert 1763415851.000006706, sequence: 18710 - clear  0.000000000, sequence: 0
source 0 - assert 1763415852.000008109, sequence: 18711 - clear  0.000000000, sequence: 0
source 0 - assert 1763415853.000008516, sequence: 18712 - clear  0.000000000, sequence: 0
source 0 - assert 1763415854.000010378, sequence: 18713 - clear  0.000000000, sequence: 0
source 0 - assert 1763415855.000006856, sequence: 18714 - clear  0.000000000, sequence: 0
source 0 - assert 1763415856.000005860, sequence: 18715 - clear  0.000000000, sequence: 0
source 0 - assert 1763415857.000006229, sequence: 18716 - clear  0.000000000, sequence: 0
source 0 - assert 1763415858.000009805, sequence: 18717 - clear  0.000000000, sequence: 0
source 0 - assert 1763415859.000007385, sequence: 18718 - clear  0.000000000, sequence: 0
source 0 - assert 1763415860.000009433, sequence: 18719 - clear  0.000000000, sequence: 0
source 0 - assert 1763415861.000008168, sequence: 18720 - clear  0.000000000, sequence: 0
source 0 - assert 1763415862.000006406, sequence: 18721 - clear  0.000000000, sequence: 0
source 0 - assert 1763415863.000004229, sequence: 18722 - clear  0.000000000, sequence: 0
source 0 - assert 1763415864.000006242, sequence: 18723 - clear  0.000000000, sequence: 0
source 0 - assert 1763415865.000005085, sequence: 18724 - clear  0.000000000, sequence: 0
source 0 - assert 1763415866.000010538, sequence: 18725 - clear  0.000000000, sequence: 0
source 0 - assert 1763415867.000009711, sequence: 18726 - clear  0.000000000, sequence: 0
source 0 - assert 1763415868.000011230, sequence: 18727 - clear  0.000000000, sequence: 0
source 0 - assert 1763415869.000010975, sequence: 18728 - clear  0.000000000, sequence: 0
source 0 - assert 1763415870.000005525, sequence: 18729 - clear  0.000000000, sequence: 0
source 0 - assert 1763415871.000009125, sequence: 18730 - clear  0.000000000, sequence: 0
source 0 - assert 1763415872.000008913, sequence: 18731 - clear  0.000000000, sequence: 0
source 0 - assert 1763415873.000004441, sequence: 18732 - clear  0.000000000, sequence: 0
source 0 - assert 1763415874.000008075, sequence: 18733 - clear  0.000000000, sequence: 0
source 0 - assert 1763415875.000007013, sequence: 18734 - clear  0.000000000, sequence: 0
source 0 - assert 1763415876.000012803, sequence: 18735 - clear  0.000000000, sequence: 0
source 0 - assert 1763415877.000008762, sequence: 18736 - clear  0.000000000, sequence: 0
source 0 - assert 1763415878.000007100, sequence: 18737 - clear  0.000000000, sequence: 0
source 0 - assert 1763415879.000006557, sequence: 18738 - clear  0.000000000, sequence: 0
source 0 - assert 1763415880.000004960, sequence: 18739 - clear  0.000000000, sequence: 0
source 0 - assert 1763415881.000008407, sequence: 18740 - clear  0.000000000, sequence: 0
source 0 - assert 1763415882.000008623, sequence: 18741 - clear  0.000000000, sequence: 0
source 0 - assert 1763415883.000007425, sequence: 18742 - clear  0.000000000, sequence: 0
source 0 - assert 1763415884.000007041, sequence: 18743 - clear  0.000000000, sequence: 0
source 0 - assert 1763415885.000009253, sequence: 18744 - clear  0.000000000, sequence: 0
source 0 - assert 1763415886.000006772, sequence: 18745 - clear  0.000000000, sequence: 0
source 0 - assert 1763415887.000005440, sequence: 18746 - clear  0.000000000, sequence: 0
source 0 - assert 1763415888.000011447, sequence: 18747 - clear  0.000000000, sequence: 0
source 0 - assert 1763415889.000006354, sequence: 18748 - clear  0.000000000, sequence: 0
source 0 - assert 1763415890.000007217, sequence: 18749 - clear  0.000000000, sequence: 0
source 0 - assert 1763415891.000007845, sequence: 18750 - clear  0.000000000, sequence: 0
source 0 - assert 1763415892.000005925, sequence: 18751 - clear  0.000000000, sequence: 0
source 0 - assert 1763415893.000008046, sequence: 18752 - clear  0.000000000, sequence: 0
source 0 - assert 1763415894.000006348, sequence: 18753 - clear  0.000000000, sequence: 0
source 0 - assert 1763415895.000007375, sequence: 18754 - clear  0.000000000, sequence: 0
source 0 - assert 1763415896.000006711, sequence: 18755 - clear  0.000000000, sequence: 0
source 0 - assert 1763415897.000006885, sequence: 18756 - clear  0.000000000, sequence: 0
source 0 - assert 1763415898.000007178, sequence: 18757 - clear  0.000000000, sequence: 0
