trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763416391.000008078, sequence: 19250 - clear  0.000000000, sequence: 0
source 0 - assert 1763416392.000007435, sequence: 19251 - clear  0.000000000, sequence: 0
source 0 - assert 1763416393.000001504, sequence: 19252 - clear  0.000000000, sequence: 0
source 0 - assert 1763416394.000006478, sequence: 19253 - clear  0.000000000, sequence: 0
source 0 - assert 1763416395.000007423, sequence: 19254 - clear  0.000000000, sequence: 0
source 0 - assert 1763416396.000008231, sequence: 19255 - clear  0.000000000, sequence: 0
source 0 - assert 1763416397.000005781, sequence: 19256 - clear  0.000000000, sequence: 0
source 0 - assert 1763416398.000004869, sequence: 19257 - clear  0.000000000, sequence: 0
source 0 - assert 1763416399.000005859, sequence: 19258 - clear  0.000000000, sequence: 0
source 0 - assert 1763416400.000008396, sequence: 19259 - clear  0.000000000, sequence: 0
source 0 - assert 1763416401.000005830, sequence: 19260 - clear  0.000000000, sequence: 0
source 0 - assert 1763416402.000010796, sequence: 19261 - clear  0.000000000, sequence: 0
source 0 - assert 1763416403.000008269, sequence: 19262 - clear  0.000000000, sequence: 0
source 0 - assert 1763416404.000006058, sequence: 19263 - clear  0.000000000, sequence: 0
source 0 - assert 1763416405.000008872, sequence: 19264 - clear  0.000000000, sequence: 0
source 0 - assert 1763416406.000003498, sequence: 19265 - clear  0.000000000, sequence: 0
source 0 - assert 1763416407.000004110, sequence: 19266 - clear  0.000000000, sequence: 0
source 0 - assert 1763416408.000011059, sequence: 19267 - clear  0.000000000, sequence: 0
source 0 - assert 1763416409.000007323, sequence: 19268 - clear  0.000000000, sequence: 0
source 0 - assert 1763416410.000010088, sequence: 19269 - clear  0.000000000, sequence: 0
source 0 - assert 1763416411.000001263, sequence: 19270 - clear  0.000000000, sequence: 0
source 0 - assert 1763416412.000006265, sequence: 19271 - clear  0.000000000, sequence: 0
source 0 - assert 1763416413.000006755, sequence: 19272 - clear  0.000000000, sequence: 0
source 0 - assert 1763416414.000008362, sequence: 19273 - clear  0.000000000, sequence: 0
source 0 - assert 1763416415.000006189, sequence: 19274 - clear  0.000000000, sequence: 0
source 0 - assert 1763416416.000004978, sequence: 19275 - clear  0.000000000, sequence: 0
source 0 - assert 1763416417.000006196, sequence: 19276 - clear  0.000000000, sequence: 0
source 0 - assert 1763416418.000006235, sequence: 19277 - clear  0.000000000, sequence: 0
source 0 - assert 1763416419.000008022, sequence: 19278 - clear  0.000000000, sequence: 0
source 0 - assert 1763416420.000005474, sequence: 19279 - clear  0.000000000, sequence: 0
source 0 - assert 1763416421.000007008, sequence: 19280 - clear  0.000000000, sequence: 0
source 0 - assert 1763416422.000007528, sequence: 19281 - clear  0.000000000, sequence: 0
source 0 - assert 1763416423.000004358, sequence: 19282 - clear  0.000000000, sequence: 0
source 0 - assert 1763416424.000005910, sequence: 19283 - clear  0.000000000, sequence: 0
source 0 - assert 1763416425.000008532, sequence: 19284 - clear  0.000000000, sequence: 0
source 0 - assert 1763416426.000006135, sequence: 19285 - clear  0.000000000, sequence: 0
source 0 - assert 1763416427.000003927, sequence: 19286 - clear  0.000000000, sequence: 0
source 0 - assert 1763416428.000001850, sequence: 19287 - clear  0.000000000, sequence: 0
source 0 - assert 1763416429.000004093, sequence: 19288 - clear  0.000000000, sequence: 0
source 0 - assert 1763416430.000004868, sequence: 19289 - clear  0.000000000, sequence: 0
source 0 - assert 1763416431.000007327, sequence: 19290 - clear  0.000000000, sequence: 0
source 0 - assert 1763416432.000004579, sequence: 19291 - clear  0.000000000, sequence: 0
source 0 - assert 1763416433.000007802, sequence: 19292 - clear  0.000000000, sequence: 0
source 0 - assert 1763416434.000006421, sequence: 19293 - clear  0.000000000, sequence: 0
source 0 - assert 1763416435.000009008, sequence: 19294 - clear  0.000000000, sequence: 0
source 0 - assert 1763416436.000009095, sequence: 19295 - clear  0.000000000, sequence: 0
source 0 - assert 1763416437.000005474, sequence: 19296 - clear  0.000000000, sequence: 0
source 0 - assert 1763416438.000004079, sequence: 19297 - clear  0.000000000, sequence: 0
source 0 - assert 1763416439.000001959, sequence: 19298 - clear  0.000000000, sequence: 0
source 0 - assert 1763416440.000006592, sequence: 19299 - clear  0.000000000, sequence: 0
source 0 - assert 1763416441.000007332, sequence: 19300 - clear  0.000000000, sequence: 0
source 0 - assert 1763416442.000007536, sequence: 19301 - clear  0.000000000, sequence: 0
source 0 - assert 1763416443.000008154, sequence: 19302 - clear  0.000000000, sequence: 0
source 0 - assert 1763416444.000001077, sequence: 19303 - clear  0.000000000, sequence: 0
source 0 - assert 1763416445.000003170, sequence: 19304 - clear  0.000000000, sequence: 0
source 0 - assert 1763416446.000010092, sequence: 19305 - clear  0.000000000, sequence: 0
source 0 - assert 1763416447.000005623, sequence: 19306 - clear  0.000000000, sequence: 0
source 0 - assert 1763416448.000005630, sequence: 19307 - clear  0.000000000, sequence: 0
source 0 - assert 1763416449.000003747, sequence: 19308 - clear  0.000000000, sequence: 0
source 0 - assert 1763416450.000002381, sequence: 19309 - clear  0.000000000, sequence: 0
source 0 - assert 1763416451.000004571, sequence: 19310 - clear  0.000000000, sequence: 0
source 0 - assert 1763416452.000008773, sequence: 19311 - clear  0.000000000, sequence: 0
source 0 - assert 1763416453.000005205, sequence: 19312 - clear  0.000000000, sequence: 0
source 0 - assert 1763416454.000002473, sequence: 19313 - clear  0.000000000, sequence: 0
source 0 - assert 1763416455.000005432, sequence: 19314 - clear  0.000000000, sequence: 0
source 0 - assert 1763416456.000005584, sequence: 19315 - clear  0.000000000, sequence: 0
source 0 - assert 1763416457.000009678, sequence: 19316 - clear  0.000000000, sequence: 0
