ptp4l[25226.604]: selected /dev/ptp0 as PTP clock
ptp4l[25226.608]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[25226.612]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[25226.614]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[25226.616]: timeguard: registered, proxy_id=0x6027c231067d9997

ptp4l[25226.617]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[25233.208]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[25233.986]: selected local clock 000000.fffe.049f06 as best master
ptp4l[25233.988]: TEE: InvokeCommand returned 0x0

ptp4l[25233.989]: TEE: InvokeCommand returned 0x0

ptp4l[25233.990]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[25237.050]: selected best master clock 641c10.fffe.f12579
ptp4l[25237.051]: TEE: InvokeCommand returned 0x0

ptp4l[25237.053]: TEE: InvokeCommand returned 0x0

ptp4l[25237.054]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[25237.055]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[25239.016]: master offset -428199318 s0 freq  -81162 path delay  -1660860
ptp4l[25240.039]: master offset -417495315 s1 freq +10512028 path delay  -2028096
ptp4l[25241.099]: master offset  -11279014 s2 freq -766986 path delay  -2028096
ptp4l[25241.101]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[25242.199]: master offset  -10618618 s2 freq -3490294 path delay  -2028096
ptp4l[25243.301]: master offset   -8099326 s2 freq -4156588 path delay  -1197390
ptp4l[25244.399]: master offset   -2842795 s2 freq -1329855 path delay  -1429125
ptp4l[25245.474]: master offset   -4317834 s2 freq -3657732 path delay  -1197390
ptp4l[25246.505]: master offset  -11085135 s2 freq -11720383 path delay  -1210152
ptp4l[25247.504]: master offset     917517 s2 freq -3043272 path delay  -1210152
ptp4l[25248.509]: master offset  -14264007 s2 freq -17949541 path delay  -1197390
ptp4l[25249.494]: master offset    6035943 s2 freq -1928793 path delay  -1210152
ptp4l[25250.502]: master offset    7509363 s2 freq +1355410 path delay   -839882
ptp4l[25251.507]: master offset    5967283 s2 freq +2066139 path delay   -839882
ptp4l[25252.506]: master offset    3696739 s2 freq +1585780 path delay   -839882
ptp4l[25253.505]: master offset    1452017 s2 freq +450080 path delay   -394658
ptp4l[25254.508]: master offset    9361445 s2 freq +8795113 path delay   -394658
ptp4l[25255.512]: master offset   -6607435 s2 freq -4365334 path delay   -182631
ptp4l[25256.494]: master offset   -2892964 s2 freq -2633093 path delay    -45712
ptp4l[25257.499]: master offset    -429804 s2 freq -1037823 path delay    -45712
ptp4l[25258.497]: master offset     -17458 s2 freq -754418 path delay     -2962
ptp4l[25259.502]: master offset    1392256 s2 freq +650059 path delay     -2962
ptp4l[25260.500]: master offset  -14986655 s2 freq -15311175 path delay     96791
ptp4l[25261.492]: master offset     119931 s2 freq -4700586 path delay     96791
ptp4l[25262.495]: master offset  -13469869 s2 freq -18254407 path delay     96791
ptp4l[25263.490]: master offset    4682466 s2 freq -4143032 path delay    -43295
ptp4l[25264.496]: master offset    8355928 s2 freq +935170 path delay    -43295
ptp4l[25265.513]: master offset  -12469199 s2 freq -17383179 path delay     18135
ptp4l[25266.495]: master offset    4656666 s2 freq -3998074 path delay     18135
ptp4l[25267.503]: master offset    8811575 s2 freq +1553835 path delay   -247681
ptp4l[25268.509]: master offset    3380280 s2 freq -1233987 path delay     41720
ptp4l[25269.512]: master offset    4212476 s2 freq +612293 path delay     41720
ptp4l[25270.505]: master offset    3179793 s2 freq +843352 path delay     41720
ptp4l[25271.504]: master offset  -38169369 s2 freq -32767999 path delay    125628
ptp4l[25272.469]: master offset    2497037 s2 freq +1114534 path delay    125628
ptp4l[25273.493]: master offset    1325065 s2 freq +691673 path delay    198995
ptp4l[25274.509]: master offset    4145426 s2 freq +3909554 path delay    198995
ptp4l[25275.514]: master offset    -263326 s2 freq +744430 path delay    198995
ptp4l[25276.505]: master offset   -7255113 s2 freq -6326355 path delay    256595
ptp4l[25277.493]: master offset   -2111079 s2 freq -3358855 path delay    158599
ptp4l[25278.498]: master offset  -11123258 s2 freq -13004358 path delay    158599
ptp4l[25279.495]: master offset    2248691 s2 freq -2969386 path delay    158599
ptp4l[25280.501]: master offset    4842488 s2 freq +299018 path delay    158599
ptp4l[25281.510]: master offset    4381277 s2 freq +1290554 path delay    119470
ptp4l[25282.508]: master offset   -2309040 s2 freq -4085380 path delay    192837
ptp4l[25283.504]: master offset    1433265 s2 freq -1035787 path delay    192837
ptp4l[25284.511]: master offset   10904502 s2 freq +8865429 path delay     92856
ptp4l[25285.516]: master offset    1848667 s2 freq +3080945 path delay     92856
ptp4l[25286.507]: master offset   -6305291 s2 freq -4518413 path delay    227061
ptp4l[25287.499]: master offset   -4570884 s2 freq -4675593 path delay    227061
ptp4l[25288.497]: master offset    -318502 s2 freq -1794477 path delay    227061
ptp4l[25289.508]: master offset    1871640 s2 freq +300115 path delay    -93012
ptp4l[25290.502]: master offset    1093992 s2 freq  +83959 path delay    -93012
ptp4l[25291.507]: master offset    1017245 s2 freq +335409 path delay   -228741
ptp4l[25292.504]: master offset     -57185 s2 freq -433847 path delay    124143
ptp4l[25293.506]: master offset     262518 s2 freq -131300 path delay     28897
ptp4l[25294.503]: master offset   -6085747 s2 freq -6400809 path delay     28897
ptp4l[25295.500]: master offset      29500 s2 freq -2111286 path delay     28897
ptp4l[25296.501]: master offset    1764072 s2 freq -367864 path delay     28897
ptp4l[25297.507]: master offset    1927987 s2 freq +325272 path delay     28897
ptp4l[25298.508]: master offset    1216313 s2 freq +191994 path delay     28897
ptp4l[25299.515]: master offset    9413043 s2 freq +8753618 path delay     17918
ptp4l[25300.515]: master offset     173673 s2 freq +2338161 path delay     17918
ptp4l[25301.508]: master offset   -2396128 s2 freq -179538 path delay     17918
ptp4l[25302.501]: master offset   -2595082 s2 freq -1097330 path delay     17918
ptp4l[25303.502]: master offset   -1613750 s2 freq -894523 path delay    -70982
ptp4l[25304.508]: master offset    7460711 s2 freq +7695813 path delay    -70982
ptp4l[25305.512]: master offset    -485516 s2 freq +1987799 path delay    -70982
ptp4l[25306.506]: master offset  -11819758 s2 freq -9492097 path delay     47402
ptp4l[25307.494]: master offset  -21491434 s2 freq -22709701 path delay     47402
ptp4l[25308.485]: master offset    2979617 s2 freq -4686080 path delay     47402
ptp4l[25309.507]: master offset   11280742 s2 freq +4508930 path delay    -30579
ptp4l[25310.521]: master offset    6331119 s2 freq +2943530 path delay    -30579
ptp4l[25311.518]: master offset    2996586 s2 freq +1508332 path delay    110039
ptp4l[25312.512]: master offset   -4267645 s2 freq -4856923 path delay    110039
ptp4l[25313.504]: master offset  -11997155 s2 freq -13866726 path delay    -30579
ptp4l[25314.494]: master offset    1356645 s2 freq -4112073 path delay    -30579
ptp4l[25315.502]: master offset    5396675 s2 freq +334951 path delay    -67185
ptp4l[25316.505]: master offset    2641241 s2 freq -801481 path delay     64369
ptp4l[25317.512]: master offset  -16989738 s2 freq -19640088 path delay   -173046
ptp4l[25318.497]: master offset    3197701 s2 freq -4549570 path delay   -173046
ptp4l[25319.513]: master offset   18249234 s2 freq +11461273 path delay   -695870
ptp4l[25320.525]: master offset    -693845 s2 freq -2007035 path delay   -173046
ptp4l[25321.513]: master offset     769304 s2 freq -752040 path delay    -43029
ptp4l[25322.508]: master offset    1021081 s2 freq -269472 path delay     67923
ptp4l[25323.506]: master offset   -7799278 s2 freq -8783506 path delay     22219
ptp4l[25324.500]: master offset     761590 s2 freq -2562422 path delay    -58669
ptp4l[25325.506]: master offset    3178358 s2 freq  +82823 path delay    -58669
ptp4l[25326.509]: master offset  -15998714 s2 freq -18140741 path delay    -58669
ptp4l[25327.498]: master offset    4270674 s2 freq -2670968 path delay    -58669
ptp4l[25328.506]: master offset   -4380250 s2 freq -10040689 path delay   -142303
ptp4l[25329.508]: master offset    5726003 s2 freq -1248511 path delay   -307371
ptp4l[25330.512]: master offset    6483528 s2 freq +1226814 path delay   -307371
ptp4l[25331.514]: master offset    5061525 s2 freq +1749870 path delay   -307371
ptp4l[25332.515]: master offset  -14134002 s2 freq -15927200 path delay   -307371
ptp4l[25333.501]: master offset    3187716 s2 freq -2845682 path delay   -307371
ptp4l[25334.514]: master offset   13067976 s2 freq +7990893 path delay   -474079
ptp4l[25335.522]: master offset    -863933 s2 freq -2020624 path delay   -309011
ptp4l[25336.512]: master offset   -7912663 s2 freq -9328534 path delay   -583280
ptp4l[25337.502]: master offset    1231260 s2 freq -2558409 path delay   -583280
ptp4l[25338.507]: master offset    3417040 s2 freq   -3251 path delay   -583280
