ptp4l[25773.788]: selected /dev/ptp0 as PTP clock
ptp4l[25773.794]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[25773.797]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[25773.799]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[25773.801]: timeguard: registered, proxy_id=0x2f9900658574690e

ptp4l[25773.802]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[25780.059]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[25781.709]: selected local clock 000000.fffe.049f06 as best master
ptp4l[25781.710]: TEE: InvokeCommand returned 0x0

ptp4l[25781.712]: TEE: InvokeCommand returned 0x0

ptp4l[25781.713]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[25783.901]: selected best master clock 641c10.fffe.f12579
ptp4l[25783.903]: TEE: InvokeCommand returned 0x0

ptp4l[25783.905]: TEE: InvokeCommand returned 0x0

ptp4l[25783.905]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[25783.907]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[25786.770]: master offset -574938384 s0 freq  -81182 path delay  13950340
ptp4l[25787.728]: master offset -618435288 s1 freq -32767999 path delay  15697709
ptp4l[25788.822]: master offset   32900752 s2 freq +132753 path delay  15697709
ptp4l[25788.824]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[25789.923]: master offset   32370359 s2 freq +9472586 path delay  15697709
ptp4l[25791.022]: master offset   25609589 s2 freq +12422923 path delay   9205708
ptp4l[25792.123]: master offset   17572308 s2 freq +12068519 path delay   4423663
ptp4l[25793.223]: master offset    4940358 s2 freq +4708261 path delay   4386250
ptp4l[25794.285]: master offset     638652 s2 freq +1888663 path delay   3641821
ptp4l[25795.308]: master offset   -1448255 s2 freq   -6649 path delay   3641821
ptp4l[25796.321]: master offset    -619712 s2 freq +387418 path delay   2897393
ptp4l[25797.329]: master offset   -1168288 s2 freq -347072 path delay   2854470
ptp4l[25798.334]: master offset     -68302 s2 freq +402428 path delay   1894604
ptp4l[25799.335]: master offset     542496 s2 freq +992735 path delay    677318
ptp4l[25800.327]: master offset  -40718711 s2 freq -32767999 path delay    677318
ptp4l[25801.312]: master offset     133739 s2 freq +746727 path delay    293207
ptp4l[25802.318]: master offset  -10059171 s2 freq -9406061 path delay    243032
ptp4l[25803.329]: master offset  -10602917 s2 freq -12967558 path delay    205342
ptp4l[25804.332]: master offset    2775150 s2 freq -2770367 path delay    205342
ptp4l[25805.331]: master offset    6044920 s2 freq +1331948 path delay    -39399
ptp4l[25806.342]: master offset    4501914 s2 freq +1602418 path delay    -39399
ptp4l[25807.342]: master offset   -1609465 s2 freq -3158386 path delay    100130
ptp4l[25808.339]: master offset    1179340 s2 freq -852421 path delay    100130
ptp4l[25809.336]: master offset    1982995 s2 freq +305036 path delay    -41570
ptp4l[25810.337]: master offset    1427040 s2 freq +343980 path delay     20056
ptp4l[25811.336]: master offset     885407 s2 freq +230459 path delay     20056
