ptp4l[26290.493]: selected /dev/ptp0 as PTP clock
ptp4l[26290.499]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[26290.502]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[26290.504]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[26290.506]: timeguard: registered, proxy_id=0x6479b78b88191ad0

ptp4l[26290.507]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[26296.033]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[26296.534]: selected local clock 000000.fffe.049f06 as best master
ptp4l[26296.536]: TEE: InvokeCommand returned 0x0

ptp4l[26296.538]: TEE: InvokeCommand returned 0x0

ptp4l[26296.538]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[26299.875]: selected best master clock 641c10.fffe.f12579
ptp4l[26299.877]: TEE: InvokeCommand returned 0x0

ptp4l[26299.879]: TEE: InvokeCommand returned 0x0

ptp4l[26299.879]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[26299.881]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[26301.786]: master offset -496892977 s0 freq  -81199 path delay   9495505
ptp4l[26302.745]: master offset -538646673 s1 freq -32767999 path delay   9495505
ptp4l[26303.733]: master offset   40085045 s2 freq +7317046 path delay   9495505
ptp4l[26303.734]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[26304.837]: master offset   24585396 s2 freq +3842910 path delay   6038619
ptp4l[26305.937]: master offset   -6293155 s2 freq -19660022 path delay   1545851
ptp4l[26307.036]: master offset   10329394 s2 freq -4925419 path delay    509969
ptp4l[26308.137]: master offset   14876425 s2 freq +2720430 path delay    509969
ptp4l[26309.223]: master offset   12034788 s2 freq +4341720 path delay    427167
ptp4l[26310.271]: master offset    2512388 s2 freq -1570243 path delay    509969
ptp4l[26311.285]: master offset    4478851 s2 freq +1149936 path delay    344365
ptp4l[26312.287]: master offset    2919773 s2 freq +934514 path delay    343497
ptp4l[26313.284]: master offset   -5672561 s2 freq -6781888 path delay    343497
ptp4l[26314.277]: master offset     827047 s2 freq -1984049 path delay    343497
ptp4l[26315.276]: master offset    2678137 s2 freq +115155 path delay    302669
ptp4l[26316.280]: master offset    2493521 s2 freq +733980 path delay    179501
ptp4l[26317.286]: master offset    2759652 s2 freq +1748168 path delay    -56921
ptp4l[26318.284]: master offset     478887 s2 freq +295298 path delay     78004
ptp4l[26319.278]: master offset     -75372 s2 freq -115295 path delay     78004
ptp4l[26320.276]: master offset    -159770 s2 freq -222304 path delay     78004
ptp4l[26321.277]: master offset    -134356 s2 freq -244821 path delay     78004
ptp4l[26322.276]: master offset     995372 s2 freq +844600 path delay   -150245
ptp4l[26323.273]: master offset    -852597 s2 freq -704757 path delay   -150245
ptp4l[26324.276]: master offset   -7031149 s2 freq -7139088 path delay    -71609
ptp4l[26325.267]: master offset    -140289 s2 freq -2357573 path delay    -71609
ptp4l[26326.276]: master offset    2099081 s2 freq -160290 path delay    -71609
ptp4l[26327.279]: master offset    3134434 s2 freq +1504787 path delay   -281351
ptp4l[26328.282]: master offset    1440628 s2 freq +751312 path delay   -281351
ptp4l[26329.281]: master offset     264786 s2 freq   +7658 path delay    -71609
ptp4l[26330.279]: master offset      41468 s2 freq -136224 path delay    -71609
ptp4l[26331.280]: master offset    -114842 s2 freq -280094 path delay     39366
