trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763415838.000008814, sequence: 18450 - clear  0.000000000, sequence: 0
source 0 - assert 1763415839.000009284, sequence: 18451 - clear  0.000000000, sequence: 0
source 0 - assert 1763415839.996363939, sequence: 18452 - clear  0.000000000, sequence: 0
source 0 - assert 1763415840.959305554, sequence: 18453 - clear  0.000000000, sequence: 0
source 0 - assert 1763415841.951926126, sequence: 18454 - clear  0.000000000, sequence: 0
source 0 - assert 1763415842.965032418, sequence: 18455 - clear  0.000000000, sequence: 0
source 0 - assert 1763415844.039518531, sequence: 18456 - clear  0.000000000, sequence: 0
source 0 - assert 1763415845.138657598, sequence: 18457 - clear  0.000000000, sequence: 0
source 0 - assert 1763415846.234866998, sequence: 18458 - clear  0.000000000, sequence: 0
source 0 - assert 1763415847.340612298, sequence: 18459 - clear  0.000000000, sequence: 0
source 0 - assert 1763415848.415519033, sequence: 18460 - clear  0.000000000, sequence: 0
source 0 - assert 1763415849.450528192, sequence: 18461 - clear  0.000000000, sequence: 0
source 0 - assert 1763415850.436737707, sequence: 18462 - clear  0.000000000, sequence: 0
source 0 - assert 1763415851.455972650, sequence: 18463 - clear  0.000000000, sequence: 0
source 0 - assert 1763415852.421095749, sequence: 18464 - clear  0.000000000, sequence: 0
source 0 - assert 1763415853.428572332, sequence: 18465 - clear  0.000000000, sequence: 0
source 0 - assert 1763415854.434663670, sequence: 18466 - clear  0.000000000, sequence: 0
source 0 - assert 1763415855.435363532, sequence: 18467 - clear  0.000000000, sequence: 0
source 0 - assert 1763415856.433014236, sequence: 18468 - clear  0.000000000, sequence: 0
source 0 - assert 1763415857.438299089, sequence: 18469 - clear  0.000000000, sequence: 0
source 0 - assert 1763415858.453869435, sequence: 18470 - clear  0.000000000, sequence: 0
source 0 - assert 1763415859.434884274, sequence: 18471 - clear  0.000000000, sequence: 0
source 0 - assert 1763415860.431392643, sequence: 18472 - clear  0.000000000, sequence: 0
source 0 - assert 1763415861.433168372, sequence: 18473 - clear  0.000000000, sequence: 0
source 0 - assert 1763415862.436193544, sequence: 18474 - clear  0.000000000, sequence: 0
source 0 - assert 1763415863.453138424, sequence: 18475 - clear  0.000000000, sequence: 0
source 0 - assert 1763415864.425474983, sequence: 18476 - clear  0.000000000, sequence: 0
source 0 - assert 1763415865.446263644, sequence: 18477 - clear  0.000000000, sequence: 0
source 0 - assert 1763415866.432574565, sequence: 18478 - clear  0.000000000, sequence: 0
source 0 - assert 1763415867.441274606, sequence: 18479 - clear  0.000000000, sequence: 0
source 0 - assert 1763415868.470024151, sequence: 18480 - clear  0.000000000, sequence: 0
source 0 - assert 1763415869.436789302, sequence: 18481 - clear  0.000000000, sequence: 0
source 0 - assert 1763415870.441769899, sequence: 18482 - clear  0.000000000, sequence: 0
source 0 - assert 1763415871.462532530, sequence: 18483 - clear  0.000000000, sequence: 0
source 0 - assert 1763415872.458903675, sequence: 18484 - clear  0.000000000, sequence: 0
source 0 - assert 1763415873.460849469, sequence: 18485 - clear  0.000000000, sequence: 0
source 0 - assert 1763415874.490240915, sequence: 18486 - clear  0.000000000, sequence: 0
source 0 - assert 1763415875.419798324, sequence: 18487 - clear  0.000000000, sequence: 0
source 0 - assert 1763415876.444114348, sequence: 18488 - clear  0.000000000, sequence: 0
source 0 - assert 1763415877.470332233, sequence: 18489 - clear  0.000000000, sequence: 0
source 0 - assert 1763415878.475146973, sequence: 18490 - clear  0.000000000, sequence: 0
source 0 - assert 1763415879.475657737, sequence: 18491 - clear  0.000000000, sequence: 0
source 0 - assert 1763415880.461666133, sequence: 18492 - clear  0.000000000, sequence: 0
source 0 - assert 1763415881.479840640, sequence: 18493 - clear  0.000000000, sequence: 0
source 0 - assert 1763415882.460867667, sequence: 18494 - clear  0.000000000, sequence: 0
source 0 - assert 1763415883.468096073, sequence: 18495 - clear  0.000000000, sequence: 0
source 0 - assert 1763415884.475367024, sequence: 18496 - clear  0.000000000, sequence: 0
source 0 - assert 1763415885.482419944, sequence: 18497 - clear  0.000000000, sequence: 0
source 0 - assert 1763415886.472283372, sequence: 18498 - clear  0.000000000, sequence: 0
source 0 - assert 1763415887.481330892, sequence: 18499 - clear  0.000000000, sequence: 0
source 0 - assert 1763415888.493189595, sequence: 18500 - clear  0.000000000, sequence: 0
source 0 - assert 1763415889.491998721, sequence: 18501 - clear  0.000000000, sequence: 0
source 0 - assert 1763415890.479885927, sequence: 18502 - clear  0.000000000, sequence: 0
source 0 - assert 1763415891.474235902, sequence: 18503 - clear  0.000000000, sequence: 0
source 0 - assert 1763415892.494700215, sequence: 18504 - clear  0.000000000, sequence: 0
source 0 - assert 1763415893.493091159, sequence: 18505 - clear  0.000000000, sequence: 0
source 0 - assert 1763415894.491925299, sequence: 18506 - clear  0.000000000, sequence: 0
source 0 - assert 1763415895.491152510, sequence: 18507 - clear  0.000000000, sequence: 0
source 0 - assert 1763415896.490293102, sequence: 18508 - clear  0.000000000, sequence: 0
source 0 - assert 1763415897.496013066, sequence: 18509 - clear  0.000000000, sequence: 0
source 0 - assert 1763415898.484813989, sequence: 18510 - clear  0.000000000, sequence: 0
source 0 - assert 1763415899.487005371, sequence: 18511 - clear  0.000000000, sequence: 0
source 0 - assert 1763415900.490627894, sequence: 18512 - clear  0.000000000, sequence: 0
source 0 - assert 1763415901.492166836, sequence: 18513 - clear  0.000000000, sequence: 0
source 0 - assert 1763415902.501593819, sequence: 18514 - clear  0.000000000, sequence: 0
source 0 - assert 1763415903.510768736, sequence: 18515 - clear  0.000000000, sequence: 0
source 0 - assert 1763415904.504064886, sequence: 18516 - clear  0.000000000, sequence: 0
source 0 - assert 1763415905.498157294, sequence: 18517 - clear  0.000000000, sequence: 0
source 0 - assert 1763415906.496116732, sequence: 18518 - clear  0.000000000, sequence: 0
source 0 - assert 1763415907.505854109, sequence: 18519 - clear  0.000000000, sequence: 0
source 0 - assert 1763415908.516650289, sequence: 18520 - clear  0.000000000, sequence: 0
source 0 - assert 1763415909.519441522, sequence: 18521 - clear  0.000000000, sequence: 0
source 0 - assert 1763415910.514342405, sequence: 18522 - clear  0.000000000, sequence: 0
source 0 - assert 1763415911.481699536, sequence: 18523 - clear  0.000000000, sequence: 0
source 0 - assert 1763415912.514022459, sequence: 18524 - clear  0.000000000, sequence: 0
source 0 - assert 1763415913.527131305, sequence: 18525 - clear  0.000000000, sequence: 0
source 0 - assert 1763415914.526844043, sequence: 18526 - clear  0.000000000, sequence: 0
source 0 - assert 1763415915.527243472, sequence: 18527 - clear  0.000000000, sequence: 0
source 0 - assert 1763415916.532978557, sequence: 18528 - clear  0.000000000, sequence: 0
source 0 - assert 1763415917.511294792, sequence: 18529 - clear  0.000000000, sequence: 0
source 0 - assert 1763415918.518567072, sequence: 18530 - clear  0.000000000, sequence: 0
source 0 - assert 1763415919.528553614, sequence: 18531 - clear  0.000000000, sequence: 0
source 0 - assert 1763415920.545257899, sequence: 18532 - clear  0.000000000, sequence: 0
source 0 - assert 1763415921.508912189, sequence: 18533 - clear  0.000000000, sequence: 0
source 0 - assert 1763415922.529621232, sequence: 18534 - clear  0.000000000, sequence: 0
source 0 - assert 1763415923.556309455, sequence: 18535 - clear  0.000000000, sequence: 0
source 0 - assert 1763415924.540559563, sequence: 18536 - clear  0.000000000, sequence: 0
source 0 - assert 1763415925.535702585, sequence: 18537 - clear  0.000000000, sequence: 0
source 0 - assert 1763415926.550906190, sequence: 18538 - clear  0.000000000, sequence: 0
source 0 - assert 1763415927.535776806, sequence: 18539 - clear  0.000000000, sequence: 0
source 0 - assert 1763415928.540027947, sequence: 18540 - clear  0.000000000, sequence: 0
source 0 - assert 1763415929.559598522, sequence: 18541 - clear  0.000000000, sequence: 0
source 0 - assert 1763415930.527795370, sequence: 18542 - clear  0.000000000, sequence: 0
source 0 - assert 1763415931.556876762, sequence: 18543 - clear  0.000000000, sequence: 0
source 0 - assert 1763415932.546384753, sequence: 18544 - clear  0.000000000, sequence: 0
source 0 - assert 1763415933.553147130, sequence: 18545 - clear  0.000000000, sequence: 0
source 0 - assert 1763415934.557623976, sequence: 18546 - clear  0.000000000, sequence: 0
source 0 - assert 1763415935.571214353, sequence: 18547 - clear  0.000000000, sequence: 0
source 0 - assert 1763415936.539273693, sequence: 18548 - clear  0.000000000, sequence: 0
source 0 - assert 1763415937.560940648, sequence: 18549 - clear  0.000000000, sequence: 0
source 0 - assert 1763415938.578185604, sequence: 18550 - clear  0.000000000, sequence: 0
source 0 - assert 1763415939.572560203, sequence: 18551 - clear  0.000000000, sequence: 0
source 0 - assert 1763415940.554425275, sequence: 18552 - clear  0.000000000, sequence: 0
source 0 - assert 1763415941.558167356, sequence: 18553 - clear  0.000000000, sequence: 0
source 0 - assert 1763415942.586127590, sequence: 18554 - clear  0.000000000, sequence: 0
source 0 - assert 1763415943.568770193, sequence: 18555 - clear  0.000000000, sequence: 0
source 0 - assert 1763415944.569814351, sequence: 18556 - clear  0.000000000, sequence: 0
source 0 - assert 1763415945.571959548, sequence: 18557 - clear  0.000000000, sequence: 0
source 0 - assert 1763415946.573637212, sequence: 18558 - clear  0.000000000, sequence: 0
source 0 - assert 1763415947.583580858, sequence: 18559 - clear  0.000000000, sequence: 0
source 0 - assert 1763415948.591982136, sequence: 18560 - clear  0.000000000, sequence: 0
source 0 - assert 1763415949.596749665, sequence: 18561 - clear  0.000000000, sequence: 0
source 0 - assert 1763415950.560808165, sequence: 18562 - clear  0.000000000, sequence: 0
source 0 - assert 1763415951.570342486, sequence: 18563 - clear  0.000000000, sequence: 0
source 0 - assert 1763415952.580121104, sequence: 18564 - clear  0.000000000, sequence: 0
source 0 - assert 1763415953.596484727, sequence: 18565 - clear  0.000000000, sequence: 0
source 0 - assert 1763415954.573183822, sequence: 18566 - clear  0.000000000, sequence: 0
source 0 - assert 1763415955.568539818, sequence: 18567 - clear  0.000000000, sequence: 0
source 0 - assert 1763415956.580078459, sequence: 18568 - clear  0.000000000, sequence: 0
source 0 - assert 1763415957.607252103, sequence: 18569 - clear  0.000000000, sequence: 0
source 0 - assert 1763415958.601086491, sequence: 18570 - clear  0.000000000, sequence: 0
source 0 - assert 1763415959.596964266, sequence: 18571 - clear  0.000000000, sequence: 0
source 0 - assert 1763415960.558032154, sequence: 18572 - clear  0.000000000, sequence: 0
source 0 - assert 1763415961.580181250, sequence: 18573 - clear  0.000000000, sequence: 0
source 0 - assert 1763415962.609173361, sequence: 18574 - clear  0.000000000, sequence: 0
source 0 - assert 1763415963.611158851, sequence: 18575 - clear  0.000000000, sequence: 0
source 0 - assert 1763415964.604371478, sequence: 18576 - clear  0.000000000, sequence: 0
source 0 - assert 1763415965.611465560, sequence: 18577 - clear  0.000000000, sequence: 0
source 0 - assert 1763415966.581638811, sequence: 18578 - clear  0.000000000, sequence: 0
source 0 - assert 1763415967.607459740, sequence: 18579 - clear  0.000000000, sequence: 0
source 0 - assert 1763415968.618097599, sequence: 18580 - clear  0.000000000, sequence: 0
source 0 - assert 1763415969.601206137, sequence: 18581 - clear  0.000000000, sequence: 0
source 0 - assert 1763415970.605009294, sequence: 18582 - clear  0.000000000, sequence: 0
source 0 - assert 1763415971.608032591, sequence: 18583 - clear  0.000000000, sequence: 0
source 0 - assert 1763415972.620417660, sequence: 18584 - clear  0.000000000, sequence: 0
source 0 - assert 1763415973.635226567, sequence: 18585 - clear  0.000000000, sequence: 0
source 0 - assert 1763415974.612654143, sequence: 18586 - clear  0.000000000, sequence: 0
source 0 - assert 1763415975.610900873, sequence: 18587 - clear  0.000000000, sequence: 0
source 0 - assert 1763415976.614473274, sequence: 18588 - clear  0.000000000, sequence: 0
source 0 - assert 1763415977.618408324, sequence: 18589 - clear  0.000000000, sequence: 0
source 0 - assert 1763415978.618360422, sequence: 18590 - clear  0.000000000, sequence: 0
source 0 - assert 1763415979.630484848, sequence: 18591 - clear  0.000000000, sequence: 0
source 0 - assert 1763415980.599186524, sequence: 18592 - clear  0.000000000, sequence: 0
source 0 - assert 1763415981.618584364, sequence: 18593 - clear  0.000000000, sequence: 0
source 0 - assert 1763415982.607109292, sequence: 18594 - clear  0.000000000, sequence: 0
source 0 - assert 1763415983.625626578, sequence: 18595 - clear  0.000000000, sequence: 0
source 0 - assert 1763415984.611455315, sequence: 18596 - clear  0.000000000, sequence: 0
source 0 - assert 1763415985.618415732, sequence: 18597 - clear  0.000000000, sequence: 0
source 0 - assert 1763415986.634017152, sequence: 18598 - clear  0.000000000, sequence: 0
source 0 - assert 1763415987.632625027, sequence: 18599 - clear  0.000000000, sequence: 0
source 0 - assert 1763415988.622830031, sequence: 18600 - clear  0.000000000, sequence: 0
source 0 - assert 1763415989.624467014, sequence: 18601 - clear  0.000000000, sequence: 0
source 0 - assert 1763415990.627048924, sequence: 18602 - clear  0.000000000, sequence: 0
source 0 - assert 1763415991.628464921, sequence: 18603 - clear  0.000000000, sequence: 0
source 0 - assert 1763415992.638116477, sequence: 18604 - clear  0.000000000, sequence: 0
source 0 - assert 1763415993.645276208, sequence: 18605 - clear  0.000000000, sequence: 0
source 0 - assert 1763415994.640250860, sequence: 18606 - clear  0.000000000, sequence: 0
source 0 - assert 1763415995.631518023, sequence: 18607 - clear  0.000000000, sequence: 0
source 0 - assert 1763415996.633884674, sequence: 18608 - clear  0.000000000, sequence: 0
source 0 - assert 1763415997.652454324, sequence: 18609 - clear  0.000000000, sequence: 0
source 0 - assert 1763415998.641762351, sequence: 18610 - clear  0.000000000, sequence: 0
source 0 - assert 1763415999.640669794, sequence: 18611 - clear  0.000000000, sequence: 0
source 0 - assert 1763416000.642463959, sequence: 18612 - clear  0.000000000, sequence: 0
source 0 - assert 1763416001.648526921, sequence: 18613 - clear  0.000000000, sequence: 0
source 0 - assert 1763416002.649737725, sequence: 18614 - clear  0.000000000, sequence: 0
source 0 - assert 1763416003.641643623, sequence: 18615 - clear  0.000000000, sequence: 0
source 0 - assert 1763416004.609265175, sequence: 18616 - clear  0.000000000, sequence: 0
source 0 - assert 1763416005.646200015, sequence: 18617 - clear  0.000000000, sequence: 0
source 0 - assert 1763416006.658134115, sequence: 18618 - clear  0.000000000, sequence: 0
source 0 - assert 1763416007.675514371, sequence: 18619 - clear  0.000000000, sequence: 0
source 0 - assert 1763416008.676874817, sequence: 18620 - clear  0.000000000, sequence: 0
source 0 - assert 1763416009.630795455, sequence: 18621 - clear  0.000000000, sequence: 0
source 0 - assert 1763416010.636396796, sequence: 18622 - clear  0.000000000, sequence: 0
source 0 - assert 1763416011.628407349, sequence: 18623 - clear  0.000000000, sequence: 0
source 0 - assert 1763416012.672859935, sequence: 18624 - clear  0.000000000, sequence: 0
source 0 - assert 1763416013.670126133, sequence: 18625 - clear  0.000000000, sequence: 0
source 0 - assert 1763416014.670292619, sequence: 18626 - clear  0.000000000, sequence: 0
source 0 - assert 1763416015.667320012, sequence: 18627 - clear  0.000000000, sequence: 0
source 0 - assert 1763416016.667972808, sequence: 18628 - clear  0.000000000, sequence: 0
source 0 - assert 1763416017.679613307, sequence: 18629 - clear  0.000000000, sequence: 0
source 0 - assert 1763416018.674936874, sequence: 18630 - clear  0.000000000, sequence: 0
source 0 - assert 1763416019.669860918, sequence: 18631 - clear  0.000000000, sequence: 0
source 0 - assert 1763416020.198826141, sequence: 18632 - clear  0.000000000, sequence: 0
source 0 - assert 1763416021.663659135, sequence: 18633 - clear  0.000000000, sequence: 0
source 0 - assert 1763416022.673573949, sequence: 18634 - clear  0.000000000, sequence: 0
source 0 - assert 1763416023.681655512, sequence: 18635 - clear  0.000000000, sequence: 0
source 0 - assert 1763416024.694691160, sequence: 18636 - clear  0.000000000, sequence: 0
source 0 - assert 1763416025.672286131, sequence: 18637 - clear  0.000000000, sequence: 0
source 0 - assert 1763416026.678344497, sequence: 18638 - clear  0.000000000, sequence: 0
source 0 - assert 1763416027.698725370, sequence: 18639 - clear  0.000000000, sequence: 0
source 0 - assert 1763416028.690817606, sequence: 18640 - clear  0.000000000, sequence: 0
source 0 - assert 1763416029.697552120, sequence: 18641 - clear  0.000000000, sequence: 0
source 0 - assert 1763416030.682760277, sequence: 18642 - clear  0.000000000, sequence: 0
source 0 - assert 1763416031.682615002, sequence: 18643 - clear  0.000000000, sequence: 0
source 0 - assert 1763416032.711491674, sequence: 18644 - clear  0.000000000, sequence: 0
source 0 - assert 1763416033.693645507, sequence: 18645 - clear  0.000000000, sequence: 0
source 0 - assert 1763416034.697289118, sequence: 18646 - clear  0.000000000, sequence: 0
source 0 - assert 1763416035.700181535, sequence: 18647 - clear  0.000000000, sequence: 0
source 0 - assert 1763416036.706749337, sequence: 18648 - clear  0.000000000, sequence: 0
source 0 - assert 1763416037.711004339, sequence: 18649 - clear  0.000000000, sequence: 0
source 0 - assert 1763416038.714187789, sequence: 18650 - clear  0.000000000, sequence: 0
source 0 - assert 1763416039.704557975, sequence: 18651 - clear  0.000000000, sequence: 0
source 0 - assert 1763416040.697300785, sequence: 18652 - clear  0.000000000, sequence: 0
source 0 - assert 1763416041.692274261, sequence: 18653 - clear  0.000000000, sequence: 0
source 0 - assert 1763416042.719745773, sequence: 18654 - clear  0.000000000, sequence: 0
source 0 - assert 1763416043.725102028, sequence: 18655 - clear  0.000000000, sequence: 0
source 0 - assert 1763416044.725703900, sequence: 18656 - clear  0.000000000, sequence: 0
source 0 - assert 1763416045.717259812, sequence: 18657 - clear  0.000000000, sequence: 0
source 0 - assert 1763416046.711010280, sequence: 18658 - clear  0.000000000, sequence: 0
source 0 - assert 1763416047.736442284, sequence: 18659 - clear  0.000000000, sequence: 0
source 0 - assert 1763416048.740604055, sequence: 18660 - clear  0.000000000, sequence: 0
source 0 - assert 1763416049.708594806, sequence: 18661 - clear  0.000000000, sequence: 0
source 0 - assert 1763416050.705004199, sequence: 18662 - clear  0.000000000, sequence: 0
