trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763416912.000008360, sequence: 19506 - clear  0.000000000, sequence: 0
source 0 - assert 1763416913.000009649, sequence: 19507 - clear  0.000000000, sequence: 0
source 0 - assert 1763416914.000009860, sequence: 19508 - clear  0.000000000, sequence: 0
source 0 - assert 1763416915.000010568, sequence: 19509 - clear  0.000000000, sequence: 0
source 0 - assert 1763416916.000009812, sequence: 19510 - clear  0.000000000, sequence: 0
source 0 - assert 1763416916.993892620, sequence: 19511 - clear  0.000000000, sequence: 0
source 0 - assert 1763416917.954907319, sequence: 19512 - clear  0.000000000, sequence: 0
source 0 - assert 1763416919.075725919, sequence: 19513 - clear  0.000000000, sequence: 0
source 0 - assert 1763416920.212318153, sequence: 19514 - clear  0.000000000, sequence: 0
source 0 - assert 1763416921.306025419, sequence: 19515 - clear  0.000000000, sequence: 0
source 0 - assert 1763416922.401358119, sequence: 19516 - clear  0.000000000, sequence: 0
source 0 - assert 1763416923.489331230, sequence: 19517 - clear  0.000000000, sequence: 0
source 0 - assert 1763416924.544455096, sequence: 19518 - clear  0.000000000, sequence: 0
source 0 - assert 1763416925.561805106, sequence: 19519 - clear  0.000000000, sequence: 0
source 0 - assert 1763416926.564553560, sequence: 19520 - clear  0.000000000, sequence: 0
source 0 - assert 1763416927.569531299, sequence: 19521 - clear  0.000000000, sequence: 0
source 0 - assert 1763416928.554140516, sequence: 19522 - clear  0.000000000, sequence: 0
source 0 - assert 1763416929.553286338, sequence: 19523 - clear  0.000000000, sequence: 0
source 0 - assert 1763416930.555873452, sequence: 19524 - clear  0.000000000, sequence: 0
source 0 - assert 1763416931.572895532, sequence: 19525 - clear  0.000000000, sequence: 0
source 0 - assert 1763416932.569719554, sequence: 19526 - clear  0.000000000, sequence: 0
source 0 - assert 1763416933.565448907, sequence: 19527 - clear  0.000000000, sequence: 0
source 0 - assert 1763416934.563431492, sequence: 19528 - clear  0.000000000, sequence: 0
source 0 - assert 1763416935.563005255, sequence: 19529 - clear  0.000000000, sequence: 0
source 0 - assert 1763416936.564154729, sequence: 19530 - clear  0.000000000, sequence: 0
source 0 - assert 1763416937.566454186, sequence: 19531 - clear  0.000000000, sequence: 0
source 0 - assert 1763416938.570783474, sequence: 19532 - clear  0.000000000, sequence: 0
source 0 - assert 1763416939.559383124, sequence: 19533 - clear  0.000000000, sequence: 0
