trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763341547.000009799, sequence: 20756 - clear  0.000000000, sequence: 0
source 0 - assert 1763341548.000008662, sequence: 20757 - clear  0.000000000, sequence: 0
source 0 - assert 1763341549.000003934, sequence: 20758 - clear  0.000000000, sequence: 0
source 0 - assert 1763341550.000005309, sequence: 20759 - clear  0.000000000, sequence: 0
source 0 - assert 1763341551.000007932, sequence: 20760 - clear  0.000000000, sequence: 0
source 0 - assert 1763341552.000005637, sequence: 20761 - clear  0.000000000, sequence: 0
source 0 - assert 1763341553.000009352, sequence: 20762 - clear  0.000000000, sequence: 0
source 0 - assert 1763341554.000006792, sequence: 20763 - clear  0.000000000, sequence: 0
source 0 - assert 1763341555.000002647, sequence: 20764 - clear  0.000000000, sequence: 0
source 0 - assert 1763341556.000003995, sequence: 20765 - clear  0.000000000, sequence: 0
source 0 - assert 1763341557.000006033, sequence: 20766 - clear  0.000000000, sequence: 0
source 0 - assert 1763341558.000010961, sequence: 20767 - clear  0.000000000, sequence: 0
source 0 - assert 1763341559.000007412, sequence: 20768 - clear  0.000000000, sequence: 0
source 0 - assert 1763341560.000004090, sequence: 20769 - clear  0.000000000, sequence: 0
source 0 - assert 1763341561.000006100, sequence: 20770 - clear  0.000000000, sequence: 0
source 0 - assert 1763341562.000003913, sequence: 20771 - clear  0.000000000, sequence: 0
source 0 - assert 1763341563.000009551, sequence: 20772 - clear  0.000000000, sequence: 0
source 0 - assert 1763341564.000006575, sequence: 20773 - clear  0.000000000, sequence: 0
source 0 - assert 1763341565.000004030, sequence: 20774 - clear  0.000000000, sequence: 0
source 0 - assert 1763341566.000005876, sequence: 20775 - clear  0.000000000, sequence: 0
source 0 - assert 1763341567.000004870, sequence: 20776 - clear  0.000000000, sequence: 0
source 0 - assert 1763341568.000008938, sequence: 20777 - clear  0.000000000, sequence: 0
source 0 - assert 1763341569.000006040, sequence: 20778 - clear  0.000000000, sequence: 0
source 0 - assert 1763341570.000004346, sequence: 20779 - clear  0.000000000, sequence: 0
source 0 - assert 1763341571.000004826, sequence: 20780 - clear  0.000000000, sequence: 0
source 0 - assert 1763341572.000006342, sequence: 20781 - clear  0.000000000, sequence: 0
source 0 - assert 1763341573.000006241, sequence: 20782 - clear  0.000000000, sequence: 0
source 0 - assert 1763341574.000004285, sequence: 20783 - clear  0.000000000, sequence: 0
source 0 - assert 1763341575.000005680, sequence: 20784 - clear  0.000000000, sequence: 0
source 0 - assert 1763341576.000006402, sequence: 20785 - clear  0.000000000, sequence: 0
source 0 - assert 1763341577.000005249, sequence: 20786 - clear  0.000000000, sequence: 0
source 0 - assert 1763341578.000007893, sequence: 20787 - clear  0.000000000, sequence: 0
source 0 - assert 1763341579.000005679, sequence: 20788 - clear  0.000000000, sequence: 0
source 0 - assert 1763341580.000005465, sequence: 20789 - clear  0.000000000, sequence: 0
source 0 - assert 1763341581.000008053, sequence: 20790 - clear  0.000000000, sequence: 0
source 0 - assert 1763341582.000008581, sequence: 20791 - clear  0.000000000, sequence: 0
source 0 - assert 1763341583.000008705, sequence: 20792 - clear  0.000000000, sequence: 0
