trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763342219.000012622, sequence: 21428 - clear  0.000000000, sequence: 0
source 0 - assert 1763342220.000008256, sequence: 21429 - clear  0.000000000, sequence: 0
source 0 - assert 1763342221.000001874, sequence: 21430 - clear  0.000000000, sequence: 0
source 0 - assert 1763342222.000015689, sequence: 21431 - clear  0.000000000, sequence: 0
source 0 - assert 1763342223.000009059, sequence: 21432 - clear  0.000000000, sequence: 0
source 0 - assert 1763342224.000012019, sequence: 21433 - clear  0.000000000, sequence: 0
source 0 - assert 1763342225.000006701, sequence: 21434 - clear  0.000000000, sequence: 0
source 0 - assert 1763342226.000006089, sequence: 21435 - clear  0.000000000, sequence: 0
source 0 - assert 1763342227.000005210, sequence: 21436 - clear  0.000000000, sequence: 0
source 0 - assert 1763342228.000007572, sequence: 21437 - clear  0.000000000, sequence: 0
source 0 - assert 1763342229.000005567, sequence: 21438 - clear  0.000000000, sequence: 0
source 0 - assert 1763342230.000008992, sequence: 21439 - clear  0.000000000, sequence: 0
source 0 - assert 1763342231.000009915, sequence: 21440 - clear  0.000000000, sequence: 0
source 0 - assert 1763342232.000003955, sequence: 21441 - clear  0.000000000, sequence: 0
source 0 - assert 1763342233.000002172, sequence: 21442 - clear  0.000000000, sequence: 0
source 0 - assert 1763342234.000004382, sequence: 21443 - clear  0.000000000, sequence: 0
source 0 - assert 1763342235.000010414, sequence: 21444 - clear  0.000000000, sequence: 0
source 0 - assert 1763342236.000005457, sequence: 21445 - clear  0.000000000, sequence: 0
source 0 - assert 1763342237.000003161, sequence: 21446 - clear  0.000000000, sequence: 0
source 0 - assert 1763342238.000006208, sequence: 21447 - clear  0.000000000, sequence: 0
source 0 - assert 1763342239.000004765, sequence: 21448 - clear  0.000000000, sequence: 0
source 0 - assert 1763342240.000008971, sequence: 21449 - clear  0.000000000, sequence: 0
source 0 - assert 1763342241.000008368, sequence: 21450 - clear  0.000000000, sequence: 0
source 0 - assert 1763342242.000008015, sequence: 21451 - clear  0.000000000, sequence: 0
source 0 - assert 1763342243.000007058, sequence: 21452 - clear  0.000000000, sequence: 0
source 0 - assert 1763342244.000002492, sequence: 21453 - clear  0.000000000, sequence: 0
source 0 - assert 1763342245.000009837, sequence: 21454 - clear  0.000000000, sequence: 0
source 0 - assert 1763342246.000006961, sequence: 21455 - clear  0.000000000, sequence: 0
source 0 - assert 1763342247.000007130, sequence: 21456 - clear  0.000000000, sequence: 0
source 0 - assert 1763342248.000006612, sequence: 21457 - clear  0.000000000, sequence: 0
source 0 - assert 1763342249.000007350, sequence: 21458 - clear  0.000000000, sequence: 0
source 0 - assert 1763342250.000010034, sequence: 21459 - clear  0.000000000, sequence: 0
source 0 - assert 1763342251.000006038, sequence: 21460 - clear  0.000000000, sequence: 0
source 0 - assert 1763342252.000007957, sequence: 21461 - clear  0.000000000, sequence: 0
source 0 - assert 1763342253.000003161, sequence: 21462 - clear  0.000000000, sequence: 0
source 0 - assert 1763342254.000013238, sequence: 21463 - clear  0.000000000, sequence: 0
source 0 - assert 1763342255.000008025, sequence: 21464 - clear  0.000000000, sequence: 0
source 0 - assert 1763342256.000008767, sequence: 21465 - clear  0.000000000, sequence: 0
