ptp4l[475781.641]: selected /dev/ptp0 as PTP clock
ptp4l[475781.645]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[475781.646]: port 0 (/var/run/ptp/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[475781.647]: port 0 (/var/run/ptp/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[475788.689]: selected local clock 000000.fffe.049f06 as best master
ptp4l[475788.988]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[475792.821]: selected best master clock 641c10.fffe.f12579
ptp4l[475792.821]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[475794.737]: master offset -574582759 s0 freq  -81079 path delay   7971348
ptp4l[475795.696]: master offset -616335684 s1 freq -32767999 path delay   7971348
ptp4l[475796.657]: master offset   41530739 s2 freq +8762740 path delay   7971348
ptp4l[475796.657]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[475797.757]: master offset   32537128 s2 freq +12228351 path delay   7971348
ptp4l[475798.857]: master offset   11779490 s2 freq +1231851 path delay   3582494
ptp4l[475799.957]: master offset  -17722961 s2 freq -24736753 path delay   3103385
ptp4l[475801.057]: master offset     365320 s2 freq -11965360 path delay   2624276
ptp4l[475802.157]: master offset   13959889 s2 freq +1738805 path delay   1413225
ptp4l[475803.244]: master offset   13043466 s2 freq +5010348 path delay    489767
ptp4l[475804.288]: master offset  -29468147 s2 freq -32767999 path delay   1284187
ptp4l[475805.276]: master offset  -71982259 s2 freq -32767999 path delay   2078608
ptp4l[475806.232]: master offset -113976144 s2 freq -32767999 path delay   2351442
ptp4l[475807.199]: master offset  -71375444 s2 freq -32767999 path delay   1284187
ptp4l[475808.193]: master offset -113038978 s2 freq -32767999 path delay   1284187
ptp4l[475809.178]: master offset -154758262 s2 freq -32767999 path delay   1284187
ptp4l[475810.157]: master offset -113230179 s2 freq -32767999 path delay   1284187
ptp4l[475811.176]: master offset  -71655304 s2 freq -32767999 path delay   1284187
ptp4l[475812.230]: master offset  -30079920 s2 freq -32767999 path delay   1284187
ptp4l[475813.290]: master offset   12708390 s2 freq +8588312 path delay     53151
ptp4l[475814.335]: master offset    3978310 s2 freq +3670749 path delay   -209140
ptp4l[475815.343]: master offset   -7496692 s2 freq -6610760 path delay   -234925
ptp4l[475816.328]: master offset    -653583 s2 freq -2016658 path delay   -234925
ptp4l[475817.318]: master offset    2392901 s2 freq +833751 path delay  -1317582
ptp4l[475818.304]: master offset  -39318232 s2 freq -32767999 path delay  -1317582
ptp4l[475819.266]: master offset  -82778484 s2 freq -32767999 path delay    419798
ptp4l[475820.214]: master offset -124500018 s2 freq -32767999 path delay    419798
ptp4l[475821.180]: master offset  -81240069 s2 freq -32767999 path delay  -1317582
ptp4l[475822.198]: master offset  -37229226 s2 freq -32767999 path delay  -3757229
ptp4l[475823.254]: master offset  -11376418 s2 freq -12217698 path delay  -4606003
ptp4l[475824.299]: master offset   -2088242 s2 freq -6342447 path delay  -1511183
ptp4l[475825.322]: master offset    4354489 s2 freq -526189 path delay  -1460685
ptp4l[475826.321]: master offset  -37352301 s2 freq -32767999 path delay  -1460685
ptp4l[475827.301]: master offset    7270659 s2 freq +3696328 path delay  -4555505
ptp4l[475828.295]: master offset  -34412824 s2 freq -32767999 path delay  -4555505
ptp4l[475829.269]: master offset  -79229816 s2 freq -32767999 path delay  -1460685
ptp4l[475830.240]: master offset  -43791586 s2 freq -32767999 path delay  -1460685
ptp4l[475831.251]: master offset   -2245330 s2 freq -3638463 path delay  -1460685
ptp4l[475832.289]: master offset   -8193209 s2 freq -10259941 path delay  -1240881
ptp4l[475833.311]: master offset    2117134 s2 freq -2407561 path delay  -1240881
ptp4l[475834.319]: master offset    4479765 s2 freq +590210 path delay  -1240881
ptp4l[475835.312]: master offset  -37541876 s2 freq -32767999 path delay   -927231
ptp4l[475836.294]: master offset    4015959 s2 freq +1470334 path delay   -927231
ptp4l[475837.290]: master offset  -37665029 s2 freq -32767999 path delay   -927231
ptp4l[475838.267]: master offset  -79390353 s2 freq -32767999 path delay   -927231
ptp4l[475839.240]: master offset  -37854598 s2 freq -32767999 path delay   -927231
ptp4l[475840.235]: master offset  -79527006 s2 freq -32767999 path delay   -927231
ptp4l[475841.217]: master offset -121406294 s2 freq -32767999 path delay   -771672
ptp4l[475842.194]: master offset  -79747397 s2 freq -32767999 path delay   -892261
ptp4l[475843.212]: master offset  -54864676 s2 freq -32767999 path delay  -1085322
ptp4l[475844.255]: master offset  -13023324 s2 freq -14364162 path delay  -1385421
ptp4l[475845.298]: master offset    4277869 s2 freq -969966 path delay  -3146788
ptp4l[475846.327]: master offset    5172516 s2 freq +1208042 path delay  -3146788
ptp4l[475847.333]: master offset    3868959 s2 freq +1456240 path delay  -3146788
ptp4l[475848.319]: master offset  -38986547 s2 freq -32767999 path delay  -2001836
ptp4l[475849.277]: master offset  -80711463 s2 freq -32767999 path delay  -2001836
ptp4l[475850.240]: master offset  -48594568 s2 freq -32767999 path delay  -3114484
ptp4l[475851.246]: master offset   -7050869 s2 freq -8302901 path delay  -3114484
ptp4l[475852.271]: master offset  -50894671 s2 freq -32767999 path delay   -950387
ptp4l[475853.279]: master offset  -29724881 s2 freq -32767999 path delay   -950387
ptp4l[475854.290]: master offset   13324890 s2 freq +9957598 path delay  -2473541
ptp4l[475855.308]: master offset  -28907654 s2 freq -28277479 path delay  -1936320
ptp4l[475856.305]: master offset    4520734 s2 freq -3521388 path delay  -4238589
ptp4l[475857.299]: master offset  -40396092 s2 freq -32767999 path delay  -1007386
ptp4l[475858.290]: master offset    1136163 s2 freq -5549738 path delay  -1007386
ptp4l[475859.301]: master offset    5210644 s2 freq -1134409 path delay    528087
ptp4l[475860.318]: master offset    7139063 s2 freq +2357204 path delay   -348374
ptp4l[475861.323]: master offset    4687849 s2 freq +2047709 path delay   -348374
ptp4l[475862.322]: master offset    2187612 s2 freq +953826 path delay     18236
ptp4l[475863.317]: master offset   -8634416 s2 freq -9211918 path delay    372403
ptp4l[475864.310]: master offset    1257219 s2 freq -1910608 path delay    -14164
ptp4l[475865.309]: master offset    3297527 s2 freq +506866 path delay   -219501
ptp4l[475866.313]: master offset   -2434968 s2 freq -4236371 path delay     65183
ptp4l[475867.312]: master offset  -11864757 s2 freq -14396651 path delay   -219501
ptp4l[475868.307]: master offset    3641334 s2 freq -2449987 path delay   -219501
ptp4l[475869.310]: master offset    6202345 s2 freq +1203425 path delay   -415461
ptp4l[475870.307]: master offset  -35488235 s2 freq -32767999 path delay   -415461
ptp4l[475871.294]: master offset    6057727 s2 freq +2919510 path delay   -415461
ptp4l[475872.302]: master offset    2426416 s2 freq +1105517 path delay    171245
ptp4l[475873.305]: master offset  -39545127 s2 freq -32767999 path delay    427139
ptp4l[475874.292]: master offset    1987163 s2 freq +1394189 path delay    427139
ptp4l[475875.291]: master offset  -41638721 s2 freq -32767999 path delay   2369625
ptp4l[475876.289]: master offset     -96959 s2 freq  -93784 path delay   2369625
ptp4l[475877.302]: master offset     -78520 s2 freq -104433 path delay   2369625
ptp4l[475878.307]: master offset  -41786103 s2 freq -32767999 path delay   2369625
ptp4l[475879.276]: master offset  -83431681 s2 freq -32767999 path delay   2369625
ptp4l[475880.245]: master offset  -40162332 s2 freq -32767999 path delay    649581
ptp4l[475881.259]: master offset  -12677473 s2 freq -12726942 path delay    649581
ptp4l[475882.295]: master offset    1101174 s2 freq -2751537 path delay    649581
ptp4l[475883.319]: master offset   -8695478 s2 freq -12217837 path delay    649581
ptp4l[475884.324]: master offset    3695809 s2 freq -2435193 path delay    649581
ptp4l[475885.316]: master offset  -39679618 s2 freq -32767999 path delay   2324154
ptp4l[475886.281]: master offset  -79720838 s2 freq -32767999 path delay    644040
ptp4l[475887.248]: master offset  -45792991 s2 freq -32767999 path delay    299450
ptp4l[475888.256]: master offset   -4244060 s2 freq -9266319 path delay    299450
ptp4l[475889.283]: master offset  -46270552 s2 freq -32767999 path delay    644040
ptp4l[475890.290]: master offset   -4745891 s2 freq -11041368 path delay    644040
ptp4l[475891.294]: master offset  -51232881 s2 freq -32767999 path delay   5450201
ptp4l[475892.292]: master offset   -9686142 s2 freq -17405387 path delay   5450201
ptp4l[475893.306]: master offset     -26764 s2 freq -10651851 path delay   5450201
ptp4l[475894.327]: master offset   13510392 s2 freq +2877276 path delay   1659824
ptp4l[475895.337]: master offset   10589059 s2 freq +4009060 path delay   1569813
ptp4l[475896.328]: master offset  -31120307 s2 freq -32767999 path delay   1569813
ptp4l[475897.309]: master offset   10428525 s2 freq +7025244 path delay   1569813
ptp4l[475898.312]: master offset   -6044099 s2 freq -6318823 path delay   2746918
