ptp4l[476447.471]: selected /dev/ptp0 as PTP clock
ptp4l[476447.474]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[476447.475]: port 0 (/var/run/ptp/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[476447.475]: port 0 (/var/run/ptp/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[476453.989]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[476455.028]: selected local clock 000000.fffe.049f06 as best master
ptp4l[476457.822]: selected best master clock 641c10.fffe.f12579
ptp4l[476457.823]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[476460.696]: master offset -585174646 s0 freq  -81074 path delay  12896567
ptp4l[476461.655]: master offset -627864389 s1 freq -32767999 path delay  13837957
ptp4l[476462.634]: master offset   41544214 s2 freq +8776215 path delay  13837957
ptp4l[476462.634]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[476463.734]: master offset   29973187 s2 freq +9668452 path delay   9775116
ptp4l[476464.834]: master offset   24598941 s2 freq +13286162 path delay   4643438
ptp4l[476465.934]: master offset    3285104 s2 freq -647992 path delay   4643438
ptp4l[476467.034]: master offset  -14981264 s2 freq -17928829 path delay   4643438
ptp4l[476468.134]: master offset    4493375 s2 freq -2948569 path delay   1798331
ptp4l[476469.213]: master offset    7369034 s2 freq +1275102 path delay   1798331
ptp4l[476470.253]: master offset  -34342185 s2 freq -32767999 path delay   1798331
ptp4l[476471.251]: master offset    8142562 s2 freq +4259340 path delay    851864
ptp4l[476472.271]: master offset    3769802 s2 freq +2329349 path delay    842555
ptp4l[476473.274]: master offset  -37467967 s2 freq -32767999 path delay    366566
ptp4l[476474.251]: master offset  -15685798 s2 freq -15995310 path delay    104841
ptp4l[476475.251]: master offset    2738810 s2 freq -2276442 path delay   -570209
ptp4l[476476.268]: master offset    4972010 s2 freq +778401 path delay   -570209
ptp4l[476477.271]: master offset  -36903873 s2 freq -32767999 path delay   -398231
ptp4l[476478.250]: master offset    6816987 s2 freq +4114981 path delay  -2579354
ptp4l[476479.262]: master offset    2582079 s2 freq +1925169 path delay  -2579354
ptp4l[476480.272]: master offset   -2266667 s2 freq -2148953 path delay    228596
ptp4l[476481.273]: master offset    -200309 s2 freq -762595 path delay    228596
ptp4l[476482.274]: master offset     621435 s2 freq    -944 path delay     87163
ptp4l[476483.267]: master offset  -41194529 s2 freq -32767999 path delay    228596
ptp4l[476484.244]: master offset     351289 s2 freq  -84659 path delay    228596
ptp4l[476485.249]: master offset  -41846503 s2 freq -32767999 path delay    752341
ptp4l[476486.241]: master offset   -6147333 s2 freq -6477895 path delay    752341
ptp4l[476487.256]: master offset   -5432710 s2 freq -7607472 path delay     87163
ptp4l[476488.269]: master offset    -804701 s2 freq -4609276 path delay   -162017
ptp4l[476489.276]: master offset    3720104 s2 freq -325881 path delay   -162017
ptp4l[476490.280]: master offset   -6696001 s2 freq -9625955 path delay    -52628
ptp4l[476491.274]: master offset    3609529 s2 freq -1329225 path delay    -52628
ptp4l[476492.276]: master offset   -2727978 s2 freq -6583873 path delay   -368762
ptp4l[476493.273]: master offset    4188307 s2 freq -485982 path delay   -452240
ptp4l[476494.275]: master offset    4586681 s2 freq +1168884 path delay   -452240
ptp4l[476495.277]: master offset    3321042 s2 freq +1279250 path delay   -452240
ptp4l[476496.270]: master offset  -38474972 s2 freq -32767999 path delay   -368762
ptp4l[476497.246]: master offset  -14568481 s2 freq -15613961 path delay   -368762
ptp4l[476498.249]: master offset    1034370 s2 freq -4381654 path delay   -452240
ptp4l[476499.267]: master offset    5415430 s2 freq +309717 path delay   -452240
ptp4l[476500.279]: master offset    5020252 s2 freq +1539168 path delay   -452240
ptp4l[476501.282]: master offset   -4532090 s2 freq -6507098 path delay   -244042
ptp4l[476502.276]: master offset    1945330 s2 freq -1389305 path delay   -244042
ptp4l[476503.275]: master offset    3144839 s2 freq +393803 path delay   -128993
ptp4l[476504.277]: master offset    2656951 s2 freq +849366 path delay   -128993
ptp4l[476505.270]: master offset  -39205648 s2 freq -32767999 path delay     23530
ptp4l[476506.247]: master offset    1761602 s2 freq +751103 path delay     23530
ptp4l[476507.260]: master offset   -5333053 s2 freq -5815072 path delay     23530
ptp4l[476508.269]: master offset   -7600219 s2 freq -9682154 path delay   -128993
ptp4l[476509.271]: master offset    2699384 s2 freq -1662616 path delay   -128993
ptp4l[476510.269]: master offset  -39155989 s2 freq -32767999 path delay     23530
ptp4l[476511.250]: master offset  -10175398 s2 freq -13727583 path delay     23530
ptp4l[476512.256]: master offset   -6577751 s2 freq -13182556 path delay   -125046
ptp4l[476513.268]: master offset      35476 s2 freq -8542654 path delay  -3446844
ptp4l[476514.275]: master offset    8858504 s2 freq +291017 path delay  -3446844
ptp4l[476515.282]: master offset    8483539 s2 freq +2573603 path delay  -3446844
ptp4l[476516.277]: master offset  -34850467 s2 freq -32767999 path delay  -1820534
ptp4l[476517.254]: master offset   -8143276 s2 freq -11508150 path delay  -3446844
ptp4l[476518.256]: master offset    3659344 s2 freq -2148513 path delay  -2858424
ptp4l[476519.271]: master offset    3778098 s2 freq -931956 path delay   -904543
