trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763341547.000011570, sequence: 19592 - clear  0.000000000, sequence: 0
source 0 - assert 1763341548.000009633, sequence: 19593 - clear  0.000000000, sequence: 0
source 0 - assert 1763341549.000010403, sequence: 19594 - clear  0.000000000, sequence: 0
source 0 - assert 1763341550.000009456, sequence: 19595 - clear  0.000000000, sequence: 0
source 0 - assert 1763341551.000011761, sequence: 19596 - clear  0.000000000, sequence: 0
source 0 - assert 1763341552.000010842, sequence: 19597 - clear  0.000000000, sequence: 0
source 0 - assert 1763341552.943469583, sequence: 19598 - clear  0.000000000, sequence: 0
source 0 - assert 1763341553.992869173, sequence: 19599 - clear  0.000000000, sequence: 0
source 0 - assert 1763341555.109306106, sequence: 19600 - clear  0.000000000, sequence: 0
source 0 - assert 1763341556.243625006, sequence: 19601 - clear  0.000000000, sequence: 0
source 0 - assert 1763341557.337022440, sequence: 19602 - clear  0.000000000, sequence: 0
source 0 - assert 1763341558.427466740, sequence: 19603 - clear  0.000000000, sequence: 0
source 0 - assert 1763341559.518620592, sequence: 19604 - clear  0.000000000, sequence: 0
source 0 - assert 1763341560.609800224, sequence: 19605 - clear  0.000000000, sequence: 0
source 0 - assert 1763341561.655052606, sequence: 19606 - clear  0.000000000, sequence: 0
source 0 - assert 1763341562.656860143, sequence: 19607 - clear  0.000000000, sequence: 0
source 0 - assert 1763341563.592678280, sequence: 19608 - clear  0.000000000, sequence: 0
source 0 - assert 1763341564.607863392, sequence: 19609 - clear  0.000000000, sequence: 0
source 0 - assert 1763341565.641043810, sequence: 19610 - clear  0.000000000, sequence: 0
source 0 - assert 1763341566.588471566, sequence: 19611 - clear  0.000000000, sequence: 0
source 0 - assert 1763341567.556669201, sequence: 19612 - clear  0.000000000, sequence: 0
source 0 - assert 1763341568.564602168, sequence: 19613 - clear  0.000000000, sequence: 0
source 0 - assert 1763341569.582213707, sequence: 19614 - clear  0.000000000, sequence: 0
source 0 - assert 1763341570.627863789, sequence: 19615 - clear  0.000000000, sequence: 0
source 0 - assert 1763341571.653818445, sequence: 19616 - clear  0.000000000, sequence: 0
source 0 - assert 1763341572.647243522, sequence: 19617 - clear  0.000000000, sequence: 0
source 0 - assert 1763341573.629422891, sequence: 19618 - clear  0.000000000, sequence: 0
source 0 - assert 1763341574.648559617, sequence: 19619 - clear  0.000000000, sequence: 0
source 0 - assert 1763341575.660225693, sequence: 19620 - clear  0.000000000, sequence: 0
source 0 - assert 1763341576.649974223, sequence: 19621 - clear  0.000000000, sequence: 0
source 0 - assert 1763341577.583853648, sequence: 19622 - clear  0.000000000, sequence: 0
source 0 - assert 1763341578.547523523, sequence: 19623 - clear  0.000000000, sequence: 0
