trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763342219.000008550, sequence: 20253 - clear  0.000000000, sequence: 0
source 0 - assert 1763342220.000008860, sequence: 20254 - clear  0.000000000, sequence: 0
source 0 - assert 1763342221.000009849, sequence: 20255 - clear  0.000000000, sequence: 0
source 0 - assert 1763342222.000008499, sequence: 20256 - clear  0.000000000, sequence: 0
source 0 - assert 1763342223.000010532, sequence: 20257 - clear  0.000000000, sequence: 0
source 0 - assert 1763342224.000009894, sequence: 20258 - clear  0.000000000, sequence: 0
source 0 - assert 1763342224.999491237, sequence: 20259 - clear  0.000000000, sequence: 0
source 0 - assert 1763342225.935559042, sequence: 20260 - clear  0.000000000, sequence: 0
source 0 - assert 1763342227.050599342, sequence: 20261 - clear  0.000000000, sequence: 0
source 0 - assert 1763342228.162502075, sequence: 20262 - clear  0.000000000, sequence: 0
source 0 - assert 1763342229.285968009, sequence: 20263 - clear  0.000000000, sequence: 0
source 0 - assert 1763342230.405310042, sequence: 20264 - clear  0.000000000, sequence: 0
source 0 - assert 1763342231.487558609, sequence: 20265 - clear  0.000000000, sequence: 0
source 0 - assert 1763342232.563723204, sequence: 20266 - clear  0.000000000, sequence: 0
source 0 - assert 1763342233.643292918, sequence: 20267 - clear  0.000000000, sequence: 0
source 0 - assert 1763342234.600590997, sequence: 20268 - clear  0.000000000, sequence: 0
source 0 - assert 1763342235.625175923, sequence: 20269 - clear  0.000000000, sequence: 0
source 0 - assert 1763342236.667093710, sequence: 20270 - clear  0.000000000, sequence: 0
source 0 - assert 1763342237.623522989, sequence: 20271 - clear  0.000000000, sequence: 0
source 0 - assert 1763342238.607261636, sequence: 20272 - clear  0.000000000, sequence: 0
source 0 - assert 1763342239.621812030, sequence: 20273 - clear  0.000000000, sequence: 0
source 0 - assert 1763342239.682340057, sequence: 20274 - clear  0.000000000, sequence: 0
source 0 - assert 1763342241.603039329, sequence: 20275 - clear  0.000000000, sequence: 0
source 0 - assert 1763342242.620314162, sequence: 20276 - clear  0.000000000, sequence: 0
source 0 - assert 1763342243.631531481, sequence: 20277 - clear  0.000000000, sequence: 0
source 0 - assert 1763342244.630245978, sequence: 20278 - clear  0.000000000, sequence: 0
source 0 - assert 1763342245.630599112, sequence: 20279 - clear  0.000000000, sequence: 0
source 0 - assert 1763342246.661979549, sequence: 20280 - clear  0.000000000, sequence: 0
source 0 - assert 1763342247.600098574, sequence: 20281 - clear  0.000000000, sequence: 0
source 0 - assert 1763342248.645189057, sequence: 20282 - clear  0.000000000, sequence: 0
source 0 - assert 1763342249.602798011, sequence: 20283 - clear  0.000000000, sequence: 0
source 0 - assert 1763342250.618380925, sequence: 20284 - clear  0.000000000, sequence: 0
source 0 - assert 1763342251.626544702, sequence: 20285 - clear  0.000000000, sequence: 0
source 0 - assert 1763342252.628434732, sequence: 20286 - clear  0.000000000, sequence: 0
source 0 - assert 1763342253.642685198, sequence: 20287 - clear  0.000000000, sequence: 0
source 0 - assert 1763342254.626127215, sequence: 20288 - clear  0.000000000, sequence: 0
source 0 - assert 1763342255.634612292, sequence: 20289 - clear  0.000000000, sequence: 0
source 0 - assert 1763342256.625174946, sequence: 20290 - clear  0.000000000, sequence: 0
source 0 - assert 1763342257.626866980, sequence: 20291 - clear  0.000000000, sequence: 0
source 0 - assert 1763342258.630347147, sequence: 20292 - clear  0.000000000, sequence: 0
source 0 - assert 1763342259.661412047, sequence: 20293 - clear  0.000000000, sequence: 0
source 0 - assert 1763342260.615395416, sequence: 20294 - clear  0.000000000, sequence: 0
source 0 - assert 1763342261.603677990, sequence: 20295 - clear  0.000000000, sequence: 0
source 0 - assert 1763342262.617063996, sequence: 20296 - clear  0.000000000, sequence: 0
source 0 - assert 1763342263.629703821, sequence: 20297 - clear  0.000000000, sequence: 0
source 0 - assert 1763342264.642146519, sequence: 20298 - clear  0.000000000, sequence: 0
source 0 - assert 1763342265.628767826, sequence: 20299 - clear  0.000000000, sequence: 0
source 0 - assert 1763342266.626940046, sequence: 20300 - clear  0.000000000, sequence: 0
source 0 - assert 1763342267.629290775, sequence: 20301 - clear  0.000000000, sequence: 0
source 0 - assert 1763342268.661004249, sequence: 20302 - clear  0.000000000, sequence: 0
source 0 - assert 1763342269.599431395, sequence: 20303 - clear  0.000000000, sequence: 0
source 0 - assert 1763342270.619525774, sequence: 20304 - clear  0.000000000, sequence: 0
source 0 - assert 1763342271.631164112, sequence: 20305 - clear  0.000000000, sequence: 0
source 0 - assert 1763342272.622548203, sequence: 20306 - clear  0.000000000, sequence: 0
source 0 - assert 1763342273.660197641, sequence: 20307 - clear  0.000000000, sequence: 0
source 0 - assert 1763342274.612975958, sequence: 20308 - clear  0.000000000, sequence: 0
source 0 - assert 1763342275.616904688, sequence: 20309 - clear  0.000000000, sequence: 0
source 0 - assert 1763342276.625399625, sequence: 20310 - clear  0.000000000, sequence: 0
source 0 - assert 1763342277.623024944, sequence: 20311 - clear  0.000000000, sequence: 0
