trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763344152.000007976, sequence: 113 - clear  0.000000000, sequence: 0
source 0 - assert 1763344153.000010718, sequence: 114 - clear  0.000000000, sequence: 0
source 0 - assert 1763344154.000008239, sequence: 115 - clear  0.000000000, sequence: 0
source 0 - assert 1763344155.000006183, sequence: 116 - clear  0.000000000, sequence: 0
source 0 - assert 1763344156.000006534, sequence: 117 - clear  0.000000000, sequence: 0
source 0 - assert 1763344157.000010191, sequence: 118 - clear  0.000000000, sequence: 0
source 0 - assert 1763344158.000012386, sequence: 119 - clear  0.000000000, sequence: 0
source 0 - assert 1763344159.000005425, sequence: 120 - clear  0.000000000, sequence: 0
source 0 - assert 1763344160.000007211, sequence: 121 - clear  0.000000000, sequence: 0
source 0 - assert 1763344161.000010147, sequence: 122 - clear  0.000000000, sequence: 0
source 0 - assert 1763344162.000009152, sequence: 123 - clear  0.000000000, sequence: 0
source 0 - assert 1763344163.000011532, sequence: 124 - clear  0.000000000, sequence: 0
source 0 - assert 1763344164.000007054, sequence: 125 - clear  0.000000000, sequence: 0
source 0 - assert 1763344165.000010326, sequence: 126 - clear  0.000000000, sequence: 0
source 0 - assert 1763344166.000006507, sequence: 127 - clear  0.000000000, sequence: 0
source 0 - assert 1763344167.000006853, sequence: 128 - clear  0.000000000, sequence: 0
source 0 - assert 1763344168.000008567, sequence: 129 - clear  0.000000000, sequence: 0
source 0 - assert 1763344169.000005122, sequence: 130 - clear  0.000000000, sequence: 0
source 0 - assert 1763344170.000009836, sequence: 131 - clear  0.000000000, sequence: 0
source 0 - assert 1763344171.000009559, sequence: 132 - clear  0.000000000, sequence: 0
source 0 - assert 1763344172.000010975, sequence: 133 - clear  0.000000000, sequence: 0
source 0 - assert 1763344173.000010608, sequence: 134 - clear  0.000000000, sequence: 0
source 0 - assert 1763344174.000008971, sequence: 135 - clear  0.000000000, sequence: 0
source 0 - assert 1763344175.000008936, sequence: 136 - clear  0.000000000, sequence: 0
source 0 - assert 1763344176.000005736, sequence: 137 - clear  0.000000000, sequence: 0
source 0 - assert 1763344177.000007024, sequence: 138 - clear  0.000000000, sequence: 0
source 0 - assert 1763344178.000011643, sequence: 139 - clear  0.000000000, sequence: 0
source 0 - assert 1763344179.000006432, sequence: 140 - clear  0.000000000, sequence: 0
source 0 - assert 1763344180.000007979, sequence: 141 - clear  0.000000000, sequence: 0
source 0 - assert 1763344181.000010499, sequence: 142 - clear  0.000000000, sequence: 0
source 0 - assert 1763344182.000006075, sequence: 143 - clear  0.000000000, sequence: 0
source 0 - assert 1763344183.000010600, sequence: 144 - clear  0.000000000, sequence: 0
source 0 - assert 1763344184.000007712, sequence: 145 - clear  0.000000000, sequence: 0
source 0 - assert 1763344185.000004569, sequence: 146 - clear  0.000000000, sequence: 0
source 0 - assert 1763344186.000009444, sequence: 147 - clear  0.000000000, sequence: 0
source 0 - assert 1763344187.000006058, sequence: 148 - clear  0.000000000, sequence: 0
source 0 - assert 1763344188.000010382, sequence: 149 - clear  0.000000000, sequence: 0
source 0 - assert 1763344189.000005835, sequence: 150 - clear  0.000000000, sequence: 0
source 0 - assert 1763344190.000009467, sequence: 151 - clear  0.000000000, sequence: 0
source 0 - assert 1763344191.000005385, sequence: 152 - clear  0.000000000, sequence: 0
source 0 - assert 1763344192.000009171, sequence: 153 - clear  0.000000000, sequence: 0
source 0 - assert 1763344193.000011330, sequence: 154 - clear  0.000000000, sequence: 0
source 0 - assert 1763344194.000003984, sequence: 155 - clear  0.000000000, sequence: 0
source 0 - assert 1763344195.000007482, sequence: 156 - clear  0.000000000, sequence: 0
source 0 - assert 1763344196.000007953, sequence: 157 - clear  0.000000000, sequence: 0
source 0 - assert 1763344197.000006282, sequence: 158 - clear  0.000000000, sequence: 0
source 0 - assert 1763344198.000011385, sequence: 159 - clear  0.000000000, sequence: 0
source 0 - assert 1763344199.000008646, sequence: 160 - clear  0.000000000, sequence: 0
source 0 - assert 1763344200.000004028, sequence: 161 - clear  0.000000000, sequence: 0
source 0 - assert 1763344201.000009343, sequence: 162 - clear  0.000000000, sequence: 0
source 0 - assert 1763344202.000006459, sequence: 163 - clear  0.000000000, sequence: 0
source 0 - assert 1763344203.000008754, sequence: 164 - clear  0.000000000, sequence: 0
source 0 - assert 1763344204.000002606, sequence: 165 - clear  0.000000000, sequence: 0
source 0 - assert 1763344205.000007058, sequence: 166 - clear  0.000000000, sequence: 0
source 0 - assert 1763344206.000009366, sequence: 167 - clear  0.000000000, sequence: 0
source 0 - assert 1763344207.000006791, sequence: 168 - clear  0.000000000, sequence: 0
source 0 - assert 1763344208.000010334, sequence: 169 - clear  0.000000000, sequence: 0
source 0 - assert 1763344209.000007499, sequence: 170 - clear  0.000000000, sequence: 0
source 0 - assert 1763344210.000010886, sequence: 171 - clear  0.000000000, sequence: 0
source 0 - assert 1763344211.000008636, sequence: 172 - clear  0.000000000, sequence: 0
source 0 - assert 1763344212.000007172, sequence: 173 - clear  0.000000000, sequence: 0
source 0 - assert 1763344213.000011258, sequence: 174 - clear  0.000000000, sequence: 0
source 0 - assert 1763344214.000009882, sequence: 175 - clear  0.000000000, sequence: 0
source 0 - assert 1763344215.000010847, sequence: 176 - clear  0.000000000, sequence: 0
source 0 - assert 1763344216.000008266, sequence: 177 - clear  0.000000000, sequence: 0
source 0 - assert 1763344217.000010249, sequence: 178 - clear  0.000000000, sequence: 0
source 0 - assert 1763344218.000011581, sequence: 179 - clear  0.000000000, sequence: 0
source 0 - assert 1763344219.000009062, sequence: 180 - clear  0.000000000, sequence: 0
source 0 - assert 1763344220.000010787, sequence: 181 - clear  0.000000000, sequence: 0
source 0 - assert 1763344221.000007526, sequence: 182 - clear  0.000000000, sequence: 0
source 0 - assert 1763344222.000011775, sequence: 183 - clear  0.000000000, sequence: 0
source 0 - assert 1763344223.000011217, sequence: 184 - clear  0.000000000, sequence: 0
source 0 - assert 1763344224.000007786, sequence: 185 - clear  0.000000000, sequence: 0
source 0 - assert 1763344225.000005681, sequence: 186 - clear  0.000000000, sequence: 0
source 0 - assert 1763344226.000010157, sequence: 187 - clear  0.000000000, sequence: 0
source 0 - assert 1763344227.000006576, sequence: 188 - clear  0.000000000, sequence: 0
source 0 - assert 1763344228.000011031, sequence: 189 - clear  0.000000000, sequence: 0
source 0 - assert 1763344229.000006462, sequence: 190 - clear  0.000000000, sequence: 0
source 0 - assert 1763344230.000008066, sequence: 191 - clear  0.000000000, sequence: 0
source 0 - assert 1763344231.000010093, sequence: 192 - clear  0.000000000, sequence: 0
source 0 - assert 1763344232.000006567, sequence: 193 - clear  0.000000000, sequence: 0
source 0 - assert 1763344233.000012794, sequence: 194 - clear  0.000000000, sequence: 0
source 0 - assert 1763344234.000008670, sequence: 195 - clear  0.000000000, sequence: 0
source 0 - assert 1763344235.000007092, sequence: 196 - clear  0.000000000, sequence: 0
source 0 - assert 1763344236.000007767, sequence: 197 - clear  0.000000000, sequence: 0
source 0 - assert 1763344237.000009552, sequence: 198 - clear  0.000000000, sequence: 0
source 0 - assert 1763344238.000011317, sequence: 199 - clear  0.000000000, sequence: 0
source 0 - assert 1763344239.000010448, sequence: 200 - clear  0.000000000, sequence: 0
source 0 - assert 1763344240.000004975, sequence: 201 - clear  0.000000000, sequence: 0
source 0 - assert 1763344241.000007111, sequence: 202 - clear  0.000000000, sequence: 0
source 0 - assert 1763344242.000010138, sequence: 203 - clear  0.000000000, sequence: 0
source 0 - assert 1763344243.000011440, sequence: 204 - clear  0.000000000, sequence: 0
source 0 - assert 1763344244.000005487, sequence: 205 - clear  0.000000000, sequence: 0
source 0 - assert 1763344245.000007237, sequence: 206 - clear  0.000000000, sequence: 0
source 0 - assert 1763344246.000008888, sequence: 207 - clear  0.000000000, sequence: 0
source 0 - assert 1763344247.000004815, sequence: 208 - clear  0.000000000, sequence: 0
source 0 - assert 1763344248.000012008, sequence: 209 - clear  0.000000000, sequence: 0
source 0 - assert 1763344249.000004722, sequence: 210 - clear  0.000000000, sequence: 0
source 0 - assert 1763344250.000010922, sequence: 211 - clear  0.000000000, sequence: 0
source 0 - assert 1763344251.000007952, sequence: 212 - clear  0.000000000, sequence: 0
source 0 - assert 1763344252.000008437, sequence: 213 - clear  0.000000000, sequence: 0
source 0 - assert 1763344253.000012349, sequence: 214 - clear  0.000000000, sequence: 0
source 0 - assert 1763344254.000008574, sequence: 215 - clear  0.000000000, sequence: 0
source 0 - assert 1763344255.000004410, sequence: 216 - clear  0.000000000, sequence: 0
source 0 - assert 1763344256.000007340, sequence: 217 - clear  0.000000000, sequence: 0
source 0 - assert 1763344257.000007727, sequence: 218 - clear  0.000000000, sequence: 0
source 0 - assert 1763344258.000009853, sequence: 219 - clear  0.000000000, sequence: 0
source 0 - assert 1763344259.000008133, sequence: 220 - clear  0.000000000, sequence: 0
source 0 - assert 1763344260.000006420, sequence: 221 - clear  0.000000000, sequence: 0
source 0 - assert 1763344261.000007339, sequence: 222 - clear  0.000000000, sequence: 0
source 0 - assert 1763344262.000009890, sequence: 223 - clear  0.000000000, sequence: 0
